nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-05-04
1.0,1.0,1.0,0.0,2017-05-05
1.0,1.0,1.0,0.0,2017-05-12
1.0,1.0,1.0,0.0,2017-05-19
0.9999,0.9999,0.9999,-0.0001,2017-05-26
0.9999,0.9999,0.9999,0.0,2017-05-31
0.9997,0.9997,0.9997,-0.00020002,2017-06-02
0.9979,0.9979,0.9979,-0.0018005402,2017-06-09
0.9957,0.9957,0.9957,-0.0022046297,2017-06-16
1.0107,1.0107,1.0107,0.0150647785,2017-06-23
1.0321,1.0321,1.0321,0.0211734441,2017-06-30
1.049,1.049,1.049,0.0163743823,2017-07-07
1.0885,1.0885,1.0885,0.0376549094,2017-07-14
1.1143,1.1143,1.1143,0.0237023427,2017-07-21
1.0965,1.0965,1.0965,-0.0159741542,2017-07-28
1.1113,1.1113,1.1113,0.013497492,2017-07-31
1.1101,1.1101,1.1101,-0.0010798164,2017-08-04
1.0638,1.0638,1.0638,-0.0417079542,2017-08-11
1.076,1.076,1.076,0.0114683211,2017-08-18
1.0998,1.0998,1.0998,0.0221189591,2017-08-25
1.1352,1.1352,1.1352,0.0321876705,2017-08-31
1.1415,1.1415,1.1415,0.0055496829,2017-09-01
1.1524,1.1524,1.1524,0.0095488392,2017-09-08
1.1566,1.1566,1.1566,0.0036445679,2017-09-15
1.17,1.17,1.17,0.0115856822,2017-09-22
1.1383,1.1383,1.1383,-0.0270940171,2017-09-29
1.1511,1.1511,1.1511,0.0112448388,2017-10-13
1.1468,1.1468,1.1468,-0.0037355573,2017-10-20
1.1616,1.1616,1.1616,0.0129054761,2017-10-27
1.1551,1.1551,1.1551,-0.00559573,2017-10-31
1.1491,1.1491,1.1491,-0.0051943555,2017-11-03
1.1606,1.1606,1.1606,0.0100078322,2017-11-10
1.1569,1.1569,1.1569,-0.0031880062,2017-11-17
1.1788,1.1788,1.1788,0.0189298989,2017-11-24
1.1951,1.1951,1.1951,0.0138276213,2017-11-30
1.1942,1.1942,1.1942,-0.0007530751,2017-12-01
1.1642,1.1642,1.1642,-0.0251214202,2017-12-08
1.1417,1.1417,1.1417,-0.0193265762,2017-12-15
1.159,1.159,1.159,0.0151528423,2017-12-22
1.1807,1.1807,1.1807,0.0187230371,2017-12-29
1.2602,1.2602,1.2602,0.0673329381,2018-01-05
1.2911,1.2911,1.2911,0.0245199175,2018-01-12
1.3438,1.3438,1.3438,0.0408179072,2018-01-19
1.3767,1.3767,1.3767,0.0244828099,2018-01-26
1.3823,1.3823,1.3823,0.0040676981,2018-01-31
1.384,1.384,1.384,0.0012298343,2018-02-02
1.2522,1.2522,1.2522,-0.0952312139,2018-02-09
1.2748,1.2748,1.2748,0.0180482351,2018-02-14
1.3098,1.3098,1.3098,0.0274552871,2018-02-23
1.3028,1.3028,1.3028,-0.0053443274,2018-02-28
1.2877,1.2877,1.2877,-0.0115904206,2018-03-02
1.3032,1.3032,1.3032,0.0120369651,2018-03-09
1.2913,1.2913,1.2913,-0.0091313689,2018-03-16
1.2117,1.2117,1.2117,-0.0616433052,2018-03-23
1.2296,1.2296,1.2296,0.0147726335,2018-03-30
1.2092,1.2092,1.2092,-0.0165907612,2018-04-04
1.2154,1.2154,1.2154,0.0051273569,2018-04-13
1.1698,1.1698,1.1698,-0.0375185124,2018-04-20
1.1844,1.1844,1.1844,0.0124807659,2018-04-27
1.1745,1.1745,1.1745,-0.0083586626,2018-05-04
1.1892,1.1892,1.1892,0.0125159642,2018-05-11
1.196,1.196,1.196,0.0057181298,2018-05-18
1.1742,1.1742,1.1742,-0.0182274247,2018-05-25
1.1156,1.1156,1.1156,-0.0499063192,2018-05-31
1.1061,1.1061,1.1061,-0.008515597,2018-06-01
1.095,1.095,1.095,-0.010035259,2018-06-08
1.0942,1.0942,1.0942,-0.0007305936,2018-06-15
1.0665,1.0665,1.0665,-0.0253152988,2018-06-22
1.0377,1.0377,1.0377,-0.0270042194,2018-06-29
0.9878,0.9878,0.9878,-0.0480871157,2018-07-06
1.0212,1.0212,1.0212,0.0338125127,2018-07-13
1.0331,1.0331,1.0331,0.0116529573,2018-07-20
