nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-02-26
1.0001,1.0001,1.0001,0.0001,2025-02-28
1.0004,1.0004,1.0004,0.00029997,2025-03-07
1.0006,1.0006,1.0006,0.00019992,2025-03-14
1.0007,1.0007,1.0007,9.994e-05,2025-03-21
0.9977,0.9977,0.9977,-0.0029979015,2025-03-28
0.992,0.992,0.992,-0.0057131402,2025-03-31
0.9823,0.9823,0.9823,-0.0097782258,2025-04-03
0.9411,0.9411,0.9411,-0.0419423801,2025-04-11
0.9473,0.9473,0.9473,0.0065880353,2025-04-18
0.9558,0.9558,0.9558,0.0089728703,2025-04-25
0.9518,0.9518,0.9518,-0.0041849759,2025-04-30
0.9742,0.9742,0.9742,0.023534356,2025-05-09
0.9835,0.9835,0.9835,0.0095462944,2025-05-16
0.9841,0.9841,0.9841,0.0006100661,2025-05-23
0.9803,0.9803,0.9803,-0.0038613962,2025-05-30
0.9933,0.9933,0.9933,0.0132612466,2025-06-06
0.9992,0.9992,0.9992,0.0059397966,2025-06-13
0.9915,0.9915,0.9915,-0.0077061649,2025-06-20
1.0191,1.0191,1.0191,0.0278366112,2025-06-27
1.0276,1.0276,1.0276,0.0083406928,2025-06-30
1.0373,1.0373,1.0373,0.0094394706,2025-07-04
1.0525,1.0525,1.0525,0.0146534272,2025-07-11
1.0723,1.0723,1.0723,0.0188123515,2025-07-18
1.093,1.093,1.093,0.0193042992,2025-07-25
1.0851,1.0851,1.0851,-0.0072278134,2025-07-31
1.0808,1.0808,1.0808,-0.0039627684,2025-08-01
1.1005,1.1005,1.1005,0.0182272391,2025-08-08
1.1381,1.1381,1.1381,0.0341662881,2025-08-15
1.1863,1.1863,1.1863,0.0423512872,2025-08-22
1.2287,1.2287,1.2287,0.0357413808,2025-08-29
1.2193,1.2193,1.2193,-0.0076503622,2025-09-05
1.2543,1.2543,1.2543,0.0287049947,2025-09-12
1.2581,1.2581,1.2581,0.0030295783,2025-09-19
1.2792,1.2792,1.2792,0.0167713218,2025-09-26
1.3077,1.3077,1.3077,0.0222795497,2025-09-30
1.2998,1.2998,1.2998,-0.0060411409,2025-10-10
1.2474,1.2474,1.2474,-0.0403138944,2025-10-17
1.299,1.299,1.299,0.0413660414,2025-10-24
1.3003,1.3003,1.3003,0.0010007698,2025-10-31
1.3055,1.3055,1.3055,0.0039990771,2025-11-07
1.2905,1.2905,1.2905,-0.0114898506,2025-11-14
1.2231,1.2231,1.2231,-0.0522278187,2025-11-21
1.2593,1.2593,1.2593,0.0295969258,2025-11-28
1.2774,1.2774,1.2774,0.0143730644,2025-12-05
1.2863,1.2863,1.2863,0.0069672773,2025-12-12
1.2887,1.2887,1.2887,0.0018658167,2025-12-19
1.3287,1.3287,1.3287,0.0310390316,2025-12-26
1.3249,1.3249,1.3249,-0.0028599383,2025-12-31
1.3855,1.3855,1.3855,0.0457393011,2026-01-09
1.4005,1.4005,1.4005,0.0108264165,2026-01-16
1.4286,1.4286,1.4286,0.0200642628,2026-01-23
1.4147,1.4147,1.4147,-0.0097298054,2026-01-30
1.3882,1.3882,1.3882,-0.0187318866,2026-02-06
1.407,1.407,1.407,0.0135427172,2026-02-13
1.4413,1.4413,1.4413,0.0243781095,2026-02-27
1.4125,1.4125,1.4125,-0.0199819607,2026-03-06
1.4108,1.4108,1.4108,-0.0012035398,2026-03-13
1.3551,1.3551,1.3551,-0.0394811454,2026-03-20
1.3467,1.3467,1.3467,-0.0061988045,2026-03-27
1.3251,1.3251,1.3251,-0.016039207,2026-04-03
1.4035,1.4035,1.4035,0.059165346,2026-04-10
1.443,1.443,1.443,0.0281439259,2026-04-17
1.4559,1.4559,1.4559,0.0089397089,2026-04-24
1.4695,1.4695,1.4695,0.0093413009,2026-04-30
1.5034,1.5034,1.5034,0.0230690711,2026-05-08
1.492,1.492,1.492,-0.0075828123,2026-05-15
1.5008,1.5008,1.5008,0.0058981233,2026-05-22
