nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.88,0.88,0.88,0.0,2022-11-23
0.869,0.869,0.869,-0.0125,2022-11-25
0.873,0.873,0.873,0.0046029919,2022-11-30
0.879,0.879,0.879,0.0068728522,2022-12-02
0.867,0.867,0.867,-0.0136518771,2022-12-09
0.847,0.847,0.847,-0.0230680507,2022-12-16
0.808,0.808,0.808,-0.0460448642,2022-12-23
0.82,0.82,0.82,0.0148514851,2022-12-30
0.842,0.842,0.842,0.0268292683,2023-01-06
0.846,0.846,0.846,0.0047505938,2023-01-13
0.863,0.863,0.863,0.0200945626,2023-01-20
0.868,0.868,0.868,0.0057937428,2023-01-31
0.873,0.873,0.873,0.0057603687,2023-02-03
0.888,0.888,0.888,0.0171821306,2023-02-10
0.873,0.873,0.873,-0.0168918919,2023-02-17
0.893,0.893,0.893,0.0229095074,2023-02-24
0.899,0.899,0.899,0.006718925,2023-02-28
0.901,0.901,0.901,0.0022246941,2023-03-03
0.874,0.874,0.874,-0.0299667037,2023-03-10
0.865,0.865,0.865,-0.0102974828,2023-03-17
0.878,0.878,0.878,0.0150289017,2023-03-24
0.873,0.873,0.873,-0.0056947608,2023-03-31
0.867,0.867,0.867,-0.0068728522,2023-04-07
0.87,0.87,0.87,0.0034602076,2023-04-14
0.861,0.861,0.861,-0.0103448276,2023-04-21
0.874,0.874,0.874,0.0150987224,2023-04-28
0.875,0.875,0.875,0.0011441648,2023-05-05
0.871,0.871,0.871,-0.0045714286,2023-05-12
0.882,0.882,0.882,0.0126291619,2023-05-19
0.876,0.876,0.876,-0.0068027211,2023-05-26
0.871,0.871,0.871,-0.0057077626,2023-05-31
0.875,0.875,0.875,0.0045924225,2023-06-02
0.861,0.861,0.861,-0.016,2023-06-09
0.878,0.878,0.878,0.0197444832,2023-06-16
0.865,0.865,0.865,-0.0148063781,2023-06-21
0.878,0.878,0.878,0.0150289017,2023-06-30
0.872,0.872,0.872,-0.006833713,2023-07-07
0.881,0.881,0.881,0.0103211009,2023-07-14
0.866,0.866,0.866,-0.0170261067,2023-07-21
0.877,0.877,0.877,0.0127020785,2023-07-28
0.882,0.882,0.882,0.0057012543,2023-07-31
0.882,0.882,0.882,0.0,2023-08-04
