nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-03-07
0.9998,0.9998,0.9998,-0.0002,2025-03-14
0.9996,0.9996,0.9996,-0.00020004,2025-03-21
0.9935,0.9935,0.9935,-0.006102441,2025-03-28
0.9881,0.9881,0.9881,-0.0054353296,2025-03-31
0.9928,0.9928,0.9928,0.0047566036,2025-04-03
0.9682,0.9682,0.9682,-0.0247784045,2025-04-11
1.006,1.006,1.006,0.0390415203,2025-04-18
0.9839,0.9839,0.9839,-0.0219681909,2025-04-25
0.9838,0.9838,0.9838,-0.0001016363,2025-04-30
1.0731,1.0731,1.0731,0.0907704818,2025-05-09
1.1628,1.1628,1.1628,0.0835896002,2025-05-16
1.2658,1.2658,1.2658,0.0885792914,2025-05-23
1.2932,1.2932,1.2932,0.0216463896,2025-05-30
1.2776,1.2776,1.2776,-0.0120630993,2025-06-06
1.3608,1.3608,1.3608,0.0651221039,2025-06-13
1.3413,1.3413,1.3413,-0.014329806,2025-06-20
1.4605,1.4605,1.4605,0.0888690077,2025-06-27
1.4745,1.4745,1.4745,0.0095857583,2025-06-30
1.5151,1.5151,1.5151,0.0275347575,2025-07-04
1.6136,1.6136,1.6136,0.0650122104,2025-07-11
1.6445,1.6445,1.6445,0.0191497273,2025-07-18
1.7458,1.7458,1.7458,0.0615992703,2025-07-25
1.7054,1.7054,1.7054,-0.0231412533,2025-07-31
1.7732,1.7732,1.7732,0.039756069,2025-08-01
1.9081,1.9081,1.9081,0.0760771487,2025-08-08
1.8836,1.8836,1.8836,-0.0128399979,2025-08-15
1.806,1.806,1.806,-0.0411977065,2025-08-22
1.8156,1.8156,1.8156,0.0053156146,2025-08-29
1.6966,1.6966,1.6966,-0.0655430712,2025-09-05
1.7462,1.7462,1.7462,0.0292349405,2025-09-12
1.7444,1.7444,1.7444,-0.0010308098,2025-09-19
1.8145,1.8145,1.8145,0.0401857372,2025-09-26
1.87,1.87,1.87,0.0305869386,2025-09-30
1.8394,1.8394,1.8394,-0.0163636364,2025-10-10
1.8157,1.8157,1.8157,-0.0128846363,2025-10-17
1.8778,1.8778,1.8778,0.0342016853,2025-10-24
1.8234,1.8234,1.8234,-0.0289700714,2025-10-31
1.797,1.797,1.797,-0.0144784469,2025-11-07
1.8364,1.8364,1.8364,0.0219254313,2025-11-14
1.7047,1.7047,1.7047,-0.0717164017,2025-11-21
1.8222,1.8222,1.8222,0.0689270839,2025-11-28
1.7838,1.7838,1.7838,-0.0210734277,2025-12-05
1.7468,1.7468,1.7468,-0.0207422357,2025-12-12
1.7492,1.7492,1.7492,0.0013739409,2025-12-19
1.863,1.863,1.863,0.0650583124,2025-12-26
1.9011,1.9011,1.9011,0.0204508857,2025-12-31
1.9114,1.9114,1.9114,0.0054179159,2026-01-09
2.0076,2.0076,2.0076,0.0503296013,2026-01-16
1.9817,1.9817,1.9817,-0.0129009763,2026-01-23
1.8884,1.8884,1.8884,-0.0470807892,2026-01-30
1.8566,1.8566,1.8566,-0.0168396526,2026-02-06
1.864,1.864,1.864,0.0039857805,2026-02-13
1.8868,1.8868,1.8868,0.0122317597,2026-02-27
1.769,1.769,1.769,-0.0624337503,2026-03-06
1.782,1.782,1.782,0.0073487846,2026-03-13
1.7181,1.7181,1.7181,-0.0358585859,2026-03-20
1.7029,1.7029,1.7029,-0.0088469821,2026-03-27
1.6555,1.6555,1.6555,-0.0278348699,2026-04-03
1.7645,1.7645,1.7645,0.0658411356,2026-04-10
1.9678,1.9678,1.9678,0.1152167753,2026-04-17
1.9978,1.9978,1.9978,0.0152454518,2026-04-24
2.2302,2.2302,2.2302,0.1163279608,2026-04-30
2.3738,2.3738,2.3738,0.064388844,2026-05-08
2.4383,2.4383,2.4383,0.0271716236,2026-05-15
2.3096,2.3096,2.3096,-0.0527826765,2026-05-22
