nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-01-21
1.0,1.0,1.0,0.0,2020-01-22
1.0,1.0,1.0,0.0,2020-01-23
1.001,1.001,1.001,0.001,2020-02-03
1.001,1.001,1.001,0.0,2020-02-04
1.001,1.001,1.001,0.0,2020-02-05
1.001,1.001,1.001,0.0,2020-02-06
1.001,1.001,1.001,0.0,2020-02-07
1.001,1.001,1.001,0.0,2020-02-10
1.001,1.001,1.001,0.0,2020-02-11
1.001,1.001,1.001,0.0,2020-02-12
1.001,1.001,1.001,0.0,2020-02-13
1.001,1.001,1.001,0.0,2020-02-14
1.001,1.001,1.001,0.0,2020-02-17
1.001,1.001,1.001,0.0,2020-02-18
1.001,1.001,1.001,0.0,2020-02-19
1.001,1.001,1.001,0.0,2020-02-20
0.983,0.983,0.983,-0.017982018,2020-02-21
0.978,0.978,0.978,-0.00508647,2020-02-24
1.0,1.0,1.0,0.0224948875,2020-02-25
0.97,0.97,0.97,-0.03,2020-02-26
0.986,0.986,0.986,0.0164948454,2020-02-27
0.952,0.952,0.952,-0.0344827586,2020-02-28
0.981,0.981,0.981,0.0304621849,2020-03-02
0.993,0.993,0.993,0.0122324159,2020-03-03
0.989,0.989,0.989,-0.0040281974,2020-03-04
1.01,1.01,1.01,0.0212335693,2020-03-05
1.004,1.004,1.004,-0.0059405941,2020-03-06
0.976,0.976,0.976,-0.0278884462,2020-03-09
0.973,0.973,0.973,-0.0030737705,2020-03-10
0.967,0.967,0.967,-0.0061664954,2020-03-11
0.936,0.936,0.936,-0.0320579111,2020-03-12
0.926,0.926,0.926,-0.0106837607,2020-03-13
0.87,0.87,0.87,-0.060475162,2020-03-16
0.869,0.869,0.869,-0.0011494253,2020-03-17
0.847,0.847,0.847,-0.0253164557,2020-03-18
0.838,0.838,0.838,-0.0106257379,2020-03-19
0.874,0.874,0.874,0.0429594272,2020-03-20
0.861,0.861,0.861,-0.0148741419,2020-03-23
0.875,0.875,0.875,0.0162601626,2020-03-24
0.917,0.917,0.917,0.048,2020-03-25
0.952,0.952,0.952,0.0381679389,2020-03-26
0.942,0.942,0.942,-0.0105042017,2020-03-27
0.935,0.935,0.935,-0.0074309979,2020-03-30
0.942,0.942,0.942,0.007486631,2020-03-31
0.912,0.912,0.912,-0.0318471338,2020-04-01
0.923,0.923,0.923,0.0120614035,2020-04-02
0.912,0.912,0.912,-0.0119176598,2020-04-03
0.939,0.939,0.939,0.0296052632,2020-04-07
0.919,0.919,0.919,-0.0212992545,2020-04-08
0.933,0.933,0.933,0.0152339499,2020-04-09
0.925,0.925,0.925,-0.0085744909,2020-04-10
0.925,0.925,0.925,0.0,2020-04-13
0.926,0.926,0.926,0.0010810811,2020-04-14
0.928,0.928,0.928,0.0021598272,2020-04-15
0.95,0.95,0.95,0.0237068966,2020-04-16
0.948,0.948,0.948,-0.0021052632,2020-04-17
0.987,0.987,0.987,0.0411392405,2020-04-20
0.97,0.97,0.97,-0.0172239108,2020-04-21
0.985,0.985,0.985,0.0154639175,2020-04-22
0.993,0.993,0.993,0.0081218274,2020-04-23
0.968,0.968,0.968,-0.0251762336,2020-04-24
0.969,0.969,0.969,0.0010330579,2020-04-27
0.955,0.955,0.955,-0.0144478844,2020-04-28
0.958,0.958,0.958,0.0031413613,2020-04-29
0.969,0.969,0.969,0.0114822547,2020-04-30
0.995,0.995,0.995,0.0268317853,2020-05-06
0.991,0.991,0.991,-0.0040201005,2020-05-07
1.015,1.015,1.015,0.0242179617,2020-05-08
1.018,1.018,1.018,0.002955665,2020-05-11
1.021,1.021,1.021,0.0029469548,2020-05-12
1.023,1.023,1.023,0.0019588639,2020-05-13
1.03,1.03,1.03,0.0068426197,2020-05-14
1.027,1.027,1.027,-0.0029126214,2020-05-15
1.042,1.042,1.042,0.0146056475,2020-05-18
1.045,1.045,1.045,0.0028790787,2020-05-19
1.039,1.039,1.039,-0.0057416268,2020-05-20
1.012,1.012,1.012,-0.0259865255,2020-05-21
0.97,0.97,0.97,-0.0415019763,2020-05-22
0.979,0.979,0.979,0.0092783505,2020-05-25
0.997,0.997,0.997,0.0183861083,2020-05-26
0.974,0.974,0.974,-0.0230692076,2020-05-27
