nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-03-19
1.0,1.0,1.0,0.0,2018-03-23
1.0,1.0,1.0,0.0,2018-03-30
1.0,1.0,1.0,0.0,2018-04-04
1.001,1.001,1.001,0.001,2018-04-13
1.001,1.001,1.001,0.0,2018-04-20
0.981,0.981,0.981,-0.01998002,2018-04-27
0.992,0.992,0.992,0.0112130479,2018-05-04
1.004,1.004,1.004,0.0120967742,2018-05-11
1.042,1.042,1.042,0.0378486056,2018-05-18
1.067,1.067,1.067,0.0239923225,2018-05-25
1.02,1.02,1.02,-0.0440487348,2018-06-01
1.016,1.016,1.016,-0.0039215686,2018-06-08
0.992,0.992,0.992,-0.0236220472,2018-06-15
0.941,0.941,0.941,-0.0514112903,2018-06-22
0.936,0.936,0.936,-0.0053134963,2018-06-29
0.89,0.89,0.89,-0.0491452991,2018-07-06
0.934,0.934,0.934,0.0494382022,2018-07-13
0.941,0.941,0.941,0.0074946467,2018-07-20
0.92,0.92,0.92,-0.0223166844,2018-07-27
0.862,0.862,0.862,-0.0630434783,2018-08-03
0.862,0.862,0.862,0.0,2018-08-10
0.837,0.837,0.837,-0.0290023202,2018-08-17
0.848,0.848,0.848,0.0131421744,2018-08-24
0.844,0.844,0.844,-0.0047169811,2018-08-31
0.844,0.844,0.844,0.0,2018-09-07
0.815,0.815,0.815,-0.0343601896,2018-09-14
0.816,0.816,0.816,0.0012269939,2018-09-21
0.811,0.811,0.811,-0.006127451,2018-09-28
0.811,0.811,0.811,0.0,2018-10-12
0.808,0.808,0.808,-0.0036991369,2018-10-19
0.758,0.758,0.758,-0.0618811881,2018-10-26
0.734,0.734,0.734,-0.0316622691,2018-11-02
0.734,0.734,0.734,0.0,2018-11-09
0.734,0.734,0.734,0.0,2018-11-16
0.733,0.733,0.733,-0.0013623978,2018-11-23
0.728,0.728,0.728,-0.0068212824,2018-11-30
0.726,0.726,0.726,-0.0027472527,2018-12-07
0.734,0.734,0.734,0.0110192837,2018-12-14
0.733,0.733,0.733,-0.0013623978,2018-12-21
0.73,0.73,0.73,-0.0040927694,2018-12-28
0.719,0.719,0.719,-0.0150684932,2019-01-04
0.722,0.722,0.722,0.0041724618,2019-01-11
0.716,0.716,0.716,-0.0083102493,2019-01-17
0.716,0.716,0.716,0.0,2019-01-18
0.702,0.702,0.702,-0.0195530726,2019-01-25
0.688,0.688,0.688,-0.0199430199,2019-02-01
0.715,0.715,0.715,0.039244186,2019-02-15
0.736,0.736,0.736,0.0293706294,2019-02-22
0.731,0.731,0.731,-0.0067934783,2019-03-01
0.735,0.735,0.735,0.0054719562,2019-03-08
0.74,0.74,0.74,0.0068027211,2019-03-15
0.767,0.767,0.767,0.0364864865,2019-03-22
0.786,0.786,0.786,0.0247718383,2019-03-29
0.817,0.817,0.817,0.0394402036,2019-04-04
0.757,0.757,0.757,-0.0734394125,2019-04-12
0.77,0.77,0.77,0.0171730515,2019-04-19
0.717,0.717,0.717,-0.0688311688,2019-04-26
0.693,0.693,0.693,-0.0334728033,2019-04-30
0.681,0.681,0.681,-0.0173160173,2019-05-10
0.662,0.662,0.662,-0.0279001468,2019-05-17
0.65,0.65,0.65,-0.0181268882,2019-05-24
0.667,0.667,0.667,0.0261538462,2019-05-31
0.63,0.63,0.63,-0.0554722639,2019-06-06
0.643,0.643,0.643,0.0206349206,2019-06-14
0.67,0.67,0.67,0.0419906687,2019-06-21
0.667,0.667,0.667,-0.0044776119,2019-06-28
0.69,0.69,0.69,0.0344827586,2019-07-05
0.664,0.664,0.664,-0.0376811594,2019-07-12
0.665,0.665,0.665,0.0015060241,2019-07-19
0.675,0.675,0.675,0.015037594,2019-07-26
0.653,0.653,0.653,-0.0325925926,2019-08-02
0.651,0.651,0.651,-0.0030627871,2019-08-09
0.661,0.661,0.661,0.0153609831,2019-08-16
0.664,0.664,0.664,0.0045385779,2019-08-23
0.673,0.673,0.673,0.0135542169,2019-08-30
0.737,0.737,0.737,0.0950965825,2019-09-06
0.726,0.726,0.726,-0.0149253731,2019-09-12
0.768,0.768,0.768,0.0578512397,2019-09-20
0.728,0.728,0.728,-0.0520833333,2019-09-27
0.705,0.705,0.705,-0.0315934066,2019-09-30
0.748,0.748,0.748,0.0609929078,2019-10-11
0.78,0.78,0.78,0.0427807487,2019-10-18
0.787,0.787,0.787,0.008974359,2019-10-25
0.8,0.8,0.8,0.0165184244,2019-11-01
0.818,0.818,0.818,0.0225,2019-11-08
0.795,0.795,0.795,-0.0281173594,2019-11-15
0.773,0.773,0.773,-0.027672956,2019-11-22
0.768,0.768,0.768,-0.0064683053,2019-11-29
0.805,0.805,0.805,0.0481770833,2019-12-06
0.85,0.85,0.85,0.0559006211,2019-12-13
0.875,0.875,0.875,0.0294117647,2019-12-20
0.883,0.883,0.883,0.0091428571,2019-12-27
0.918,0.918,0.918,0.0396375991,2020-01-03
0.935,0.935,0.935,0.0185185185,2020-01-10
1.042,1.042,1.042,0.1144385027,2020-01-17
0.989,0.989,0.989,-0.0508637236,2020-01-23
1.101,1.101,1.101,0.1132457027,2020-02-07
1.085,1.085,1.085,-0.0145322434,2020-02-14
1.153,1.153,1.153,0.0626728111,2020-02-21
1.137,1.137,1.137,-0.013876843,2020-02-28
1.194,1.194,1.194,0.0501319261,2020-03-06
1.115,1.115,1.115,-0.0661641541,2020-03-13
1.038,1.038,1.038,-0.069058296,2020-03-20
1.109,1.109,1.109,0.0684007707,2020-03-27
1.088,1.088,1.088,-0.0189359784,2020-04-03
1.097,1.097,1.097,0.0082720588,2020-04-10
1.124,1.124,1.124,0.0246125798,2020-04-17
1.156,1.156,1.156,0.0284697509,2020-04-24
1.147,1.147,1.147,-0.0077854671,2020-04-30
1.193,1.193,1.193,0.0401046207,2020-05-08
1.217,1.217,1.217,0.0201173512,2020-05-15
1.146,1.146,1.146,-0.0583401808,2020-05-22
1.162,1.162,1.162,0.0139616056,2020-05-29
1.209,1.209,1.209,0.0404475043,2020-06-05
1.205,1.205,1.205,-0.0033085194,2020-06-12
1.225,1.225,1.225,0.0165975104,2020-06-19
1.209,1.209,1.209,-0.0130612245,2020-06-24
1.318,1.318,1.318,0.0901571547,2020-07-03
1.48,1.48,1.48,0.1229135053,2020-07-10
1.38,1.38,1.38,-0.0675675676,2020-07-17
