nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-04-26
0.9999,0.9999,0.9999,-0.0001,2024-04-30
0.9997,0.9997,0.9997,-0.00020002,2024-05-10
0.9996,0.9996,0.9996,-0.00010003,2024-05-17
0.979,0.979,0.979,-0.0206082433,2024-05-24
0.978,0.978,0.978,-0.0010214505,2024-05-31
0.9617,0.9617,0.9617,-0.0166666667,2024-06-07
0.9505,0.9505,0.9505,-0.0116460435,2024-06-14
0.9405,0.9405,0.9405,-0.0105207785,2024-06-21
0.9412,0.9412,0.9412,0.000744285,2024-06-28
0.9363,0.9363,0.9363,-0.0052061198,2024-07-05
0.9457,0.9457,0.9457,0.0100395172,2024-07-12
0.9559,0.9559,0.9559,0.0107856614,2024-07-19
0.937,0.937,0.937,-0.0197719427,2024-07-26
0.9499,0.9499,0.9499,0.0137673426,2024-07-31
0.9405,0.9405,0.9405,-0.0098957785,2024-08-02
0.9277,0.9277,0.9277,-0.013609782,2024-08-09
0.9354,0.9354,0.9354,0.008300097,2024-08-16
0.9262,0.9262,0.9262,-0.0098353645,2024-08-23
0.9112,0.9112,0.9112,-0.0161952062,2024-08-30
0.8894,0.8894,0.8894,-0.0239244952,2024-09-06
0.8643,0.8643,0.8643,-0.0282212728,2024-09-13
0.8759,0.8759,0.8759,0.0134212658,2024-09-20
0.9797,0.9797,0.9797,0.1185066788,2024-09-27
1.055,1.055,1.055,0.0768602633,2024-09-30
0.9835,0.9835,0.9835,-0.0677725118,2024-10-11
0.9995,0.9995,0.9995,0.0162684291,2024-10-18
1.0283,1.0283,1.0283,0.0288144072,2024-10-25
1.0332,1.0332,1.0332,0.0047651464,2024-10-31
1.0186,1.0186,1.0186,-0.0141308556,2024-11-01
1.0881,1.0881,1.0881,0.0682309052,2024-11-08
1.0636,1.0636,1.0636,-0.0225163128,2024-11-15
1.0529,1.0529,1.0529,-0.010060173,2024-11-22
1.0897,1.0897,1.0897,0.0349510875,2024-11-29
1.1178,1.1178,1.1178,0.0257869138,2024-12-06
1.1225,1.1225,1.1225,0.0042046878,2024-12-13
1.1079,1.1079,1.1079,-0.0130066815,2024-12-20
1.1078,1.1078,1.1078,-9.02609e-05,2024-12-27
1.0,1.1067,1.1067,-0.000992959,2024-12-30
0.9756,1.0823,1.07969652,-0.0244,2024-12-31
0.9293,1.036,1.02845631,-0.0474579746,2025-01-03
0.9181,1.0248,1.01606127,-0.0120520822,2025-01-10
0.9539,1.0606,1.05568113,0.0389935737,2025-01-17
0.9633,1.07,1.06608411,0.0098542824,2025-01-24
0.9606,1.0673,1.06309602,-0.0028028652,2025-01-27
0.9833,1.09,1.08821811,0.0236310639,2025-02-07
0.9916,1.0983,1.09740372,0.0084409641,2025-02-14
1.0006,1.1073,1.10736402,0.0090762404,2025-02-21
0.9914,1.0981,1.09718238,-0.0091944833,2025-02-28
1.0202,1.1269,1.12905534,0.0290498285,2025-03-07
1.0452,1.1519,1.15672284,0.024504999,2025-03-14
1.0419,1.1486,1.15307073,-0.0031572905,2025-03-21
1.0363,1.143,1.14687321,-0.005374796,2025-03-28
1.0244,1.1311,1.13370348,-0.0114831612,2025-03-31
1.039,1.1457,1.1498613,0.0142522452,2025-04-03
0.9994,1.1061,1.10603598,-0.0381135707,2025-04-11
1.0101,1.1168,1.11787767,0.0107064239,2025-04-18
1.0269,1.1336,1.13647023,0.0166320166,2025-04-25
1.0243,1.131,1.13359281,-0.0025318921,2025-04-30
1.0512,1.1579,1.16336304,0.0262618374,2025-05-09
1.0607,1.1674,1.17387669,0.0090372907,2025-05-16
1.0571,1.1638,1.16989257,-0.0033939851,2025-05-23
1.0705,1.1772,1.18472235,0.0126761896,2025-05-30
1.0912,1.1979,1.20763104,0.0193367585,2025-06-06
1.0906,1.1973,1.20696702,-0.0005498534,2025-06-13
1.0833,1.19,1.19888811,-0.0066935632,2025-06-20
1.1201,1.2268,1.23961467,0.033970276,2025-06-27
1.1269,1.2336,1.24714023,0.0060708865,2025-06-30
1.1354,1.2421,1.25654718,0.0075428166,2025-07-04
1.1628,1.2695,1.28687076,0.0241324643,2025-07-11
1.1728,1.2795,1.29793776,0.0085999312,2025-07-18
1.2142,1.3209,1.34375514,0.0353001364,2025-07-25
1.196,1.3027,1.3236132,-0.0149892934,2025-07-31
1.2035,1.3102,1.33191345,0.006270903,2025-08-01
1.2266,1.3333,1.35747822,0.0191940174,2025-08-08
1.2334,1.3401,1.36500378,0.0055437796,2025-08-15
1.2715,1.3782,1.40716905,0.0308902222,2025-08-22
1.2584,1.3651,1.39267128,-0.010302792,2025-08-29
1.2503,1.357,1.38370701,-0.0064367451,2025-09-05
1.2713,1.378,1.40694771,0.016795969,2025-09-12
1.2592,1.3659,1.39355664,-0.0095178164,2025-09-19
1.2445,1.3512,1.37728815,-0.0116740788,2025-09-26
1.2574,1.3641,1.39156458,0.0103656087,2025-09-30
1.258,1.3647,1.3922286,0.0004771751,2025-10-10
1.2283,1.335,1.35935961,-0.023608903,2025-10-17
1.2751,1.3818,1.41115317,0.038101441,2025-10-24
1.2823,1.389,1.41912141,0.005646616,2025-10-31
1.2977,1.4044,1.43616459,0.0120096701,2025-11-07
1.3039,1.4106,1.44302613,0.0047776836,2025-11-14
1.243,1.3497,1.3756281,-0.0467060357,2025-11-21
1.2839,1.3906,1.42089213,0.0329042639,2025-11-28
1.2929,1.3996,1.43085243,0.0070098917,2025-12-05
1.2792,1.3859,1.41569064,-0.0105963338,2025-12-12
1.2861,1.3928,1.42332687,0.0053939962,2025-12-19
0.9987,1.4172,1.45033035,0.0189720862,2025-12-26
0.9957,1.4142,1.4459737,-0.0030039051,2025-12-31
1.0342,1.4527,1.5018841,0.0386662649,2026-01-09
1.045,1.4635,1.51756805,0.0104428544,2026-01-16
1.0717,1.4902,1.55634228,0.0255502392,2026-01-23
1.0429,1.4614,1.5145184,-0.0268731921,2026-01-30
1.0442,1.4627,1.51640628,0.0012465241,2026-02-06
1.0575,1.476,1.53572078,0.0127370236,2026-02-13
1.084,1.5025,1.57420457,0.0250591017,2026-02-27
1.0504,1.4689,1.52541003,-0.03099631,2026-03-06
1.0459,1.4644,1.51887505,-0.0042840823,2026-03-13
0.9963,1.4148,1.44684503,-0.0474232718,2026-03-20
0.987,1.4055,1.4333394,-0.0093345378,2026-03-27
0.9818,1.4003,1.42578786,-0.0052684904,2026-03-31
0.9625,1.381,1.39776005,-0.0196577714,2026-04-03
1.0072,1.4257,1.4626742,0.0464415584,2026-04-10
1.0277,1.4462,1.49244468,0.0203534551,2026-04-17
1.0162,1.4347,1.47574417,-0.011190036,2026-04-24
1.0287,1.4472,1.4938969,0.0123007282,2026-04-30
1.0543,1.4728,1.53107368,0.0248857782,2026-05-08
1.0237,1.4422,1.48663581,-0.029023997,2026-05-15
1.0144,1.4329,1.47313018,-0.0090846928,2026-05-22
