nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.636,1.636,1.636,0.0,2025-06-23
1.656,1.656,1.656,0.0122249389,2025-06-27
1.65,1.65,1.65,-0.0036231884,2025-06-30
1.68,1.68,1.68,0.0181818182,2025-07-04
1.692,1.692,1.692,0.0071428571,2025-07-11
1.711,1.711,1.711,0.0112293144,2025-07-18
1.739,1.739,1.739,0.016364699,2025-07-25
1.73,1.73,1.73,-0.0051753882,2025-07-31
1.727,1.727,1.727,-0.001734104,2025-08-01
1.765,1.765,1.765,0.0220034742,2025-08-08
1.821,1.821,1.821,0.0317280453,2025-08-15
1.874,1.874,1.874,0.0291048874,2025-08-22
1.885,1.885,1.885,0.0058697972,2025-08-29
1.861,1.861,1.861,-0.0127320955,2025-09-05
1.912,1.912,1.912,0.0274046212,2025-09-12
1.911,1.911,1.911,-0.0005230126,2025-09-19
1.922,1.922,1.922,0.0057561486,2025-09-26
1.962,1.962,1.962,0.0208116545,2025-09-30
1.974,1.974,1.974,0.006116208,2025-10-10
1.929,1.929,1.929,-0.0227963526,2025-10-17
1.984,1.984,1.984,0.0285121825,2025-10-24
1.963,1.963,1.963,-0.0105846774,2025-10-31
1.967,1.967,1.967,0.0020376974,2025-11-07
1.972,1.972,1.972,0.002541942,2025-11-14
1.921,1.921,1.921,-0.025862069,2025-11-21
1.937,1.937,1.937,0.0083289953,2025-11-28
1.958,1.958,1.958,0.0108415075,2025-12-05
1.935,1.935,1.935,-0.0117466803,2025-12-12
1.945,1.945,1.945,0.0051679587,2025-12-19
1.957,1.957,1.957,0.0061696658,2025-12-26
1.944,1.944,1.944,-0.0066428206,2025-12-31
1.988,1.988,1.988,0.0226337449,2026-01-09
1.991,1.991,1.991,0.0015090543,2026-01-16
2.023,2.023,2.023,0.0160723255,2026-01-23
2.031,2.031,2.031,0.003954523,2026-01-30
2.027,2.027,2.027,-0.0019694732,2026-02-06
2.031,2.031,2.031,0.0019733596,2026-02-13
2.049,2.049,2.049,0.0088626292,2026-02-27
2.02,2.02,2.02,-0.0141532455,2026-03-06
2.032,2.032,2.032,0.0059405941,2026-03-13
1.976,1.976,1.976,-0.0275590551,2026-03-20
1.983,1.983,1.983,0.0035425101,2026-03-27
1.976,1.976,1.976,-0.003530005,2026-04-03
2.002,2.002,2.002,0.0131578947,2026-04-10
2.027,2.027,2.027,0.0124875125,2026-04-17
2.018,2.018,2.018,-0.0044400592,2026-04-24
2.02,2.02,2.02,0.0009910803,2026-04-30
2.091,2.091,2.091,0.0351485149,2026-05-08
2.084,2.084,2.084,-0.0033476805,2026-05-15
2.076,2.076,2.076,-0.0038387716,2026-05-22
