nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-12-12
1.0,1.0,1.0,0.0,2022-12-13
1.0,1.0,1.0,0.0,2022-12-14
1.0,1.0,1.0,0.0,2022-12-15
0.9992,0.9992,0.9992,-0.0008,2022-12-16
0.9992,0.9992,0.9992,0.0,2022-12-19
0.9992,0.9992,0.9992,0.0,2022-12-20
0.9992,0.9992,0.9992,0.0,2022-12-21
0.9992,0.9992,0.9992,0.0,2022-12-22
0.9992,0.9992,0.9992,0.0,2022-12-23
0.9992,0.9992,0.9992,0.0,2022-12-26
0.9992,0.9992,0.9992,0.0,2022-12-27
1.02,1.02,1.02,0.0208166533,2022-12-28
0.9917,0.9917,0.9917,-0.027745098,2022-12-29
0.9958,0.9958,0.9958,0.0041343148,2022-12-30
1.0415,1.0415,1.0415,0.0458927495,2023-01-03
0.982,0.982,0.982,-0.0571291407,2023-01-04
0.9947,0.9947,0.9947,0.0129327902,2023-01-05
1.0383,1.0383,1.0383,0.0438323112,2023-01-06
1.0514,1.0514,1.0514,0.0126167774,2023-01-09
1.0393,1.0393,1.0393,-0.0115084649,2023-01-10
1.0278,1.0278,1.0278,-0.01106514,2023-01-11
1.025,1.025,1.025,-0.0027242654,2023-01-12
1.0073,1.0073,1.0073,-0.0172682927,2023-01-13
1.0385,1.0385,1.0385,0.0309738906,2023-01-16
1.0033,1.0033,1.0033,-0.0338950409,2023-01-17
1.0105,1.0105,1.0105,0.0071763182,2023-01-18
1.0342,1.0342,1.0342,0.0234537358,2023-01-19
1.0995,1.0995,1.0995,0.0631405918,2023-01-20
1.1085,1.1085,1.1085,0.0081855389,2023-01-30
1.1522,1.1522,1.1522,0.0394226432,2023-01-31
1.1852,1.1852,1.1852,0.028640861,2023-02-01
1.1777,1.1777,1.1777,-0.0063280459,2023-02-02
1.2577,1.2577,1.2577,0.0679290142,2023-02-03
1.2653,1.2653,1.2653,0.0060427765,2023-02-06
1.334,1.334,1.334,0.054295424,2023-02-07
1.4082,1.4082,1.4082,0.0556221889,2023-02-08
1.4235,1.4235,1.4235,0.010864934,2023-02-09
1.4088,1.4088,1.4088,-0.0103266596,2023-02-10
1.4398,1.4398,1.4398,0.0220045429,2023-02-13
1.4439,1.4439,1.4439,0.0028476177,2023-02-14
1.4324,1.4324,1.4324,-0.0079645405,2023-02-15
1.3583,1.3583,1.3583,-0.05173136,2023-02-16
1.3192,1.3192,1.3192,-0.0287859825,2023-02-17
1.3734,1.3734,1.3734,0.0410855064,2023-02-20
1.3746,1.3746,1.3746,0.000873744,2023-02-21
1.3521,1.3521,1.3521,-0.0163683981,2023-02-22
1.3765,1.3765,1.3765,0.0180460025,2023-02-23
1.3678,1.3678,1.3678,-0.0063203778,2023-02-24
1.3851,1.3851,1.3851,0.012648048,2023-02-27
1.4834,1.4834,1.4834,0.0709696051,2023-02-28
1.4819,1.4819,1.4819,-0.0010111905,2023-03-01
1.4794,1.4794,1.4794,-0.0016870234,2023-03-02
1.4526,1.4526,1.4526,-0.0181154522,2023-03-03
1.4765,1.4765,1.4765,0.0164532562,2023-03-06
1.3854,1.3854,1.3854,-0.0616999661,2023-03-07
1.4145,1.4145,1.4145,0.021004764,2023-03-08
1.4386,1.4386,1.4386,0.0170378226,2023-03-09
1.416,1.416,1.416,-0.0157097178,2023-03-10
1.4219,1.4219,1.4219,0.0041666667,2023-03-13
1.3618,1.3618,1.3618,-0.0422673887,2023-03-14
1.3231,1.3231,1.3231,-0.0284182699,2023-03-15
1.2849,1.2849,1.2849,-0.0288715894,2023-03-16
1.2877,1.2877,1.2877,0.0021791579,2023-03-17
1.351,1.351,1.351,0.0491574124,2023-03-20
1.3364,1.3364,1.3364,-0.0108068098,2023-03-21
1.3219,1.3219,1.3219,-0.0108500449,2023-03-22
1.3301,1.3301,1.3301,0.0062031924,2023-03-23
1.2899,1.2899,1.2899,-0.0302232915,2023-03-24
1.2842,1.2842,1.2842,-0.0044189472,2023-03-27
1.3186,1.3186,1.3186,0.0267871048,2023-03-28
1.3038,1.3038,1.3038,-0.0112240255,2023-03-29
1.3485,1.3485,1.3485,0.0342843994,2023-03-30
1.3977,1.3977,1.3977,0.0364849833,2023-03-31
1.4977,1.4977,1.4977,0.0715461115,2023-04-03
1.5801,1.5801,1.5801,0.0550176938,2023-04-04
1.5844,1.5844,1.5844,0.0027213468,2023-04-06
1.6469,1.6469,1.6469,0.0394471093,2023-04-07
1.6073,1.6073,1.6073,-0.0240451758,2023-04-10
1.73,1.73,1.73,0.0763392024,2023-04-11
1.9407,1.9407,1.9407,0.1217919075,2023-04-12
1.8086,1.8086,1.8086,-0.0680682228,2023-04-13
1.7808,1.7808,1.7808,-0.0153710052,2023-04-14
1.7342,1.7342,1.7342,-0.0261680144,2023-04-17
1.8462,1.8462,1.8462,0.0645830931,2023-04-18
1.8113,1.8113,1.8113,-0.0189036941,2023-04-19
1.9639,1.9639,1.9639,0.084248882,2023-04-20
1.8515,1.8515,1.8515,-0.0572330567,2023-04-21
1.8544,1.8544,1.8544,0.0015662976,2023-04-24
1.7679,1.7679,1.7679,-0.0466458154,2023-04-25
1.6477,1.6477,1.6477,-0.0679902709,2023-04-26
1.6147,1.6147,1.6147,-0.0200279177,2023-04-27
1.8217,1.8217,1.8217,0.1281971883,2023-04-28
1.8636,1.8636,1.8636,0.023000494,2023-05-04
1.2,1.9695,1.9695,0.056825499,2023-05-05
1.1994,1.9689,1.96851525,-0.0005,2023-05-08
1.2188,1.9883,2.0003555,0.016174754,2023-05-09
1.2171,1.9866,1.99756538,-0.0013948146,2023-05-10
1.1763,1.9458,1.93060238,-0.0335223071,2023-05-11
1.1472,1.9167,1.882842,-0.0247385871,2023-05-12
1.128,1.8975,1.85133,-0.0167364017,2023-05-15
1.0111,1.7806,1.65946788,-0.1036347518,2023-05-16
1.0078,1.7773,1.65405175,-0.0032637721,2023-05-17
1.0745,1.844,1.76352313,0.0661837666,2023-05-18
1.0388,1.8083,1.7049305,-0.0332247557,2023-05-19
0.9923,1.7618,1.62861238,-0.0447631883,2023-05-22
0.9588,1.7283,1.5736305,-0.0337599516,2023-05-23
0.9736,1.7431,1.597921,0.0154359616,2023-05-24
0.9386,1.7081,1.54047725,-0.0359490551,2023-05-25
1.0003,1.7698,1.64174238,0.0657362029,2023-05-26
1.0513,1.8208,1.72544613,0.0509847046,2023-05-29
1.0732,1.8427,1.7613895,0.0208313517,2023-05-30
1.0399,1.8094,1.70673588,-0.0310286992,2023-05-31
1.0523,1.8218,1.72708738,0.0119242235,2023-06-01
1.0572,1.8267,1.7351295,0.0046564668,2023-06-02
1.0731,1.8426,1.76122538,0.0150397276,2023-06-05
1.0848,1.8543,1.780428,0.0109029913,2023-06-06
1.1382,1.9077,1.86807075,0.0492256637,2023-06-07
1.0742,1.8437,1.76303075,-0.0562291337,2023-06-08
1.1412,1.9107,1.8729945,0.0623719978,2023-06-09
1.3443,2.1138,2.20633238,0.1779705573,2023-06-12
1.3236,2.0931,2.1723585,-0.0153983486,2023-06-13
1.3423,2.1118,2.20304988,0.0141281354,2023-06-14
1.3212,2.0907,2.1684195,-0.0157192878,2023-06-15
1.3774,2.1469,2.26065775,0.0425370875,2023-06-16
1.4828,2.2523,2.4336455,0.0765209816,2023-06-19
1.3986,2.1681,2.29545225,-0.0567844618,2023-06-20
1.4726,2.2421,2.41690475,0.0529100529,2023-06-21
1.4045,2.174,2.30513563,-0.0462447372,2023-06-26
1.4544,2.2239,2.387034,0.0355286579,2023-06-27
1.4325,2.202,2.35109063,-0.0150577558,2023-06-28
1.445,2.2145,2.37160625,0.0087260035,2023-06-29
1.5471,2.3166,2.53917788,0.0706574394,2023-06-30
1.5163,2.2858,2.48862738,-0.0199082154,2023-07-03
1.5966,2.3661,2.62041975,0.0529578579,2023-07-04
1.5951,2.3646,2.61795788,-0.0009394964,2023-07-05
1.5889,2.3584,2.60778213,-0.0038869036,2023-07-06
1.5554,2.3249,2.55280025,-0.0210837686,2023-07-07
1.5097,2.2792,2.47779513,-0.0293815096,2023-07-10
1.4957,2.2652,2.45481763,-0.0092733656,2023-07-11
1.4621,2.2316,2.39967163,-0.0224643979,2023-07-12
1.5081,2.2776,2.47516913,0.0314615963,2023-07-13
1.606,2.3755,2.6358475,0.0649161196,2023-07-14
1.5218,2.2913,2.49765425,-0.0524283935,2023-07-17
1.4778,2.2473,2.42543925,-0.0289131292,2023-07-18
1.4496,2.2191,2.379156,-0.0190824198,2023-07-19
1.3995,2.169,2.29692938,-0.0345612583,2023-07-20
1.3943,2.1638,2.28839488,-0.0037156127,2023-07-21
1.4055,2.175,2.30677688,0.0080327046,2023-07-24
1.4123,2.1818,2.31793738,0.0048381359,2023-07-25
1.3385,2.108,2.19681313,-0.0522551866,2023-07-26
1.3087,2.0782,2.14790388,-0.0222637281,2023-07-27
1.2986,2.0681,2.13132725,-0.0077175823,2023-07-28
1.31,2.0795,2.1500375,0.0087786847,2023-07-31
1.2835,2.053,2.10654438,-0.0202290076,2023-08-01
1.2912,2.0607,2.119182,0.0059992209,2023-08-02
1.2927,2.0622,2.12164388,0.00116171,2023-08-03
1.3415,2.111,2.20173688,0.0377504448,2023-08-04
1.3873,2.1568,2.27690613,0.0341408871,2023-08-07
1.4274,2.1969,2.34272025,0.0289050674,2023-08-08
1.3637,2.1332,2.23817263,-0.0446265938,2023-08-09
1.3598,2.1293,2.23177175,-0.0028598665,2023-08-10
1.3208,2.0903,2.167763,-0.0286806883,2023-08-11
1.3512,2.1207,2.217657,0.0230163537,2023-08-14
1.2708,2.0403,2.0857005,-0.0595026643,2023-08-15
1.2193,1.9888,2.00117613,-0.0405256531,2023-08-16
1.2219,1.9914,2.00544338,0.002132371,2023-08-17
1.1811,1.9506,1.93848038,-0.0333906212,2023-08-18
1.1841,1.9536,1.94340413,0.0025400051,2023-08-21
1.2516,2.0211,2.0541885,0.0570053205,2023-08-22
1.2049,1.9744,1.97754213,-0.0373122403,2023-08-23
1.2308,2.0003,2.0200505,0.0214955598,2023-08-24
1.1786,1.9481,1.93437725,-0.0424114397,2023-08-25
1.1567,1.9262,1.89843388,-0.0185813677,2023-08-28
1.232,2.0015,2.02202,0.0650989885,2023-08-29
1.263,2.0325,2.07289875,0.0251623377,2023-08-30
1.2597,2.0292,2.06748263,-0.0026128266,2023-08-31
1.2224,1.9919,2.006264,-0.0296102247,2023-09-01
1.2372,2.0067,2.0305545,0.0121073298,2023-09-04
1.2148,1.9843,1.9937905,-0.0181053993,2023-09-05
1.224,1.9935,2.00889,0.0075732631,2023-09-06
1.1962,1.9657,1.96326325,-0.0227124183,2023-09-07
1.1853,1.9548,1.94537363,-0.0091121886,2023-09-08
1.2703,2.0398,2.08487988,0.0717118029,2023-09-11
