nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-07-22
1.0,1.0,1.0,0.0,2025-07-25
1.0,1.0,1.0,0.0,2025-07-31
1.0,1.0,1.0,0.0,2025-08-01
0.999,0.999,0.999,-0.001,2025-08-08
1.008,1.008,1.008,0.009009009,2025-08-15
0.998,0.998,0.998,-0.0099206349,2025-08-22
1.016,1.016,1.016,0.0180360721,2025-08-29
1.052,1.052,1.052,0.0354330709,2025-09-05
1.093,1.093,1.093,0.038973384,2025-09-12
1.094,1.094,1.094,0.0009149131,2025-09-19
1.11,1.11,1.11,0.0146252285,2025-09-26
1.134,1.134,1.134,0.0216216216,2025-09-30
1.191,1.191,1.191,0.0502645503,2025-10-10
1.249,1.249,1.249,0.0486985726,2025-10-17
1.236,1.236,1.236,-0.0104083267,2025-10-24
1.252,1.252,1.252,0.0129449838,2025-10-31
1.223,1.223,1.223,-0.0231629393,2025-11-07
1.262,1.262,1.262,0.031888798,2025-11-14
1.221,1.221,1.221,-0.0324881141,2025-11-21
1.242,1.242,1.242,0.0171990172,2025-11-28
1.245,1.245,1.245,0.0024154589,2025-12-05
1.225,1.225,1.225,-0.016064257,2025-12-12
1.233,1.233,1.233,0.0065306122,2025-12-19
1.302,1.302,1.302,0.0559610706,2025-12-26
1.271,1.271,1.271,-0.0238095238,2025-12-31
1.337,1.337,1.337,0.0519276161,2026-01-09
1.389,1.389,1.389,0.0388930441,2026-01-16
1.417,1.417,1.417,0.0201583873,2026-01-23
1.516,1.516,1.516,0.0698659139,2026-01-30
1.408,1.408,1.408,-0.0712401055,2026-02-06
1.437,1.437,1.437,0.0205965909,2026-02-13
1.504,1.504,1.504,0.046624913,2026-02-27
1.486,1.486,1.486,-0.0119680851,2026-03-06
1.521,1.521,1.521,0.0235531629,2026-03-13
1.399,1.399,1.399,-0.0802103879,2026-03-20
1.366,1.366,1.366,-0.0235882773,2026-03-27
1.408,1.408,1.408,0.0307467057,2026-04-03
1.444,1.444,1.444,0.0255681818,2026-04-10
1.516,1.516,1.516,0.0498614958,2026-04-17
1.518,1.518,1.518,0.0013192612,2026-04-24
1.495,1.495,1.495,-0.0151515152,2026-04-30
1.56,1.56,1.56,0.0434782609,2026-05-08
1.539,1.539,1.539,-0.0134615385,2026-05-15
1.55,1.55,1.55,0.0071474984,2026-05-22
