nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-09-06
1.0,1.0,1.0,0.0,2022-09-09
0.9799,0.9799,0.9799,-0.0201,2022-09-16
0.9651,0.9651,0.9651,-0.015103582,2022-09-23
0.9654,0.9654,0.9654,0.0003108486,2022-09-30
0.9549,0.9549,0.9549,-0.0108763207,2022-10-14
0.9387,0.9387,0.9387,-0.0169651272,2022-10-21
0.929,0.929,0.929,-0.0103334399,2022-10-28
0.929,0.929,0.929,0.0,2022-10-31
0.9643,0.9643,0.9643,0.0379978471,2022-11-04
1.001,1.001,1.001,0.0380586954,2022-11-11
1.0457,1.0457,1.0457,0.0446553447,2022-11-18
1.0399,1.0399,1.0399,-0.0055465239,2022-11-25
1.0969,1.0969,1.0969,0.0548129628,2022-11-30
1.1196,1.1196,1.1196,0.020694685,2022-12-02
1.1768,1.1768,1.1768,0.0510896749,2022-12-09
1.1675,1.1675,1.1675,-0.0079027872,2022-12-16
1.1236,1.1236,1.1236,-0.0376017131,2022-12-23
1.1441,1.1441,1.1441,0.018244927,2022-12-30
1.1563,1.1563,1.1563,0.0106634035,2023-01-06
1.162,1.162,1.162,0.0049295166,2023-01-13
1.1812,1.1812,1.1812,0.0165232358,2023-01-20
1.1824,1.1824,1.1824,0.001015916,2023-01-31
1.18,1.18,1.18,-0.00202977,2023-02-03
1.1888,1.1888,1.1888,0.0074576271,2023-02-10
1.1883,1.1883,1.1883,-0.0004205922,2023-02-17
1.2198,1.2198,1.2198,0.0265084575,2023-02-24
1.2226,1.2226,1.2226,0.0022954583,2023-02-28
1.232,1.232,1.232,0.0076885326,2023-03-03
1.2075,1.2075,1.2075,-0.0198863636,2023-03-10
1.1954,1.1954,1.1954,-0.0100207039,2023-03-17
1.1846,1.1846,1.1846,-0.0090346328,2023-03-24
1.1922,1.1922,1.1922,0.0064156677,2023-03-31
1.1779,1.1779,1.1779,-0.0119946318,2023-04-07
1.1672,1.1672,1.1672,-0.009083963,2023-04-14
1.1415,1.1415,1.1415,-0.0220185058,2023-04-21
1.1671,1.1671,1.1671,0.0224266316,2023-04-28
1.1557,1.1557,1.1557,-0.0097678005,2023-05-05
1.1373,1.1373,1.1373,-0.0159210868,2023-05-12
1.1122,1.1122,1.1122,-0.0220698145,2023-05-19
1.0893,1.0893,1.0893,-0.020589822,2023-05-26
1.0622,1.0622,1.0622,-0.0248783623,2023-05-31
1.097,1.097,1.097,0.0327621917,2023-06-02
1.0967,1.0967,1.0967,-0.0002734731,2023-06-09
1.106,1.106,1.106,0.0084799854,2023-06-16
1.0582,1.0582,1.0582,-0.0432188065,2023-06-21
1.0664,1.0664,1.0664,0.0077490077,2023-06-30
1.0618,1.0618,1.0618,-0.0043135784,2023-07-07
1.0493,1.0493,1.0493,-0.0117724619,2023-07-14
1.0695,1.0695,1.0695,0.0192509292,2023-07-21
1.0896,1.0896,1.0896,0.0187938289,2023-07-28
1.0925,1.0925,1.0925,0.0026615272,2023-07-31
1.068,1.068,1.068,-0.0224256293,2023-08-04
1.0487,1.0487,1.0487,-0.018071161,2023-08-11
1.0227,1.0227,1.0227,-0.0247926004,2023-08-18
1.0004,1.0004,1.0004,-0.0218050259,2023-08-25
0.9997,0.9997,0.9997,-0.0006997201,2023-08-31
1.0075,1.0075,1.0075,0.0078023407,2023-09-01
1.0244,1.0244,1.0244,0.0167741935,2023-09-08
1.0452,1.0452,1.0452,0.0203045685,2023-09-15
1.0379,1.0379,1.0379,-0.0069843092,2023-09-22
1.0382,1.0382,1.0382,0.0002890452,2023-09-28
1.0101,1.0101,1.0101,-0.0270660759,2023-10-13
0.9049,0.9049,0.9049,-0.1041481041,2023-10-20
0.9478,0.9478,0.9478,0.0474085534,2023-10-27
