nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0022,1.145,1.145,0.0,2023-12-01
0.9892,1.132,1.13014768,-0.0129714628,2023-12-08
1.0026,1.1454,1.14545699,0.0135463,2023-12-15
1.0003,1.1431,1.14282928,-0.0022940355,2023-12-22
1.0036,1.1464,1.14659948,0.0032990103,2023-12-29
1.007,1.1498,1.15048394,0.0033878039,2024-01-05
1.0024,1.1452,1.1452285,-0.0045680238,2024-01-12
0.9816,1.1244,1.12146478,-0.0207501995,2024-01-19
0.9778,1.1206,1.11712333,-0.0038712306,2024-01-26
0.9088,1.0516,1.03829176,-0.070566578,2024-02-02
0.8395,0.9823,0.95911744,-0.0762544014,2024-02-08
0.893,1.0358,1.02024047,0.0637284098,2024-02-23
0.8923,1.0351,1.01944073,-0.0007838746,2024-03-01
0.8981,1.0409,1.02606715,0.006500056,2024-03-08
0.9106,1.0534,1.04034823,0.0139182719,2024-03-15
0.9271,1.0699,1.05919926,0.0181199209,2024-03-22
0.9199,1.0627,1.05097336,-0.0077661525,2024-03-29
0.9347,1.0775,1.06788216,0.0160887053,2024-04-03
0.9257,1.0685,1.05759978,-0.0096287579,2024-04-12
0.9179,1.0607,1.04868839,-0.008426056,2024-04-19
0.9292,1.072,1.06159848,0.0123107092,2024-04-26
0.9438,1.0866,1.07827879,0.0157124408,2024-04-30
0.96,1.1028,1.09678707,0.0171646535,2024-05-10
0.9717,1.1145,1.11015416,0.0121875,2024-05-17
0.9476,1.0904,1.08262024,-0.0248018936,2024-05-24
0.9502,1.093,1.0855907,0.0027437737,2024-05-31
0.9272,1.07,1.05931351,-0.0242054304,2024-06-07
0.9375,1.0803,1.07108112,0.0111087144,2024-06-14
0.9362,1.079,1.06959589,-0.0013866667,2024-06-21
0.9362,1.079,1.06959589,0.0,2024-06-28
0.9349,1.0777,1.06811066,-0.0013885922,2024-07-05
0.9428,1.0856,1.0771363,0.0084501016,2024-07-12
0.9217,1.0645,1.05302983,-0.0223801443,2024-07-19
0.9162,1.059,1.04674616,-0.0059672345,2024-07-26
0.94,1.0828,1.07393734,0.0259768609,2024-08-02
0.9296,1.0724,1.06205548,-0.0110638298,2024-08-09
0.9453,1.0881,1.07999252,0.0168889845,2024-08-16
0.9243,1.0671,1.0560003,-0.0222151698,2024-08-23
0.941,1.0838,1.07507982,0.0180677269,2024-08-30
0.9237,1.0665,1.05531481,-0.0183846971,2024-09-06
0.9281,1.0709,1.06034175,0.0047634513,2024-09-13
0.9363,1.0791,1.06971014,0.0088352548,2024-09-20
1.0176,1.1604,1.16259429,0.0868311439,2024-09-27
1.1096,1.2524,1.26770305,0.090408805,2024-09-30
1.0738,1.2166,1.22680204,-0.0322638789,2024-10-11
1.1097,1.2525,1.2678173,0.033432669,2024-10-18
1.1451,1.2879,1.30826133,0.0319005137,2024-10-25
1.1652,1.308,1.3312253,0.0175530521,2024-10-31
1.1348,1.2776,1.29649371,-0.0260899416,2024-11-01
1.2035,1.3463,1.37498254,0.0605393021,2024-11-08
1.1705,1.3133,1.33728048,-0.0274200249,2024-11-15
1.1598,1.3026,1.32505588,-0.0091413926,2024-11-22
1.1859,1.3287,1.35487478,0.02250388,2024-11-29
1.222,1.3648,1.39611854,0.0304410153,2024-12-06
1.2415,1.3843,1.41839703,0.0159574468,2024-12-13
1.2052,1.348,1.37692477,-0.029238824,2024-12-20
1.152,1.2948,1.31614448,-0.0441420511,2024-12-27
1.1271,1.2699,1.28769657,-0.0216145833,2024-12-31
1.0889,1.2317,1.24405358,-0.0338922899,2025-01-03
1.0829,1.2257,1.23719866,-0.0055101479,2025-01-10
1.1391,1.2819,1.30140641,0.0518976821,2025-01-17
1.1566,1.2994,1.32139992,0.0153630059,2025-01-24
1.1498,1.2926,1.31363101,-0.0058793014,2025-01-27
1.1913,1.3341,1.3610442,0.0360932336,2025-02-07
1.2241,1.3669,1.39851776,0.0275329472,2025-02-14
1.2523,1.3951,1.43073588,0.0230373336,2025-02-21
1.2203,1.3631,1.39417631,-0.0255529825,2025-02-28
1.2678,1.4106,1.44844442,0.0389248545,2025-03-07
1.2881,1.4309,1.4716369,0.0160119893,2025-03-14
1.2736,1.4164,1.45507084,-0.01125689,2025-03-21
1.2384,1.3812,1.41485532,-0.027638191,2025-03-28
1.2345,1.3773,1.41039962,-0.0031492248,2025-03-31
1.2323,1.3751,1.40788615,-0.001782098,2025-04-03
1.2056,1.3484,1.37738176,-0.0216668019,2025-04-11
1.21,1.3528,1.3824087,0.003649635,2025-04-18
1.2123,1.3551,1.38503642,0.0019008264,2025-04-25
1.2197,1.3625,1.39349082,0.0061040996,2025-04-30
1.2462,1.389,1.42376671,0.0217266541,2025-05-09
1.2397,1.3825,1.41634055,-0.0052158562,2025-05-16
1.2251,1.3679,1.39966025,-0.0117770428,2025-05-23
1.2413,1.3841,1.41816853,0.0132234103,2025-05-30
1.2646,1.4074,1.44478847,0.0187706437,2025-06-06
1.2669,1.4097,1.44741618,0.0018187569,2025-06-13
1.2532,1.396,1.43176412,-0.0108137975,2025-06-20
1.2928,1.4356,1.47700659,0.0315991063,2025-06-27
1.2977,1.4405,1.48260477,0.0037902228,2025-06-30
1.3054,1.4482,1.49140192,0.0059335748,2025-07-04
1.3157,1.4585,1.50316953,0.0078903018,2025-07-11
1.3261,1.4689,1.51505139,0.0079045375,2025-07-18
1.3549,1.4977,1.547955,0.0217178192,2025-07-25
1.3314,1.4742,1.52110657,-0.0173444535,2025-07-31
1.3371,1.4799,1.52761874,0.0042812078,2025-08-01
1.3688,1.5116,1.56383556,0.0237080248,2025-08-08
1.4004,1.5432,1.59993814,0.0230859147,2025-08-15
1.4423,1.5851,1.64780832,0.0299200229,2025-08-22
