nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-02-23
1.0,1.0,1.0,0.0,2022-02-25
0.9999,0.9999,0.9999,-0.0001,2022-03-04
0.9998,0.9998,0.9998,-0.00010001,2022-03-11
1.0011,1.0011,1.0011,0.0013002601,2022-03-18
1.0017,1.0017,1.0017,0.0005993407,2022-03-25
1.0025,1.0025,1.0025,0.0007986423,2022-04-01
1.0037,1.0037,1.0037,0.0011970075,2022-04-08
1.0048,1.0048,1.0048,0.001095945,2022-04-15
1.0061,1.0061,1.0061,0.0012937898,2022-04-22
1.0068,1.0068,1.0068,0.0006957559,2022-04-29
1.0078,1.0078,1.0078,0.0009932459,2022-05-06
1.0087,1.0087,1.0087,0.0008930343,2022-05-13
1.0106,1.0106,1.0106,0.0018836126,2022-05-20
1.0118,1.0118,1.0118,0.0011874134,2022-05-27
1.0129,1.0129,1.0129,0.0010871714,2022-06-02
1.0142,1.0142,1.0142,0.0012834436,2022-06-10
1.0008,1.0153,1.0153,0.0010845987,2022-06-17
1.002,1.0165,1.01651739,0.0011990408,2022-06-24
1.0031,1.0176,1.01763332,0.0010978044,2022-07-01
1.0043,1.0188,1.01885071,0.0011962915,2022-07-08
1.0054,1.0199,1.01996665,0.0010952903,2022-07-15
1.0067,1.0212,1.02128548,0.0012930177,2022-07-22
1.0078,1.0223,1.02240142,0.0010926791,2022-07-29
1.0089,1.0234,1.02351736,0.0010914864,2022-08-05
1.0099,1.0244,1.02453184,0.0009911785,2022-08-12
1.0109,1.0254,1.02554633,0.000990197,2022-08-19
1.0119,1.0264,1.02656082,0.0009892175,2022-08-26
1.0127,1.0272,1.02737241,0.000790592,2022-09-02
1.0139,1.0284,1.0285898,0.0011849511,2022-09-09
1.015,1.0295,1.02970574,0.0010849196,2022-09-16
1.001,1.0305,1.03072022,0.0009852217,2022-09-23
1.002,1.0315,1.03174991,0.000999001,2022-09-30
1.003,1.0325,1.0327796,0.000998004,2022-10-14
1.0039,1.0334,1.03370633,0.0008973081,2022-10-21
1.004,1.0335,1.0338093,9.96115e-05,2022-10-28
1.0061,1.0356,1.03597165,0.0020916335,2022-11-04
1.0051,1.0346,1.03494196,-0.000993937,2022-11-11
1.0068,1.0363,1.03669243,0.001691374,2022-11-18
1.009,1.0385,1.03895775,0.002185141,2022-11-25
