nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-11-25
1.0,1.0,1.0,0.0,2024-11-29
1.0001,1.0001,1.0001,0.0001,2024-12-06
0.9976,0.9976,0.9976,-0.00249975,2024-12-13
1.0016,1.0016,1.0016,0.0040096231,2024-12-20
1.0072,1.0072,1.0072,0.0055910543,2024-12-27
1.0024,1.0024,1.0024,-0.0047656871,2024-12-31
0.9858,0.9858,0.9858,-0.0165602554,2025-01-03
0.9502,0.9502,0.9502,-0.0361128018,2025-01-10
0.9666,0.9666,0.9666,0.0172595243,2025-01-17
0.9677,0.9677,0.9677,0.0011380095,2025-01-24
0.9723,0.9723,0.9723,0.0047535393,2025-01-27
1.0027,1.0027,1.0027,0.0312660701,2025-02-07
1.0326,1.0326,1.0326,0.0298194874,2025-02-14
1.065,1.065,1.065,0.0313771063,2025-02-21
1.044,1.044,1.044,-0.0197183099,2025-02-28
1.0754,1.0754,1.0754,0.0300766284,2025-03-07
1.0874,1.0874,1.0874,0.0111586386,2025-03-14
1.0757,1.0757,1.0757,-0.0107596101,2025-03-21
1.0776,1.0776,1.0776,0.0017662917,2025-03-28
1.0712,1.0712,1.0712,-0.005939124,2025-03-31
1.0722,1.0722,1.0722,0.0009335325,2025-04-03
1.0218,1.0218,1.0218,-0.0470061556,2025-04-11
1.0183,1.0183,1.0183,-0.0034253279,2025-04-18
1.0304,1.0304,1.0304,0.0118825493,2025-04-25
1.0253,1.0253,1.0253,-0.0049495342,2025-04-30
1.032,1.032,1.032,0.0065346728,2025-05-09
1.0414,1.0414,1.0414,0.0091085271,2025-05-16
1.0499,1.0499,1.0499,0.0081620895,2025-05-23
1.0349,1.0349,1.0349,-0.014287075,2025-05-30
1.046,1.046,1.046,0.010725674,2025-06-06
1.0491,1.0491,1.0491,0.0029636711,2025-06-13
1.0394,1.0394,1.0394,-0.0092460204,2025-06-20
1.0609,1.0609,1.0609,0.0206850106,2025-06-27
1.0623,1.0623,1.0623,0.0013196343,2025-06-30
1.0764,1.0764,1.0764,0.0132730867,2025-07-04
1.0962,1.0962,1.0962,0.0183946488,2025-07-11
1.102,1.102,1.102,0.0052910053,2025-07-18
1.1347,1.1347,1.1347,0.0296733212,2025-07-25
1.1147,1.1147,1.1147,-0.0176258042,2025-07-31
1.1101,1.1101,1.1101,-0.0041266709,2025-08-01
1.1153,1.1153,1.1153,0.0046842627,2025-08-08
1.1247,1.1247,1.1247,0.0084282256,2025-08-15
1.1175,1.1175,1.1175,-0.0064017071,2025-08-22
1.1019,1.1019,1.1019,-0.0139597315,2025-08-29
1.1042,1.1042,1.1042,0.0020873037,2025-09-05
1.1137,1.1137,1.1137,0.0086035139,2025-09-12
1.1111,1.1111,1.1111,-0.0023345605,2025-09-19
1.0999,1.0999,1.0999,-0.0100801008,2025-09-26
1.1054,1.1054,1.1054,0.0050004546,2025-09-30
1.106,1.106,1.106,0.0005427899,2025-10-10
1.0939,1.0939,1.0939,-0.0109403255,2025-10-17
1.113,1.113,1.113,0.0174604626,2025-10-24
1.1088,1.1088,1.1088,-0.0037735849,2025-10-31
1.1244,1.1244,1.1244,0.0140692641,2025-11-07
1.1366,1.1366,1.1366,0.0108502312,2025-11-14
1.111,1.111,1.111,-0.0225233152,2025-11-21
1.1177,1.1177,1.1177,0.0060306031,2025-11-28
1.1266,1.1266,1.1266,0.0079627807,2025-12-05
1.1099,1.1099,1.1099,-0.0148233623,2025-12-12
1.1096,1.1096,1.1096,-0.0002702946,2025-12-19
1.1165,1.1165,1.1165,0.0062184571,2025-12-26
1.104,1.104,1.104,-0.0111957009,2025-12-31
1.116,1.116,1.116,0.0108695652,2026-01-09
1.1152,1.1152,1.1152,-0.0007168459,2026-01-16
1.1253,1.1253,1.1253,0.0090566714,2026-01-23
1.1369,1.1369,1.1369,0.0103083622,2026-01-30
1.1365,1.1365,1.1365,-0.0003518339,2026-02-06
1.1315,1.1315,1.1315,-0.0043994721,2026-02-13
1.1291,1.1291,1.1291,-0.0021210782,2026-02-27
1.1275,1.1275,1.1275,-0.0014170578,2026-03-06
1.1243,1.1243,1.1243,-0.0028381375,2026-03-13
1.1156,1.1156,1.1156,-0.0077381482,2026-03-20
1.1047,1.1047,1.1047,-0.0097705271,2026-03-27
1.0968,1.0968,1.0968,-0.0071512628,2026-03-31
1.0963,1.0963,1.0963,-0.0004558716,2026-04-03
1.1066,1.1066,1.1066,0.0093952385,2026-04-10
1.0978,1.0978,1.0978,-0.0079522863,2026-04-17
1.1072,1.1072,1.1072,0.0085625797,2026-04-24
1.1206,1.1206,1.1206,0.0121026012,2026-04-30
1.1195,1.1195,1.1195,-0.000981617,2026-05-08
1.1134,1.1134,1.1134,-0.0054488611,2026-05-15
1.1075,1.1075,1.1075,-0.0052990839,2026-05-22
