nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0013,1.0013,1.0013,0.0,2023-02-22
1.0033,1.0033,1.0033,0.0019974034,2023-02-24
1.0043,1.0043,1.0043,0.0009967109,2023-02-28
1.0071,1.0071,1.0071,0.0027880116,2023-03-03
1.0103,1.0103,1.0103,0.0031774402,2023-03-10
1.0244,1.0244,1.0244,0.0139562506,2023-03-17
1.0367,1.0367,1.0367,0.0120070285,2023-03-24
1.0404,1.0404,1.0404,0.0035690171,2023-03-31
1.0444,1.0444,1.0444,0.0038446751,2023-04-07
1.0619,1.0619,1.0619,0.0167560322,2023-04-14
1.069,1.069,1.069,0.0066861286,2023-04-21
1.0723,1.0723,1.0723,0.0030869972,2023-04-28
1.0759,1.0759,1.0759,0.0033572694,2023-05-05
1.0798,1.0798,1.0798,0.0036248722,2023-05-12
1.084,1.084,1.084,0.0038896092,2023-05-19
1.0921,1.0921,1.0921,0.0074723247,2023-05-26
1.0956,1.0956,1.0956,0.0032048347,2023-05-31
1.0968,1.0968,1.0968,0.0010952903,2023-06-02
1.0977,1.0977,1.0977,0.0008205689,2023-06-09
1.0997,1.0997,1.0997,0.0018219914,2023-06-16
1.1001,1.1001,1.1001,0.0003637356,2023-06-21
1.1029,1.1029,1.1029,0.0025452232,2023-06-30
1.1058,1.1058,1.1058,0.0026294315,2023-07-07
1.1064,1.1064,1.1064,0.0005425936,2023-07-14
1.1058,1.1058,1.1058,-0.0005422993,2023-07-21
1.1079,1.1079,1.1079,0.0018990776,2023-07-28
1.1083,1.1083,1.1083,0.0003610434,2023-07-31
1.1073,1.1073,1.1073,-0.0009022828,2023-08-04
1.107,1.107,1.107,-0.0002709293,2023-08-11
1.1091,1.1091,1.1091,0.001897019,2023-08-18
1.1159,1.1159,1.1159,0.0061310973,2023-08-25
1.1194,1.1194,1.1194,0.0031364818,2023-08-31
1.1196,1.1196,1.1196,0.0001786671,2023-09-01
1.1219,1.1219,1.1219,0.0020543051,2023-09-08
1.1225,1.1225,1.1225,0.000534807,2023-09-15
1.1252,1.1252,1.1252,0.0024053452,2023-09-22
1.127,1.127,1.127,0.0015997156,2023-09-28
1.1339,1.1339,1.1339,0.006122449,2023-10-13
1.1369,1.1369,1.1369,0.002645736,2023-10-20
1.1391,1.1391,1.1391,0.0019350866,2023-10-27
1.1413,1.1413,1.1413,0.0019313493,2023-10-31
1.1436,1.1436,1.1436,0.0020152458,2023-11-03
1.1475,1.1475,1.1475,0.0034102833,2023-11-10
1.1526,1.1526,1.1526,0.0044444444,2023-11-17
1.162,1.162,1.162,0.0081554746,2023-11-24
1.1686,1.1686,1.1686,0.0056798623,2023-11-30
1.1699,1.1699,1.1699,0.0011124422,2023-12-01
1.1744,1.1744,1.1744,0.0038464826,2023-12-08
1.178,1.178,1.178,0.0030653951,2023-12-15
1.1808,1.1808,1.1808,0.00237691,2023-12-22
1.1848,1.1848,1.1848,0.0033875339,2023-12-29
1.1869,1.1869,1.1869,0.001772451,2024-01-05
1.1841,1.1841,1.1841,-0.0023590867,2024-01-12
1.1867,1.1867,1.1867,0.0021957605,2024-01-19
1.1884,1.1884,1.1884,0.001432544,2024-01-26
1.1902,1.1902,1.1902,0.0015146415,2024-01-31
1.1922,1.1922,1.1922,0.0016803899,2024-02-02
1.196,1.196,1.196,0.0031873847,2024-02-08
1.2019,1.2019,1.2019,0.0049331104,2024-02-23
1.2044,1.2044,1.2044,0.0020800399,2024-02-29
1.2041,1.2041,1.2041,-0.0002490867,2024-03-01
1.2034,1.2034,1.2034,-0.0005813471,2024-03-08
