nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-04-20
0.9999,0.9999,0.9999,-0.0001,2021-04-23
0.9995,0.9995,0.9995,-0.00040004,2021-04-30
0.9992,0.9992,0.9992,-0.0003001501,2021-05-07
1.0005,1.0005,1.0005,0.0013010408,2021-05-14
1.0008,1.0008,1.0008,0.0002998501,2021-05-21
1.0051,1.0051,1.0051,0.0042965627,2021-05-28
1.0064,1.0064,1.0064,0.0012934036,2021-05-31
1.0053,1.0053,1.0053,-0.0010930048,2021-06-04
1.0083,1.0083,1.0083,0.0029841838,2021-06-11
1.0045,1.0045,1.0045,-0.0037687196,2021-06-18
1.009,1.009,1.009,0.0044798407,2021-06-25
1.0122,1.0122,1.0122,0.0031714569,2021-06-30
1.0141,1.0141,1.0141,0.0018770994,2021-07-02
1.025,1.025,1.025,0.0107484469,2021-07-09
1.0217,1.0217,1.0217,-0.0032195122,2021-07-16
1.0137,1.0137,1.0137,-0.0078300871,2021-07-23
1.0146,1.0146,1.0146,0.0008878366,2021-07-30
1.0156,1.0156,1.0156,0.0009856101,2021-08-06
1.0171,1.0171,1.0171,0.0014769594,2021-08-13
1.0179,1.0179,1.0179,0.00078655,2021-08-20
1.0314,1.0314,1.0314,0.0132625995,2021-08-27
1.0321,1.0321,1.0321,0.0006786892,2021-08-31
1.0328,1.0328,1.0328,0.0006782289,2021-09-03
1.0333,1.0333,1.0333,0.0004841208,2021-09-10
1.03,1.03,1.03,-0.0031936514,2021-09-17
1.0349,1.0349,1.0349,0.0047572816,2021-09-24
1.036,1.036,1.036,0.0010629046,2021-09-30
1.037,1.037,1.037,0.000965251,2021-10-08
1.0364,1.0364,1.0364,-0.0005785921,2021-10-12
1.0354,1.0354,1.0354,-0.0009648784,2021-10-15
1.0367,1.0367,1.0367,0.0012555534,2021-10-22
1.0517,1.0517,1.0517,0.0144689881,2021-10-29
1.0518,1.0518,1.0518,9.50841e-05,2021-11-05
1.0526,1.0526,1.0526,0.0007606009,2021-11-12
1.0542,1.0542,1.0542,0.0015200456,2021-11-19
1.0557,1.0557,1.0557,0.0014228799,2021-11-26
1.0562,1.0562,1.0562,0.0004736194,2021-11-30
1.0569,1.0569,1.0569,0.0006627533,2021-12-03
1.058,1.058,1.058,0.0010407796,2021-12-10
1.0585,1.0585,1.0585,0.0004725898,2021-12-17
1.0595,1.0595,1.0595,0.0009447331,2021-12-24
1.07,1.07,1.07,0.0099103351,2021-12-31
1.2248,1.2248,1.2248,0.1446728972,2022-01-07
1.2252,1.2252,1.2252,0.0003265839,2022-01-14
1.2223,1.2223,1.2223,-0.0023669605,2022-01-21
1.2243,1.2243,1.2243,0.0016362595,2022-01-28
1.2395,1.2395,1.2395,0.0124152577,2022-02-11
1.2394,1.2394,1.2394,-8.06777e-05,2022-02-18
1.2434,1.2434,1.2434,0.0032273681,2022-02-25
1.2447,1.2447,1.2447,0.0010455203,2022-02-28
1.2435,1.2435,1.2435,-0.0009640877,2022-03-04
1.2398,1.2398,1.2398,-0.0029754725,2022-03-11
1.2378,1.2378,1.2378,-0.0016131634,2022-03-18
1.2418,1.2418,1.2418,0.0032315398,2022-03-25
1.2511,1.2511,1.2511,0.0074891287,2022-03-31
1.2519,1.2519,1.2519,0.0006394373,2022-04-01
1.2568,1.2568,1.2568,0.0039140506,2022-04-08
1.261,1.261,1.261,0.0033418205,2022-04-15
1.2634,1.2634,1.2634,0.0019032514,2022-04-22
1.2653,1.2653,1.2653,0.0015038784,2022-04-29
1.2674,1.2674,1.2674,0.0016596855,2022-05-06
1.265,1.265,1.265,-0.0018936405,2022-05-13
1.2722,1.2722,1.2722,0.0056916996,2022-05-20
1.2752,1.2752,1.2752,0.0023581198,2022-05-27
1.2761,1.2761,1.2761,0.0007057716,2022-05-31
1.2743,1.2743,1.2743,-0.0014105478,2022-06-02
1.276,1.276,1.276,0.0013340658,2022-06-10
1.2783,1.2783,1.2783,0.0018025078,2022-06-17
1.2801,1.2801,1.2801,0.0014081202,2022-06-24
1.2811,1.2811,1.2811,0.000781189,2022-06-30
1.2816,1.2816,1.2816,0.0003902896,2022-07-01
1.2838,1.2838,1.2838,0.0017166042,2022-07-08
1.2895,1.2895,1.2895,0.0044399439,2022-07-15
1.2921,1.2921,1.2921,0.0020162854,2022-07-22
1.2943,1.2943,1.2943,0.0017026546,2022-07-29
1.2971,1.2971,1.2971,0.0021633315,2022-08-05
1.2997,1.2997,1.2997,0.0020044715,2022-08-12
1.3027,1.3027,1.3027,0.002308225,2022-08-19
1.3055,1.3055,1.3055,0.0021493821,2022-08-26
1.3075,1.3075,1.3075,0.0015319801,2022-08-31
1.3087,1.3087,1.3087,0.000917782,2022-09-02
1.3059,1.3059,1.3059,-0.0021395278,2022-09-09
1.3155,1.3155,1.3155,0.007351252,2022-09-16
1.3214,1.3214,1.3214,0.0044849867,2022-09-23
1.3214,1.3214,1.3214,0.0,2022-09-30
1.3232,1.3232,1.3232,0.0013621916,2022-10-14
1.3305,1.3305,1.3305,0.0055169287,2022-10-21
1.3376,1.3376,1.3376,0.0053363397,2022-10-28
1.3414,1.3414,1.3414,0.0028409091,2022-10-31
1.3427,1.3427,1.3427,0.0009691367,2022-11-04
1.3438,1.3438,1.3438,0.0008192448,2022-11-11
1.3433,1.3433,1.3433,-0.0003720792,2022-11-18
1.3458,1.3458,1.3458,0.0018610884,2022-11-25
1.3467,1.3467,1.3467,0.0006687472,2022-11-30
1.3469,1.3469,1.3469,0.0001485112,2022-12-02
1.3502,1.3502,1.3502,0.0024500705,2022-12-09
1.3515,1.3515,1.3515,0.0009628203,2022-12-16
1.3553,1.3553,1.3553,0.0028116907,2022-12-23
1.3588,1.3588,1.3588,0.0025824541,2022-12-30
1.364,1.364,1.364,0.0038269061,2023-01-06
1.3672,1.3672,1.3672,0.0023460411,2023-01-13
1.3719,1.3719,1.3719,0.0034376829,2023-01-20
1.376,1.376,1.376,0.002988556,2023-01-31
1.3774,1.3774,1.3774,0.0010174419,2023-02-03
1.3785,1.3785,1.3785,0.0007986061,2023-02-10
1.3791,1.3791,1.3791,0.0004352557,2023-02-17
1.3817,1.3817,1.3817,0.0018852875,2023-02-24
1.3837,1.3837,1.3837,0.0014474922,2023-02-28
1.3868,1.3868,1.3868,0.00224037,2023-03-03
1.39,1.39,1.39,0.0023074704,2023-03-10
