nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-01-13
0.9988,0.9988,0.9988,-0.0012,2023-01-31
0.9987,0.9987,0.9987,-0.0001001201,2023-02-03
1.0002,1.0002,1.0002,0.0015019525,2023-02-10
0.9987,0.9987,0.9987,-0.0014997001,2023-02-17
0.9961,0.9961,0.9961,-0.0026033844,2023-02-24
0.996,0.996,0.996,-0.0001003915,2023-02-28
0.9942,0.9942,0.9942,-0.0018072289,2023-03-03
0.9728,0.9728,0.9728,-0.0215248441,2023-03-10
0.9732,0.9732,0.9732,0.0004111842,2023-03-17
0.9874,0.9874,0.9874,0.0145910399,2023-03-24
0.9812,0.9812,0.9812,-0.0062791169,2023-03-31
0.9781,0.9781,0.9781,-0.0031593967,2023-04-07
0.9601,0.9601,0.9601,-0.0184030263,2023-04-14
0.952,0.952,0.952,-0.0084366212,2023-04-21
0.9695,0.9695,0.9695,0.0183823529,2023-04-28
0.9684,0.9684,0.9684,-0.0011346055,2023-05-05
0.9615,0.9615,0.9615,-0.0071251549,2023-05-12
0.9687,0.9687,0.9687,0.0074882995,2023-05-19
0.9636,0.9636,0.9636,-0.0052647879,2023-05-26
0.9502,0.9502,0.9502,-0.0139061851,2023-05-31
0.9673,0.9673,0.9673,0.0179962113,2023-06-02
0.9569,0.9569,0.9569,-0.0107515766,2023-06-09
0.9747,0.9747,0.9747,0.0186017348,2023-06-16
0.956,0.956,0.956,-0.0191853904,2023-06-21
0.9544,0.9544,0.9544,-0.0016736402,2023-06-30
0.9514,0.9514,0.9514,-0.0031433361,2023-07-07
0.9521,0.9521,0.9521,0.0007357578,2023-07-14
0.9554,0.9554,0.9554,0.0034660225,2023-07-21
0.9902,0.9902,0.9902,0.0364245342,2023-07-28
0.9909,0.9909,0.9909,0.0007069279,2023-07-31
0.975,0.975,0.975,-0.0160460188,2023-08-04
0.9623,0.9623,0.9623,-0.013025641,2023-08-11
0.973,0.973,0.973,0.0111191936,2023-08-18
0.9323,0.9323,0.9323,-0.0418293936,2023-08-25
0.9445,0.9445,0.9445,0.0130859166,2023-08-31
0.9589,0.9589,0.9589,0.015246162,2023-09-01
0.9356,0.9356,0.9356,-0.0242986756,2023-09-08
0.9361,0.9361,0.9361,0.0005344164,2023-09-15
0.9458,0.9458,0.9458,0.0103621408,2023-09-22
0.9378,0.9378,0.9378,-0.0084584479,2023-09-28
0.9333,0.9333,0.9333,-0.0047984645,2023-10-13
0.9102,0.9102,0.9102,-0.024750884,2023-10-20
0.9132,0.9132,0.9132,0.0032959789,2023-10-27
0.9226,0.9226,0.9226,0.0102934735,2023-10-31
0.9295,0.9295,0.9295,0.0074788641,2023-11-03
0.925,0.925,0.925,-0.0048413125,2023-11-10
0.9184,0.9184,0.9184,-0.0071351351,2023-11-17
0.9229,0.9229,0.9229,0.0048998258,2023-11-24
0.9181,0.9181,0.9181,-0.0052009969,2023-11-30
0.9139,0.9139,0.9139,-0.0045746651,2023-12-01
0.8964,0.8964,0.8964,-0.0191487034,2023-12-08
0.8777,0.8777,0.8777,-0.0208612227,2023-12-15
0.8808,0.8808,0.8808,0.0035319585,2023-12-22
0.8997,0.8997,0.8997,0.0214577657,2023-12-29
0.8821,0.8821,0.8821,-0.0195620762,2024-01-05
0.8955,0.8955,0.8955,0.0151910214,2024-01-12
0.8816,0.8816,0.8816,-0.0155220547,2024-01-19
0.8794,0.8794,0.8794,-0.0024954628,2024-01-26
0.8434,0.8434,0.8434,-0.0409370025,2024-01-31
0.829,0.829,0.829,-0.0170737491,2024-02-02
0.8451,0.8451,0.8451,0.0194209891,2024-02-08
0.8859,0.8859,0.8859,0.0482783103,2024-02-23
0.8747,0.8747,0.8747,-0.0126425104,2024-02-29
0.8752,0.8752,0.8752,0.0005716246,2024-03-01
0.866,0.866,0.866,-0.010511883,2024-03-08
0.8857,0.8857,0.8857,0.0227482679,2024-03-15
0.88,0.88,0.88,-0.0064355877,2024-03-22
0.8891,0.8891,0.8891,0.0103409091,2024-03-29
0.9126,0.9126,0.9126,0.0264312226,2024-04-03
0.8726,0.8726,0.8726,-0.0438308131,2024-04-12
0.8662,0.8662,0.8662,-0.0073344029,2024-04-19
0.8929,0.8929,0.8929,0.03082429,2024-04-26
0.9244,0.9244,0.9244,0.0352783066,2024-04-30
0.9186,0.9186,0.9186,-0.0062743401,2024-05-10
0.9132,0.9132,0.9132,-0.0058785108,2024-05-17
0.8988,0.8988,0.8988,-0.0157687254,2024-05-24
0.8884,0.8884,0.8884,-0.0115709835,2024-05-31
0.8665,0.8665,0.8665,-0.0246510581,2024-06-07
0.8724,0.8724,0.8724,0.0068090017,2024-06-14
0.8422,0.8422,0.8422,-0.0346171481,2024-06-21
0.8212,0.8212,0.8212,-0.0249346948,2024-06-28
0.811,0.811,0.811,-0.0124208475,2024-07-05
0.8064,0.8064,0.8064,-0.0056720099,2024-07-12
0.8029,0.8029,0.8029,-0.0043402778,2024-07-19
0.7854,0.7854,0.7854,-0.0217959895,2024-07-26
0.8014,0.8014,0.8014,0.0203717851,2024-07-31
0.7922,0.7922,0.7922,-0.0114799102,2024-08-02
0.7993,0.7993,0.7993,0.0089623832,2024-08-09
0.8012,0.8012,0.8012,0.0023770799,2024-08-16
0.7846,0.7846,0.7846,-0.0207189216,2024-08-23
0.8024,0.8024,0.8024,0.0226867193,2024-08-30
0.8054,0.8054,0.8054,0.0037387836,2024-09-06
0.7894,0.7894,0.7894,-0.0198659051,2024-09-13
0.8031,0.8031,0.8031,0.0173549531,2024-09-20
0.9125,0.9125,0.9125,0.1362221392,2024-09-27
0.9981,0.9981,0.9981,0.0938082192,2024-09-30
0.9653,0.9653,0.9653,-0.0328624386,2024-10-11
0.9895,0.9895,0.9895,0.0250699264,2024-10-18
1.0147,1.0147,1.0147,0.0254674078,2024-10-25
0.9823,0.9823,0.9823,-0.0319306199,2024-10-31
0.9852,0.9852,0.9852,0.0029522549,2024-11-01
1.0847,1.0847,1.0847,0.1009947219,2024-11-08
1.039,1.039,1.039,-0.0421314649,2024-11-15
0.9825,0.9825,0.9825,-0.0543792108,2024-11-22
1.0409,1.0409,1.0409,0.0594402036,2024-11-29
1.0337,1.0337,1.0337,-0.006917091,2024-12-06
1.1103,1.1103,1.1103,0.0741027377,2024-12-13
1.1042,1.1042,1.1042,-0.0054940106,2024-12-20
1.1037,1.1037,1.1037,-0.0004528165,2024-12-27
1.1114,1.1114,1.1114,0.0069765335,2024-12-31
1.0949,1.0949,1.0949,-0.01484614,2025-01-03
1.04,1.04,1.04,-0.0501415654,2025-01-10
1.0823,1.0823,1.0823,0.0406730769,2025-01-17
1.059,1.059,1.059,-0.0215282269,2025-01-24
1.0554,1.0554,1.0554,-0.0033994334,2025-01-27
1.0363,1.0363,1.0363,-0.0180974038,2025-02-07
1.0417,1.0417,1.0417,0.0052108463,2025-02-14
1.0238,1.0238,1.0238,-0.0171834501,2025-02-21
1.1315,1.1315,1.1315,0.1051963274,2025-02-28
1.0985,1.0985,1.0985,-0.0291648255,2025-03-07
1.1593,1.1593,1.1593,0.0553482021,2025-03-14
1.1225,1.1225,1.1225,-0.0317432934,2025-03-21
1.1676,1.1676,1.1676,0.0401781737,2025-03-28
1.1822,1.1822,1.1822,0.0125042823,2025-03-31
1.2896,1.2896,1.2896,0.0908475723,2025-04-03
1.3168,1.3168,1.3168,0.0210918114,2025-04-11
1.4024,1.4024,1.4024,0.0650060753,2025-04-18
1.5124,1.5124,1.5124,0.0784369652,2025-04-25
1.5363,1.5363,1.5363,0.0158026977,2025-04-30
1.5233,1.5233,1.5233,-0.008461889,2025-05-09
1.5347,1.5347,1.5347,0.0074837524,2025-05-16
1.5574,1.5574,1.5574,0.0147911644,2025-05-23
1.5491,1.5491,1.5491,-0.0053293951,2025-05-30
1.5756,1.5756,1.5756,0.0171067071,2025-06-06
1.5557,1.5557,1.5557,-0.0126301092,2025-06-13
1.4623,1.4623,1.4623,-0.0600372823,2025-06-20
1.452,1.452,1.452,-0.0070436983,2025-06-27
1.4839,1.4839,1.4839,0.021969697,2025-06-30
1.4457,1.4457,1.4457,-0.0257429746,2025-07-04
1.4262,1.4262,1.4262,-0.0134882756,2025-07-11
1.415,1.415,1.415,-0.007853036,2025-07-18
1.4294,1.4294,1.4294,0.0101766784,2025-07-25
1.3496,1.3496,1.3496,-0.05582762,2025-07-31
1.3463,1.3463,1.3463,-0.0024451689,2025-08-01
1.3954,1.3954,1.3954,0.0364703261,2025-08-08
1.4146,1.4146,1.4146,0.0137594955,2025-08-15
1.4087,1.4087,1.4087,-0.0041707903,2025-08-22
1.4727,1.4727,1.4727,0.0454319585,2025-08-29
1.4319,1.4319,1.4319,-0.0277042167,2025-09-05
1.4092,1.4092,1.4092,-0.0158530624,2025-09-12
1.4091,1.4091,1.4091,-7.09622e-05,2025-09-19
1.401,1.401,1.401,-0.00574835,2025-09-26
1.405,1.405,1.405,0.0028551035,2025-09-30
1.4225,1.4225,1.4225,0.012455516,2025-10-10
1.444,1.444,1.444,0.0151142355,2025-10-17
1.3816,1.3816,1.3816,-0.0432132964,2025-10-24
1.4421,1.4421,1.4421,0.0437898089,2025-10-31
1.4087,1.4087,1.4087,-0.0231606685,2025-11-07
1.4676,1.4676,1.4676,0.0418115993,2025-11-14
1.4092,1.4092,1.4092,-0.0397928591,2025-11-21
1.4042,1.4042,1.4042,-0.0035481124,2025-11-28
1.3579,1.3579,1.3579,-0.032972511,2025-12-05
1.3839,1.3839,1.3839,0.0191472126,2025-12-12
1.4359,1.4359,1.4359,0.0375749693,2025-12-19
1.4035,1.4035,1.4035,-0.0225642454,2025-12-26
1.3769,1.3769,1.3769,-0.0189526185,2025-12-31
1.4266,1.4266,1.4266,0.036095577,2026-01-09
1.4132,1.4132,1.4132,-0.0093929623,2026-01-16
1.4109,1.4109,1.4109,-0.001627512,2026-01-23
1.3672,1.3672,1.3672,-0.0309731377,2026-01-30
1.3811,1.3811,1.3811,0.0101667642,2026-02-06
1.3419,1.3419,1.3419,-0.0283831728,2026-02-13
1.3286,1.3286,1.3286,-0.0099113198,2026-02-27
1.2841,1.2841,1.2841,-0.0334939034,2026-03-06
1.2891,1.2891,1.2891,0.0038937777,2026-03-13
1.2406,1.2406,1.2406,-0.0376231479,2026-03-20
1.2382,1.2382,1.2382,-0.0019345478,2026-03-27
1.2371,1.2371,1.2371,-0.0008883864,2026-03-31
1.2234,1.2234,1.2234,-0.0110742866,2026-04-03
1.2134,1.2134,1.2134,-0.0081739415,2026-04-10
1.1835,1.1835,1.1835,-0.0246415032,2026-04-17
1.1997,1.1997,1.1997,0.0136882129,2026-04-24
1.27,1.27,1.27,0.0585979828,2026-04-30
1.2632,1.2632,1.2632,-0.0053543307,2026-05-08
1.2344,1.2344,1.2344,-0.02279924,2026-05-15
1.2219,1.2219,1.2219,-0.0101263772,2026-05-22
