nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-04-11
1.0,1.0,1.0,0.0,2019-04-12
1.0,1.0,1.0,0.0,2019-04-19
1.0,1.0,1.0,0.0,2019-04-26
1.0,1.0,1.0,0.0,2019-04-30
1.0,1.0,1.0,0.0,2019-05-09
1.007,1.007,1.007,0.007,2019-05-10
1.023,1.023,1.023,0.0158887786,2019-05-17
1.013,1.013,1.013,-0.0097751711,2019-05-24
1.012,1.012,1.012,-0.0009871668,2019-05-31
1.008,1.008,1.008,-0.0039525692,2019-06-06
1.013,1.013,1.013,0.0049603175,2019-06-14
1.026,1.026,1.026,0.0128331688,2019-06-21
1.03,1.03,1.03,0.0038986355,2019-06-28
1.031,1.031,1.031,0.0009708738,2019-07-05
1.017,1.017,1.017,-0.0135790495,2019-07-12
1.017,1.017,1.017,0.0,2019-07-19
1.021,1.021,1.021,0.0039331367,2019-07-26
1.021,1.021,1.021,0.0,2019-07-31
1.013,1.013,1.013,-0.0078354554,2019-08-02
0.996,0.996,0.996,-0.0167818361,2019-08-09
1.021,1.021,1.021,0.0251004016,2019-08-16
1.095,1.095,1.095,0.0724779628,2019-08-23
1.087,1.087,1.087,-0.0073059361,2019-08-30
1.139,1.139,1.139,0.0478380865,2019-09-06
1.151,1.151,1.151,0.0105355575,2019-09-12
1.148,1.148,1.148,-0.0026064292,2019-09-20
1.127,1.127,1.127,-0.0182926829,2019-09-27
1.124,1.124,1.124,-0.0026619343,2019-09-30
1.138,1.138,1.138,0.012455516,2019-10-11
1.124,1.124,1.124,-0.0123022847,2019-10-18
1.146,1.146,1.146,0.0195729537,2019-10-25
1.128,1.128,1.128,-0.0157068063,2019-10-31
1.124,1.124,1.124,-0.0035460993,2019-11-01
1.141,1.141,1.141,0.0151245552,2019-11-08
1.16,1.16,1.16,0.0166520596,2019-11-15
1.159,1.159,1.159,-0.000862069,2019-11-22
1.17,1.17,1.17,0.0094909405,2019-11-27
1.17,1.17,1.17,0.0,2019-11-29
1.222,1.222,1.222,0.0444444444,2019-12-06
1.254,1.254,1.254,0.0261865794,2019-12-13
1.276,1.276,1.276,0.0175438596,2019-12-20
1.273,1.273,1.273,-0.0023510972,2019-12-27
1.281,1.281,1.281,0.0062843676,2019-12-31
1.293,1.293,1.293,0.0093676815,2020-01-03
1.316,1.316,1.316,0.0177880897,2020-01-10
1.331,1.331,1.331,0.0113981763,2020-01-17
1.328,1.328,1.328,-0.0022539444,2020-01-23
1.343,1.343,1.343,0.0112951807,2020-02-07
1.371,1.371,1.371,0.0208488459,2020-02-14
1.391,1.391,1.391,0.014587892,2020-02-21
1.355,1.355,1.355,-0.0258806614,2020-02-28
1.361,1.361,1.361,0.0044280443,2020-03-06
1.351,1.351,1.351,-0.0073475386,2020-03-13
1.313,1.313,1.313,-0.0281273131,2020-03-20
1.295,1.295,1.295,-0.0137090632,2020-03-27
1.288,1.288,1.288,-0.0054054054,2020-03-31
1.319,1.319,1.319,0.024068323,2020-04-03
1.316,1.316,1.316,-0.0022744503,2020-04-10
1.311,1.311,1.311,-0.0037993921,2020-04-17
1.311,1.311,1.311,0.0,2020-04-22
1.287,1.287,1.287,-0.0183066362,2020-04-24
1.347,1.347,1.347,0.0466200466,2020-04-30
1.388,1.388,1.388,0.0304380104,2020-05-08
1.392,1.392,1.392,0.0028818444,2020-05-15
1.353,1.353,1.353,-0.0280172414,2020-05-22
1.365,1.365,1.365,0.0088691796,2020-05-29
1.461,1.461,1.461,0.0703296703,2020-06-05
1.458,1.458,1.458,-0.0020533881,2020-06-12
1.473,1.473,1.473,0.0102880658,2020-06-19
1.479,1.479,1.479,0.0040733198,2020-06-24
1.489,1.489,1.489,0.0067613252,2020-06-30
1.523,1.523,1.523,0.0228341169,2020-07-03
1.5228,1.5228,1.5228,-0.0001313198,2020-07-06
1.59,1.59,1.59,0.0441292356,2020-07-10
1.59,1.59,1.59,0.0,2020-07-16
1.522,1.522,1.522,-0.0427672956,2020-07-17
1.474,1.474,1.474,-0.0315374507,2020-07-24
1.534,1.534,1.534,0.0407055631,2020-07-31
1.566,1.566,1.566,0.0208604954,2020-08-07
1.513,1.513,1.513,-0.033844189,2020-08-14
1.498,1.498,1.498,-0.009914078,2020-08-21
1.366,1.507,1.507,0.0060080107,2020-08-25
1.361,1.502,1.50148389,-0.0036603221,2020-08-28
1.355,1.496,1.49486457,-0.0044085231,2020-08-31
1.362,1.503,1.50258712,0.0051660517,2020-09-04
1.362,1.503,1.50258712,0.0,2020-09-10
1.299,1.44,1.43308419,-0.0462555066,2020-09-11
1.316,1.457,1.45183895,0.01308699,2020-09-18
1.294,1.435,1.42756808,-0.0167173252,2020-09-25
1.303,1.444,1.43749707,0.0069551777,2020-09-30
1.338,1.479,1.47610981,0.0268610898,2020-10-09
1.351,1.492,1.49045168,0.009715994,2020-10-16
1.356,1.497,1.49596779,0.0037009623,2020-10-23
1.367,1.508,1.50810322,0.0081120944,2020-10-30
1.393,1.534,1.53678697,0.0190197513,2020-11-06
1.382,1.523,1.52465154,-0.007896626,2020-11-13
1.415,1.556,1.56105783,0.023878437,2020-11-20
1.438,1.579,1.58643192,0.016254417,2020-11-27
1.43,1.571,1.57760615,-0.0055632823,2020-11-30
1.436,1.577,1.58422548,0.0041958042,2020-12-04
1.407,1.548,1.55223206,-0.0201949861,2020-12-11
1.463,1.604,1.61401245,0.039800995,2020-12-18
1.519,1.66,1.67579283,0.038277512,2020-12-25
1.559,1.7,1.71992167,0.0263331139,2020-12-31
1.62,1.761,1.78721816,0.0391276459,2021-01-08
1.633,1.774,1.80156003,0.0080246914,2021-01-15
1.693,1.834,1.86775329,0.0367421923,2021-01-22
1.601,1.742,1.76625695,-0.0543414058,2021-01-29
1.554,1.695,1.71440556,-0.0293566521,2021-02-05
1.596,1.737,1.76074085,0.027027027,2021-02-10
1.618,1.759,1.78501171,0.0137844612,2021-02-19
1.537,1.678,1.69565081,-0.0500618047,2021-02-26
1.522,1.663,1.67910249,-0.0097592713,2021-03-05
1.513,1.654,1.6691735,-0.005913272,2021-03-12
1.52,1.661,1.67689605,0.0046265697,2021-03-19
1.522,1.663,1.67910249,0.0013157895,2021-03-22
1.535,1.676,1.69344436,0.0085413929,2021-03-26
1.524,1.665,1.68130893,-0.0071661238,2021-03-31
1.528,1.669,1.68572182,0.0026246719,2021-04-02
1.523,1.664,1.68020571,-0.0032722513,2021-04-09
1.519,1.66,1.67579283,-0.0026263953,2021-04-16
1.544,1.685,1.70337335,0.0164581962,2021-04-20
1.541,1.682,1.70006369,-0.0019430052,2021-04-23
1.534,1.675,1.69234114,-0.0045425049,2021-04-30
1.523,1.664,1.68020571,-0.0071707953,2021-05-07
1.543,1.684,1.70227013,0.0131319764,2021-05-14
1.581,1.722,1.74419253,0.0246273493,2021-05-20
1.579,1.72,1.74198609,-0.0012650221,2021-05-21
1.62,1.761,1.78721816,0.0259658011,2021-05-28
1.634,1.775,1.80266325,0.0086419753,2021-05-31
1.667,1.808,1.83906955,0.0201958384,2021-06-04
1.685,1.826,1.85892753,0.0107978404,2021-06-11
1.687,1.828,1.86113397,0.0011869436,2021-06-18
1.703,1.844,1.87878551,0.0094842916,2021-06-21
1.693,1.834,1.86775329,-0.0058719906,2021-06-25
1.706,1.847,1.88209517,0.0076786769,2021-06-30
1.672,1.813,1.84458565,-0.01992966,2021-07-02
1.78,1.921,1.96373353,0.0645933014,2021-07-09
1.799,1.94,1.98469473,0.0106741573,2021-07-16
1.791,1.932,1.97586896,-0.004446915,2021-07-19
