nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9817,0.9817,0.9817,0.0,2024-04-02
0.9817,0.9817,0.9817,0.0,2024-04-03
0.9818,0.9818,0.9818,0.0001018641,2024-04-12
0.9818,0.9818,0.9818,0.0,2024-04-19
0.9678,0.9678,0.9678,-0.0142595233,2024-04-26
0.9678,0.9678,0.9678,0.0,2024-04-30
0.9679,0.9679,0.9679,0.0001033271,2024-05-10
0.9679,0.9679,0.9679,0.0,2024-05-17
0.9679,0.9679,0.9679,0.0,2024-05-24
0.9679,0.9679,0.9679,0.0,2024-05-31
0.968,0.968,0.968,0.0001033165,2024-06-07
0.9678,0.9678,0.9678,-0.0002066116,2024-06-14
0.9675,0.9675,0.9675,-0.0003099814,2024-06-21
0.9773,0.9773,0.9773,0.010129199,2024-06-28
0.9785,0.9785,0.9785,0.0012278727,2024-07-05
0.9766,0.9766,0.9766,-0.0019417476,2024-07-12
0.9735,0.9735,0.9735,-0.0031742781,2024-07-19
0.9764,0.9764,0.9764,0.002978942,2024-07-26
0.9761,0.9761,0.9761,-0.0003072511,2024-07-31
0.9766,0.9766,0.9766,0.0005122426,2024-08-02
0.9775,0.9775,0.9775,0.0009215646,2024-08-09
0.985,0.985,0.985,0.0076726343,2024-08-16
0.9815,0.9815,0.9815,-0.0035532995,2024-08-23
0.9817,0.9817,0.9817,0.0002037697,2024-08-30
0.99,0.99,0.99,0.0084547214,2024-09-06
0.9801,0.9801,0.9801,-0.01,2024-09-13
0.9867,0.9867,0.9867,0.0067340067,2024-09-20
0.9419,0.9419,0.9419,-0.0454038715,2024-09-27
0.9586,0.9586,0.9586,0.01773012,2024-09-30
0.9747,0.9747,0.9747,0.0167953265,2024-10-11
0.954,0.954,0.954,-0.0212373038,2024-10-18
0.9743,0.9743,0.9743,0.021278826,2024-10-25
0.9621,0.9621,0.9621,-0.0125218105,2024-10-31
0.9648,0.9648,0.9648,0.0028063611,2024-11-01
0.9854,0.9854,0.9854,0.0213515755,2024-11-08
0.9905,0.9905,0.9905,0.0051755632,2024-11-15
1.0101,1.0101,1.0101,0.0197879859,2024-11-22
1.0293,1.0293,1.0293,0.019008019,2024-11-29
1.0418,1.0418,1.0418,0.0121441757,2024-12-06
1.0591,1.0591,1.0591,0.0166058744,2024-12-13
1.0601,1.0601,1.0601,0.0009441979,2024-12-20
1.0441,1.0441,1.0441,-0.0150929158,2024-12-27
1.039,1.039,1.039,-0.0048845896,2024-12-31
1.0378,1.0378,1.0378,-0.0011549567,2025-01-03
1.0458,1.0458,1.0458,0.0077086144,2025-01-10
1.0598,1.0598,1.0598,0.0133868809,2025-01-17
1.0675,1.0675,1.0675,0.0072655218,2025-01-24
1.0618,1.0618,1.0618,-0.0053395785,2025-01-27
1.0858,1.0858,1.0858,0.0226031268,2025-02-07
1.1064,1.1064,1.1064,0.0189721864,2025-02-14
1.1271,1.1271,1.1271,0.0187093275,2025-02-21
1.1307,1.1307,1.1307,0.0031940378,2025-02-28
1.1432,1.1432,1.1432,0.0110550986,2025-03-07
1.1444,1.1444,1.1444,0.0010496851,2025-03-14
1.148,1.148,1.148,0.0031457532,2025-03-21
1.1328,1.1328,1.1328,-0.0132404181,2025-03-28
1.1369,1.1369,1.1369,0.0036193503,2025-03-31
1.1376,1.1376,1.1376,0.0006157094,2025-04-03
1.1191,1.1191,1.1191,-0.0162623066,2025-04-11
1.1211,1.1211,1.1211,0.0017871504,2025-04-18
1.1227,1.1227,1.1227,0.0014271697,2025-04-25
1.1215,1.1215,1.1215,-0.0010688519,2025-04-30
1.1374,1.1374,1.1374,0.0141774409,2025-05-09
1.1521,1.1521,1.1521,0.0129242131,2025-05-16
1.1499,1.1499,1.1499,-0.0019095565,2025-05-23
1.1514,1.1514,1.1514,0.0013044613,2025-05-30
1.1544,1.1544,1.1544,0.0026055237,2025-06-06
1.1528,1.1528,1.1528,-0.0013860014,2025-06-13
1.137,1.137,1.137,-0.0137057599,2025-06-20
1.1449,1.1449,1.1449,0.0069481091,2025-06-27
1.1556,1.1556,1.1556,0.0093457944,2025-06-30
1.1515,1.1515,1.1515,-0.0035479405,2025-07-04
1.1404,1.1404,1.1404,-0.0096396005,2025-07-11
1.1507,1.1507,1.1507,0.0090319186,2025-07-18
1.1406,1.1406,1.1406,-0.008777266,2025-07-25
1.149,1.149,1.149,0.007364545,2025-07-31
1.1463,1.1463,1.1463,-0.0023498695,2025-08-01
1.1802,1.1802,1.1802,0.0295734101,2025-08-08
1.1911,1.1911,1.1911,0.0092357228,2025-08-15
1.1802,1.1802,1.1802,-0.0091512048,2025-08-22
1.1979,1.1979,1.1979,0.0149974581,2025-08-29
1.2118,1.2118,1.2118,0.0116036397,2025-09-05
1.2173,1.2173,1.2173,0.0045387028,2025-09-12
1.2262,1.2262,1.2262,0.0073112626,2025-09-19
1.2378,1.2378,1.2378,0.0094601207,2025-09-26
1.2316,1.2316,1.2316,-0.0050088867,2025-09-30
1.2538,1.2538,1.2538,0.0180253329,2026-04-10
1.2561,1.2561,1.2561,0.0018344234,2026-04-17
1.2521,1.2521,1.2521,-0.0031844598,2026-04-24
1.2538,1.2538,1.2538,0.001357719,2026-04-30
1.2675,1.2675,1.2675,0.0109267826,2026-05-08
1.2704,1.2704,1.2704,0.0022879684,2026-05-15
1.2639,1.2639,1.2639,-0.0051164987,2026-05-22
