nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-07-31
1.0,1.0,1.0,0.0,2025-08-01
0.9999,0.9999,0.9999,-0.0001,2025-08-08
0.9999,0.9999,0.9999,0.0,2025-08-15
0.9999,0.9999,0.9999,0.0,2025-08-22
0.9989,0.9989,0.9989,-0.0010001,2025-08-29
0.9931,0.9931,0.9931,-0.005806387,2025-09-05
1.027,1.027,1.027,0.0341355352,2025-09-12
1.0436,1.0436,1.0436,0.0161635833,2025-09-19
1.0434,1.0434,1.0434,-0.0001916443,2025-09-26
1.0719,1.0719,1.0719,0.0273145486,2025-09-30
1.0592,1.0592,1.0592,-0.0118481202,2025-10-10
1.005,1.005,1.005,-0.0511706949,2025-10-17
1.0581,1.0581,1.0581,0.0528358209,2025-10-24
1.071,1.071,1.071,0.0121916643,2025-10-31
1.0992,1.0992,1.0992,0.0263305322,2025-11-07
1.0798,1.0798,1.0798,-0.0176491994,2025-11-14
0.9633,0.9633,0.9633,-0.1078903501,2025-11-21
1.0162,1.0162,1.0162,0.054915395,2025-11-28
1.0276,1.0276,1.0276,0.0112182641,2025-12-05
1.0352,1.0352,1.0352,0.0073958739,2025-12-12
1.0392,1.0392,1.0392,0.0038639876,2025-12-19
1.1173,1.1173,1.1173,0.0751539646,2025-12-26
1.1201,1.1201,1.1201,0.0025060413,2025-12-31
1.23,1.23,1.23,0.0981162396,2026-01-09
1.2098,1.2098,1.2098,-0.0164227642,2026-01-16
1.247,1.247,1.247,0.0307488841,2026-01-23
1.2034,1.2034,1.2034,-0.0349639134,2026-01-30
1.1929,1.1929,1.1929,-0.0087252784,2026-02-06
1.1974,1.1974,1.1974,0.0037723196,2026-02-13
1.271,1.271,1.271,0.0614665108,2026-02-27
1.2211,1.2211,1.2211,-0.0392604249,2026-03-06
1.2004,1.2004,1.2004,-0.0169519286,2026-03-13
1.1243,1.1243,1.1243,-0.0633955348,2026-03-20
1.1149,1.1149,1.1149,-0.0083607578,2026-03-27
1.0628,1.0628,1.0628,-0.0467306485,2026-04-03
1.1524,1.1524,1.1524,0.0843056078,2026-04-10
1.2269,1.2269,1.2269,0.0646476918,2026-04-17
1.2349,1.2349,1.2349,0.0065204988,2026-04-24
1.2646,1.2646,1.2646,0.0240505304,2026-04-30
1.3542,1.3542,1.3542,0.0708524435,2026-05-08
1.3401,1.3401,1.3401,-0.0104120514,2026-05-15
1.338,1.338,1.338,-0.0015670472,2026-05-22
