nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-03-22
1.0,1.0,1.0,0.0,2023-03-24
1.0,1.0,1.0,0.0,2023-03-31
1.0,1.0,1.0,0.0,2023-04-07
1.0,1.0,1.0,0.0,2023-04-14
1.001,1.001,1.001,0.001,2023-04-21
1.001,1.001,1.001,0.0,2023-04-28
1.001,1.001,1.001,0.0,2023-05-05
1.001,1.001,1.001,0.0,2023-05-12
1.001,1.001,1.001,0.0,2023-05-19
1.001,1.001,1.001,0.0,2023-05-26
1.0,1.0,1.0,-0.000999001,2023-05-31
1.0,1.0,1.0,0.0,2023-06-02
1.0,1.0,1.0,0.0,2023-06-09
1.0,1.0,1.0,0.0,2023-06-16
1.0,1.0,1.0,0.0,2023-06-21
1.0,1.0,1.0,0.0,2023-06-30
1.0,1.0,1.0,0.0,2023-07-07
1.0,1.0,1.0,0.0,2023-07-14
1.0,1.0,1.0,0.0,2023-07-21
1.0,1.0,1.0,0.0,2023-07-28
1.0,1.0,1.0,0.0,2023-07-31
1.0,1.0,1.0,0.0,2023-08-04
0.999,0.999,0.999,-0.001,2023-08-11
0.999,0.999,0.999,0.0,2023-08-18
0.999,0.999,0.999,0.0,2023-08-25
0.999,0.999,0.999,0.0,2023-08-31
0.999,0.999,0.999,0.0,2023-09-01
0.999,0.999,0.999,0.0,2023-09-08
0.999,0.999,0.999,0.0,2023-09-15
0.998,0.998,0.998,-0.001001001,2023-09-22
0.998,0.998,0.998,0.0,2023-09-28
0.998,0.998,0.998,0.0,2023-10-13
0.998,0.998,0.998,0.0,2023-10-20
0.998,0.998,0.998,0.0,2023-10-27
0.998,0.998,0.998,0.0,2023-10-31
0.997,0.997,0.997,-0.001002004,2023-11-03
1.005,1.005,1.005,0.0080240722,2023-11-10
1.009,1.009,1.009,0.0039800995,2023-11-17
0.996,0.996,0.996,-0.0128840436,2023-11-24
0.996,0.996,0.996,0.0,2023-11-30
0.992,0.992,0.992,-0.0040160643,2023-12-01
