nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-03-22
0.9999,0.9999,0.9999,-0.0001,2019-03-25
0.9999,0.9999,0.9999,0.0,2019-03-26
0.9999,0.9999,0.9999,0.0,2019-03-27
0.9998,0.9998,0.9998,-0.00010001,2019-03-28
0.9998,0.9998,0.9998,0.0,2019-03-29
0.9997,0.9997,0.9997,-0.00010002,2019-04-01
0.9997,0.9997,0.9997,0.0,2019-04-02
0.9996,0.9996,0.9996,-0.00010003,2019-04-03
0.9996,0.9996,0.9996,0.0,2019-04-04
0.9996,0.9996,0.9996,0.0,2019-04-08
0.9992,0.9992,0.9992,-0.0004001601,2019-04-09
0.9995,0.9995,0.9995,0.0003002402,2019-04-10
0.9994,0.9994,0.9994,-0.00010005,2019-04-11
0.9994,0.9994,0.9994,0.0,2019-04-12
0.9993,0.9993,0.9993,-0.00010006,2019-04-15
0.9993,0.9993,0.9993,0.0,2019-04-16
0.9993,0.9993,0.9993,0.0,2019-04-17
0.9992,0.9992,0.9992,-0.00010007,2019-04-18
0.9992,0.9992,0.9992,0.0,2019-04-19
0.9991,0.9991,0.9991,-0.0001000801,2019-04-22
0.9991,0.9991,0.9991,0.0,2019-04-23
0.9991,0.9991,0.9991,0.0,2019-04-24
0.999,0.999,0.999,-0.0001000901,2019-04-25
0.999,0.999,0.999,0.0,2019-04-26
0.9989,0.9989,0.9989,-0.0001001001,2019-04-29
0.9972,0.9972,0.9972,-0.0017018721,2019-04-30
0.9809,0.9809,0.9809,-0.0163457682,2019-05-06
0.984,0.984,0.984,0.0031603629,2019-05-07
0.9832,0.9832,0.9832,-0.0008130081,2019-05-08
0.9803,0.9803,0.9803,-0.0029495525,2019-05-09
0.9936,0.9936,0.9936,0.0135672753,2019-05-10
0.9897,0.9897,0.9897,-0.0039251208,2019-05-13
0.9885,0.9885,0.9885,-0.0012124886,2019-05-14
0.998,0.998,0.998,0.009610521,2019-05-15
0.9992,0.9992,0.9992,0.0012024048,2019-05-16
0.9849,0.9849,0.9849,-0.0143114492,2019-05-17
0.9815,0.9815,0.9815,-0.0034521271,2019-05-20
0.9895,0.9895,0.9895,0.0081507896,2019-05-21
0.9869,0.9869,0.9869,-0.0026275897,2019-05-22
0.9765,0.9765,0.9765,-0.0105380484,2019-05-23
0.9802,0.9802,0.9802,0.0037890425,2019-05-24
0.9875,0.9875,0.9875,0.0074474597,2019-05-27
0.9945,0.9945,0.9945,0.0070886076,2019-05-28
0.9973,0.9973,0.9973,0.0028154852,2019-05-29
0.9939,0.9939,0.9939,-0.0034092049,2019-05-30
0.9905,0.9905,0.9905,-0.0034208673,2019-05-31
0.9896,0.9896,0.9896,-0.000908632,2019-06-03
0.984,0.984,0.984,-0.0056588521,2019-06-04
0.9835,0.9835,0.9835,-0.0005081301,2019-06-05
0.9788,0.9788,0.9788,-0.004778851,2019-06-06
0.9894,0.9894,0.9894,0.0108295872,2019-06-10
1.0053,1.0053,1.0053,0.0160703457,2019-06-11
1.0009,1.0009,1.0009,-0.0043768029,2019-06-12
1.002,1.002,1.002,0.0010990109,2019-06-13
0.9977,0.9977,0.9977,-0.0042914172,2019-06-14
0.9999,0.9999,0.9999,0.0022050717,2019-06-17
1.0036,1.0036,1.0036,0.00370037,2019-06-18
1.0151,1.0151,1.0151,0.0114587485,2019-06-19
1.0407,1.0407,1.0407,0.0252191902,2019-06-20
1.0406,1.0406,1.0406,-9.60892e-05,2019-06-21
1.0446,1.0446,1.0446,0.0038439362,2019-06-24
1.0352,1.0352,1.0352,-0.0089986598,2019-06-25
1.0334,1.0334,1.0334,-0.0017387944,2019-06-26
1.0468,1.0468,1.0468,0.0129669054,2019-06-27
1.0475,1.0475,1.0475,0.0006687046,2019-06-28
1.0699,1.0699,1.0699,0.0213842482,2019-07-01
1.0682,1.0682,1.0682,-0.0015889335,2019-07-02
1.0552,1.0552,1.0552,-0.0121700056,2019-07-03
1.0502,1.0502,1.0502,-0.0047384382,2019-07-04
1.0459,1.0459,1.0459,-0.0040944582,2019-07-05
1.0296,1.0296,1.0296,-0.0155846639,2019-07-08
1.0274,1.0274,1.0274,-0.0021367521,2019-07-09
1.0267,1.0267,1.0267,-0.0006813315,2019-07-10
1.0276,1.0276,1.0276,0.0008765949,2019-07-11
1.0367,1.0367,1.0367,0.0088555858,2019-07-12
1.0357,1.0357,1.0357,-0.0009645992,2019-07-15
1.0298,1.0298,1.0298,-0.0056966303,2019-07-16
1.0281,1.0281,1.0281,-0.001650806,2019-07-17
1.0232,1.0232,1.0232,-0.0047660733,2019-07-18
1.0355,1.0355,1.0355,0.0120211102,2019-07-19
1.0344,1.0344,1.0344,-0.0010622887,2019-07-22
1.0333,1.0333,1.0333,-0.0010634184,2019-07-23
1.0364,1.0364,1.0364,0.0030000968,2019-07-24
1.0447,1.0447,1.0447,0.0080084909,2019-07-25
1.0479,1.0479,1.0479,0.0030630803,2019-07-26
1.0486,1.0486,1.0486,0.0006680027,2019-07-29
1.0517,1.0517,1.0517,0.0029563227,2019-07-30
1.042,1.042,1.042,-0.0092231625,2019-07-31
1.0303,1.0303,1.0303,-0.0112284069,2019-08-01
1.0149,1.0149,1.0149,-0.0149471028,2019-08-02
0.9955,0.9955,0.9955,-0.0191151838,2019-08-05
0.99,0.99,0.99,-0.0055248619,2019-08-06
0.9869,0.9869,0.9869,-0.0031313131,2019-08-07
1.0051,1.0051,1.0051,0.0184415848,2019-08-08
0.9999,0.9999,0.9999,-0.0051736146,2019-08-09
1.0217,1.0217,1.0217,0.0218021802,2019-08-12
1.012,1.012,1.012,-0.0094939806,2019-08-13
1.0176,1.0176,1.0176,0.0055335968,2019-08-14
1.0214,1.0214,1.0214,0.0037342767,2019-08-15
1.0267,1.0267,1.0267,0.0051889563,2019-08-16
1.0395,1.0395,1.0395,0.0124671277,2019-08-19
1.0396,1.0396,1.0396,9.62001e-05,2019-08-20
1.036,1.036,1.036,-0.0034628703,2019-08-21
1.042,1.042,1.042,0.0057915058,2019-08-22
1.0539,1.0539,1.0539,0.0114203455,2019-08-23
1.0373,1.0373,1.0373,-0.01575102,2019-08-26
1.0445,1.0445,1.0445,0.0069410971,2019-08-27
1.0399,1.0399,1.0399,-0.0044040211,2019-08-28
1.0404,1.0404,1.0404,0.0004808155,2019-08-30
1.0731,1.0731,1.0731,0.0314302191,2019-09-06
1.058,1.058,1.058,-0.014071382,2019-09-11
1.0696,1.0696,1.0696,0.0109640832,2019-09-12
1.0679,1.0679,1.0679,-0.0015893792,2019-09-20
1.0571,1.0571,1.0571,-0.0101133065,2019-09-25
1.046,1.046,1.046,-0.0105004257,2019-09-27
1.0319,1.0319,1.0319,-0.0134799235,2019-09-30
1.0342,1.0342,1.0342,0.0022288981,2019-10-08
1.0538,1.0538,1.0538,0.0189518468,2019-10-10
1.0616,1.0616,1.0616,0.007401784,2019-10-11
1.0502,1.0502,1.0502,-0.0107385079,2019-10-18
1.0517,1.0517,1.0517,0.0014282994,2019-10-25
1.0591,1.0591,1.0591,0.0070362271,2019-10-31
1.0706,1.0706,1.0706,0.0108582759,2019-11-01
1.0769,1.0769,1.0769,0.0058845507,2019-11-05
1.0672,1.0672,1.0672,-0.0090073359,2019-11-08
1.0478,1.0478,1.0478,-0.0181784108,2019-11-15
1.0242,1.0242,1.0242,-0.0225233823,2019-11-22
1.0034,1.0034,1.0034,-0.0203085335,2019-11-29
1.0165,1.0165,1.0165,0.0130556109,2019-12-05
1.0243,1.0243,1.0243,0.0076733891,2019-12-06
1.0419,1.0419,1.0419,0.0171824661,2019-12-13
1.0499,1.0499,1.0499,0.0076782801,2019-12-20
1.0552,1.0552,1.0552,0.0050480998,2019-12-27
1.0726,1.0726,1.0726,0.016489765,2019-12-31
1.0877,1.0877,1.0877,0.0140779415,2020-01-03
1.0826,1.0826,1.0826,-0.0046887929,2020-01-06
1.0919,1.0919,1.0919,0.0085904304,2020-01-10
1.093,1.093,1.093,0.0010074183,2020-01-17
1.0757,1.0757,1.0757,-0.0158279963,2020-01-21
1.0467,1.0467,1.0467,-0.0269591894,2020-01-23
0.968,0.968,0.968,-0.0751886883,2020-02-03
0.9958,0.9958,0.9958,0.0287190083,2020-02-04
1.0073,1.0073,1.0073,0.0115485037,2020-02-05
1.0314,1.0314,1.0314,0.023925345,2020-02-06
1.0411,1.0411,1.0411,0.0094046927,2020-02-07
1.0502,1.0502,1.0502,0.008740755,2020-02-10
1.0528,1.0528,1.0528,0.0024757189,2020-02-11
1.0685,1.0685,1.0685,0.014912614,2020-02-12
1.0625,1.0625,1.0625,-0.0056153486,2020-02-13
1.067,1.067,1.067,0.0042352941,2020-02-14
1.0852,1.0852,1.0852,0.0170571696,2020-02-17
1.0874,1.0874,1.0874,0.0020272761,2020-02-18
1.0801,1.0801,1.0801,-0.006713261,2020-02-19
1.095,1.095,1.095,0.013795019,2020-02-20
1.1011,1.1011,1.1011,0.0055707763,2020-02-21
1.1037,1.1037,1.1037,0.0023612751,2020-02-24
1.1019,1.1019,1.1019,-0.001630878,2020-02-25
1.0872,1.0872,1.0872,-0.0133405935,2020-02-26
1.0956,1.0956,1.0956,0.0077262693,2020-02-27
1.0548,1.0548,1.0548,-0.0372398686,2020-02-28
1.0903,1.0903,1.0903,0.0336556693,2020-03-02
1.1019,1.1019,1.1019,0.0106392736,2020-03-03
1.1075,1.1075,1.1075,0.0050821309,2020-03-04
1.1172,1.1172,1.1172,0.008758465,2020-03-05
1.103,1.103,1.103,-0.0127103473,2020-03-06
1.0668,1.0668,1.0668,-0.032819583,2020-03-09
1.0935,1.0935,1.0935,0.0250281215,2020-03-10
1.0796,1.0796,1.0796,-0.0127114769,2020-03-11
1.0627,1.0627,1.0627,-0.0156539459,2020-03-12
1.0545,1.0545,1.0545,-0.0077161946,2020-03-13
1.0148,1.0148,1.0148,-0.0376481745,2020-03-16
1.0132,1.0132,1.0132,-0.0015766654,2020-03-17
0.9983,0.9983,0.9983,-0.0147058824,2020-03-18
0.9897,0.9897,0.9897,-0.0086146449,2020-03-19
1.0061,1.0061,1.0061,0.016570678,2020-03-20
0.9735,0.9735,0.9735,-0.0324023457,2020-03-23
0.995,0.995,0.995,0.0220852594,2020-03-24
1.0194,1.0194,1.0194,0.0245226131,2020-03-25
1.0122,1.0122,1.0122,-0.0070629782,2020-03-26
1.0109,1.0109,1.0109,-0.0012843312,2020-03-27
0.9951,0.9951,0.9951,-0.015629637,2020-03-30
0.9963,0.9963,0.9963,0.001205909,2020-03-31
0.9974,0.9974,0.9974,0.0011040851,2020-04-01
1.019,1.019,1.019,0.0216563064,2020-04-02
1.0142,1.0142,1.0142,-0.0047105005,2020-04-03
1.0399,1.0399,1.0399,0.0253401696,2020-04-07
1.0364,1.0364,1.0364,-0.0033657082,2020-04-08
1.0445,1.0445,1.0445,0.0078155152,2020-04-09
1.0318,1.0318,1.0318,-0.0121589277,2020-04-10
1.0274,1.0274,1.0274,-0.0042643923,2020-04-13
1.0472,1.0472,1.0472,0.0192719486,2020-04-14
1.0418,1.0418,1.0418,-0.0051566081,2020-04-15
1.0438,1.0438,1.0438,0.0019197543,2020-04-16
1.0526,1.0526,1.0526,0.0084307339,2020-04-17
