nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-03-30
1.0,1.0,1.0,0.0,2022-03-31
0.9997,0.9997,0.9997,-0.0003,2022-04-01
0.9915,0.9915,0.9915,-0.0082024607,2022-04-08
0.9988,0.9988,0.9988,0.0073625819,2022-04-15
0.9768,0.9768,0.9768,-0.0220264317,2022-04-22
0.9888,0.9888,0.9888,0.0122850123,2022-04-29
0.957,0.957,0.957,-0.0321601942,2022-05-06
0.9746,0.9746,0.9746,0.0183908046,2022-05-13
0.9799,0.9799,0.9799,0.0054381285,2022-05-20
0.9592,0.9592,0.9592,-0.0211246046,2022-05-27
0.9913,0.9913,0.9913,0.0334653878,2022-05-31
0.992,0.992,0.992,0.0007061434,2022-06-02
1.0241,1.0241,1.0241,0.032358871,2022-06-10
1.0381,1.0381,1.0381,0.01367054,2022-06-17
1.0552,1.0552,1.0552,0.0164724015,2022-06-24
1.0564,1.0564,1.0564,0.0011372252,2022-06-30
1.0501,1.0501,1.0501,-0.0059636501,2022-07-01
1.0414,1.0414,1.0414,-0.0082849252,2022-07-08
1.0056,1.0056,1.0056,-0.0343768005,2022-07-15
1.007,1.007,1.007,0.0013922037,2022-07-22
0.9819,0.9819,0.9819,-0.0249255214,2022-07-29
1.0247,1.0247,1.0247,0.0435889602,2022-08-05
1.0111,1.0111,1.0111,-0.0132721772,2022-08-12
0.991,0.991,0.991,-0.0198793393,2022-08-19
0.9622,0.9622,0.9622,-0.029061554,2022-08-26
0.9666,0.9666,0.9666,0.0045728539,2022-08-31
0.959,0.959,0.959,-0.0078626112,2022-09-02
0.953,0.953,0.953,-0.0062565172,2022-09-09
0.936,0.936,0.936,-0.017838405,2022-09-16
0.9055,0.9055,0.9055,-0.0325854701,2022-09-23
0.9069,0.9069,0.9069,0.0015461071,2022-09-30
0.9337,0.9337,0.9337,0.0295512184,2022-10-14
0.928,0.928,0.928,-0.0061047446,2022-10-21
0.8821,0.8821,0.8821,-0.0494612069,2022-10-28
0.8933,0.8933,0.8933,0.0126969731,2022-10-31
0.9646,0.9646,0.9646,0.0798164111,2022-11-04
0.9552,0.9552,0.9552,-0.009744972,2022-11-11
0.99,0.99,0.99,0.0364321608,2022-11-18
0.9516,0.9516,0.9516,-0.0387878788,2022-11-25
0.9851,0.9851,0.9851,0.0352038672,2022-11-30
0.9935,0.9935,0.9935,0.0085270531,2022-12-02
1.0205,1.0205,1.0205,0.0271766482,2022-12-09
1.0162,1.0162,1.0162,-0.0042136208,2022-12-16
0.9986,0.9986,0.9986,-0.0173194253,2022-12-23
1.0095,1.0095,1.0095,0.0109152814,2022-12-30
1.0515,1.0515,1.0515,0.0416047548,2023-01-06
1.075,1.075,1.075,0.0223490252,2023-01-13
1.1162,1.1162,1.1162,0.0383255814,2023-01-20
1.091,1.091,1.091,-0.0225765992,2023-01-31
1.1028,1.1028,1.1028,0.0108157654,2023-02-03
1.0836,1.0836,1.0836,-0.0174102285,2023-02-10
1.0545,1.0545,1.0545,-0.026854928,2023-02-17
1.0378,1.0378,1.0378,-0.0158368895,2023-02-24
1.0415,1.0415,1.0415,0.0035652341,2023-02-28
1.0515,1.0515,1.0515,0.0096015362,2023-03-03
1.0189,1.0189,1.0189,-0.0310033286,2023-03-10
1.0269,1.0269,1.0269,0.0078516047,2023-03-17
1.0755,1.0755,1.0755,0.0473269062,2023-03-24
1.1104,1.1104,1.1104,0.0324500232,2023-03-31
1.1251,1.1251,1.1251,0.0132384726,2023-04-07
1.1038,1.1038,1.1038,-0.0189316505,2023-04-14
1.0769,1.0769,1.0769,-0.0243703569,2023-04-21
1.0757,1.0757,1.0757,-0.0011143096,2023-04-28
1.0563,1.0563,1.0563,-0.0180347681,2023-05-05
1.0315,1.0315,1.0315,-0.0234781785,2023-05-12
1.041,1.041,1.041,0.0092098885,2023-05-19
1.0189,1.0189,1.0189,-0.0212295869,2023-05-26
1.0022,1.0022,1.0022,-0.0163902248,2023-05-31
1.0238,1.0238,1.0238,0.0215525843,2023-06-02
1.0031,1.0031,1.0031,-0.0202187927,2023-06-09
1.0625,1.0625,1.0625,0.0592164291,2023-06-16
1.0279,1.0279,1.0279,-0.0325647059,2023-06-21
1.0051,1.0051,1.0051,-0.022181146,2023-06-30
0.9967,0.9967,0.9967,-0.0083573774,2023-07-07
1.0257,1.0257,1.0257,0.0290960169,2023-07-14
1.003,1.003,1.003,-0.0221312275,2023-07-21
1.0497,1.0497,1.0497,0.046560319,2023-07-28
1.0462,1.0462,1.0462,-0.003334286,2023-07-31
1.0462,1.0462,1.0462,0.0,2023-08-04
1.0093,1.0093,1.0093,-0.0352705028,2023-08-11
0.9743,0.9743,0.9743,-0.0346774993,2023-08-18
0.9529,0.9529,0.9529,-0.0219644873,2023-08-25
0.9755,0.9755,0.9755,0.0237170742,2023-08-31
0.9722,0.9722,0.9722,-0.0033828806,2023-09-01
0.951,0.951,0.951,-0.0218062127,2023-09-08
0.9421,0.9421,0.9421,-0.0093585699,2023-09-15
0.9492,0.9492,0.9492,0.007536355,2023-09-22
0.9277,0.9277,0.9277,-0.0226506532,2023-09-28
0.9191,0.9191,0.9191,-0.0092702382,2023-10-13
0.8701,0.8701,0.8701,-0.0533130236,2023-10-20
0.8759,0.8759,0.8759,0.0066659005,2023-10-27
0.891,0.891,0.891,0.0172394109,2023-10-31
0.9026,0.9026,0.9026,0.0130190797,2023-11-03
0.9124,0.9124,0.9124,0.0108575227,2023-11-10
0.9059,0.9059,0.9059,-0.0071240684,2023-11-17
0.8953,0.8953,0.8953,-0.0117010708,2023-11-24
0.8933,0.8933,0.8933,-0.0022338881,2023-11-30
0.8873,0.8873,0.8873,-0.0067166685,2023-12-01
0.8679,0.8679,0.8679,-0.021864082,2023-12-08
0.8596,0.8596,0.8596,-0.0095633137,2023-12-15
0.8555,0.8555,0.8555,-0.0047696603,2023-12-22
0.8874,0.8874,0.8874,0.0372881356,2023-12-29
0.85,0.85,0.85,-0.0421455939,2024-01-05
0.8485,0.8485,0.8485,-0.0017647059,2024-01-12
0.8369,0.8369,0.8369,-0.0136711844,2024-01-19
0.8309,0.8309,0.8309,-0.0071693153,2024-01-26
0.7923,0.7923,0.7923,-0.0464556505,2024-01-31
0.7835,0.7835,0.7835,-0.011106904,2024-02-02
0.8533,0.8533,0.8533,0.0890874282,2024-02-08
0.863,0.863,0.863,0.0113676315,2024-02-23
0.8708,0.8708,0.8708,0.0090382387,2024-02-29
0.8711,0.8711,0.8711,0.0003445108,2024-03-01
0.8533,0.8533,0.8533,-0.0204339341,2024-03-08
0.8888,0.8888,0.8888,0.0416031876,2024-03-15
0.8935,0.8935,0.8935,0.0052880288,2024-03-22
0.8901,0.8901,0.8901,-0.0038052602,2024-03-29
0.8886,0.8886,0.8886,-0.0016852039,2024-04-03
0.86,0.86,0.86,-0.0321854603,2024-04-12
0.8428,0.8428,0.8428,-0.02,2024-04-19
0.8925,0.8925,0.8925,0.0589700997,2024-04-26
0.9082,0.9082,0.9082,0.0175910364,2024-04-30
0.9143,0.9143,0.9143,0.0067165823,2024-05-10
0.9207,0.9207,0.9207,0.0069998906,2024-05-17
0.8938,0.8938,0.8938,-0.0292169002,2024-05-24
0.8752,0.8752,0.8752,-0.0208100246,2024-05-31
0.8817,0.8817,0.8817,0.0074268739,2024-06-07
0.8725,0.8725,0.8725,-0.0104343881,2024-06-14
0.8591,0.8591,0.8591,-0.0153581662,2024-06-21
0.8343,0.8343,0.8343,-0.0288674194,2024-06-28
0.8203,0.8203,0.8203,-0.0167805346,2024-07-05
0.8355,0.8355,0.8355,0.0185298062,2024-07-12
0.8525,0.8525,0.8525,0.0203470975,2024-07-19
0.8197,0.8197,0.8197,-0.0384750733,2024-07-26
0.8296,0.8296,0.8296,0.0120775894,2024-07-31
0.8151,0.8151,0.8151,-0.0174783028,2024-08-02
0.8083,0.8083,0.8083,-0.0083425347,2024-08-09
0.7986,0.7986,0.7986,-0.0120004949,2024-08-16
0.7829,0.7829,0.7829,-0.019659404,2024-08-23
0.7888,0.7888,0.7888,0.0075360838,2024-08-30
0.7628,0.7628,0.7628,-0.0329614604,2024-09-06
0.7542,0.7542,0.7542,-0.0112742528,2024-09-13
0.7562,0.7562,0.7562,0.0026518165,2024-09-20
0.9118,0.9118,0.9118,0.2057656705,2024-09-27
1.0106,1.0106,1.0106,0.1083570959,2024-09-30
0.9873,0.9873,0.9873,-0.0230556105,2024-10-11
0.9955,0.9955,0.9955,0.0083054796,2024-10-18
0.9919,0.9919,0.9919,-0.0036162732,2024-10-25
0.9714,0.9714,0.9714,-0.020667406,2024-10-31
0.9668,0.9668,0.9668,-0.0047354334,2024-11-01
1.0334,1.0334,1.0334,0.0688870501,2024-11-08
0.9976,0.9976,0.9976,-0.0346429263,2024-11-15
0.9726,0.9726,0.9726,-0.0250601443,2024-11-22
0.9825,0.9825,0.9825,0.0101789019,2024-11-29
0.9972,0.9972,0.9972,0.0149618321,2024-12-06
0.991,0.991,0.991,-0.0062174087,2024-12-13
0.9942,0.9942,0.9942,0.0032290616,2024-12-20
0.9899,0.9899,0.9899,-0.0043250855,2024-12-27
0.9711,0.9711,0.9711,-0.0189918174,2024-12-31
0.9344,0.9344,0.9344,-0.0377921944,2025-01-03
0.9027,0.9027,0.9027,-0.0339255137,2025-01-10
0.925,0.925,0.925,0.0247036668,2025-01-17
0.9453,0.9453,0.9453,0.0219459459,2025-01-24
0.9391,0.9391,0.9391,-0.0065587644,2025-01-27
0.9954,0.9954,0.9954,0.0599510169,2025-02-07
1.0451,1.0451,1.0451,0.0499296765,2025-02-14
1.0683,1.0683,1.0683,0.0221988326,2025-02-21
1.0284,1.0284,1.0284,-0.0373490593,2025-02-28
1.0604,1.0604,1.0604,0.0311162972,2025-03-07
1.0797,1.0797,1.0797,0.018200679,2025-03-14
1.0469,1.0469,1.0469,-0.0303788089,2025-03-21
1.0395,1.0395,1.0395,-0.0070684879,2025-03-28
1.0277,1.0277,1.0277,-0.0113516114,2025-03-31
1.0251,1.0251,1.0251,-0.0025299212,2025-04-03
1.0168,1.0168,1.0168,-0.008096771,2025-04-11
1.0105,1.0105,1.0105,-0.0061959087,2025-04-18
1.0046,1.0046,1.0046,-0.0058386937,2025-04-25
1.0176,1.0176,1.0176,0.0129404738,2025-04-30
1.0278,1.0278,1.0278,0.0100235849,2025-05-09
1.0324,1.0324,1.0324,0.0044755789,2025-05-16
1.0262,1.0262,1.0262,-0.0060054243,2025-05-23
1.008,1.008,1.008,-0.0177353342,2025-05-30
1.0221,1.0221,1.0221,0.0139880952,2025-06-06
1.0063,1.0063,1.0063,-0.01545837,2025-06-13
0.9983,0.9983,0.9983,-0.0079499155,2025-06-20
1.0099,1.0099,1.0099,0.0116197536,2025-06-27
1.0098,1.0098,1.0098,-9.90197e-05,2025-06-30
1.0103,1.0103,1.0103,0.0004951476,2025-07-04
1.0156,1.0156,1.0156,0.0052459665,2025-07-11
1.0304,1.0304,1.0304,0.0145726664,2025-07-18
1.072,1.072,1.072,0.0403726708,2025-07-25
1.0498,1.0498,1.0498,-0.0207089552,2025-07-31
1.0481,1.0481,1.0481,-0.0016193561,2025-08-01
1.0558,1.0558,1.0558,0.0073466272,2025-08-08
1.0772,1.0772,1.0772,0.0202689903,2025-08-15
1.1332,1.1332,1.1332,0.051986632,2025-08-22
1.1485,1.1485,1.1485,0.0135015884,2025-08-29
1.1233,1.1233,1.1233,-0.021941663,2025-09-05
1.1454,1.1454,1.1454,0.0196741743,2025-09-12
1.1582,1.1582,1.1582,0.0111751353,2025-09-19
1.1673,1.1673,1.1673,0.0078570195,2025-09-26
1.2008,1.2008,1.2008,0.0286987064,2025-09-30
1.1974,1.1974,1.1974,-0.0028314457,2025-10-10
1.1507,1.1507,1.1507,-0.0390011692,2025-10-17
1.1655,1.1655,1.1655,0.0128617363,2025-10-24
1.1654,1.1654,1.1654,-8.58001e-05,2025-10-31
1.1554,1.1554,1.1554,-0.0085807448,2025-11-07
1.16,1.16,1.16,0.0039813052,2025-11-14
1.1174,1.1174,1.1174,-0.0367241379,2025-11-21
1.1275,1.1275,1.1275,0.0090388402,2025-11-28
1.1249,1.1249,1.1249,-0.0023059867,2025-12-05
1.119,1.119,1.119,-0.0052449107,2025-12-12
1.1145,1.1145,1.1145,-0.0040214477,2025-12-19
1.1292,1.1292,1.1292,0.0131897712,2025-12-26
1.1177,1.1177,1.1177,-0.0101842012,2025-12-31
1.1665,1.1665,1.1665,0.0436610897,2026-01-09
1.1612,1.1612,1.1612,-0.0045435062,2026-01-16
1.162,1.162,1.162,0.0006889425,2026-01-23
1.1475,1.1475,1.1475,-0.0124784854,2026-01-30
1.1391,1.1391,1.1391,-0.0073202614,2026-02-06
1.1372,1.1372,1.1372,-0.0016679835,2026-02-13
1.1121,1.1121,1.1121,-0.0220717552,2026-02-27
1.0797,1.0797,1.0797,-0.0291340707,2026-03-06
1.0829,1.0829,1.0829,0.0029637862,2026-03-13
