nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-11-11
1.0,1.0,1.0,0.0,2019-11-12
1.0,1.0,1.0,0.0,2019-11-13
0.9999,0.9999,0.9999,-0.0001,2019-11-14
0.9999,0.9999,0.9999,0.0,2019-11-15
0.9998,0.9998,0.9998,-0.00010001,2019-11-18
0.9997,0.9997,0.9997,-0.00010002,2019-11-19
0.9997,0.9997,0.9997,0.0,2019-11-20
0.9996,0.9996,0.9996,-0.00010003,2019-11-21
0.9996,0.9996,0.9996,0.0,2019-11-22
0.9995,0.9995,0.9995,-0.00010004,2019-11-25
0.9994,0.9994,0.9994,-0.00010005,2019-11-26
0.9994,0.9994,0.9994,0.0,2019-11-27
0.9993,0.9993,0.9993,-0.00010006,2019-11-28
0.9993,0.9993,0.9993,0.0,2019-11-29
0.9992,0.9992,0.9992,-0.00010007,2019-12-02
0.9991,0.9991,0.9991,-0.0001000801,2019-12-03
0.999,0.999,0.999,-0.0001000901,2019-12-04
0.9989,0.9989,0.9989,-0.0001001001,2019-12-05
0.9991,0.9991,0.9991,0.0002002202,2019-12-06
1.0025,1.0025,1.0025,0.0034030628,2019-12-09
1.0022,1.0022,1.0022,-0.0002992519,2019-12-10
1.0018,1.0018,1.0018,-0.0003991219,2019-12-11
0.9987,0.9987,0.9987,-0.00309443,2019-12-12
1.0089,1.0089,1.0089,0.0102132773,2019-12-13
1.0196,1.0196,1.0196,0.0106056101,2019-12-16
1.0312,1.0312,1.0312,0.0113770106,2019-12-17
1.0313,1.0313,1.0313,9.69744e-05,2019-12-18
1.0351,1.0351,1.0351,0.0036846698,2019-12-19
1.0262,1.0262,1.0262,-0.0085982031,2019-12-20
1.0057,1.0057,1.0057,-0.0199766127,2019-12-23
1.0154,1.0154,1.0154,0.0096450234,2019-12-24
1.014,1.014,1.014,-0.001378767,2019-12-25
1.0226,1.0226,1.0226,0.0084812623,2019-12-26
1.018,1.018,1.018,-0.0044983376,2019-12-27
1.0396,1.0396,1.0396,0.0212180747,2019-12-30
1.0475,1.0475,1.0475,0.0075990766,2019-12-31
1.0641,1.0641,1.0641,0.0158472554,2020-01-02
1.0673,1.0673,1.0673,0.0030072362,2020-01-03
1.0699,1.0699,1.0699,0.0024360536,2020-01-06
1.0743,1.0743,1.0743,0.0041125339,2020-01-07
1.0722,1.0722,1.0722,-0.0019547612,2020-01-08
1.0746,1.0746,1.0746,0.0022383884,2020-01-09
1.0726,1.0726,1.0726,-0.0018611576,2020-01-10
1.0803,1.0803,1.0803,0.0071788178,2020-01-13
1.0825,1.0825,1.0825,0.0020364714,2020-01-14
1.0835,1.0835,1.0835,0.0009237875,2020-01-15
1.0803,1.0803,1.0803,-0.0029533918,2020-01-16
1.0813,1.0813,1.0813,0.0009256688,2020-01-17
1.0813,1.0813,1.0813,0.0,2020-01-20
1.0813,1.0813,1.0813,0.0,2020-01-21
1.0814,1.0814,1.0814,9.24813e-05,2020-01-22
1.0814,1.0814,1.0814,0.0,2020-01-23
1.0833,1.0833,1.0833,0.0017569817,2020-02-03
1.0833,1.0833,1.0833,0.0,2020-02-04
1.0874,1.0874,1.0874,0.0037847318,2020-02-05
1.082,1.082,1.082,-0.0049659739,2020-02-06
1.0858,1.0858,1.0858,0.0035120148,2020-02-07
1.0847,1.0847,1.0847,-0.0010130779,2020-02-10
1.0753,1.0753,1.0753,-0.0086659906,2020-02-11
1.0778,1.0778,1.0778,0.0023249326,2020-02-12
1.0674,1.0674,1.0674,-0.0096492856,2020-02-13
1.0686,1.0686,1.0686,0.0011242271,2020-02-14
1.0775,1.0775,1.0775,0.0083286543,2020-02-17
1.0845,1.0845,1.0845,0.0064965197,2020-02-18
1.0894,1.0894,1.0894,0.0045182112,2020-02-19
1.102,1.102,1.102,0.0115659996,2020-02-20
1.0967,1.0967,1.0967,-0.0048094374,2020-02-21
1.1124,1.1124,1.1124,0.0143156743,2020-02-24
1.1148,1.1148,1.1148,0.0021574973,2020-02-25
1.0914,1.0914,1.0914,-0.0209903122,2020-02-26
1.0777,1.0777,1.0777,-0.0125526846,2020-02-27
1.0405,1.0405,1.0405,-0.0345179549,2020-02-28
1.0439,1.0439,1.0439,0.0032676598,2020-03-02
1.042,1.042,1.042,-0.0018200977,2020-03-03
1.0367,1.0367,1.0367,-0.0050863724,2020-03-04
1.064,1.064,1.064,0.0263335584,2020-03-05
1.0476,1.0476,1.0476,-0.0154135338,2020-03-06
1.0077,1.0077,1.0077,-0.0380870561,2020-03-09
1.029,1.029,1.029,0.0211372432,2020-03-10
1.0115,1.0115,1.0115,-0.0170068027,2020-03-11
0.9951,0.9951,0.9951,-0.0162135442,2020-03-12
0.9797,0.9797,0.9797,-0.0154758316,2020-03-13
0.9497,0.9497,0.9497,-0.0306216189,2020-03-16
0.948,0.948,0.948,-0.001790039,2020-03-17
0.9446,0.9446,0.9446,-0.0035864979,2020-03-18
0.9512,0.9512,0.9512,0.0069870845,2020-03-19
0.9436,0.9436,0.9436,-0.0079899075,2020-03-20
0.9263,0.9263,0.9263,-0.0183340398,2020-03-23
0.9256,0.9256,0.9256,-0.0007556947,2020-03-24
0.9274,0.9274,0.9274,0.0019446845,2020-03-25
0.9216,0.9216,0.9216,-0.0062540436,2020-03-26
0.921,0.921,0.921,-0.0006510417,2020-03-27
0.907,0.907,0.907,-0.0152008686,2020-03-30
0.9074,0.9074,0.9074,0.0004410143,2020-03-31
0.9086,0.9086,0.9086,0.0013224598,2020-04-01
0.9082,0.9082,0.9082,-0.0004402377,2020-04-02
0.9073,0.9073,0.9073,-0.0009909712,2020-04-03
0.9073,0.9073,0.9073,0.0,2020-04-07
0.9074,0.9074,0.9074,0.0001102171,2020-04-08
0.9063,0.9063,0.9063,-0.0012122548,2020-04-09
0.9052,0.9052,0.9052,-0.0012137261,2020-04-10
0.9046,0.9046,0.9046,-0.0006628369,2020-04-13
0.9044,0.9044,0.9044,-0.0002210922,2020-04-14
0.9048,0.9048,0.9048,0.0004422822,2020-04-15
0.9035,0.9035,0.9035,-0.0014367816,2020-04-16
0.9028,0.9028,0.9028,-0.0007747648,2020-04-17
0.902,0.902,0.902,-0.000886132,2020-04-20
0.902,0.902,0.902,0.0,2020-04-21
0.8989,0.8989,0.8989,-0.0034368071,2020-04-22
0.9033,0.9033,0.9033,0.0048948715,2020-04-23
0.9021,0.9021,0.9021,-0.0013284623,2020-04-24
0.9057,0.9057,0.9057,0.0039906884,2020-04-27
0.9082,0.9082,0.9082,0.0027602959,2020-04-28
0.9084,0.9084,0.9084,0.0002202158,2020-04-29
0.909,0.909,0.909,0.000660502,2020-04-30
0.9087,0.9087,0.9087,-0.000330033,2020-05-06
0.9105,0.9105,0.9105,0.0019808518,2020-05-07
0.9137,0.9137,0.9137,0.0035145524,2020-05-08
0.9159,0.9159,0.9159,0.0024077925,2020-05-11
0.9156,0.9156,0.9156,-0.0003275467,2020-05-12
0.9138,0.9138,0.9138,-0.001965924,2020-05-13
0.9125,0.9125,0.9125,-0.0014226308,2020-05-14
0.915,0.915,0.915,0.002739726,2020-05-15
0.9135,0.9135,0.9135,-0.0016393443,2020-05-18
0.917,0.917,0.917,0.0038314176,2020-05-19
0.9136,0.9136,0.9136,-0.0037077426,2020-05-20
0.9055,0.9055,0.9055,-0.0088660245,2020-05-21
0.8931,0.8931,0.8931,-0.0136940917,2020-05-22
0.8983,0.8983,0.8983,0.0058224163,2020-05-25
0.9013,0.9013,0.9013,0.0033396415,2020-05-26
0.8963,0.8963,0.8963,-0.0055475424,2020-05-27
0.8957,0.8957,0.8957,-0.0006694187,2020-05-28
0.8882,0.8882,0.8882,-0.0083733393,2020-05-29
0.8874,0.8874,0.8874,-0.000900698,2020-06-01
0.8932,0.8932,0.8932,0.0065359477,2020-06-02
0.9034,0.9034,0.9034,0.0114196149,2020-06-03
0.9032,0.9032,0.9032,-0.0002213859,2020-06-04
0.9131,0.9131,0.9131,0.0109610275,2020-06-05
0.9189,0.9189,0.9189,0.0063519877,2020-06-08
0.9179,0.9179,0.9179,-0.0010882577,2020-06-09
0.9161,0.9161,0.9161,-0.0019609979,2020-06-10
0.9138,0.9138,0.9138,-0.0025106429,2020-06-11
0.9131,0.9131,0.9131,-0.000766032,2020-06-12
0.9125,0.9125,0.9125,-0.0006571022,2020-06-15
0.9142,0.9142,0.9142,0.0018630137,2020-06-16
0.9117,0.9117,0.9117,-0.0027346314,2020-06-17
0.9224,0.9224,0.9224,0.0117363168,2020-06-18
0.9237,0.9237,0.9237,0.0014093669,2020-06-19
0.9317,0.9317,0.9317,0.0086608206,2020-06-22
0.9317,0.9317,0.9317,0.0,2020-06-23
0.9375,0.9375,0.9375,0.0062251798,2020-06-24
0.9481,0.9481,0.9481,0.0113066667,2020-06-29
0.9433,0.9433,0.9433,-0.0050627571,2020-06-30
0.9332,0.9332,0.9332,-0.0107070921,2020-07-01
0.9438,0.9438,0.9438,0.0113587655,2020-07-02
0.9629,0.9629,0.9629,0.0202373384,2020-07-03
1.0308,1.0308,1.0308,0.0705161491,2020-07-06
1.0416,1.0416,1.0416,0.0104772992,2020-07-07
1.0643,1.0643,1.0643,0.0217933948,2020-07-08
1.0661,1.0661,1.0661,0.0016912525,2020-07-09
1.046,1.046,1.046,-0.0188537661,2020-07-10
1.0745,1.0745,1.0745,0.0272466539,2020-07-13
1.055,1.055,1.055,-0.0181479758,2020-07-14
1.0519,1.0519,1.0519,-0.0029383886,2020-07-15
0.9622,0.9622,0.9622,-0.0852742656,2020-07-16
0.9727,0.9727,0.9727,0.0109124922,2020-07-17
1.0113,1.0113,1.0113,0.0396833556,2020-07-20
1.0146,1.0146,1.0146,0.0032631267,2020-07-21
1.0247,1.0247,1.0247,0.0099546619,2020-07-22
1.0239,1.0239,1.0239,-0.0007807163,2020-07-23
0.947,0.947,0.947,-0.0751049907,2020-07-24
0.9556,0.9556,0.9556,0.0090813094,2020-07-27
0.9576,0.9576,0.9576,0.0020929259,2020-07-28
0.9964,0.9964,0.9964,0.0405179616,2020-07-29
0.9929,0.9929,0.9929,-0.0035126455,2020-07-30
1.0033,1.0033,1.0033,0.010474368,2020-07-31
1.021,1.021,1.021,0.0176417821,2020-08-03
1.0426,1.0426,1.0426,0.0211557297,2020-08-04
1.0414,1.0414,1.0414,-0.0011509687,2020-08-05
1.0373,1.0373,1.0373,-0.0039370079,2020-08-06
1.0293,1.0293,1.0293,-0.0077123301,2020-08-07
1.046,1.046,1.046,0.0162246187,2020-08-10
1.0244,1.0244,1.0244,-0.0206500956,2020-08-11
1.0323,1.0323,1.0323,0.0077118313,2020-08-12
1.0258,1.0258,1.0258,-0.0062966192,2020-08-13
1.0334,1.0334,1.0334,0.0074088516,2020-08-14
1.0654,1.0654,1.0654,0.0309657441,2020-08-17
1.0719,1.0719,1.0719,0.0061009949,2020-08-18
1.0754,1.0754,1.0754,0.00326523,2020-08-19
1.0758,1.0758,1.0758,0.0003719546,2020-08-20
1.0671,1.0671,1.0671,-0.008087005,2020-08-21
1.0616,1.0616,1.0616,-0.0051541561,2020-08-24
1.0564,1.0564,1.0564,-0.0048982668,2020-08-25
1.0539,1.0539,1.0539,-0.0023665278,2020-08-26
1.0466,1.0466,1.0466,-0.0069266534,2020-08-27
1.0575,1.0575,1.0575,0.0104146761,2020-08-28
1.0638,1.0638,1.0638,0.0059574468,2020-08-31
1.0705,1.0705,1.0705,0.0062981763,2020-09-01
1.0559,1.0559,1.0559,-0.0136384867,2020-09-02
1.0516,1.0516,1.0516,-0.0040723553,2020-09-03
1.0532,1.0532,1.0532,0.0015214911,2020-09-04
1.0566,1.0566,1.0566,0.0032282567,2020-09-07
1.0541,1.0541,1.0541,-0.0023660799,2020-09-08
1.0552,1.0552,1.0552,0.0010435443,2020-09-09
1.0701,1.0701,1.0701,0.0141205459,2020-09-10
1.0587,1.0587,1.0587,-0.01065321,2020-09-11
1.0546,1.0546,1.0546,-0.003872674,2020-09-14
1.0551,1.0551,1.0551,0.0004741134,2020-09-15
1.0643,1.0643,1.0643,0.0087195526,2020-09-16
1.0641,1.0641,1.0641,-0.0001879169,2020-09-17
1.0494,1.0494,1.0494,-0.0138144911,2020-09-18
1.0583,1.0583,1.0583,0.0084810368,2020-09-21
1.0709,1.0709,1.0709,0.0119058868,2020-09-22
1.0738,1.0738,1.0738,0.0027080026,2020-09-23
1.0712,1.0712,1.0712,-0.0024213075,2020-09-24
1.073,1.073,1.073,0.0016803585,2020-09-25
1.0738,1.0738,1.0738,0.0007455732,2020-09-28
1.0712,1.0712,1.0712,-0.0024213075,2020-09-29
1.0847,1.0847,1.0847,0.0126026886,2020-09-30
1.0,1.1044,1.1044,0.0181617037,2020-10-09
0.981,1.0854,1.0834164,-0.019,2020-10-12
0.989,1.0934,1.0922516,0.0081549439,2020-10-13
0.9864,1.0908,1.08938016,-0.0026289181,2020-10-14
0.9885,1.0929,1.0916994,0.0021289538,2020-10-15
0.981,1.0854,1.0834164,-0.0075872534,2020-10-16
0.9863,1.0907,1.08926972,0.0054026504,2020-10-19
0.9873,1.0917,1.09037412,0.0010138903,2020-10-20
0.9826,1.087,1.08518344,-0.0047604578,2020-10-21
0.9786,1.083,1.08076584,-0.0040708325,2020-10-22
0.9732,1.0776,1.07480208,-0.0055180871,2020-10-23
0.982,1.0864,1.0845208,0.0090423346,2020-10-26
0.982,1.0864,1.0845208,0.0,2020-10-27
0.977,1.0814,1.0789988,-0.0050916497,2020-10-28
0.9801,1.0845,1.08242244,0.0031729785,2020-10-29
0.9952,1.0996,1.09909888,0.0154065912,2020-10-30
1.0024,1.1068,1.10705056,0.0072347267,2020-11-02
1.0023,1.1067,1.10694012,-9.97606e-05,2020-11-03
1.0172,1.1216,1.12339568,0.0148658086,2020-11-04
1.0106,1.115,1.11610664,-0.0064883995,2020-11-05
1.0079,1.1123,1.11312476,-0.0026716802,2020-11-06
0.9843,1.0887,1.08706092,-0.0234150213,2020-11-09
0.9771,1.0815,1.07910924,-0.007314843,2020-11-10
0.9801,1.0845,1.08242244,0.0030703101,2020-11-11
0.9862,1.0906,1.08915928,0.0062238547,2020-11-12
0.9957,1.1001,1.09965108,0.0096329345,2020-11-13
0.9948,1.0992,1.09865712,-0.0009038867,2020-11-16
0.9935,1.0979,1.0972214,-0.0013067953,2020-11-17
1.0063,1.1107,1.11135772,0.0128837443,2020-11-18
1.0188,1.1232,1.12516272,0.012421743,2020-11-19
1.0082,1.1126,1.11345608,-0.0104043973,2020-11-20
0.9962,1.1006,1.10020328,-0.0119024003,2020-11-23
0.9914,1.0958,1.09490216,-0.0048183096,2020-11-24
0.9929,1.0973,1.09655876,0.0015130119,2020-11-25
0.9985,1.1029,1.1027434,0.0056400443,2020-11-26
0.9971,1.1015,1.10119724,-0.0014021032,2020-11-27
1.0019,1.1063,1.10649836,0.0048139605,2020-11-30
0.9869,1.0913,1.08993236,-0.014971554,2020-12-01
0.9845,1.0889,1.0872818,-0.0024318573,2020-12-02
