nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-06-18
1.0,1.0,1.0,0.0,2025-06-20
0.9999,0.9999,0.9999,-0.0001,2025-06-27
0.9999,0.9999,0.9999,0.0,2025-06-30
0.9928,0.9928,0.9928,-0.0071007101,2025-07-04
1.0199,1.0199,1.0199,0.0272965351,2025-07-11
1.0308,1.0308,1.0308,0.0106873223,2025-07-18
1.0514,1.0514,1.0514,0.0199844781,2025-07-25
1.0509,1.0509,1.0509,-0.0004755564,2025-07-31
1.0565,1.0565,1.0565,0.0053287658,2025-08-01
1.0933,1.0933,1.0933,0.0348319924,2025-08-08
1.1215,1.1215,1.1215,0.0257934693,2025-08-15
1.1523,1.1523,1.1523,0.0274632189,2025-08-22
1.1489,1.1489,1.1489,-0.0029506205,2025-08-29
1.1417,1.1417,1.1417,-0.006266864,2025-09-05
1.1612,1.1612,1.1612,0.0170797933,2025-09-12
1.1624,1.1624,1.1624,0.0010334137,2025-09-19
1.1478,1.1478,1.1478,-0.0125602202,2025-09-26
1.166,1.166,1.166,0.015856421,2025-09-30
1.1695,1.1695,1.1695,0.0030017153,2025-10-10
1.1414,1.1414,1.1414,-0.0240273621,2025-10-17
1.1797,1.1797,1.1797,0.033555283,2025-10-24
1.1953,1.1953,1.1953,0.0132237009,2025-10-31
1.225,1.225,1.225,0.0248473187,2025-11-07
1.2543,1.2543,1.2543,0.0239183673,2025-11-14
1.1728,1.1728,1.1728,-0.0649764809,2025-11-21
1.2324,1.2324,1.2324,0.0508185539,2025-11-28
1.2386,1.2386,1.2386,0.0050308341,2025-12-05
1.2253,1.2253,1.2253,-0.0107379299,2025-12-12
1.2407,1.2407,1.2407,0.0125683506,2025-12-19
1.2826,1.2826,1.2826,0.0337712582,2025-12-26
1.2741,1.2741,1.2741,-0.0066271636,2025-12-31
1.349,1.349,1.349,0.0587865945,2026-01-09
1.3717,1.3717,1.3717,0.0168272795,2026-01-16
1.4325,1.4325,1.4325,0.0443245608,2026-01-23
1.3913,1.3913,1.3913,-0.0287609075,2026-01-30
1.3904,1.3904,1.3904,-0.000646877,2026-02-06
1.399,1.399,1.399,0.0061852704,2026-02-13
1.4628,1.4628,1.4628,0.0456040029,2026-02-27
1.4314,1.4314,1.4314,-0.0214656823,2026-03-06
1.4064,1.4064,1.4064,-0.0174654185,2026-03-13
1.3284,1.3284,1.3284,-0.0554607509,2026-03-20
1.3374,1.3374,1.3374,0.0067750678,2026-03-27
1.2925,1.2925,1.2925,-0.0335726036,2026-04-03
1.3621,1.3621,1.3621,0.0538491296,2026-04-10
1.4169,1.4169,1.4169,0.0402319947,2026-04-17
1.4287,1.4287,1.4287,0.0083280401,2026-04-24
1.4533,1.4533,1.4533,0.0172184503,2026-04-30
1.5256,1.5256,1.5256,0.0497488475,2026-05-08
1.5258,1.5258,1.5258,0.000131096,2026-05-15
1.5349,1.5349,1.5349,0.0059640844,2026-05-22
