nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-01-15
0.9999,0.9999,0.9999,-0.0001,2018-01-19
0.9997,0.9997,0.9997,-0.00020002,2018-01-26
0.9995,0.9995,0.9995,-0.00020006,2018-01-31
1.0005,1.0005,1.0005,0.0010005003,2018-02-02
0.96,0.96,0.96,-0.0404797601,2018-02-09
0.9733,0.9733,0.9733,0.0138541667,2018-02-14
0.9819,0.9819,0.9819,0.008835919,2018-02-23
0.9752,0.9752,0.9752,-0.0068235054,2018-02-28
0.9746,0.9746,0.9746,-0.0006152584,2018-03-02
0.9802,0.9802,0.9802,0.0057459471,2018-03-09
0.9817,0.9817,0.9817,0.0015302999,2018-03-16
0.9701,0.9701,0.9701,-0.0118162371,2018-03-23
0.9578,0.9578,0.9578,-0.0126791052,2018-03-30
0.9539,0.9539,0.9539,-0.0040718313,2018-04-04
0.9601,0.9601,0.9601,0.0064996331,2018-04-13
0.9477,0.9477,0.9477,-0.0129153213,2018-04-20
0.9478,0.9478,0.9478,0.0001055186,2018-04-27
0.9529,0.9529,0.9529,0.005380882,2018-05-04
0.9512,0.9512,0.9512,-0.0017840277,2018-05-11
0.9476,0.9476,0.9476,-0.003784693,2018-05-18
0.9479,0.9479,0.9479,0.0003165893,2018-05-25
0.9466,0.9466,0.9466,-0.0013714527,2018-05-31
0.9465,0.9465,0.9465,-0.0001056412,2018-06-01
0.9457,0.9457,0.9457,-0.0008452192,2018-06-08
0.9381,0.9381,0.9381,-0.0080363752,2018-06-15
0.9266,0.9266,0.9266,-0.012258821,2018-06-22
0.9231,0.9231,0.9231,-0.0037772502,2018-06-29
0.9229,0.9229,0.9229,-0.0002166613,2018-07-06
0.9274,0.9274,0.9274,0.0048759346,2018-07-13
0.9275,0.9275,0.9275,0.0001078283,2018-07-20
0.9274,0.9274,0.9274,-0.0001078167,2018-07-27
0.9286,0.9286,0.9286,0.00129394,2018-07-31
0.9335,0.9335,0.9335,0.0052767607,2018-08-03
0.9318,0.9318,0.9318,-0.0018211034,2018-08-10
0.9342,0.9342,0.9342,0.00257566,2018-08-17
0.9308,0.9308,0.9308,-0.0036394776,2018-08-24
0.9312,0.9312,0.9312,0.0004297379,2018-08-31
0.9339,0.9339,0.9339,0.0028994845,2018-09-07
0.9302,0.9302,0.9302,-0.0039618803,2018-09-14
0.937,0.937,0.937,0.0073102559,2018-09-21
0.9348,0.9348,0.9348,-0.0023479189,2018-09-28
0.9154,0.9154,0.9154,-0.0207531023,2018-10-12
0.9166,0.9166,0.9166,0.0013109023,2018-10-19
0.916,0.916,0.916,-0.0006545931,2018-10-26
0.9157,0.9157,0.9157,-0.0003275109,2018-10-31
0.9172,0.9172,0.9172,0.0016380911,2018-11-02
0.9191,0.9191,0.9191,0.002071522,2018-11-09
0.9185,0.9185,0.9185,-0.0006528125,2018-11-16
0.9176,0.9176,0.9176,-0.0009798585,2018-11-23
0.9159,0.9159,0.9159,-0.0018526591,2018-11-30
0.9191,0.9191,0.9191,0.0034938312,2018-12-07
0.9157,0.9157,0.9157,-0.003699271,2018-12-14
0.9177,0.9177,0.9177,0.0021841214,2018-12-21
0.9183,0.9183,0.9183,0.0006538084,2018-12-28
0.9184,0.9184,0.9184,0.0001088969,2019-01-04
0.9194,0.9194,0.9194,0.0010888502,2019-01-11
0.921,0.921,0.921,0.0017402654,2019-01-18
0.92,0.92,0.92,-0.0010857763,2019-01-25
