nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-05-27
0.9999,0.9999,0.9999,-0.0001,2020-05-29
0.9994,0.9994,0.9994,-0.00050005,2020-06-05
1.0037,1.0037,1.0037,0.0043025815,2020-06-12
1.0201,1.0201,1.0201,0.0163395437,2020-06-19
1.0274,1.0274,1.0274,0.0071561612,2020-06-24
1.0265,1.0265,1.0265,-0.0008759977,2020-06-30
1.0907,1.0907,1.0907,0.0625426206,2020-07-03
1.1742,1.1742,1.1742,0.07655634,2020-07-10
1.1718,1.1718,1.1718,-0.0020439448,2020-07-17
1.193,1.193,1.193,0.0180918245,2020-07-24
1.2239,1.2239,1.2239,0.0259010897,2020-07-31
1.2441,1.2441,1.2441,0.0165046164,2020-08-07
1.2407,1.2407,1.2407,-0.0027328993,2020-08-14
1.258,1.258,1.258,0.0139437414,2020-08-21
1.2975,1.2975,1.2975,0.0313990461,2020-08-28
1.2818,1.2818,1.2818,-0.0121001927,2020-08-31
1.265,1.265,1.265,-0.0131065689,2020-09-04
1.2505,1.2505,1.2505,-0.0114624506,2020-09-11
1.2627,1.2627,1.2627,0.0097560976,2020-09-18
1.2179,1.2179,1.2179,-0.035479528,2020-09-25
1.2227,1.2227,1.2227,0.0039412103,2020-09-30
1.2214,1.2214,1.2214,-0.0010632207,2020-10-09
1.2264,1.2264,1.2264,0.004093663,2020-10-16
1.2289,1.2289,1.2289,0.0020384866,2020-10-23
1.2202,1.2202,1.2202,-0.007079502,2020-10-30
1.263,1.263,1.263,0.035076217,2020-11-06
1.2903,1.2903,1.2903,0.0216152019,2020-11-13
1.3474,1.3474,1.3474,0.0442532744,2020-11-20
1.3663,1.3663,1.3663,0.014027015,2020-11-27
1.3576,1.3576,1.3576,-0.006367562,2020-11-30
1.3931,1.3931,1.3931,0.0261490866,2020-12-04
1.345,1.345,1.345,-0.0345273132,2020-12-11
1.3632,1.3632,1.3632,0.0135315985,2020-12-18
1.3491,1.3491,1.3491,-0.0103433099,2020-12-25
1.3834,1.3834,1.3834,0.025424357,2020-12-31
1.4302,1.4302,1.4302,0.033829695,2021-01-08
1.4203,1.4203,1.4203,-0.0069221088,2021-01-15
1.4442,1.4442,1.4442,0.0168274308,2021-01-22
1.3641,1.3641,1.3641,-0.0554632322,2021-01-29
1.37,1.37,1.37,0.0043251961,2021-02-05
1.4414,1.4414,1.4414,0.0521167883,2021-02-10
1.4602,1.4602,1.4602,0.013042875,2021-02-19
1.4147,1.4147,1.4147,-0.0311601151,2021-02-26
1.3937,1.3937,1.3937,-0.0148441366,2021-03-05
1.3932,1.3932,1.3932,-0.0003587573,2021-03-12
1.3815,1.3815,1.3815,-0.0083979328,2021-03-19
1.3764,1.3764,1.3764,-0.0036916395,2021-03-26
1.4024,1.4024,1.4024,0.0188898576,2021-03-31
1.4275,1.4275,1.4275,0.0178978893,2021-04-02
1.4075,1.4075,1.4075,-0.0140105079,2021-04-09
1.3707,1.3707,1.3707,-0.0261456483,2021-04-16
1.3871,1.3871,1.3871,0.0119646896,2021-04-23
1.3745,1.3745,1.3745,-0.0090836998,2021-04-30
1.3476,1.3476,1.3476,-0.019570753,2021-05-07
1.347,1.347,1.347,-0.000445236,2021-05-14
1.3371,1.3371,1.3371,-0.0073496659,2021-05-21
1.4127,1.4127,1.4127,0.0565402737,2021-05-28
1.4153,1.4153,1.4153,0.0018404474,2021-05-31
1.4362,1.4362,1.4362,0.0147671872,2021-06-04
1.3628,1.3628,1.3628,-0.0511070881,2021-06-11
1.3578,1.3578,1.3578,-0.0036689169,2021-06-18
1.3797,1.3797,1.3797,0.0161290323,2021-06-25
1.3708,1.3708,1.3708,-0.0064506777,2021-06-30
1.2721,1.2721,1.2721,-0.0720017508,2021-07-02
1.2569,1.2569,1.2569,-0.0119487462,2021-07-09
1.2536,1.2536,1.2536,-0.0026255072,2021-07-16
1.2791,1.2791,1.2791,0.0203414167,2021-07-23
1.2556,1.2556,1.2556,-0.018372293,2021-07-30
1.289,1.289,1.289,0.0266008283,2021-08-06
1.3024,1.3024,1.3024,0.0103956555,2021-08-13
1.2652,1.2652,1.2652,-0.0285626536,2021-08-20
1.2671,1.2671,1.2671,0.0015017389,2021-08-27
1.262,1.262,1.262,-0.0040249388,2021-08-31
1.2686,1.2686,1.2686,0.005229794,2021-09-03
1.3079,1.3079,1.3079,0.030979032,2021-09-10
1.3122,1.3122,1.3122,0.0032877131,2021-09-17
1.3151,1.3151,1.3151,0.002210029,2021-09-24
1.29,1.29,1.29,-0.0190860011,2021-09-30
1.3148,1.3148,1.3148,0.0192248062,2021-10-08
1.3173,1.3173,1.3173,0.0019014299,2021-10-15
