nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-12-27
1.0,1.0,1.0,0.0,2021-12-31
0.9997,0.9997,0.9997,-0.0003,2022-01-07
0.9996,0.9996,0.9996,-0.00010003,2022-01-14
0.968,0.968,0.968,-0.0316126451,2022-01-21
0.9321,0.9321,0.9321,-0.0370867769,2022-01-28
0.9537,0.9537,0.9537,0.0231734792,2022-02-11
0.9738,0.9738,0.9738,0.02107581,2022-02-18
0.9706,0.9706,0.9706,-0.0032860957,2022-02-25
0.9618,0.9618,0.9618,-0.0090665568,2022-03-04
0.924,0.924,0.924,-0.03930131,2022-03-11
0.9051,0.9051,0.9051,-0.0204545455,2022-03-18
0.899,0.899,0.899,-0.0067395868,2022-03-25
0.9094,0.9094,0.9094,0.0115684093,2022-04-01
0.8966,0.8966,0.8966,-0.0140752144,2022-04-08
0.8712,0.8712,0.8712,-0.0283292438,2022-04-15
0.8279,0.8279,0.8279,-0.0497015611,2022-04-22
0.8027,0.8027,0.8027,-0.0304384588,2022-04-29
0.7977,0.7977,0.7977,-0.0062289772,2022-05-06
0.8378,0.8378,0.8378,0.0502695249,2022-05-13
0.8597,0.8597,0.8597,0.0261398902,2022-05-20
0.8587,0.8587,0.8587,-0.0011631965,2022-05-27
0.8807,0.8807,0.8807,0.0256201234,2022-06-02
0.8999,0.8999,0.8999,0.0218008402,2022-06-10
0.9142,0.9142,0.9142,0.0158906545,2022-06-17
0.93,0.93,0.93,0.0172828703,2022-06-24
0.9401,0.9401,0.9401,0.0108602151,2022-07-01
0.9393,0.9393,0.9393,-0.0008509733,2022-07-08
0.9204,0.9204,0.9204,-0.020121367,2022-07-15
0.9429,0.9429,0.9429,0.0244458931,2022-07-22
0.9481,0.9481,0.9481,0.0055149008,2022-07-29
0.929,0.929,0.929,-0.0201455543,2022-08-05
0.9578,0.9578,0.9578,0.0310010764,2022-08-12
0.9616,0.9616,0.9616,0.0039674253,2022-08-19
0.9411,0.9411,0.9411,-0.0213186356,2022-08-26
0.9165,0.9165,0.9165,-0.0261396238,2022-09-02
0.938,0.938,0.938,0.0234588107,2022-09-09
0.8801,0.8801,0.8801,-0.0617270789,2022-09-16
0.8672,0.8672,0.8672,-0.0146574253,2022-09-23
0.8366,0.8366,0.8366,-0.0352859779,2022-09-30
0.8681,0.8681,0.8681,0.0376524026,2022-10-14
0.875,0.875,0.875,0.007948393,2022-10-21
0.8424,0.8424,0.8424,-0.0372571429,2022-10-28
0.909,0.909,0.909,0.0790598291,2022-11-04
0.9177,0.9177,0.9177,0.0095709571,2022-11-11
0.9231,0.9231,0.9231,0.0058842759,2022-11-18
0.9162,0.9162,0.9162,-0.0074748131,2022-11-25
0.9508,0.9508,0.9508,0.0377646802,2022-12-02
0.9567,0.9567,0.9567,0.0062053008,2022-12-09
0.9546,0.9546,0.9546,-0.0021950455,2022-12-16
0.9162,0.9162,0.9162,-0.0402262728,2022-12-23
0.927,0.927,0.927,0.0117878193,2022-12-30
0.957,0.957,0.957,0.0323624595,2023-01-06
0.9591,0.9591,0.9591,0.0021943574,2023-01-13
0.9698,0.9698,0.9698,0.0111562924,2023-01-20
1.0041,1.0041,1.0041,0.0353681171,2023-02-03
1.0087,1.0087,1.0087,0.004581217,2023-02-10
1.0053,1.0053,1.0053,-0.0033706751,2023-02-17
1.0141,1.0141,1.0141,0.0087536059,2023-02-24
1.0197,1.0197,1.0197,0.0055221379,2023-03-03
0.9896,0.9896,0.9896,-0.0295184858,2023-03-10
0.9838,0.9838,0.9838,-0.0058609539,2023-03-17
0.9996,0.9996,0.9996,0.0160601748,2023-03-24
1.0008,1.0008,1.0008,0.0012004802,2023-03-31
1.0117,1.0117,1.0117,0.010891287,2023-04-07
1.0137,1.0137,1.0137,0.0019768706,2023-04-14
1.0019,1.0019,1.0019,-0.0116405248,2023-04-21
1.0116,1.0116,1.0116,0.009681605,2023-04-28
1.0087,1.0087,1.0087,-0.0028667457,2023-05-05
0.9963,0.9963,0.9963,-0.0122930505,2023-05-12
0.9977,0.9977,0.9977,0.0014051992,2023-05-19
0.9872,0.9872,0.9872,-0.0105242057,2023-05-26
0.9962,0.9962,0.9962,0.0091166937,2023-06-02
