nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2020-12-11
1.0002,1.0002,1.0002,9.999e-05,2020-12-18
0.9999,0.9999,0.9999,-0.00029994,2020-12-25
1.0007,1.0007,1.0007,0.00080008,2020-12-31
1.0039,1.0039,1.0039,0.0031977616,2021-01-08
1.0022,1.0022,1.0022,-0.0016933958,2021-01-15
1.0022,1.0022,1.0022,0.0,2021-01-22
1.0086,1.0086,1.0086,0.0063859509,2021-01-29
1.0071,1.0071,1.0071,-0.00148721,2021-02-05
1.0133,1.0133,1.0133,0.0061562903,2021-02-10
1.0148,1.0148,1.0148,0.0014803119,2021-02-19
1.02,1.02,1.02,0.0051241624,2021-02-26
1.0248,1.0248,1.0248,0.0047058824,2021-03-05
1.0185,1.0185,1.0185,-0.006147541,2021-03-12
1.0203,1.0203,1.0203,0.0017673049,2021-03-19
1.0355,1.0355,1.0355,0.0148975791,2021-03-26
1.0354,1.0354,1.0354,-9.65717e-05,2021-03-31
1.0378,1.0378,1.0378,0.0023179448,2021-04-02
1.0457,1.0457,1.0457,0.0076122567,2021-04-09
1.0467,1.0467,1.0467,0.0009562972,2021-04-16
1.0447,1.0447,1.0447,-0.0019107672,2021-04-23
1.032,1.032,1.032,-0.0121566,2021-04-30
1.0273,1.0273,1.0273,-0.0045542636,2021-05-07
1.0307,1.0307,1.0307,0.0033096466,2021-05-14
1.029,1.029,1.029,-0.0016493645,2021-05-21
1.0305,1.0305,1.0305,0.0014577259,2021-05-28
1.0388,1.0388,1.0388,0.0080543426,2021-05-31
1.0413,1.0413,1.0413,0.002406623,2021-06-04
1.0645,1.0645,1.0645,0.0222798425,2021-06-11
1.0618,1.0618,1.0618,-0.0025364021,2021-06-18
1.0643,1.0643,1.0643,0.0023544924,2021-06-25
1.0682,1.0682,1.0682,0.0036643803,2021-06-30
1.0724,1.0724,1.0724,0.003931848,2021-07-02
1.0957,1.0957,1.0957,0.0217269675,2021-07-09
1.1018,1.1018,1.1018,0.0055672173,2021-07-16
1.1413,1.1413,1.1413,0.0358504266,2021-07-23
1.1481,1.1481,1.1481,0.0059581179,2021-07-30
1.1545,1.1545,1.1545,0.0055744273,2021-08-06
1.153,1.153,1.153,-0.0012992638,2021-08-13
1.1535,1.1535,1.1535,0.0004336513,2021-08-20
1.1779,1.1779,1.1779,0.0211530126,2021-08-27
1.1725,1.1725,1.1725,-0.0045844299,2021-08-31
1.1674,1.1674,1.1674,-0.0043496802,2021-09-03
1.187,1.187,1.187,0.0167894466,2021-09-10
1.1952,1.1952,1.1952,0.0069081719,2021-09-17
1.1939,1.1939,1.1939,-0.0010876841,2021-09-24
1.1898,1.1898,1.1898,-0.0034341235,2021-09-30
1.175,1.175,1.175,-0.0124390654,2021-10-08
1.1805,1.1805,1.1805,0.0046808511,2021-10-15
1.1915,1.1915,1.1915,0.0093180856,2021-10-22
1.1947,1.1947,1.1947,0.0026856903,2021-10-29
1.1934,1.1934,1.1934,-0.0010881393,2021-11-05
1.1981,1.1981,1.1981,0.0039383275,2021-11-12
1.1921,1.1921,1.1921,-0.0050079292,2021-11-19
1.2005,1.2005,1.2005,0.0070463887,2021-11-26
1.2025,1.2025,1.2025,0.0016659725,2021-11-30
1.2,1.2,1.2,-0.0020790021,2021-12-03
1.1921,1.1921,1.1921,-0.0065833333,2021-12-10
1.1924,1.1924,1.1924,0.0002516567,2021-12-17
1.1953,1.1953,1.1953,0.0024320698,2021-12-24
1.1985,1.1985,1.1985,0.0026771522,2021-12-31
0.9896,1.1881,1.1881,-0.0086775136,2022-01-06
0.9872,1.1857,1.18521859,-0.0024252223,2022-01-07
0.9942,1.1927,1.1936227,0.0070907618,2022-01-14
0.9954,1.1939,1.1950634,0.0012070006,2022-01-21
1.0032,1.2017,1.20442797,0.0078360458,2022-01-28
0.9947,1.1932,1.19422299,-0.0084728868,2022-02-11
0.9965,1.195,1.19638404,0.0018095908,2022-02-18
1.0032,1.2017,1.20442797,0.0067235324,2022-02-25
