nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.1187,1.1187,1.1187,0.0,2025-06-13
1.1316,1.1316,1.1316,0.0115312416,2025-06-16
1.1303,1.1303,1.1303,-0.0011488158,2025-06-17
1.1002,1.1002,1.1002,-0.0266300982,2025-06-20
1.1218,1.1218,1.1218,0.019632794,2025-06-23
1.1466,1.1466,1.1466,0.0221073275,2025-06-24
1.1641,1.1641,1.1641,0.0152625153,2025-06-27
1.1804,1.1804,1.1804,0.0140022335,2025-06-30
1.1842,1.1842,1.1842,0.0032192477,2025-07-01
1.176,1.176,1.176,-0.006924506,2025-07-04
1.1856,1.1856,1.1856,0.0081632653,2025-07-07
1.2006,1.2006,1.2006,0.0126518219,2025-07-08
1.2096,1.2096,1.2096,0.0074962519,2025-07-11
1.2179,1.2179,1.2179,0.0068617725,2025-07-14
1.2074,1.2074,1.2074,-0.0086213975,2025-07-15
1.2292,1.2292,1.2292,0.0180553255,2025-07-18
1.2473,1.2473,1.2473,0.0147250244,2025-07-21
1.2518,1.2518,1.2518,0.0036077928,2025-07-22
1.2631,1.2631,1.2631,0.0090270011,2025-07-25
1.2706,1.2706,1.2706,0.0059377721,2025-07-28
1.2733,1.2733,1.2733,0.0021249803,2025-07-29
1.2559,1.2559,1.2559,-0.0136652792,2025-07-31
1.2646,1.2646,1.2646,0.0069273031,2025-08-01
1.2805,1.2805,1.2805,0.0125731457,2025-08-04
1.2904,1.2904,1.2904,0.0077313549,2025-08-05
1.304,1.304,1.304,0.0105393676,2025-08-08
1.3249,1.3249,1.3249,0.0160276074,2025-08-11
1.3241,1.3241,1.3241,-0.0006038192,2025-08-12
1.3307,1.3307,1.3307,0.0049845178,2025-08-15
1.3552,1.3552,1.3552,0.0184113624,2025-08-18
1.3661,1.3661,1.3661,0.0080430933,2025-08-19
1.3778,1.3778,1.3778,0.0085645268,2025-08-22
1.39,1.39,1.39,0.0088546959,2025-08-25
1.395,1.395,1.395,0.0035971223,2025-08-26
1.363,1.363,1.363,-0.0229390681,2025-08-29
1.3773,1.3773,1.3773,0.0104915627,2025-09-01
1.3613,1.3613,1.3613,-0.0116169317,2025-09-02
1.3646,1.3646,1.3646,0.0024241534,2025-09-05
1.3829,1.3829,1.3829,0.0134105232,2025-09-08
1.3689,1.3689,1.3689,-0.0101236532,2025-09-09
1.3897,1.3897,1.3897,0.0151946819,2025-09-12
1.3904,1.3904,1.3904,0.0005037058,2025-09-15
1.4078,1.4078,1.4078,0.0125143843,2025-09-16
1.3853,1.3853,1.3853,-0.0159823839,2025-09-19
1.3851,1.3851,1.3851,-0.0001443731,2025-09-22
1.3655,1.3655,1.3655,-0.0141506028,2025-09-23
1.3722,1.3722,1.3722,0.0049066276,2025-09-26
1.3844,1.3844,1.3844,0.0088908322,2025-09-29
1.3886,1.3886,1.3886,0.0030338053,2025-09-30
1.3963,1.3963,1.3963,0.0055451534,2025-10-09
1.3961,1.3961,1.3961,-0.0001432357,2025-10-10
1.3942,1.3942,1.3942,-0.001360934,2025-10-13
1.3824,1.3824,1.3824,-0.0084636351,2025-10-14
1.3599,1.3599,1.3599,-0.0162760417,2025-10-17
1.3802,1.3802,1.3802,0.0149275682,2025-10-20
1.4067,1.4067,1.4067,0.0192001159,2025-10-21
1.4179,1.4179,1.4179,0.0079618966,2025-10-24
1.4277,1.4277,1.4277,0.0069116299,2025-10-27
1.4323,1.4323,1.4323,0.0032219654,2025-10-28
1.4386,1.4386,1.4386,0.0043985199,2025-10-31
1.451,1.451,1.451,0.0086194912,2025-11-03
1.4426,1.4426,1.4426,-0.005789111,2025-11-04
1.4591,1.4591,1.4591,0.011437682,2025-11-07
1.4698,1.4698,1.4698,0.0073332876,2025-11-10
1.4768,1.4768,1.4768,0.0047625527,2025-11-11
1.4875,1.4875,1.4875,0.0072453954,2025-11-14
1.4924,1.4924,1.4924,0.0032941176,2025-11-17
1.4762,1.4762,1.4762,-0.0108549987,2025-11-18
1.3885,1.3885,1.3885,-0.0594092941,2025-11-21
1.4133,1.4133,1.4133,0.0178610011,2025-11-24
1.4333,1.4333,1.4333,0.0141512772,2025-11-25
1.4494,1.4494,1.4494,0.0112328194,2025-11-28
1.459,1.459,1.459,0.0066234304,2025-12-01
1.4529,1.4529,1.4529,-0.0041809459,2025-12-02
1.4506,1.4506,1.4506,-0.0015830408,2025-12-05
1.4645,1.4645,1.4645,0.0095822418,2025-12-08
1.4543,1.4543,1.4543,-0.0069648344,2025-12-09
1.4345,1.4345,1.4345,-0.0136147975,2025-12-12
1.4349,1.4349,1.4349,0.0002788428,2025-12-15
1.4145,1.4145,1.4145,-0.0142170186,2025-12-16
1.4549,1.4549,1.4549,0.0285613291,2025-12-19
1.4617,1.4617,1.4617,0.0046738607,2025-12-22
1.4512,1.4512,1.4512,-0.0071834166,2025-12-23
1.4851,1.4851,1.4851,0.0233599779,2025-12-26
1.4828,1.4828,1.4828,-0.0015487173,2025-12-29
1.4801,1.4801,1.4801,-0.0018208794,2025-12-30
1.4837,1.4837,1.4837,0.0024322681,2025-12-31
1.5085,1.5085,1.5085,0.0167149693,2026-01-05
1.5269,1.5269,1.5269,0.0121975472,2026-01-06
1.5724,1.5724,1.5724,0.029798939,2026-01-09
1.6123,1.6123,1.6123,0.0253752226,2026-01-12
1.5994,1.5994,1.5994,-0.0080009924,2026-01-13
1.6061,1.6061,1.6061,0.0041890709,2026-01-16
1.6245,1.6245,1.6245,0.0114563228,2026-01-19
1.6181,1.6181,1.6181,-0.0039396737,2026-01-20
1.673,1.673,1.673,0.0339286818,2026-01-23
1.6545,1.6545,1.6545,-0.0110579797,2026-01-26
1.6519,1.6519,1.6519,-0.0015714717,2026-01-27
1.6316,1.6316,1.6316,-0.0122888795,2026-01-30
1.5962,1.5962,1.5962,-0.0216964942,2026-02-02
1.6311,1.6311,1.6311,0.021864428,2026-02-03
1.6337,1.6337,1.6337,0.0015940163,2026-02-06
1.6611,1.6611,1.6611,0.0167717451,2026-02-09
1.6642,1.6642,1.6642,0.0018662332,2026-02-10
1.6499,1.6499,1.6499,-0.0085927172,2026-02-13
1.6732,1.6732,1.6732,0.014122068,2026-02-24
1.6875,1.6875,1.6875,0.0085464977,2026-02-25
1.7035,1.7035,1.7035,0.0094814815,2026-02-27
1.6685,1.6685,1.6685,-0.0205459348,2026-03-02
1.6196,1.6196,1.6196,-0.0293077615,2026-03-03
1.6654,1.6654,1.6654,0.0282785873,2026-03-06
1.6544,1.6544,1.6544,-0.0066050198,2026-03-09
1.6846,1.6846,1.6846,0.018254352,2026-03-10
1.6549,1.6549,1.6549,-0.017630298,2026-03-13
1.6601,1.6601,1.6601,0.0031421838,2026-03-16
1.6289,1.6289,1.6289,-0.0187940486,2026-03-17
1.5664,1.5664,1.5664,-0.0383694518,2026-03-20
1.4772,1.4772,1.4772,-0.0569458631,2026-03-23
1.5359,1.5359,1.5359,0.0397373409,2026-03-24
1.571,1.571,1.571,0.0228530503,2026-03-27
1.5765,1.5765,1.5765,0.0035009548,2026-03-30
1.5566,1.5566,1.5566,-0.0126228988,2026-03-31
1.5241,1.5241,1.5241,-0.0208788385,2026-04-03
1.5499,1.5499,1.5499,0.0169280231,2026-04-07
1.6116,1.6116,1.6116,0.0398090199,2026-04-08
1.6093,1.6093,1.6093,-0.0014271531,2026-04-10
1.6105,1.6105,1.6105,0.0007456658,2026-04-13
1.6252,1.6252,1.6252,0.0091276001,2026-04-14
1.656,1.656,1.656,0.0189515137,2026-04-17
1.6697,1.6697,1.6697,0.0082729469,2026-04-20
1.6657,1.6657,1.6657,-0.0023956399,2026-04-21
1.6513,1.6513,1.6513,-0.0086450141,2026-04-24
1.6665,1.6665,1.6665,0.0092048689,2026-04-27
1.6494,1.6494,1.6494,-0.0102610261,2026-04-28
1.681,1.681,1.681,0.0191584819,2026-04-30
1.703,1.703,1.703,0.0130874479,2026-05-06
1.7227,1.7227,1.7227,0.0115678215,2026-05-07
1.7452,1.7452,1.7452,0.0130608928,2026-05-08
1.7612,1.7612,1.7612,0.0091680037,2026-05-11
1.7421,1.7421,1.7421,-0.0108448785,2026-05-12
1.7261,1.7261,1.7261,-0.0091843178,2026-05-15
1.729,1.729,1.729,0.0016800881,2026-05-18
1.7478,1.7478,1.7478,0.0108733372,2026-05-19
1.7126,1.7126,1.7126,-0.0201396041,2026-05-22
1.7074,1.7074,1.7074,-0.003036319,2026-05-25
1.6783,1.6783,1.6783,-0.0170434579,2026-05-26
