nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9992,0.9992,0.9992,0.0,2025-11-26
0.9993,0.9993,0.9993,0.0001000801,2025-11-28
0.9992,0.9992,0.9992,-0.00010007,2025-12-03
1.0114,1.0114,1.0114,0.0122097678,2025-12-05
1.0226,1.0226,1.0226,0.0110737591,2025-12-10
1.0132,1.0132,1.0132,-0.009192255,2025-12-12
1.0011,1.0011,1.0011,-0.0119423608,2025-12-17
1.0159,1.0159,1.0159,0.0147837379,2025-12-19
1.0348,1.0348,1.0348,0.0186041933,2025-12-24
1.0483,1.0483,1.0483,0.0130459992,2025-12-26
1.0481,1.0481,1.0481,-0.0001907851,2025-12-31
1.0842,1.0842,1.0842,0.0344432783,2026-01-07
1.1158,1.1158,1.1158,0.029145914,2026-01-09
1.1405,1.1405,1.1405,0.0221365836,2026-01-14
1.1342,1.1342,1.1342,-0.005523893,2026-01-16
1.1483,1.1483,1.1483,0.0124316699,2026-01-21
1.1811,1.1811,1.1811,0.0285639641,2026-01-23
1.1623,1.1623,1.1623,-0.0159173652,2026-01-28
1.1509,1.1509,1.1509,-0.009808139,2026-01-30
1.1568,1.1568,1.1568,0.0051264228,2026-02-04
1.1483,1.1483,1.1483,-0.0073478562,2026-02-06
1.1666,1.1666,1.1666,0.0159366019,2026-02-11
1.1627,1.1627,1.1627,-0.0033430482,2026-02-13
1.189,1.189,1.189,0.0226197643,2026-02-25
1.2081,1.2081,1.2081,0.0160639193,2026-02-27
1.1469,1.1469,1.1469,-0.0506580581,2026-03-04
1.1807,1.1807,1.1807,0.0294707472,2026-03-06
1.1944,1.1944,1.1944,0.0116032862,2026-03-11
1.1681,1.1681,1.1681,-0.022019424,2026-03-13
1.1622,1.1622,1.1622,-0.0050509374,2026-03-18
1.1074,1.1074,1.1074,-0.0471519532,2026-03-20
1.1105,1.1105,1.1105,0.0027993498,2026-03-25
1.1117,1.1117,1.1117,0.0010805943,2026-03-27
1.121,1.121,1.121,0.0083655662,2026-04-01
1.0823,1.0823,1.0823,-0.0345227475,2026-04-03
1.1447,1.1447,1.1447,0.057654994,2026-04-08
1.1464,1.1464,1.1464,0.0014851053,2026-04-10
1.1604,1.1604,1.1604,0.0122121424,2026-04-15
1.1886,1.1886,1.1886,0.0243019648,2026-04-17
1.2086,1.2086,1.2086,0.0168265186,2026-04-22
1.1853,1.1853,1.1853,-0.0192785041,2026-04-24
1.1974,1.1974,1.1974,0.0102083861,2026-04-29
1.2033,1.2033,1.2033,0.0049273426,2026-04-30
1.2279,1.2279,1.2279,0.0204437796,2026-05-06
1.2622,1.2622,1.2622,0.0279338708,2026-05-08
1.2873,1.2873,1.2873,0.0198859135,2026-05-13
1.2589,1.2589,1.2589,-0.0220616795,2026-05-15
1.275,1.275,1.275,0.0127889427,2026-05-20
1.2656,1.2656,1.2656,-0.007372549,2026-05-22
