nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.1764,1.1764,1.1764,0.0,2025-09-24
1.1636,1.1636,1.1636,-0.0108806528,2025-09-26
1.1796,1.1796,1.1796,0.0137504297,2025-09-30
1.1878,1.1878,1.1878,0.006951509,2025-10-10
1.1624,1.1624,1.1624,-0.0213840714,2025-10-17
1.2112,1.2112,1.2112,0.041982106,2025-10-24
1.2263,1.2263,1.2263,0.0124669749,2025-10-31
1.248,1.248,1.248,0.0176955068,2025-11-07
1.2732,1.2732,1.2732,0.0201923077,2025-11-14
1.2046,1.2046,1.2046,-0.0538799874,2025-11-21
1.2607,1.2607,1.2607,0.046571476,2025-11-28
1.2579,1.2579,1.2579,-0.0022209883,2025-12-05
1.2429,1.2429,1.2429,-0.0119246363,2025-12-12
1.2562,1.2562,1.2562,0.0107007804,2025-12-19
1.2837,1.2837,1.2837,0.0218914186,2025-12-26
1.2821,1.2821,1.2821,-0.0012463971,2025-12-31
1.3543,1.3543,1.3543,0.0563138601,2026-01-09
1.3587,1.3587,1.3587,0.0032489109,2026-01-16
1.4104,1.4104,1.4104,0.0380510782,2026-01-23
1.4002,1.4002,1.4002,-0.0072319909,2026-01-30
1.405,1.405,1.405,0.0034280817,2026-02-06
1.4193,1.4193,1.4193,0.0101779359,2026-02-13
1.4703,1.4703,1.4703,0.0359332065,2026-02-27
1.4493,1.4493,1.4493,-0.0142827994,2026-03-06
1.4355,1.4355,1.4355,-0.0095218381,2026-03-13
1.3621,1.3621,1.3621,-0.0511320098,2026-03-20
1.3672,1.3672,1.3672,0.0037442185,2026-03-27
1.3539,1.3539,1.3539,-0.0097279111,2026-03-31
1.3229,1.3229,1.3229,-0.0228968166,2026-04-03
1.3989,1.3989,1.3989,0.0574495427,2026-04-10
1.4522,1.4522,1.4522,0.0381013654,2026-04-17
1.4645,1.4645,1.4645,0.0084699077,2026-04-24
1.4904,1.4904,1.4904,0.0176852168,2026-04-30
1.5343,1.5343,1.5343,0.0294551798,2026-05-08
1.5121,1.5121,1.5121,-0.014469139,2026-05-15
1.5222,1.5222,1.5222,0.0066794524,2026-05-22
