nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.272,1.272,1.272,0.0,2026-04-02
1.275,1.275,1.275,0.0023584906,2026-04-03
1.26,1.26,1.26,-0.0117647059,2026-04-07
1.438,1.438,1.438,0.1412698413,2026-04-08
1.571,1.571,1.571,0.0924895688,2026-04-09
1.709,1.709,1.709,0.0878421388,2026-04-10
1.734,1.734,1.734,0.0146284377,2026-04-13
1.72,1.72,1.72,-0.0080738178,2026-04-14
1.724,1.724,1.724,0.0023255814,2026-04-15
1.76,1.76,1.76,0.0208816705,2026-04-16
1.895,1.895,1.895,0.0767045455,2026-04-17
1.877,1.877,1.877,-0.0094986807,2026-04-20
1.893,1.893,1.893,0.0085242408,2026-04-21
1.894,1.894,1.894,0.000528262,2026-04-22
1.0,1.896,1.896,0.0010559662,2026-04-23
1.001,1.897,1.897896,0.001,2026-04-24
1.001,1.897,1.897896,0.0,2026-04-27
1.0,1.896,1.896,-0.000999001,2026-04-28
0.999,1.895,1.894104,-0.001,2026-04-29
1.003,1.899,1.901688,0.004004004,2026-04-30
1.002,1.898,1.899792,-0.000997009,2026-05-06
1.002,1.898,1.899792,0.0,2026-05-07
1.002,1.898,1.899792,0.0,2026-05-08
1.001,1.897,1.897896,-0.000998004,2026-05-11
0.999,1.895,1.894104,-0.001998002,2026-05-12
0.999,1.895,1.894104,0.0,2026-05-13
0.987,1.883,1.871352,-0.012012012,2026-05-14
1.022,1.918,1.937712,0.0354609929,2026-05-15
1.149,2.045,2.178504,0.1242661448,2026-05-18
1.127,2.023,2.136792,-0.0191470844,2026-05-19
1.08,1.976,2.04768,-0.041703638,2026-05-20
1.084,1.98,2.055264,0.0037037037,2026-05-21
1.14,2.036,2.16144,0.0516605166,2026-05-22
1.173,2.069,2.224008,0.0289473684,2026-05-25
1.138,2.034,2.157648,-0.0298380222,2026-05-26
1.19,2.086,2.25624,0.0456942004,2026-05-27
