nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-04-29
1.0052,1.4057,1.4057,0.4057,2025-02-21
1.015,1.4155,1.4194046,0.0097493036,2025-02-28
1.0664,1.4669,1.4912838,0.0506403941,2025-03-07
1.0744,1.4749,1.50247123,0.0075018755,2025-03-14
1.0678,1.4683,1.4932416,-0.0061429635,2025-03-21
1.0625,1.463,1.48582993,-0.0049634763,2025-03-28
1.0596,1.4601,1.48177449,-0.0027294118,2025-03-31
1.059,1.4595,1.48093544,-0.0005662514,2025-04-03
0.9947,1.3952,1.3910165,-0.0607176582,2025-04-11
1.0035,1.404,1.40332267,0.0088468885,2025-04-18
1.0258,1.4263,1.43450762,0.0222222222,2025-04-25
1.0335,1.434,1.44527552,0.0075063365,2025-04-30
1.0695,1.47,1.49561893,0.0348330914,2025-05-09
1.0763,1.4768,1.50512824,0.0063581113,2025-05-16
1.0701,1.4706,1.49645799,-0.0057604757,2025-05-23
1.0786,1.4791,1.50834463,0.0079431829,2025-05-30
1.1013,1.5018,1.54008895,0.0210458001,2025-06-06
1.0961,1.4966,1.53281712,-0.0047216925,2025-06-13
1.0823,1.4828,1.51351881,-0.0125900921,2025-06-20
1.1205,1.521,1.56693877,0.0352952047,2025-06-27
1.1304,1.5309,1.58078321,0.0088353414,2025-06-30
1.1425,1.543,1.59770419,0.0107041755,2025-07-04
1.1598,1.5603,1.621897,0.0151422319,2025-07-11
1.1791,1.5796,1.64888666,0.0166408001,2025-07-18
1.2065,1.607,1.68720359,0.0232380629,2025-07-25
1.1994,1.5999,1.67727475,-0.0058847907,2025-07-31
1.2061,1.6066,1.68664422,0.0055861264,2025-08-01
1.2321,1.6326,1.72300335,0.0215570848,2025-08-08
1.0482,1.6439,1.73880559,0.0091713335,2025-08-15
1.071,1.6667,1.77662735,0.0217515741,2025-08-22
1.0537,1.6494,1.74792926,-0.0161531279,2025-08-29
1.0524,1.6481,1.74577276,-0.0012337477,2025-09-05
1.0829,1.6786,1.79636765,0.0289813759,2025-09-12
1.0871,1.6828,1.80333482,0.0038784745,2025-09-19
1.0982,1.6939,1.82174804,0.0102106522,2025-09-26
1.1069,1.7026,1.83618003,0.0079220543,2025-09-30
1.0994,1.6951,1.82373866,-0.0067756798,2025-10-10
1.0589,1.6546,1.75655528,-0.0368382754,2025-10-17
1.1001,1.6958,1.82489986,0.0389083011,2025-10-24
1.1186,1.7143,1.85558857,0.016816653,2025-10-31
1.117,1.7127,1.85293441,-0.0014303594,2025-11-07
1.1344,1.7301,1.88179838,0.0155774396,2025-11-14
1.0641,1.6598,1.76518129,-0.061971086,2025-11-21
1.1358,1.7315,1.88412077,0.0673808853,2025-11-28
1.1286,1.7243,1.87217706,-0.0063391442,2025-12-05
1.1217,1.7174,1.860731,-0.0061137693,2025-12-12
1.1341,1.7298,1.88130073,0.0110546492,2025-12-19
1.16,1.7557,1.92426492,0.0228374923,2025-12-26
1.1617,1.7574,1.92708496,0.0014655172,2025-12-31
1.2346,1.8303,2.04801506,0.0627528622,2026-01-09
1.2721,1.8678,2.1102219,0.0303742103,2026-01-16
1.3308,1.9265,2.20759634,0.0461441711,2026-01-23
1.3067,1.9024,2.16761807,-0.0181094079,2026-01-30
1.3077,1.9034,2.16927692,0.0007652866,2026-02-06
1.3174,1.9131,2.18536776,0.0074176034,2026-02-13
1.3644,1.9601,2.26333367,0.0356763322,2026-02-27
1.3368,1.9325,2.21754943,-0.0202286719,2026-03-06
1.2923,1.888,2.14373065,-0.03328845,2026-03-13
1.241,1.8367,2.05863169,-0.0396966649,2026-03-20
1.2558,1.8515,2.08318266,0.0119258662,2026-03-27
1.2529,1.8486,2.07837199,-0.0023092849,2026-03-31
1.2362,1.8319,2.05066922,-0.0133290765,2026-04-03
1.3025,1.8982,2.16065091,0.0536320984,2026-04-10
1.3375,1.9332,2.21871063,0.0268714012,2026-04-17
1.3434,1.9391,2.22849784,0.004411215,2026-04-24
1.3689,1.9646,2.27079849,0.0189816883,2026-04-30
1.4172,2.0129,2.3509209,0.0352838045,2026-05-08
1.4113,2.007,2.34113369,-0.0041631386,2026-05-15
1.4297,2.0254,2.37165651,0.0130376249,2026-05-22
