nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-07-19
1.0,1.0,1.0,0.0,2022-07-22
1.0001,1.0001,1.0001,0.0001,2022-07-29
1.0155,1.0155,1.0155,0.0153984602,2022-08-05
1.0348,1.0348,1.0348,0.0190054161,2022-08-12
1.0359,1.0359,1.0359,0.0010630073,2022-08-19
1.0136,1.0136,1.0136,-0.0215271744,2022-08-26
0.9766,0.9766,0.9766,-0.0365035517,2022-08-31
0.9857,0.9857,0.9857,0.0093180422,2022-09-02
1.0044,1.0044,1.0044,0.0189712894,2022-09-09
0.9409,0.9409,0.9409,-0.063221824,2022-09-16
0.9244,0.9244,0.9244,-0.0175364013,2022-09-23
0.9052,0.9052,0.9052,-0.0207702293,2022-09-30
0.9399,0.9399,0.9399,0.0383340698,2022-10-14
0.9372,0.9372,0.9372,-0.002872646,2022-10-21
0.8969,0.8969,0.8969,-0.0430004268,2022-10-28
0.8983,0.8983,0.8983,0.0015609321,2022-10-31
0.9546,0.9546,0.9546,0.0626739397,2022-11-04
0.9484,0.9484,0.9484,-0.006494867,2022-11-11
0.9646,0.9646,0.9646,0.0170814003,2022-11-18
0.9434,0.9434,0.9434,-0.021978022,2022-11-25
0.9583,0.9583,0.9583,0.0157939368,2022-11-30
0.9802,0.9802,0.9802,0.0228529688,2022-12-02
0.9891,0.9891,0.9891,0.0090797796,2022-12-09
0.9771,0.9771,0.9771,-0.0121322414,2022-12-16
0.9279,0.9279,0.9279,-0.0503530857,2022-12-23
0.9449,0.9449,0.9449,0.0183209398,2022-12-30
0.9732,0.9732,0.9732,0.0299502593,2023-01-06
0.9741,0.9741,0.9741,0.0009247842,2023-01-13
0.9958,0.9958,0.9958,0.0222769736,2023-01-20
1.0058,1.0058,1.0058,0.0100421771,2023-01-31
1.0295,1.0295,1.0295,0.0235633327,2023-02-03
1.0483,1.0483,1.0483,0.0182612919,2023-02-10
1.0356,1.0356,1.0356,-0.0121148526,2023-02-17
1.0487,1.0487,1.0487,0.0126496717,2023-02-24
1.0521,1.0521,1.0521,0.0032421093,2023-02-28
1.0646,1.0646,1.0646,0.0118809999,2023-03-03
1.0473,1.0473,1.0473,-0.0162502348,2023-03-10
1.0427,1.0427,1.0427,-0.0043922467,2023-03-17
1.0541,1.0541,1.0541,0.0109331543,2023-03-24
1.058,1.058,1.058,0.0036998387,2023-03-31
1.0616,1.0616,1.0616,0.0034026465,2023-04-07
1.076,1.076,1.076,0.013564431,2023-04-14
1.0534,1.0534,1.0534,-0.0210037175,2023-04-21
1.0721,1.0721,1.0721,0.017752041,2023-04-28
1.0792,1.0792,1.0792,0.0066225166,2023-05-05
1.0738,1.0738,1.0738,-0.0050037064,2023-05-12
1.0967,1.0967,1.0967,0.0213261315,2023-05-19
1.0887,1.0887,1.0887,-0.0072946111,2023-05-26
1.086,1.086,1.086,-0.002480022,2023-05-31
1.1127,1.1127,1.1127,0.0245856354,2023-06-02
1.0987,1.0987,1.0987,-0.0125820077,2023-06-09
1.1369,1.1369,1.1369,0.0347683626,2023-06-16
1.1219,1.1219,1.1219,-0.0131937725,2023-06-21
1.1487,1.1487,1.1487,0.0238880471,2023-06-30
1.1385,1.1385,1.1385,-0.008879603,2023-07-07
1.1477,1.1477,1.1477,0.0080808081,2023-07-14
1.1167,1.1167,1.1167,-0.0270105428,2023-07-21
1.1158,1.1158,1.1158,-0.0008059461,2023-07-28
1.1227,1.1227,1.1227,0.0061839039,2023-07-31
1.1202,1.1202,1.1202,-0.0022267747,2023-08-04
1.0949,1.0949,1.0949,-0.0225852526,2023-08-11
1.0871,1.0871,1.0871,-0.0071239383,2023-08-18
1.0575,1.0575,1.0575,-0.0272284059,2023-08-25
1.1123,1.1123,1.1123,0.051820331,2023-08-31
1.1125,1.1125,1.1125,0.0001798076,2023-09-01
1.1201,1.1201,1.1201,0.0068314607,2023-09-08
1.1123,1.1123,1.1123,-0.006963664,2023-09-15
1.1235,1.1235,1.1235,0.0100692259,2023-09-22
1.1306,1.1306,1.1306,0.0063195372,2023-09-28
1.1252,1.1252,1.1252,-0.004776225,2023-10-13
1.0788,1.0788,1.0788,-0.0412371134,2023-10-20
1.1089,1.1089,1.1089,0.0279013719,2023-10-27
1.1169,1.1169,1.1169,0.0072143566,2023-10-31
1.1261,1.1261,1.1261,0.0082370848,2023-11-03
1.1539,1.1539,1.1539,0.0246869727,2023-11-10
1.1646,1.1646,1.1646,0.0092729006,2023-11-17
1.1521,1.1521,1.1521,-0.010733299,2023-11-24
1.1548,1.1548,1.1548,0.0023435466,2023-11-30
1.1659,1.1659,1.1659,0.009612054,2023-12-01
1.1313,1.1313,1.1313,-0.0296766447,2023-12-08
1.1355,1.1355,1.1355,0.0037125431,2023-12-15
1.1153,1.1153,1.1153,-0.01778952,2023-12-22
1.1428,1.1428,1.1428,0.0246570429,2023-12-29
1.1188,1.1188,1.1188,-0.0210010501,2024-01-05
1.1068,1.1068,1.1068,-0.0107257776,2024-01-12
1.0545,1.0545,1.0545,-0.047253343,2024-01-19
1.037,1.037,1.037,-0.0165955429,2024-01-26
0.9439,0.9439,0.9439,-0.0897782064,2024-01-31
0.9009,0.9009,0.9009,-0.0455556733,2024-02-02
1.0175,1.0175,1.0175,0.1294261294,2024-02-08
1.0672,1.0672,1.0672,0.0488452088,2024-02-23
1.0851,1.0851,1.0851,0.0167728636,2024-02-29
1.0922,1.0922,1.0922,0.0065431757,2024-03-01
1.0935,1.0935,1.0935,0.0011902582,2024-03-08
1.1378,1.1378,1.1378,0.0405121171,2024-03-15
1.1602,1.1602,1.1602,0.0196871155,2024-03-22
1.1434,1.1434,1.1434,-0.014480262,2024-03-29
1.1604,1.1604,1.1604,0.0148679377,2024-04-03
1.1398,1.1398,1.1398,-0.0177524991,2024-04-12
1.1006,1.1006,1.1006,-0.0343919986,2024-04-19
1.1107,1.1107,1.1107,0.0091768126,2024-04-26
1.1298,1.1298,1.1298,0.0171963627,2024-04-30
1.1404,1.1404,1.1404,0.0093821915,2024-05-10
1.1533,1.1533,1.1533,0.0113118204,2024-05-17
1.1172,1.1172,1.1172,-0.0313014827,2024-05-24
1.1221,1.1221,1.1221,0.0043859649,2024-05-31
1.0516,1.0516,1.0516,-0.0628286249,2024-06-07
1.0716,1.0716,1.0716,0.0190186383,2024-06-14
1.0547,1.0547,1.0547,-0.01577081,2024-06-21
1.0525,1.0525,1.0525,-0.0020859012,2024-06-28
1.043,1.043,1.043,-0.0090261283,2024-07-05
1.0572,1.0572,1.0572,0.0136145733,2024-07-12
1.0355,1.0355,1.0355,-0.0205259175,2024-07-19
1.015,1.015,1.015,-0.0197971994,2024-07-26
1.0535,1.0535,1.0535,0.0379310345,2024-07-31
1.0377,1.0377,1.0377,-0.014997627,2024-08-02
1.0168,1.0168,1.0168,-0.0201406958,2024-08-09
1.0211,1.0211,1.0211,0.0042289536,2024-08-16
0.9829,0.9829,0.9829,-0.0374106356,2024-08-23
1.0211,1.0211,1.0211,0.0388645844,2024-08-30
1.0052,1.0052,1.0052,-0.0155714426,2024-09-06
0.9891,0.9891,0.9891,-0.0160167131,2024-09-13
1.0036,1.0036,1.0036,0.0146597917,2024-09-20
1.1271,1.1271,1.1271,0.1230569948,2024-09-27
1.2348,1.2348,1.2348,0.0955549641,2024-09-30
1.1829,1.1829,1.1829,-0.0420310982,2024-10-11
1.2065,1.2447,1.2447,0.0522444839,2024-10-18
1.2755,1.3137,1.31588467,0.0571902196,2024-10-25
1.3251,1.3633,1.36705509,0.0388867111,2024-10-31
1.2725,1.3107,1.31278968,-0.0396951173,2024-11-01
1.359,1.3972,1.40202843,0.0679764244,2024-11-08
1.3298,1.4173,1.42276483,0.014790287,2024-11-11
1.2631,1.3506,1.35140191,-0.0501579185,2024-11-15
1.2781,1.3656,1.36745054,0.0118755443,2024-11-22
1.3487,1.4362,1.44298611,0.0552382443,2024-11-29
1.4143,1.5018,1.51317213,0.0486394306,2024-12-06
1.4574,1.5449,1.55928521,0.0304744397,2024-12-13
1.3925,1.48,1.48984812,-0.0445313572,2024-12-20
1.366,1.4535,1.46149553,-0.0190305206,2024-12-27
1.34,1.4275,1.4336779,-0.019033675,2024-12-31
1.2775,1.365,1.3668086,-0.046641791,2025-01-03
1.2667,1.3542,1.35525358,-0.0084540117,2025-01-10
1.3278,1.4153,1.42062501,0.0482355727,2025-01-17
1.3366,1.4241,1.43004021,0.0066275041,2025-01-24
1.339,1.4265,1.43260799,0.0017956008,2025-01-27
1.3707,1.4582,1.46652411,0.0236743839,2025-02-07
1.3837,1.4712,1.48043292,0.0094842052,2025-02-14
1.25,1.4862,1.49648155,0.0108405001,2025-02-19
1.2681,1.5043,1.51815061,0.01448,2025-02-21
1.2479,1.4841,1.49396747,-0.0159293431,2025-02-28
1.3173,1.5535,1.57705212,0.0556134306,2025-03-07
1.3399,1.5761,1.60410851,0.0171563046,2025-03-14
1.3353,1.5715,1.59860146,-0.003433092,2025-03-21
1.3236,1.5598,1.58459439,-0.0087620759,2025-03-28
1.3179,1.5541,1.57777043,-0.004306437,2025-03-31
1.3175,1.5537,1.57729156,-0.0003035132,2025-04-03
1.2461,1.4823,1.49181253,-0.0541935484,2025-04-11
1.2608,1.497,1.50941115,0.011796806,2025-04-18
1.3031,1.5393,1.56005209,0.0335501269,2025-04-25
1.3171,1.5533,1.57681268,0.0107436114,2025-04-30
1.3678,1.604,1.63750998,0.0384936603,2025-05-09
1.3768,1.613,1.64828464,0.0065799093,2025-05-16
1.3685,1.6047,1.63834801,-0.0060284718,2025-05-23
1.3783,1.6145,1.65008042,0.0071611253,2025-05-30
1.4108,1.647,1.68898894,0.0235797722,2025-06-06
1.4036,1.6398,1.68036921,-0.0051034874,2025-06-13
1.3801,1.6163,1.65223535,-0.0167426617,2025-06-20
1.4354,1.6716,1.7184397,0.0400695602,2025-06-27
1.4485,1.6847,1.73412282,0.0091263759,2025-06-30
1.4649,1.7011,1.75375666,0.0113220573,2025-07-04
1.4908,1.727,1.78476376,0.0176803877,2025-07-11
1.5183,1.7545,1.81768635,0.0184464717,2025-07-18
1.5565,1.7927,1.86341883,0.0251597181,2025-07-25
1.5453,1.7815,1.85001036,-0.0071956312,2025-07-31
1.5558,1.792,1.8625808,0.0067947971,2025-08-01
1.6026,1.8388,1.91860907,0.0300809873,2025-08-08
1.6315,1.8677,1.95320772,0.0180331961,2025-08-15
1.4,1.9141,2.00875712,0.0284400858,2025-08-22
1.3893,1.9034,1.99340448,-0.0076428571,2025-08-29
1.3797,1.8938,1.97963014,-0.0069099547,2025-09-05
1.427,1.9411,2.04749744,0.0342828151,2025-09-12
1.4352,1.9493,2.05926301,0.005746321,2025-09-19
1.4273,1.9414,2.04792788,-0.0055044593,2025-09-26
1.4501,1.9642,2.08064193,0.0159742171,2025-09-30
1.4363,1.9504,2.06084132,-0.0095165851,2025-10-10
1.3723,1.8864,1.96901243,-0.0445589362,2025-10-17
1.4388,1.9529,2.06442839,0.0484587918,2025-10-24
1.4646,1.9787,2.10144691,0.0179316097,2025-10-31
1.471,1.9851,2.1106298,0.0043697938,2025-11-07
1.4935,2.0076,2.1429134,0.0152957172,2025-11-14
1.3971,1.9112,2.00459612,-0.0645463676,2025-11-21
1.4854,1.9995,2.1312913,0.0632023477,2025-11-28
1.4689,1.983,2.10761667,-0.011108119,2025-12-05
1.4559,1.97,2.08896392,-0.00885016,2025-12-12
1.4772,1.9913,2.11952573,0.0146301257,2025-12-19
1.5025,2.0166,2.15582684,0.017126997,2025-12-26
1.5036,2.0177,2.15740515,0.0007321131,2025-12-31
1.5746,2.0887,2.25927783,0.0472200053,2026-01-09
1.5983,2.1124,2.29328322,0.0150514416,2026-01-16
1.674,2.1881,2.40189958,0.047362823,2026-01-23
1.6332,2.1473,2.34335866,-0.0243727599,2026-01-30
1.63,2.1441,2.33876722,-0.0019593436,2026-02-06
1.644,2.1581,2.35885479,0.0085889571,2026-02-13
1.7149,2.229,2.46058399,0.0431265207,2026-02-27
1.6573,2.1714,2.37793798,-0.0335879643,2026-03-06
1.6254,2.1395,2.33216702,-0.0192481747,2026-03-13
1.5279,2.042,2.19227143,-0.0599852344,2026-03-20
1.5398,2.0539,2.20934587,0.0077884678,2026-03-27
1.5274,2.0415,2.19155402,-0.0080529939,2026-03-31
1.4987,2.0128,2.1503745,-0.0187901008,2026-04-03
1.6054,2.1195,2.30347049,0.0711950357,2026-04-10
1.6654,2.1795,2.38956008,0.0373738632,2026-04-17
1.5504,2.1957,2.41280427,0.0097273928,2026-04-24
1.5918,2.2371,2.47723286,0.0267027864,2026-04-30
1.6792,2.3245,2.61324879,0.0549063953,2026-05-08
1.6739,2.3192,2.60500068,-0.0031562649,2026-05-15
1.6984,2.3437,2.64312872,0.0146364777,2026-05-22
