nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-09-30
0.9998,0.9998,0.9998,-0.0002,2021-10-08
0.9491,0.9491,0.9491,-0.050710142,2021-10-15
0.9489,0.9489,0.9489,-0.000210726,2021-10-22
0.9487,0.9487,0.9487,-0.0002107704,2021-10-29
0.9485,0.9485,0.9485,-0.0002108148,2021-11-05
0.9483,0.9483,0.9483,-0.0002108593,2021-11-12
0.9481,0.9481,0.9481,-0.0002109037,2021-11-19
0.9479,0.9479,0.9479,-0.0002109482,2021-11-26
0.9477,0.9477,0.9477,-0.0002109927,2021-12-03
0.9475,0.9475,0.9475,-0.0002110372,2021-12-10
0.9473,0.9473,0.9473,-0.0002110818,2021-12-17
0.9877,0.9877,0.9877,0.0426475245,2021-12-24
0.9875,0.9875,0.9875,-0.0002024906,2021-12-31
0.9873,0.9873,0.9873,-0.0002025316,2022-01-07
0.9871,0.9871,0.9871,-0.0002025727,2022-01-14
0.9869,0.9869,0.9869,-0.0002026137,2022-01-21
0.9867,0.9867,0.9867,-0.0002026548,2022-01-28
0.9788,0.9788,0.9788,-0.0080064863,2022-02-11
0.9786,0.9786,0.9786,-0.0002043318,2022-02-18
0.9784,0.9784,0.9784,-0.0002043736,2022-02-25
0.9782,0.9782,0.9782,-0.0002044154,2022-03-04
0.978,0.978,0.978,-0.0002044572,2022-03-11
0.9778,0.9778,0.9778,-0.000204499,2022-03-18
0.9805,0.9805,0.9805,0.0027613009,2022-03-25
0.9803,0.9803,0.9803,-0.0002039776,2022-04-01
0.9801,0.9801,0.9801,-0.0002040192,2022-04-08
0.9799,0.9799,0.9799,-0.0002040608,2022-04-15
0.9797,0.9797,0.9797,-0.0002041025,2022-04-22
0.9795,0.9795,0.9795,-0.0002041441,2022-04-29
0.9793,0.9793,0.9793,-0.0002041858,2022-05-06
0.9791,0.9791,0.9791,-0.0002042275,2022-05-13
0.9789,0.9789,0.9789,-0.0002042692,2022-05-20
0.9647,0.9647,0.9647,-0.0145060783,2022-05-27
0.9645,0.9645,0.9645,-0.0002073183,2022-06-02
0.9643,0.9643,0.9643,-0.0002073613,2022-06-10
0.9641,0.9641,0.9641,-0.0002074043,2022-06-17
0.9669,0.9669,0.9669,0.002904263,2022-06-24
0.9667,0.9667,0.9667,-0.0002068466,2022-07-01
0.9665,0.9665,0.9665,-0.0002068894,2022-07-08
0.9663,0.9663,0.9663,-0.0002069322,2022-07-15
0.9661,0.9661,0.9661,-0.0002069751,2022-07-22
0.9659,0.9659,0.9659,-0.0002070179,2022-07-29
0.9657,0.9657,0.9657,-0.0002070608,2022-08-05
0.9655,0.9655,0.9655,-0.0002071037,2022-08-12
0.9653,0.9653,0.9653,-0.0002071466,2022-08-19
0.9652,0.9652,0.9652,-0.0001035947,2022-08-26
0.965,0.965,0.965,-0.0002072109,2022-09-02
0.9648,0.9648,0.9648,-0.0002072539,2022-09-09
0.9646,0.9646,0.9646,-0.0002072968,2022-09-16
0.9673,0.9673,0.9673,0.0027990877,2022-09-23
0.9671,0.9671,0.9671,-0.0002067611,2022-09-30
0.9667,0.9667,0.9667,-0.0004136077,2022-10-14
0.9665,0.9665,0.9665,-0.0002068894,2022-10-21
0.9663,0.9663,0.9663,-0.0002069322,2022-10-28
0.9661,0.9661,0.9661,-0.0002069751,2022-11-04
0.9659,0.9659,0.9659,-0.0002070179,2022-11-11
0.9657,0.9657,0.9657,-0.0002070608,2022-11-18
0.9656,0.9656,0.9656,-0.0001035518,2022-11-25
0.9654,0.9654,0.9654,-0.0002071251,2022-12-02
0.9652,0.9652,0.9652,-0.000207168,2022-12-09
0.965,0.965,0.965,-0.0002072109,2022-12-16
0.9676,0.9676,0.9676,0.0026943005,2022-12-23
0.9674,0.9674,0.9674,-0.000206697,2022-12-30
0.9672,0.9672,0.9672,-0.0002067397,2023-01-06
0.967,0.967,0.967,-0.0002067825,2023-01-13
0.9668,0.9668,0.9668,-0.0002068252,2023-01-20
0.9664,0.9664,0.9664,-0.000413736,2023-02-03
0.9662,0.9662,0.9662,-0.0002069536,2023-02-10
0.966,0.966,0.966,-0.0002069965,2023-02-17
0.9658,0.9658,0.9658,-0.0002070393,2023-02-24
0.9656,0.9656,0.9656,-0.0002070822,2023-03-03
0.9654,0.9654,0.9654,-0.0002071251,2023-03-10
0.9652,0.9652,0.9652,-0.000207168,2023-03-17
0.9678,0.9678,0.9678,0.0026937422,2023-03-24
0.9676,0.9676,0.9676,-0.0002066543,2023-03-31
0.9674,0.9674,0.9674,-0.000206697,2023-04-07
0.9672,0.9672,0.9672,-0.0002067397,2023-04-14
0.967,0.967,0.967,-0.0002067825,2023-04-21
0.9668,0.9668,0.9668,-0.0002068252,2023-04-28
0.9666,0.9666,0.9666,-0.000206868,2023-05-05
0.9664,0.9664,0.9664,-0.0002069108,2023-05-12
0.9662,0.9662,0.9662,-0.0002069536,2023-05-19
0.966,0.966,0.966,-0.0002069965,2023-05-26
0.9658,0.9658,0.9658,-0.0002070393,2023-06-02
0.9656,0.9656,0.9656,-0.0002070822,2023-06-09
0.9654,0.9654,0.9654,-0.0002071251,2023-06-16
0.9681,0.9681,0.9681,0.0027967682,2023-06-21
0.9679,0.9679,0.9679,-0.0002065902,2023-06-30
0.9677,0.9677,0.9677,-0.0002066329,2023-07-07
0.9675,0.9675,0.9675,-0.0002066756,2023-07-14
0.9673,0.9673,0.9673,-0.0002067183,2023-07-21
0.9671,0.9671,0.9671,-0.0002067611,2023-07-28
0.9669,0.9669,0.9669,-0.0002068038,2023-08-04
0.9667,0.9667,0.9667,-0.0002068466,2023-08-11
0.9665,0.9665,0.9665,-0.0002068894,2023-08-18
0.9663,0.9663,0.9663,-0.0002069322,2023-08-25
0.9661,0.9661,0.9661,-0.0002069751,2023-09-01
0.9659,0.9659,0.9659,-0.0002070179,2023-09-08
0.9657,0.9657,0.9657,-0.0002070608,2023-09-15
0.9668,0.9668,0.9668,0.0011390701,2023-09-22
0.9648,0.9648,0.9648,-0.0020686802,2023-09-28
0.9644,0.9644,0.9644,-0.0004145937,2023-10-13
0.9642,0.9642,0.9642,-0.0002073828,2023-10-20
0.964,0.964,0.964,-0.0002074258,2023-10-27
0.9638,0.9638,0.9638,-0.0002074689,2023-11-03
0.9636,0.9636,0.9636,-0.0002075119,2023-11-10
0.9634,0.9634,0.9634,-0.000207555,2023-11-17
0.9648,0.9648,0.9648,0.0014531866,2023-11-24
0.9714,0.9714,0.9714,0.006840796,2023-12-01
0.9519,0.9519,0.9519,-0.0200741198,2023-12-08
0.957,0.957,0.957,0.0053577056,2023-12-15
0.9515,0.9515,0.9515,-0.0057471264,2023-12-22
0.9686,0.9686,0.9686,0.0179716238,2023-12-29
0.9159,0.9159,0.9159,-0.0544084245,2024-01-05
0.8869,0.8869,0.8869,-0.0316628453,2024-01-12
0.8703,0.8703,0.8703,-0.018716879,2024-01-19
0.8478,0.8478,0.8478,-0.0258531541,2024-01-26
0.7572,0.7572,0.7572,-0.1068648266,2024-02-02
0.8131,0.8131,0.8131,0.073824617,2024-02-08
0.8317,0.8317,0.8317,0.0228754151,2024-02-23
0.8796,0.8796,0.8796,0.057592882,2024-03-01
0.8703,0.8703,0.8703,-0.0105729877,2024-03-08
0.8846,0.8846,0.8846,0.0164311157,2024-03-15
0.8814,0.8814,0.8814,-0.0036174542,2024-03-22
0.8544,0.8544,0.8544,-0.0306330837,2024-03-29
0.847,0.847,0.847,-0.0086610487,2024-04-03
0.8325,0.8325,0.8325,-0.0171192444,2024-04-12
0.8152,0.8152,0.8152,-0.0207807808,2024-04-19
0.835,0.835,0.835,0.0242885182,2024-04-26
0.8467,0.8467,0.8467,0.014011976,2024-04-30
0.8484,0.8484,0.8484,0.002007795,2024-05-10
0.841,0.841,0.841,-0.0087223008,2024-05-17
0.8123,0.8123,0.8123,-0.0341260404,2024-05-24
0.8261,0.8261,0.8261,0.0169887972,2024-05-31
0.8046,0.8046,0.8046,-0.0260259049,2024-06-07
0.8242,0.8242,0.8242,0.0243599304,2024-06-14
0.8267,0.8267,0.8267,0.0030332444,2024-06-21
0.7945,0.7945,0.7945,-0.0389500423,2024-06-28
0.7772,0.7772,0.7772,-0.0217747011,2024-07-05
0.7969,0.7969,0.7969,0.0253474009,2024-07-12
0.8194,0.8194,0.8194,0.0282344083,2024-07-19
0.7862,0.7862,0.7862,-0.0405174518,2024-07-26
0.7928,0.7928,0.7928,0.0083948105,2024-08-02
0.7714,0.7714,0.7714,-0.0269929364,2024-08-09
0.7716,0.7716,0.7716,0.0002592689,2024-08-16
0.7497,0.7497,0.7497,-0.0283825816,2024-08-23
0.7661,0.7661,0.7661,0.0218754168,2024-08-30
0.737,0.737,0.737,-0.0379845973,2024-09-06
0.7285,0.7285,0.7285,-0.0115332429,2024-09-13
0.7274,0.7274,0.7274,-0.001509952,2024-09-20
0.8204,0.8204,0.8204,0.1278526258,2024-09-27
0.9474,0.9474,0.9474,0.1548025353,2024-09-30
1.064,1.064,1.064,0.1230736753,2024-10-11
1.0643,1.0643,1.0643,0.0002819549,2024-10-18
1.065,1.065,1.065,0.0006577093,2024-10-25
1.0656,1.0656,1.0656,0.0005633803,2024-11-01
1.0671,1.0671,1.0671,0.0014076577,2024-11-08
1.0589,1.0589,1.0589,-0.0076843782,2024-11-15
1.0275,1.0275,1.0275,-0.0296534139,2024-11-22
1.0791,1.0791,1.0791,0.0502189781,2024-11-29
1.1299,1.1299,1.1299,0.0470762673,2024-12-06
1.1589,1.1589,1.1589,0.0256659881,2024-12-13
1.092,1.092,1.092,-0.0577271551,2024-12-20
1.0593,1.0593,1.0593,-0.0299450549,2024-12-27
0.9569,0.9569,0.9569,-0.0966676107,2025-01-03
0.946,0.946,0.946,-0.0113909499,2025-01-10
1.0161,1.0161,1.0161,0.0741014799,2025-01-17
1.0279,1.0279,1.0279,0.0116130302,2025-01-24
1.0281,1.0281,1.0281,0.0001945715,2025-01-27
1.067,1.067,1.067,0.0378367863,2025-02-07
1.0843,1.0843,1.0843,0.0162136832,2025-02-14
1.1269,1.1269,1.1269,0.0392880199,2025-02-21
1.0989,1.0989,1.0989,-0.0248469252,2025-02-28
1.1951,1.1951,1.1951,0.0875420875,2025-03-07
1.2296,1.2296,1.2296,0.0288678772,2025-03-14
1.2204,1.2204,1.2204,-0.007482108,2025-03-21
1.206,1.206,1.206,-0.01179941,2025-03-28
1.1956,1.1956,1.1956,-0.0086235489,2025-04-03
1.0891,1.0891,1.0891,-0.0890766143,2025-04-11
1.1073,1.1073,1.1073,0.0167110458,2025-04-18
1.1606,1.1606,1.1606,0.0481351034,2025-04-25
1.1757,1.1757,1.1757,0.0130105118,2025-04-30
1.2393,1.2393,1.2393,0.0540954325,2025-05-09
1.2482,1.2482,1.2482,0.0071814734,2025-05-16
1.2329,1.2329,1.2329,-0.012257651,2025-05-23
1.2462,1.2462,1.2462,0.010787574,2025-05-30
1.2888,1.2888,1.2888,0.0341839191,2025-06-06
1.279,1.279,1.279,-0.0076039727,2025-06-13
1.2526,1.2526,1.2526,-0.0206411259,2025-06-20
1.3256,1.3256,1.3256,0.0582787801,2025-06-27
1.369,1.369,1.369,0.0327398914,2025-07-04
1.4078,1.4078,1.4078,0.0283418554,2025-07-11
