nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-01-24
1.0001,1.0001,1.0001,0.0001,2024-01-26
1.0001,1.0001,1.0001,0.0,2024-01-31
1.0001,1.0001,1.0001,0.0,2024-02-02
1.0002,1.0002,1.0002,9.999e-05,2024-02-08
1.0066,1.0066,1.0066,0.0063987203,2024-02-23
1.0058,1.0058,1.0058,-0.0007947546,2024-02-29
1.0055,1.0055,1.0055,-0.00029827,2024-03-01
1.016,1.016,1.016,0.0104425659,2024-03-08
1.0068,1.0068,1.0068,-0.0090551181,2024-03-15
1.0008,1.0008,1.0008,-0.0059594756,2024-03-22
1.0158,1.0158,1.0158,0.0149880096,2024-03-29
1.0225,1.0225,1.0225,0.0065957866,2024-04-03
1.0275,1.0275,1.0275,0.0048899756,2024-04-12
1.0461,1.0461,1.0461,0.0181021898,2024-04-19
1.0267,1.0267,1.0267,-0.0185450722,2024-04-26
1.0246,1.0246,1.0246,-0.0020453881,2024-04-30
1.0592,1.0592,1.0592,0.0337692758,2024-05-10
1.0453,1.0453,1.0453,-0.0131231118,2024-05-17
1.0157,1.0157,1.0157,-0.0283172295,2024-05-24
1.0204,1.0204,1.0204,0.0046273506,2024-05-31
1.0025,1.0025,1.0025,-0.0175421403,2024-06-07
1.0259,1.0259,1.0259,0.0233416459,2024-06-14
1.0222,1.0222,1.0222,-0.0036065893,2024-06-21
1.0038,1.0038,1.0038,-0.0180003913,2024-06-28
0.9722,0.9722,0.9722,-0.0314803746,2024-07-05
0.9896,0.9896,0.9896,0.0178975519,2024-07-12
0.9398,0.9398,0.9398,-0.050323363,2024-07-19
0.9306,0.9306,0.9306,-0.0097893169,2024-07-26
0.9402,0.9402,0.9402,0.0103159252,2024-07-31
0.9247,0.9247,0.9247,-0.0164858541,2024-08-02
0.9057,0.9057,0.9057,-0.0205472045,2024-08-09
0.9061,0.9061,0.9061,0.0004416473,2024-08-16
0.898,0.898,0.898,-0.0089394107,2024-08-23
0.905,0.905,0.905,0.0077951002,2024-08-30
0.8885,0.8885,0.8885,-0.0182320442,2024-09-06
0.8819,0.8819,0.8819,-0.0074282499,2024-09-13
0.8764,0.8764,0.8764,-0.0062365348,2024-09-20
0.9581,0.9581,0.9581,0.0932222729,2024-09-27
1.0658,1.0658,1.0658,0.1124099781,2024-09-30
1.0469,1.0469,1.0469,-0.0177331582,2024-10-11
1.0643,1.0643,1.0643,0.0166204986,2024-10-18
1.0748,1.0748,1.0748,0.0098656394,2024-10-25
1.0621,1.0621,1.0621,-0.0118161518,2024-10-31
1.0458,1.0458,1.0458,-0.0153469541,2024-11-01
1.091,1.091,1.091,0.0432205011,2024-11-08
1.0767,1.0767,1.0767,-0.0131072411,2024-11-15
1.0645,1.0645,1.0645,-0.0113309185,2024-11-22
1.0737,1.0737,1.0737,0.0086425552,2024-11-29
1.0864,1.0864,1.0864,0.0118282574,2024-12-06
1.1372,1.1372,1.1372,0.0467599411,2024-12-13
1.1336,1.1336,1.1336,-0.0031656701,2024-12-20
1.109,1.109,1.109,-0.0217007763,2024-12-27
1.0866,1.0866,1.0866,-0.0201983769,2024-12-31
1.0716,1.0716,1.0716,-0.0138045279,2025-01-03
1.0762,1.0762,1.0762,0.0042926465,2025-01-10
1.0979,1.0979,1.0979,0.0201635384,2025-01-17
1.1123,1.1123,1.1123,0.0131159486,2025-01-24
1.0967,1.0967,1.0967,-0.0140249933,2025-01-27
1.1237,1.1237,1.1237,0.0246193125,2025-02-07
1.1085,1.1085,1.1085,-0.013526742,2025-02-14
1.1522,1.1522,1.1522,0.0394226432,2025-02-21
