nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-10-26
1.0,1.0,1.0,0.0,2022-10-28
1.0001,1.0001,1.0001,0.0001,2022-11-04
1.0002,1.0002,1.0002,9.999e-05,2022-11-11
1.0004,1.0004,1.0004,0.00019996,2022-11-18
0.9993,0.9993,0.9993,-0.0010995602,2022-11-25
1.0007,1.0007,1.0007,0.0014009807,2022-12-02
0.9989,0.9989,0.9989,-0.0017987409,2022-12-09
0.9953,0.9953,0.9953,-0.0036039644,2022-12-16
1.0039,1.0039,1.0039,0.0086406109,2022-12-23
0.9957,0.9957,0.9957,-0.0081681442,2022-12-30
0.9931,0.9931,0.9931,-0.0026112283,2023-01-06
0.9931,0.9931,0.9931,0.0,2023-01-13
0.9998,0.9998,0.9998,0.0067465512,2023-01-20
1.0022,1.0022,1.0022,0.0024004801,2023-02-03
1.001,1.001,1.001,-0.0011973658,2023-02-10
1.001,1.001,1.001,0.0,2023-02-17
1.0028,1.0028,1.0028,0.0017982018,2023-02-24
1.0041,1.0041,1.0041,0.0012963702,2023-03-03
1.0054,1.0054,1.0054,0.0012946918,2023-03-10
1.01,1.01,1.01,0.0045752934,2023-03-17
1.0172,1.0172,1.0172,0.0071287129,2023-03-24
1.0156,1.0156,1.0156,-0.0015729453,2023-03-31
1.0189,1.0189,1.0189,0.0032493108,2023-04-07
1.0155,1.0155,1.0155,-0.003336932,2023-04-14
1.0076,1.0076,1.0076,-0.007779419,2023-04-21
1.006,1.006,1.006,-0.0015879317,2023-04-28
1.0045,1.0045,1.0045,-0.0014910537,2023-05-05
1.0198,1.0198,1.0198,0.0152314584,2023-05-12
1.0215,1.0215,1.0215,0.0016669935,2023-05-19
1.0225,1.0225,1.0225,0.0009789525,2023-05-26
1.0246,1.0246,1.0246,0.0020537897,2023-06-02
1.0241,1.0241,1.0241,-0.0004879953,2023-06-09
1.0256,1.0256,1.0256,0.0014647007,2023-06-16
1.0234,1.0234,1.0234,-0.0021450858,2023-06-21
1.0223,1.0223,1.0223,-0.0010748485,2023-06-30
1.0268,1.0268,1.0268,0.004401839,2023-07-07
1.0263,1.0263,1.0263,-0.0004869497,2023-07-14
1.0243,1.0243,1.0243,-0.0019487479,2023-07-21
1.0196,1.0196,1.0196,-0.0045884995,2023-07-28
1.0212,1.0212,1.0212,0.0015692428,2023-08-04
1.0236,1.0236,1.0236,0.0023501763,2023-08-11
1.0205,1.0205,1.0205,-0.0030285268,2023-08-18
1.0187,1.0187,1.0187,-0.0017638413,2023-08-25
1.023,1.023,1.023,0.0042210661,2023-09-01
1.0218,1.0218,1.0218,-0.0011730205,2023-09-08
1.0174,1.0174,1.0174,-0.0043061264,2023-09-15
1.0199,1.0199,1.0199,0.002457244,2023-09-22
1.0177,1.0177,1.0177,-0.0021570742,2023-09-25
1.0176,1.0176,1.0176,-9.82608e-05,2023-09-26
1.0174,1.0174,1.0174,-0.0001965409,2023-09-27
1.0186,1.0186,1.0186,0.0011794771,2023-09-28
1.0172,1.0172,1.0172,-0.0013744355,2023-10-09
1.0183,1.0183,1.0183,0.0010813999,2023-10-10
1.0184,1.0184,1.0184,9.82029e-05,2023-10-11
1.017,1.017,1.017,-0.0013747054,2023-10-12
1.0159,1.0159,1.0159,-0.0010816126,2023-10-13
1.0136,1.0136,1.0136,-0.0022640024,2023-10-16
1.0121,1.0121,1.0121,-0.0014798737,2023-10-17
1.0109,1.0109,1.0109,-0.0011856536,2023-10-18
1.0136,1.0136,1.0136,0.0026708873,2023-10-19
1.0158,1.0158,1.0158,0.0021704815,2023-10-20
1.0042,1.0042,1.0042,-0.0114195708,2023-10-23
1.0105,1.0105,1.0105,0.0062736507,2023-10-24
1.0168,1.0168,1.0168,0.0062345374,2023-10-25
1.0172,1.0172,1.0172,0.000393391,2023-10-26
1.0221,1.0221,1.0221,0.0048171451,2023-10-27
1.0247,1.0247,1.0247,0.0025437824,2023-10-30
1.0242,1.0242,1.0242,-0.0004879477,2023-10-31
1.0243,1.0243,1.0243,9.76372e-05,2023-11-01
1.0213,1.0213,1.0213,-0.0029288294,2023-11-02
1.0259,1.0259,1.0259,0.0045040634,2023-11-03
1.0266,1.0266,1.0266,0.0006823277,2023-11-06
1.0283,1.0283,1.0283,0.0016559517,2023-11-07
1.0271,1.0271,1.0271,-0.0011669746,2023-11-08
1.0267,1.0267,1.0267,-0.000389446,2023-11-09
1.0265,1.0265,1.0265,-0.0001947989,2023-11-10
1.0254,1.0254,1.0254,-0.0010716025,2023-11-13
1.0267,1.0267,1.0267,0.0012677979,2023-11-14
1.0289,1.0289,1.0289,0.0021427876,2023-11-15
1.0307,1.0307,1.0307,0.0017494412,2023-11-16
1.0254,1.0254,1.0254,-0.0051421364,2023-11-17
1.0239,1.0239,1.0239,-0.0014628438,2023-11-20
1.0196,1.0196,1.0196,-0.0041996289,2023-11-21
1.0115,1.0115,1.0115,-0.0079442919,2023-11-22
1.0121,1.0121,1.0121,0.0005931784,2023-11-23
1.0083,1.0083,1.0083,-0.0037545697,2023-11-24
1.009,1.009,1.009,0.0006942378,2023-11-27
1.0084,1.0084,1.0084,-0.0005946482,2023-11-28
1.0081,1.0081,1.0081,-0.000297501,2023-11-29
1.0054,1.0054,1.0054,-0.0026783057,2023-11-30
1.0084,1.0084,1.0084,0.002983887,2023-12-01
1.0064,1.0064,1.0064,-0.0019833399,2023-12-04
0.9977,0.9977,0.9977,-0.0086446741,2023-12-05
1.0,1.0,1.0,0.0023053022,2023-12-06
1.0023,1.0023,1.0023,0.0023,2023-12-07
1.0015,1.0015,1.0015,-0.0007981642,2023-12-08
1.0073,1.0073,1.0073,0.005791313,2023-12-11
1.0084,1.0084,1.0084,0.0010920282,2023-12-12
1.0008,1.0008,1.0008,-0.0075366918,2023-12-13
0.9962,0.9962,0.9962,-0.0045963229,2023-12-14
0.9925,0.9925,0.9925,-0.0037141136,2023-12-15
0.986,0.986,0.986,-0.0065491184,2023-12-18
0.9845,0.9845,0.9845,-0.0015212982,2023-12-19
0.9795,0.9795,0.9795,-0.0050787202,2023-12-20
0.9855,0.9855,0.9855,0.0061255743,2023-12-21
0.9806,0.9806,0.9806,-0.0049720954,2023-12-22
0.9803,0.9803,0.9803,-0.0003059351,2023-12-25
0.9708,0.9708,0.9708,-0.0096909109,2023-12-26
0.9761,0.9761,0.9761,0.0054594149,2023-12-27
0.9964,0.9964,0.9964,0.0207970495,2023-12-28
1.0048,1.0048,1.0048,0.0084303493,2023-12-29
0.9982,0.9982,0.9982,-0.0065684713,2024-01-02
0.9904,0.9904,0.9904,-0.0078140653,2024-01-03
0.9824,0.9824,0.9824,-0.0080775444,2024-01-04
0.9712,0.9712,0.9712,-0.0114006515,2024-01-05
0.9442,0.9442,0.9442,-0.027800659,2024-01-08
0.943,0.943,0.943,-0.0012709172,2024-01-09
0.9425,0.9425,0.9425,-0.0005302227,2024-01-10
0.9613,0.9613,0.9613,0.0199469496,2024-01-11
0.957,0.957,0.957,-0.0044731093,2024-01-12
0.9513,0.9513,0.9513,-0.0059561129,2024-01-15
0.9418,0.9418,0.9418,-0.0099863345,2024-01-16
0.9172,0.9172,0.9172,-0.0261201954,2024-01-17
0.8931,0.8931,0.8931,-0.0262756215,2024-01-18
0.9054,0.9054,0.9054,0.0137722539,2024-01-19
0.8243,0.8243,0.8243,-0.0895736691,2024-01-22
0.8577,0.8577,0.8577,0.0405192284,2024-01-23
0.8667,0.8667,0.8667,0.0104931794,2024-01-24
