nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-11-07
1.0,1.0,1.0,0.0,2022-11-08
1.0,1.0,1.0,0.0,2022-11-09
1.0,1.0,1.0,0.0,2022-11-10
0.9997,0.9997,0.9997,-0.0003,2022-11-11
0.9996,0.9996,0.9996,-0.00010003,2022-11-14
0.9996,0.9996,0.9996,0.0,2022-11-15
0.9996,0.9996,0.9996,0.0,2022-11-16
1.0154,1.0154,1.0154,0.0158063225,2022-11-17
1.0272,1.0272,1.0272,0.011621036,2022-11-18
1.0272,1.0272,1.0272,0.0,2022-11-21
1.0233,1.0233,1.0233,-0.003796729,2022-11-22
1.0254,1.0254,1.0254,0.0020521841,2022-11-23
1.0202,1.0202,1.0202,-0.0050711917,2022-11-24
1.0246,1.0246,1.0246,0.0043128798,2022-11-25
1.0305,1.0305,1.0305,0.0057583447,2022-11-28
1.0314,1.0314,1.0314,0.0008733624,2022-11-29
1.029,1.029,1.029,-0.0023269343,2022-11-30
1.0288,1.0288,1.0288,-0.0001943635,2022-12-02
1.0303,1.0303,1.0303,0.0014580093,2022-12-05
1.0308,1.0308,1.0308,0.0004852955,2022-12-06
1.0303,1.0303,1.0303,-0.0004850601,2022-12-07
1.0292,1.0292,1.0292,-0.0010676502,2022-12-08
1.0288,1.0288,1.0288,-0.0003886514,2022-12-09
1.0287,1.0287,1.0287,-9.72006e-05,2022-12-12
1.0325,1.0325,1.0325,0.0036939827,2022-12-13
1.022,1.022,1.022,-0.0101694915,2022-12-14
1.0274,1.0274,1.0274,0.0052837573,2022-12-15
1.0292,1.0292,1.0292,0.0017519953,2022-12-16
1.0252,1.0252,1.0252,-0.0038865138,2022-12-19
1.0261,1.0261,1.0261,0.0008778775,2022-12-20
1.0255,1.0255,1.0255,-0.0005847383,2022-12-21
1.0273,1.0273,1.0273,0.0017552413,2022-12-22
1.0277,1.0277,1.0277,0.0003893702,2022-12-23
1.0238,1.0238,1.0238,-0.0037948818,2022-12-26
1.0315,1.0315,1.0315,0.0075210002,2022-12-27
1.031,1.031,1.031,-0.000484731,2022-12-28
1.0288,1.0288,1.0288,-0.0021338506,2022-12-29
1.0305,1.0305,1.0305,0.0016524106,2022-12-30
1.0321,1.0321,1.0321,0.0015526443,2023-01-03
1.0376,1.0376,1.0376,0.005328941,2023-01-04
1.0379,1.0379,1.0379,0.0002891288,2023-01-05
1.0382,1.0382,1.0382,0.0002890452,2023-01-06
1.0393,1.0393,1.0393,0.0010595261,2023-01-09
1.0364,1.0364,1.0364,-0.0027903397,2023-01-10
1.0364,1.0364,1.0364,0.0,2023-01-11
1.0338,1.0338,1.0338,-0.0025086839,2023-01-12
1.0349,1.0349,1.0349,0.0010640356,2023-01-13
1.035,1.035,1.035,9.66277e-05,2023-01-16
1.0344,1.0344,1.0344,-0.0005797101,2023-01-17
1.0362,1.0362,1.0362,0.0017401392,2023-01-18
1.0344,1.0344,1.0344,-0.0017371164,2023-01-19
1.0348,1.0348,1.0348,0.0003866976,2023-01-20
1.0329,1.0329,1.0329,-0.0018361036,2023-01-30
1.035,1.035,1.035,0.0020331107,2023-01-31
1.036,1.036,1.036,0.0009661836,2023-02-01
1.0378,1.0378,1.0378,0.0017374517,2023-02-02
1.0383,1.0383,1.0383,0.0004817884,2023-02-03
1.0471,1.0471,1.0471,0.0084753925,2023-02-06
1.0319,1.0319,1.0319,-0.0145162831,2023-02-07
1.0408,1.0408,1.0408,0.0086248668,2023-02-08
1.0425,1.0425,1.0425,0.001633359,2023-02-09
1.043,1.043,1.043,0.0004796163,2023-02-10
1.0441,1.0441,1.0441,0.00105465,2023-02-13
1.0446,1.0446,1.0446,0.0004788813,2023-02-14
1.0456,1.0456,1.0456,0.0009573042,2023-02-15
1.0459,1.0459,1.0459,0.0002869166,2023-02-16
1.0544,1.0544,1.0544,0.008126972,2023-02-17
