nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-04-11
0.9999,0.9999,0.9999,-0.0001,2025-04-18
0.9998,0.9998,0.9998,-0.00010001,2025-04-25
0.9998,0.9998,0.9998,0.0,2025-04-30
1.0013,1.0013,1.0013,0.0015003001,2025-05-09
1.0021,1.0021,1.0021,0.0007989614,2025-05-16
1.0083,1.0083,1.0083,0.0061870073,2025-05-23
1.0098,1.0098,1.0098,0.0014876525,2025-05-30
1.0203,1.0203,1.0203,0.0103980986,2025-06-06
1.034,1.034,1.034,0.0134274233,2025-06-13
1.0522,1.0522,1.0522,0.0176015474,2025-06-20
1.0396,1.0396,1.0396,-0.0119749097,2025-06-27
1.0378,1.0378,1.0378,-0.0017314352,2025-06-30
1.0433,1.0433,1.0433,0.0052996724,2025-07-04
1.0403,1.0403,1.0403,-0.0028754912,2025-07-11
1.0461,1.0461,1.0461,0.0055753148,2025-07-18
1.0655,1.0655,1.0655,0.0185450722,2025-07-25
1.0574,1.0574,1.0574,-0.0076020648,2025-07-31
1.0574,1.0574,1.0574,0.0,2025-08-01
1.0666,1.0666,1.0666,0.0087005863,2025-08-08
1.0845,1.0845,1.0845,0.0167822989,2025-08-15
1.0689,1.0689,1.0689,-0.014384509,2025-08-22
1.0535,1.0535,1.0535,-0.0144073346,2025-08-29
1.0673,1.0673,1.0673,0.0130991932,2025-09-05
1.0678,1.0678,1.0678,0.0004684718,2025-09-12
1.0543,1.0543,1.0543,-0.012642817,2025-09-19
1.0531,1.0531,1.0531,-0.001138196,2025-09-26
1.0669,1.0669,1.0669,0.0131041686,2025-09-30
1.0862,1.0862,1.0862,0.0180897929,2025-10-10
1.1256,1.1256,1.1256,0.0362732462,2025-10-17
1.1149,1.1149,1.1149,-0.0095060412,2025-10-24
1.1236,1.1236,1.1236,0.0078033904,2025-10-31
1.1068,1.1068,1.1068,-0.0149519402,2025-11-07
1.1774,1.1774,1.1774,0.0637874955,2025-11-14
1.1656,1.1656,1.1656,-0.0100220826,2025-11-21
1.1897,1.1897,1.1897,0.0206760467,2025-11-28
1.2482,1.2482,1.2482,0.0491720602,2025-12-05
1.3209,1.3209,1.3209,0.0582438712,2025-12-12
1.4466,1.4466,1.4466,0.0951623893,2025-12-19
1.8419,1.8419,1.8419,0.2732614406,2025-12-26
1.7374,1.7374,1.7374,-0.0567348933,2025-12-31
2.1086,2.1086,2.1086,0.2136525843,2026-01-09
2.2814,2.2814,2.2814,0.0819501091,2026-01-16
2.4416,2.4416,2.4416,0.0702200403,2026-01-23
1.8,2.7278,2.7278,0.1172182176,2026-01-30
1.6584,2.5862,2.51321307,-0.0786666667,2026-02-06
1.7633,2.6911,2.67218319,0.0632537385,2026-02-13
1.8505,2.7783,2.80432994,0.0494527307,2026-02-27
1.7392,2.667,2.63566098,-0.0601459065,2026-03-06
1.6976,2.6254,2.57261849,-0.0239190432,2026-03-13
1.6754,2.6032,2.53897562,-0.0130772856,2026-03-20
1.6416,2.5694,2.4877536,-0.0201742867,2026-03-27
1.647,2.5748,2.495937,0.0032894737,2026-04-03
1.6785,2.6063,2.5436735,0.0191256831,2026-04-10
1.741,2.6688,2.63838878,0.037235627,2026-04-17
1.7533,2.6811,2.65702874,0.0070649052,2026-04-24
1.8133,2.7411,2.74795541,0.0342211829,2026-04-30
1.954,2.8818,2.96117844,0.0775933381,2026-05-08
1.9011,2.8289,2.88101143,-0.0270726714,2026-05-15
1.8771,2.8049,2.84464077,-0.0126242702,2026-05-22
