nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-07-13
1.0,1.0,1.0,0.0,2020-07-17
1.0,1.0,1.0,0.0,2020-07-24
0.997,0.997,0.997,-0.003,2020-07-31
1.01,1.01,1.01,0.0130391174,2020-08-07
1.028,1.028,1.028,0.0178217822,2020-08-14
1.028,1.028,1.028,0.0,2020-08-21
1.031,1.031,1.031,0.0029182879,2020-08-28
1.03,1.03,1.03,-0.0009699321,2020-08-31
1.03,1.03,1.03,0.0,2020-09-04
1.029,1.029,1.029,-0.0009708738,2020-09-11
1.046,1.046,1.046,0.0165208941,2020-09-18
1.026,1.026,1.026,-0.0191204589,2020-09-25
1.031,1.031,1.031,0.0048732943,2020-09-30
1.036,1.036,1.036,0.0048496605,2020-10-09
1.069,1.069,1.069,0.0318532819,2020-10-16
1.093,1.093,1.093,0.0224508887,2020-10-23
1.07,1.07,1.07,-0.0210430009,2020-10-30
1.097,1.097,1.097,0.0252336449,2020-11-06
1.105,1.105,1.105,0.0072926162,2020-11-13
1.143,1.143,1.143,0.0343891403,2020-11-20
1.176,1.176,1.176,0.0288713911,2020-11-27
1.172,1.172,1.172,-0.0034013605,2020-11-30
1.173,1.173,1.173,0.0008532423,2020-12-04
1.143,1.143,1.143,-0.0255754476,2020-12-11
1.144,1.144,1.144,0.0008748906,2020-12-18
1.124,1.124,1.124,-0.0174825175,2020-12-25
1.149,1.149,1.149,0.0222419929,2020-12-31
1.167,1.167,1.167,0.0156657963,2021-01-08
1.183,1.183,1.183,0.0137103685,2021-01-15
1.192,1.192,1.192,0.0076077768,2021-01-22
1.184,1.184,1.184,-0.0067114094,2021-01-29
1.21,1.21,1.21,0.0219594595,2021-02-05
1.198,1.198,1.198,-0.0099173554,2021-02-10
1.231,1.231,1.231,0.0275459098,2021-02-19
1.212,1.212,1.212,-0.015434606,2021-02-26
1.227,1.227,1.227,0.0123762376,2021-03-05
1.235,1.235,1.235,0.0065199674,2021-03-12
1.209,1.209,1.209,-0.0210526316,2021-03-19
1.2,1.2,1.2,-0.0074441687,2021-03-26
1.22,1.22,1.22,0.0166666667,2021-03-31
1.214,1.214,1.214,-0.0049180328,2021-04-02
1.214,1.214,1.214,0.0,2021-04-09
1.192,1.192,1.192,-0.018121911,2021-04-16
1.233,1.233,1.233,0.0343959732,2021-04-23
1.234,1.234,1.234,0.00081103,2021-04-30
1.249,1.249,1.249,0.0121555916,2021-05-07
1.228,1.228,1.228,-0.0168134508,2021-05-14
1.222,1.222,1.222,-0.0048859935,2021-05-21
1.248,1.248,1.248,0.0212765957,2021-05-28
1.239,1.239,1.239,-0.0072115385,2021-05-31
1.24,1.24,1.24,0.0008071025,2021-06-04
1.221,1.221,1.221,-0.0153225806,2021-06-11
1.183,1.183,1.183,-0.0311220311,2021-06-18
1.212,1.212,1.212,0.0245139476,2021-06-25
1.182,1.182,1.182,-0.0247524752,2021-06-30
1.161,1.161,1.161,-0.0177664975,2021-07-02
1.137,1.137,1.137,-0.0206718346,2021-07-09
1.142,1.142,1.142,0.0043975374,2021-07-16
