nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-06-25
1.0001,1.0001,1.0001,0.0001,2025-06-27
1.0002,1.0002,1.0002,9.999e-05,2025-06-30
1.0003,1.0003,1.0003,9.998e-05,2025-07-04
1.0006,1.0006,1.0006,0.00029991,2025-07-11
1.0008,1.0008,1.0008,0.0001998801,2025-07-18
1.0009,1.0009,1.0009,9.99201e-05,2025-07-25
0.9975,0.9975,0.9975,-0.0033969428,2025-07-31
0.9955,0.9955,0.9955,-0.0020050125,2025-08-01
1.0017,1.0017,1.0017,0.0062280261,2025-08-08
1.0104,1.0104,1.0104,0.0086852351,2025-08-15
1.02,1.02,1.02,0.0095011876,2025-08-22
1.0198,1.0198,1.0198,-0.0001960784,2025-08-29
1.0217,1.0217,1.0217,0.0018631104,2025-09-05
1.0221,1.0221,1.0221,0.0003915044,2025-09-12
1.0237,1.0237,1.0237,0.0015654046,2025-09-19
1.0268,1.0268,1.0268,0.0030282309,2025-09-26
1.0287,1.0287,1.0287,0.001850409,2025-09-30
1.0294,1.0294,1.0294,0.0006804705,2025-10-10
1.0176,1.0176,1.0176,-0.0114629881,2025-10-17
1.0265,1.0265,1.0265,0.0087460692,2025-10-24
1.047,1.047,1.047,0.0199707745,2025-10-31
1.0522,1.0522,1.0522,0.0049665712,2025-11-07
1.0513,1.0513,1.0513,-0.0008553507,2025-11-14
1.0141,1.0141,1.0141,-0.0353847617,2025-11-21
1.0239,1.0239,1.0239,0.0096637412,2025-11-28
1.0337,1.0337,1.0337,0.0095712472,2025-12-05
1.0383,1.0383,1.0383,0.0044500339,2025-12-12
1.0371,1.0371,1.0371,-0.0011557353,2025-12-19
1.059,1.059,1.059,0.0211165751,2025-12-26
1.0702,1.0702,1.0702,0.0105760151,2025-12-31
1.0954,1.0954,1.0954,0.0235470006,2026-01-09
1.1278,1.1278,1.1278,0.0295782363,2026-01-16
1.1619,1.1619,1.1619,0.0302358574,2026-01-23
1.1536,1.1536,1.1536,-0.0071434719,2026-01-30
1.1406,1.1406,1.1406,-0.0112690707,2026-02-06
1.1588,1.1588,1.1588,0.0159565141,2026-02-13
1.1863,1.1863,1.1863,0.0237314463,2026-02-27
1.1767,1.1767,1.1767,-0.0080923881,2026-03-06
1.162,1.162,1.162,-0.012492564,2026-03-13
1.1042,1.1042,1.1042,-0.0497418244,2026-03-20
1.0975,1.0975,1.0975,-0.0060677414,2026-03-27
1.093,1.093,1.093,-0.0041002278,2026-04-03
1.1343,1.1343,1.1343,0.0377859103,2026-04-10
1.1737,1.1737,1.1737,0.0347350789,2026-04-17
1.1854,1.1854,1.1854,0.0099684758,2026-04-24
1.2014,1.2014,1.2014,0.0134975536,2026-04-30
1.2273,1.2273,1.2273,0.0215581821,2026-05-08
1.2325,1.2325,1.2325,0.0042369429,2026-05-15
1.2565,1.2565,1.2565,0.0194726166,2026-05-22
