nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.12,1.12,1.12,0.0,2025-06-23
1.118,1.118,1.118,-0.0017857143,2025-06-27
1.128,1.128,1.128,0.0089445438,2025-06-30
1.138,1.138,1.138,0.0088652482,2025-07-04
1.154,1.154,1.154,0.014059754,2025-07-11
1.173,1.173,1.173,0.0164644714,2025-07-18
1.191,1.191,1.191,0.0153452685,2025-07-25
1.147,1.147,1.147,-0.0369437448,2025-07-31
1.142,1.142,1.142,-0.0043591979,2025-08-01
1.134,1.134,1.134,-0.0070052539,2025-08-08
1.146,1.146,1.146,0.0105820106,2025-08-15
1.158,1.158,1.158,0.0104712042,2025-08-22
1.146,1.146,1.146,-0.0103626943,2025-08-29
1.155,1.155,1.155,0.0078534031,2025-09-05
1.148,1.148,1.148,-0.0060606061,2025-09-12
1.145,1.145,1.145,-0.0026132404,2025-09-19
1.151,1.151,1.151,0.0052401747,2025-09-26
1.156,1.156,1.156,0.0043440487,2025-09-30
1.156,1.156,1.156,0.0,2025-10-10
1.145,1.145,1.145,-0.0095155709,2025-10-17
1.159,1.159,1.159,0.0122270742,2025-10-24
1.161,1.161,1.161,0.0017256255,2025-10-31
1.165,1.165,1.165,0.0034453058,2025-11-07
1.169,1.169,1.169,0.0034334764,2025-11-14
1.154,1.154,1.154,-0.0128314799,2025-11-21
1.181,1.181,1.181,0.0233968804,2025-11-28
1.174,1.174,1.174,-0.0059271804,2025-12-05
1.183,1.183,1.183,0.0076660988,2025-12-12
1.183,1.183,1.183,0.0,2025-12-19
1.21,1.21,1.21,0.0228233305,2025-12-26
1.207,1.207,1.207,-0.0024793388,2025-12-31
1.245,1.245,1.245,0.0314830157,2026-01-09
1.258,1.258,1.258,0.0104417671,2026-01-16
1.244,1.244,1.244,-0.0111287758,2026-01-23
1.253,1.253,1.253,0.0072347267,2026-01-30
1.253,1.253,1.253,0.0,2026-02-06
1.264,1.264,1.264,0.0087789306,2026-02-13
1.268,1.268,1.268,0.003164557,2026-02-27
1.291,1.291,1.291,0.0181388013,2026-03-06
1.328,1.328,1.328,0.0286599535,2026-03-13
1.369,1.369,1.369,0.030873494,2026-03-20
1.356,1.356,1.356,-0.0094959825,2026-03-27
1.354,1.354,1.354,-0.0014749263,2026-03-31
1.311,1.311,1.311,-0.0317577548,2026-04-03
1.275,1.275,1.275,-0.0274599542,2026-04-10
1.271,1.271,1.271,-0.0031372549,2026-04-17
1.279,1.279,1.279,0.0062942565,2026-04-24
1.279,1.279,1.279,0.0,2026-04-30
1.284,1.284,1.284,0.0039093041,2026-05-08
1.275,1.275,1.275,-0.0070093458,2026-05-15
1.273,1.273,1.273,-0.0015686275,2026-05-22
