nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-12-20
1.0,1.0,1.0,0.0,2022-12-23
1.0002,1.0002,1.0002,0.0002,2022-12-30
0.9982,0.9982,0.9982,-0.0019996001,2023-01-06
0.9982,0.9982,0.9982,0.0,2023-01-13
0.9983,0.9983,0.9983,0.0001001803,2023-01-20
0.9984,0.9984,0.9984,0.0001001703,2023-02-03
0.9984,0.9984,0.9984,0.0,2023-02-10
0.9818,0.9818,0.9818,-0.0166266026,2023-02-17
0.9979,0.9979,0.9979,0.0163984518,2023-02-24
1.0036,1.0036,1.0036,0.0057119952,2023-03-03
0.9908,0.9908,0.9908,-0.0127540853,2023-03-10
0.9842,0.9842,0.9842,-0.0066612838,2023-03-17
1.0145,1.0145,1.0145,0.0307864255,2023-03-24
1.0067,1.0067,1.0067,-0.0076885165,2023-03-31
1.0217,1.0217,1.0217,0.0149001689,2023-04-07
1.0193,1.0193,1.0193,-0.0023490261,2023-04-14
0.9712,0.9712,0.9712,-0.0471892475,2023-04-21
0.9709,0.9709,0.9709,-0.0003088962,2023-04-28
0.9674,0.9674,0.9674,-0.0036049027,2023-05-05
0.9647,0.9647,0.9647,-0.0027909861,2023-05-12
0.975,0.975,0.975,0.0106768944,2023-05-19
0.9699,0.9699,0.9699,-0.0052307692,2023-05-26
0.9845,0.9845,0.9845,0.0150530983,2023-06-02
0.9723,0.9723,0.9723,-0.0123920772,2023-06-09
0.9957,0.9957,0.9957,0.0240666461,2023-06-16
0.9807,0.9807,0.9807,-0.0150647785,2023-06-21
1.0,1.0,1.0,0.0196798205,2023-06-30
0.9984,0.9984,0.9984,-0.0016,2023-07-07
1.0065,1.0065,1.0065,0.0081129808,2023-07-14
0.9824,0.9824,0.9824,-0.0239443616,2023-07-21
0.9956,0.9956,0.9956,0.0134364821,2023-07-28
1.0042,1.0042,1.0042,0.0086380072,2023-08-04
0.9718,0.9718,0.9718,-0.0322644891,2023-08-11
0.9617,0.9617,0.9617,-0.010393085,2023-08-18
0.9264,0.9264,0.9264,-0.0367058334,2023-08-25
0.9713,0.9713,0.9713,0.0484671848,2023-09-01
0.9726,0.9726,0.9726,0.0013384124,2023-09-08
0.9612,0.9612,0.9612,-0.0117211598,2023-09-15
0.9642,0.9642,0.9642,0.0031210986,2023-09-22
0.9721,0.9721,0.9721,0.0081933209,2023-09-28
0.9703,0.9703,0.9703,-0.0018516614,2023-10-13
0.9223,0.9223,0.9223,-0.0494692363,2023-10-20
0.9518,0.9518,0.9518,0.0319852543,2023-10-27
0.9722,0.9722,0.9722,0.0214330742,2023-11-03
0.9976,0.9976,0.9976,0.0261263115,2023-11-10
1.0263,1.0263,1.0263,0.0287690457,2023-11-17
1.0224,1.0224,1.0224,-0.0038000585,2023-11-24
1.0281,1.0281,1.0281,0.0055751174,2023-12-01
1.0047,1.0047,1.0047,-0.0227604319,2023-12-08
1.0101,1.0101,1.0101,0.0053747387,2023-12-15
0.978,0.978,0.978,-0.0317790318,2023-12-22
0.9991,0.9991,0.9991,0.0215746421,2023-12-29
0.9773,0.9773,0.9773,-0.0218196377,2024-01-05
0.9641,0.9641,0.9641,-0.0135065998,2024-01-12
0.914,0.914,0.914,-0.0519655637,2024-01-19
0.9135,0.9135,0.9135,-0.000547046,2024-01-26
0.7829,0.7829,0.7829,-0.1429666119,2024-02-02
