nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2024-12-17
1.0001,1.0001,1.0001,0.0,2024-12-20
0.9981,0.9981,0.9981,-0.0019998,2024-12-27
0.9884,0.9884,0.9884,-0.0097184651,2024-12-31
0.9742,0.9742,0.9742,-0.0143666532,2025-01-03
0.9705,0.9705,0.9705,-0.0037979881,2025-01-10
1.0012,1.0012,1.0012,0.0316331788,2025-01-17
1.0126,1.0126,1.0126,0.0113863364,2025-01-24
1.0074,1.0074,1.0074,-0.0051352953,2025-01-27
1.0335,1.0335,1.0335,0.0259082787,2025-02-07
1.0415,1.0415,1.0415,0.007740687,2025-02-14
1.0672,1.0672,1.0672,0.0246759482,2025-02-21
1.0552,1.0552,1.0552,-0.0112443778,2025-02-28
1.0744,1.0744,1.0744,0.0181956027,2025-03-07
1.0718,1.0718,1.0718,-0.0024199553,2025-03-14
1.0863,1.0863,1.0863,0.0135286434,2025-03-21
1.0838,1.0838,1.0838,-0.00230139,2025-03-28
1.0915,1.0915,1.0915,0.0071046319,2025-03-31
1.0877,1.0877,1.0877,-0.0034814475,2025-04-03
1.1586,1.1586,1.1586,0.0651834145,2025-04-11
1.1692,1.1692,1.1692,0.0091489729,2025-04-18
1.1641,1.1641,1.1641,-0.0043619569,2025-04-25
1.1698,1.1698,1.1698,0.0048964866,2025-04-30
1.1836,1.1836,1.1836,0.0117968884,2025-05-09
1.1953,1.1953,1.1953,0.0098850963,2025-05-16
1.1958,1.1958,1.1958,0.000418305,2025-05-23
1.1906,1.1906,1.1906,-0.0043485533,2025-05-30
1.1913,1.1913,1.1913,0.0005879389,2025-06-06
1.1949,1.1949,1.1949,0.0030219088,2025-06-13
1.1997,1.1997,1.1997,0.0040170726,2025-06-20
1.1876,1.1876,1.1876,-0.0100858548,2025-06-27
1.1958,1.1958,1.1958,0.0069046817,2025-06-30
1.1916,1.1916,1.1916,-0.003512293,2025-07-04
1.2015,1.2015,1.2015,0.0083081571,2025-07-11
1.2143,1.2143,1.2143,0.01065335,2025-07-18
1.2297,1.2297,1.2297,0.0126822037,2025-07-25
1.2147,1.2147,1.2147,-0.0121980971,2025-07-31
1.2155,1.2155,1.2155,0.0006585988,2025-08-01
1.2335,1.2335,1.2335,0.0148087207,2025-08-08
1.2271,1.2271,1.2271,-0.005188488,2025-08-15
1.2547,1.2547,1.2547,0.0224920544,2025-08-22
1.262,1.262,1.262,0.0058181239,2025-08-29
1.2638,1.2638,1.2638,0.0014263074,2025-09-05
1.2621,1.2621,1.2621,-0.0013451495,2025-09-12
1.2505,1.2505,1.2505,-0.0091910308,2025-09-19
1.2409,1.2409,1.2409,-0.0076769292,2025-09-26
1.2333,1.2333,1.2333,-0.006124587,2025-09-30
1.2401,1.2401,1.2401,0.0055136625,2025-10-10
1.2699,1.2699,1.2699,0.0240303201,2025-10-17
1.2599,1.2599,1.2599,-0.0078746358,2025-10-24
1.2378,1.2378,1.2378,-0.0175410747,2025-10-31
1.257,1.257,1.257,0.0155113912,2025-11-07
1.2657,1.2657,1.2657,0.0069212411,2025-11-14
1.2579,1.2579,1.2579,-0.0061625978,2025-11-21
1.2732,1.2732,1.2732,0.012163129,2025-11-28
1.2655,1.2655,1.2655,-0.0060477537,2025-12-05
1.2531,1.2531,1.2531,-0.0097984986,2025-12-12
1.2579,1.2579,1.2579,0.0038305004,2025-12-19
1.2535,1.2535,1.2535,-0.0034978933,2025-12-26
1.2537,1.2537,1.2537,0.0001595533,2025-12-31
1.2872,1.2872,1.2872,0.0267209061,2026-01-09
1.3116,1.3116,1.3116,0.0189558732,2026-01-16
1.3504,1.3504,1.3504,0.0295821897,2026-01-23
1.3201,1.3201,1.3201,-0.0224377962,2026-01-30
1.2974,1.2974,1.2974,-0.017195667,2026-02-06
1.3255,1.3255,1.3255,0.021658702,2026-02-13
1.3629,1.3629,1.3629,0.0282157676,2026-02-27
1.3808,1.3808,1.3808,0.0131337589,2026-03-06
1.3862,1.3862,1.3862,0.0039107764,2026-03-13
1.3924,1.3924,1.3924,0.0044726591,2026-03-20
1.4005,1.4005,1.4005,0.0058172939,2026-03-27
1.3978,1.3978,1.3978,-0.0019278829,2026-04-03
1.4086,1.4086,1.4086,0.0077264272,2026-04-10
1.0712,1.4212,1.4212,0.0089450518,2026-04-17
1.0786,1.4286,1.43101785,0.0069081404,2026-04-24
1.0877,1.4377,1.44309115,0.0084368626,2026-04-30
1.1201,1.4701,1.48607741,0.0297876253,2026-05-08
1.1227,1.4727,1.48952692,0.0023212213,2026-05-15
1.1404,1.4904,1.51301016,0.0157655652,2026-05-22
