nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-10-30
1.0001,1.0001,1.0001,0.0001,2024-10-31
1.0001,1.0001,1.0001,0.0,2024-11-01
1.0003,1.0003,1.0003,0.00019998,2024-11-08
1.0005,1.0005,1.0005,0.00019994,2024-11-15
1.0007,1.0007,1.0007,0.0001999,2024-11-22
1.0007,1.0007,1.0007,0.0,2024-11-29
1.0094,1.0094,1.0094,0.0086939143,2024-12-06
1.0055,1.0055,1.0055,-0.0038636814,2024-12-13
0.9968,0.9968,0.9968,-0.0086524117,2024-12-20
1.0043,1.0043,1.0043,0.007524077,2024-12-27
0.9904,0.9904,0.9904,-0.0138404859,2024-12-31
0.9444,0.9444,0.9444,-0.0464458805,2025-01-03
0.9344,0.9344,0.9344,-0.0105887336,2025-01-10
0.9647,0.9647,0.9647,0.032427226,2025-01-17
0.9709,0.9709,0.9709,0.0064268685,2025-01-24
0.9659,0.9659,0.9659,-0.005149861,2025-01-27
0.9986,0.9986,0.9986,0.0338544363,2025-02-07
1.017,1.017,1.017,0.0184257961,2025-02-14
1.0392,1.0392,1.0392,0.0218289086,2025-02-21
1.0038,1.0038,1.0038,-0.0340646651,2025-02-28
1.0281,1.0281,1.0281,0.0242080096,2025-03-07
1.0391,1.0391,1.0391,0.0106993483,2025-03-14
1.0211,1.0211,1.0211,-0.0173226831,2025-03-21
1.0253,1.0253,1.0253,0.0041132112,2025-03-28
1.0231,1.0231,1.0231,-0.0021457134,2025-03-31
1.0185,1.0185,1.0185,-0.0044961392,2025-04-03
0.9973,0.9973,0.9973,-0.0208149239,2025-04-11
1.0036,1.0036,1.0036,0.0063170561,2025-04-18
1.0198,1.0198,1.0198,0.0161418892,2025-04-25
1.0176,1.0176,1.0176,-0.0021572857,2025-04-30
1.0418,1.0418,1.0418,0.0237814465,2025-05-09
1.0498,1.0498,1.0498,0.0076790171,2025-05-16
1.0529,1.0529,1.0529,0.0029529434,2025-05-23
1.0493,1.0493,1.0493,-0.0034191281,2025-05-30
1.0562,1.0562,1.0562,0.0065758124,2025-06-06
1.0598,1.0598,1.0598,0.0034084454,2025-06-13
1.0529,1.0529,1.0529,-0.0065106624,2025-06-20
1.0689,1.0689,1.0689,0.015196125,2025-06-27
1.0767,1.0767,1.0767,0.0072972214,2025-06-30
1.0794,1.0794,1.0794,0.0025076623,2025-07-04
1.0912,1.0912,1.0912,0.0109319993,2025-07-11
1.0994,1.0994,1.0994,0.0075146628,2025-07-18
1.1241,1.1241,1.1241,0.0224668001,2025-07-25
1.1016,1.1016,1.1016,-0.0200160128,2025-07-31
1.0987,1.0987,1.0987,-0.0026325345,2025-08-01
1.1226,1.1226,1.1226,0.0217529808,2025-08-08
1.1366,1.1366,1.1366,0.0124710493,2025-08-15
1.1825,1.1825,1.1825,0.0403836002,2025-08-22
1.2115,1.2115,1.2115,0.0245243129,2025-08-29
1.2028,1.2028,1.2028,-0.0071811804,2025-09-05
1.2196,1.2196,1.2196,0.0139674094,2025-09-12
1.2126,1.2126,1.2126,-0.0057395867,2025-09-19
1.2198,1.2198,1.2198,0.0059376546,2025-09-26
1.2437,1.2437,1.2437,0.019593376,2025-09-30
1.2511,1.2511,1.2511,0.0059499879,2025-10-10
1.2171,1.2171,1.2171,-0.027176085,2025-10-17
1.2446,1.2446,1.2446,0.0225946923,2025-10-24
1.2377,1.2377,1.2377,-0.0055439499,2025-10-31
1.2589,1.2589,1.2589,0.0171285449,2025-11-07
1.2638,1.2638,1.2638,0.0038922869,2025-11-14
1.2029,1.2029,1.2029,-0.0481880044,2025-11-21
1.2403,1.2403,1.2403,0.0310915288,2025-11-28
1.2541,1.2541,1.2541,0.0111263404,2025-12-05
1.2544,1.2544,1.2544,0.0002392154,2025-12-12
1.2657,1.2657,1.2657,0.0090082908,2025-12-19
1.2954,1.2954,1.2954,0.0234652761,2025-12-26
1.2901,1.2901,1.2901,-0.0040914003,2025-12-31
1.3439,1.3439,1.3439,0.0417021936,2026-01-09
1.3714,1.3714,1.3714,0.0204628321,2026-01-16
1.4117,1.4117,1.4117,0.0293860289,2026-01-23
1.3869,1.3869,1.3869,-0.0175674718,2026-01-30
1.3662,1.3662,1.3662,-0.0149253731,2026-02-06
1.3911,1.3911,1.3911,0.0182257356,2026-02-13
1.4497,1.4497,1.4497,0.0421249371,2026-02-27
1.4349,1.4349,1.4349,-0.0102090088,2026-03-06
1.4387,1.4387,1.4387,0.0026482682,2026-03-13
1.3801,1.3801,1.3801,-0.0407312157,2026-03-20
1.3841,1.3841,1.3841,0.0028983407,2026-03-27
1.372,1.372,1.372,-0.0087421429,2026-03-31
1.3576,1.3576,1.3576,-0.0104956268,2026-04-03
1.4374,1.4374,1.4374,0.0587802004,2026-04-10
1.4893,1.4893,1.4893,0.0361068596,2026-04-17
1.5156,1.5156,1.5156,0.017659303,2026-04-24
1.5272,1.5272,1.5272,0.0076537345,2026-04-30
1.584,1.584,1.584,0.0371922472,2026-05-08
1.5811,1.5811,1.5811,-0.0018308081,2026-05-15
1.6199,1.6199,1.6199,0.0245398773,2026-05-22
