nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-09-15
1.0001,1.0001,1.0001,0.0001,2021-09-17
1.0002,1.0002,1.0002,9.999e-05,2021-09-24
1.0002,1.0002,1.0002,0.0,2021-09-30
1.0,1.0,1.0,-0.00019996,2021-10-08
0.9961,0.9961,0.9961,-0.0039,2021-10-15
0.9985,0.9985,0.9985,0.0024093966,2021-10-22
0.9948,0.9948,0.9948,-0.0037055583,2021-10-29
0.9851,0.9851,0.9851,-0.0097507037,2021-11-05
0.9972,0.9972,0.9972,0.012283017,2021-11-12
0.9981,0.9981,0.9981,0.0009025271,2021-11-19
1.0082,1.0082,1.0082,0.0101192265,2021-11-26
0.9987,0.9987,0.9987,-0.0094227336,2021-11-30
0.9864,0.9864,0.9864,-0.0123160108,2021-12-03
0.9923,0.9923,0.9923,0.0059813463,2021-12-10
0.9875,0.9875,0.9875,-0.0048372468,2021-12-17
0.9863,0.9863,0.9863,-0.0012151899,2021-12-24
1.0065,1.0065,1.0065,0.020480584,2021-12-31
1.0012,1.0012,1.0012,-0.0052657725,2022-01-07
1.0002,1.0002,1.0002,-0.0009988014,2022-01-14
0.9959,0.9959,0.9959,-0.0042991402,2022-01-21
0.982,0.982,0.982,-0.0139572246,2022-01-28
1.0241,1.0241,1.0241,0.0428716904,2022-02-11
1.0035,1.0035,1.0035,-0.0201152231,2022-02-18
0.9939,0.9939,0.9939,-0.0095665172,2022-02-25
0.993,0.993,0.993,-0.0009055237,2022-02-28
0.9929,0.9929,0.9929,-0.0001007049,2022-03-04
0.9616,0.9616,0.9616,-0.0315238191,2022-03-11
0.9733,0.9733,0.9733,0.0121672213,2022-03-18
0.9798,0.9798,0.9798,0.0066783109,2022-03-25
0.9801,0.9801,0.9801,0.0003061849,2022-03-31
0.9889,0.9889,0.9889,0.0089786756,2022-04-01
0.9884,0.9884,0.9884,-0.0005056123,2022-04-08
0.976,0.976,0.976,-0.0125455281,2022-04-15
0.942,0.942,0.942,-0.0348360656,2022-04-22
0.9601,0.9601,0.9601,0.0192144374,2022-04-29
0.9293,0.9293,0.9293,-0.0320799917,2022-05-06
0.8995,0.8995,0.8995,-0.0320671473,2022-05-13
0.9371,0.9371,0.9371,0.0418010006,2022-05-20
0.9456,0.9456,0.9456,0.0090705368,2022-05-27
0.9561,0.9561,0.9561,0.0111040609,2022-05-31
0.9555,0.9555,0.9555,-0.0006275494,2022-06-02
0.9725,0.9725,0.9725,0.0177917321,2022-06-10
0.9274,0.9274,0.9274,-0.0463753213,2022-06-17
0.9209,0.9209,0.9209,-0.0070088419,2022-06-24
0.9378,0.9378,0.9378,0.0183516126,2022-06-30
0.9366,0.9366,0.9366,-0.0012795905,2022-07-01
0.9259,0.9259,0.9259,-0.0114243007,2022-07-08
0.8956,0.8956,0.8956,-0.0327249163,2022-07-15
0.9088,0.9088,0.9088,0.0147387226,2022-07-22
0.9029,0.9029,0.9029,-0.0064920775,2022-07-29
0.9114,0.9114,0.9114,0.0094141101,2022-08-05
0.921,0.921,0.921,0.0105332456,2022-08-12
0.9205,0.9205,0.9205,-0.0005428882,2022-08-19
0.9453,0.9453,0.9453,0.0269418794,2022-08-26
0.935,0.935,0.935,-0.0108960118,2022-08-31
0.9253,0.9253,0.9253,-0.0103743316,2022-09-02
0.9287,0.9287,0.9287,0.003674484,2022-09-09
0.9006,0.9006,0.9006,-0.030257349,2022-09-16
0.8792,0.8792,0.8792,-0.0237619365,2022-09-23
0.8618,0.8618,0.8618,-0.0197907188,2022-09-30
0.8647,0.8647,0.8647,0.0033650499,2022-10-14
0.8538,0.8538,0.8538,-0.0126055279,2022-10-21
0.8162,0.8162,0.8162,-0.0440384165,2022-10-28
0.8112,0.8112,0.8112,-0.0061259495,2022-10-31
0.8577,0.8577,0.8577,0.0573224852,2022-11-04
0.8329,0.8329,0.8329,-0.0289145389,2022-11-11
0.843,0.843,0.843,0.0121263057,2022-11-18
0.8278,0.8278,0.8278,-0.0180308422,2022-11-25
0.8251,0.8251,0.8251,-0.0032616574,2022-11-30
0.8237,0.8237,0.8237,-0.001696764,2022-12-02
0.8287,0.8287,0.8287,0.0060701712,2022-12-09
0.8223,0.8223,0.8223,-0.0077229395,2022-12-16
0.8065,0.8065,0.8065,-0.0192143986,2022-12-23
0.8169,0.8169,0.8169,0.0128952263,2022-12-30
0.8253,0.8253,0.8253,0.0102827763,2023-01-06
0.8224,0.8224,0.8224,-0.0035138737,2023-01-13
0.8569,0.8569,0.8569,0.0419503891,2023-01-20
0.8448,0.8448,0.8448,-0.0141206675,2023-01-31
0.8449,0.8449,0.8449,0.0001183712,2023-02-03
0.8436,0.8436,0.8436,-0.0015386436,2023-02-10
0.8312,0.8312,0.8312,-0.0146989094,2023-02-17
0.838,0.838,0.838,0.0081809432,2023-02-24
0.8336,0.8336,0.8336,-0.0052505967,2023-02-28
0.8473,0.8473,0.8473,0.0164347409,2023-03-03
0.8475,0.8475,0.8475,0.0002360439,2023-03-10
0.8421,0.8421,0.8421,-0.0063716814,2023-03-17
0.8303,0.8303,0.8303,-0.0140125876,2023-03-24
0.8326,0.8326,0.8326,0.0027700831,2023-03-31
0.8416,0.8416,0.8416,0.0108095124,2023-04-07
0.8557,0.8557,0.8557,0.0167538023,2023-04-14
0.8323,0.8323,0.8323,-0.0273460325,2023-04-21
0.8371,0.8371,0.8371,0.0057671513,2023-04-28
0.8301,0.8301,0.8301,-0.0083622028,2023-05-05
0.8211,0.8211,0.8211,-0.0108420672,2023-05-12
0.8154,0.8154,0.8154,-0.0069419072,2023-05-19
0.7902,0.7902,0.7902,-0.0309050773,2023-05-26
0.7797,0.7797,0.7797,-0.0132877752,2023-05-31
0.7923,0.7923,0.7923,0.0161600616,2023-06-02
0.7959,0.7959,0.7959,0.0045437334,2023-06-09
0.8173,0.8173,0.8173,0.0268878,2023-06-16
0.7858,0.7858,0.7858,-0.0385415392,2023-06-21
0.7894,0.7894,0.7894,0.0045813184,2023-06-30
0.7708,0.7708,0.7708,-0.0235621991,2023-07-07
0.8009,0.8009,0.8009,0.0390503373,2023-07-14
0.7698,0.7698,0.7698,-0.0388313148,2023-07-21
0.8505,0.8505,0.8505,0.104832424,2023-07-28
0.868,0.868,0.868,0.0205761317,2023-07-31
0.8626,0.8626,0.8626,-0.0062211982,2023-08-04
0.7831,0.7831,0.7831,-0.0921632275,2023-08-11
0.7297,0.7297,0.7297,-0.0681905248,2023-08-18
0.7002,0.7002,0.7002,-0.040427573,2023-08-25
0.7186,0.7186,0.7186,0.0262782062,2023-08-31
0.726,0.726,0.726,0.0102978013,2023-09-01
0.7087,0.7087,0.7087,-0.0238292011,2023-09-08
0.7006,0.7006,0.7006,-0.0114293777,2023-09-15
0.7133,0.7133,0.7133,0.0181273194,2023-09-22
0.6778,0.6778,0.6778,-0.0497686808,2023-09-28
0.6482,0.6482,0.6482,-0.0436706993,2023-10-13
0.6051,0.6051,0.6051,-0.0664918235,2023-10-20
0.6192,0.6192,0.6192,0.0233019336,2023-10-27
0.62,0.62,0.62,0.0012919897,2023-10-31
0.6205,0.6205,0.6205,0.0008064516,2023-11-03
0.62,0.62,0.62,-0.0008058018,2023-11-10
0.615,0.615,0.615,-0.0080645161,2023-11-17
0.6019,0.6019,0.6019,-0.021300813,2023-11-24
0.5865,0.5865,0.5865,-0.0255856455,2023-11-30
0.5844,0.5844,0.5844,-0.0035805627,2023-12-01
0.5467,0.5467,0.5467,-0.0645106092,2023-12-08
0.5366,0.5366,0.5366,-0.0184744833,2023-12-15
0.5018,0.5018,0.5018,-0.0648527767,2023-12-22
0.531,0.531,0.531,0.0581905141,2023-12-29
0.4908,0.4908,0.4908,-0.0757062147,2024-01-05
0.4727,0.4727,0.4727,-0.0368785656,2024-01-12
0.4491,0.4491,0.4491,-0.0499259573,2024-01-19
0.4453,0.4453,0.4453,-0.0084613672,2024-01-26
0.4458,0.4458,0.4458,0.0011228385,2024-01-31
0.4334,0.4334,0.4334,-0.0278151638,2024-02-02
0.4385,0.4385,0.4385,0.0117674204,2024-02-08
0.4534,0.4534,0.4534,0.0339794755,2024-02-23
