nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.1577,1.1577,1.1577,0.0,2025-10-10
1.129,1.129,1.129,-0.024790533,2025-10-17
1.1514,1.1514,1.1514,0.0198405669,2025-10-24
1.1546,1.1546,1.1546,0.0027792253,2025-10-31
1.1724,1.1724,1.1724,0.0154165945,2025-11-07
1.1742,1.1742,1.1742,0.0015353122,2025-11-14
1.1263,1.1263,1.1263,-0.0407937319,2025-11-21
1.151,1.151,1.151,0.021930214,2025-11-28
1.1552,1.1552,1.1552,0.0036490009,2025-12-05
1.1667,1.1667,1.1667,0.0099549861,2025-12-12
1.1555,1.1555,1.1555,-0.0095997257,2025-12-19
1.1837,1.1837,1.1837,0.0244050195,2025-12-26
1.1836,1.1836,1.1836,-8.44809e-05,2025-12-31
1.237,1.237,1.237,0.0451165934,2026-01-09
1.2502,1.2502,1.2502,0.0106709782,2026-01-16
1.2547,1.2547,1.2547,0.0035994241,2026-01-23
1.2477,1.2477,1.2477,-0.0055790229,2026-01-30
1.2216,1.2216,1.2216,-0.02091849,2026-02-06
1.2352,1.2352,1.2352,0.0111329404,2026-02-13
1.2694,1.2694,1.2694,0.0276878238,2026-02-27
1.2479,1.2479,1.2479,-0.0169371357,2026-03-06
1.2363,1.2363,1.2363,-0.0092956166,2026-03-13
1.1924,1.1924,1.1924,-0.0355091806,2026-03-20
1.197,1.197,1.197,0.0038577659,2026-03-27
1.1858,1.1858,1.1858,-0.0093567251,2026-03-31
1.0,1.2,1.2,0.0119750379,2026-04-01
0.9823,1.1823,1.17876,-0.0177,2026-04-03
1.0103,1.2103,1.21236,0.0285045302,2026-04-10
1.0335,1.2335,1.2402,0.0229634762,2026-04-17
1.0404,1.2404,1.24848,0.0066763425,2026-04-24
1.0529,1.2529,1.26348,0.0120146098,2026-04-30
1.0827,1.2827,1.29924,0.0283027828,2026-05-08
1.0819,1.2819,1.29828,-0.0007388935,2026-05-15
1.0923,1.2923,1.31076,0.0096127184,2026-05-22
