nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-01-12
1.0,1.0,1.0,0.0,2022-01-13
1.0004,1.0004,1.0004,0.0004,2022-01-14
1.0009,1.0009,1.0009,0.0004998001,2022-01-17
1.003,1.003,1.003,0.0020981117,2022-01-21
0.9877,0.9877,0.9877,-0.0152542373,2022-01-28
0.9969,0.9969,0.9969,0.0093145692,2022-02-07
1.0009,1.0009,1.0009,0.0040124386,2022-02-11
0.9948,0.9948,0.9948,-0.0060945149,2022-02-15
0.998,0.998,0.998,0.003216727,2022-02-18
0.991,0.991,0.991,-0.0070140281,2022-02-25
0.9841,0.9841,0.9841,-0.006962664,2022-03-04
0.9744,0.9744,0.9744,-0.0098567219,2022-03-07
0.9718,0.9718,0.9718,-0.0026683087,2022-03-11
0.9439,0.9439,0.9439,-0.028709611,2022-03-15
0.9762,0.9762,0.9762,0.0342197267,2022-03-18
0.9748,0.9748,0.9748,-0.0014341323,2022-03-25
0.9882,0.9882,0.9882,0.0137464095,2022-04-01
0.9936,0.9936,0.9936,0.0054644809,2022-04-06
0.9881,0.9881,0.9881,-0.0055354267,2022-04-08
0.9702,0.9702,0.9702,-0.0181155753,2022-04-15
0.9635,0.9635,0.9635,-0.0069057926,2022-04-22
0.9781,0.9781,0.9781,0.0151530877,2022-04-29
0.9856,0.9856,0.9856,0.0076679276,2022-05-05
0.9743,0.9743,0.9743,-0.0114650974,2022-05-06
0.9879,0.9879,0.9879,0.0139587396,2022-05-13
0.9868,0.9868,0.9868,-0.001113473,2022-05-16
1.0081,1.0081,1.0081,0.021584921,2022-05-20
0.9938,0.9938,0.9938,-0.0141851007,2022-05-27
1.023,1.023,1.023,0.0293821695,2022-06-02
1.0361,1.0361,1.0361,0.0128054741,2022-06-06
1.0318,1.0318,1.0318,-0.0041501786,2022-06-10
1.0304,1.0304,1.0304,-0.0013568521,2022-06-15
1.0276,1.0276,1.0276,-0.0027173913,2022-06-17
1.0296,1.0296,1.0296,0.0019462826,2022-06-24
1.0759,1.0759,1.0759,0.04496892,2022-07-01
1.0675,1.0675,1.0675,-0.007807417,2022-07-05
1.0594,1.0594,1.0594,-0.007587822,2022-07-07
1.0505,1.0505,1.0505,-0.0084009817,2022-07-08
1.0314,1.0314,1.0314,-0.0181818182,2022-07-15
1.048,1.048,1.048,0.0160946287,2022-07-22
1.0269,1.0269,1.0269,-0.0201335878,2022-07-29
1.0413,1.0413,1.0413,0.014022787,2022-08-05
1.0737,1.0737,1.0737,0.0311149525,2022-08-12
1.0769,1.0769,1.0769,0.0029803483,2022-08-15
