nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-09-15
0.9999,0.9999,0.9999,-0.0001,2023-09-22
0.9999,0.9999,0.9999,0.0,2023-09-28
0.9936,0.9936,0.9936,-0.0063006301,2023-10-13
0.9752,0.9752,0.9752,-0.0185185185,2023-10-20
0.9823,0.9823,0.9823,0.0072805578,2023-10-27
1.0032,1.0032,1.0032,0.0212765957,2023-10-31
1.0033,1.0033,1.0033,9.9681e-05,2023-11-03
1.0325,1.0325,1.0325,0.0291039569,2023-11-10
1.0591,1.0591,1.0591,0.0257627119,2023-11-17
1.0389,1.0389,1.0389,-0.0190727977,2023-11-24
1.0423,1.0423,1.0423,0.0032726923,2023-11-30
1.0551,1.0551,1.0551,0.0122805334,2023-12-01
1.0701,1.0701,1.0701,0.0142166619,2023-12-08
1.0642,1.0642,1.0642,-0.0055135034,2023-12-15
1.0482,1.0482,1.0482,-0.0150347679,2023-12-22
1.0794,1.0794,1.0794,0.029765312,2023-12-29
1.0357,1.0357,1.0357,-0.0404854549,2024-01-05
1.0256,1.0256,1.0256,-0.0097518586,2024-01-12
1.0334,1.0334,1.0334,0.0076053042,2024-01-19
1.0329,1.0329,1.0329,-0.0004838398,2024-01-26
1.0152,1.0152,1.0152,-0.0171362184,2024-01-31
1.0216,1.0216,1.0216,0.0063041765,2024-02-02
1.0444,1.0444,1.0444,0.0223179327,2024-02-08
1.0887,1.0887,1.0887,0.0424166986,2024-02-23
1.1048,1.1048,1.1048,0.0147882796,2024-02-29
1.1142,1.1142,1.1142,0.0085083273,2024-03-01
1.1108,1.1108,1.1108,-0.0030515168,2024-03-08
1.1139,1.1139,1.1139,0.0027907814,2024-03-15
1.1439,1.1439,1.1439,0.0269323997,2024-03-22
1.099,1.099,1.099,-0.0392516828,2024-03-29
1.086,1.086,1.086,-0.0118289354,2024-04-03
1.0835,1.0835,1.0835,-0.0023020258,2024-04-12
1.0721,1.0721,1.0721,-0.0105214582,2024-04-19
1.1035,1.1035,1.1035,0.0292883127,2024-04-26
1.0985,1.0985,1.0985,-0.0045310376,2024-04-30
1.0978,1.0978,1.0978,-0.0006372326,2024-05-10
1.118,1.118,1.118,0.0184004372,2024-05-17
1.1472,1.1472,1.1472,0.026118068,2024-05-24
1.1055,1.1055,1.1055,-0.0363493724,2024-05-31
1.1189,1.1189,1.1189,0.0121212121,2024-06-07
1.1386,1.1386,1.1386,0.0176065779,2024-06-14
1.17,1.17,1.17,0.027577727,2024-06-21
1.1438,1.1438,1.1438,-0.0223931624,2024-06-28
1.1505,1.1505,1.1505,0.0058576674,2024-07-05
1.1667,1.1667,1.1667,0.0140808344,2024-07-12
1.0961,1.0961,1.0961,-0.0605125568,2024-07-19
1.0898,1.0898,1.0898,-0.0057476508,2024-07-26
1.1052,1.1052,1.1052,0.0141310332,2024-07-31
1.0537,1.0537,1.0537,-0.0465979008,2024-08-02
1.0441,1.0441,1.0441,-0.0091107526,2024-08-09
1.0949,1.0949,1.0949,0.0486543435,2024-08-16
1.0966,1.0966,1.0966,0.0015526532,2024-08-23
1.08,1.08,1.08,-0.0151376983,2024-08-30
1.0487,1.0487,1.0487,-0.0289814815,2024-09-06
1.0607,1.0607,1.0607,0.0114427386,2024-09-13
1.0558,1.0558,1.0558,-0.0046195908,2024-09-20
1.111,1.111,1.111,0.0522826293,2024-09-27
1.2075,1.2075,1.2075,0.0868586859,2024-09-30
1.2524,1.2524,1.2524,0.037184265,2024-10-11
1.2913,1.2913,1.2913,0.0310603641,2024-10-18
1.3301,1.3301,1.3301,0.0300472392,2024-10-25
1.3599,1.3599,1.3599,0.0224043305,2024-10-31
1.3219,1.3219,1.3219,-0.0279432311,2024-11-01
1.3926,1.3926,1.3926,0.0534836221,2024-11-08
1.2954,1.2954,1.2954,-0.0697975011,2024-11-15
1.2649,1.2649,1.2649,-0.023544851,2024-11-22
1.2273,1.2273,1.2273,-0.02972567,2024-11-29
1.249,1.249,1.249,0.0176810886,2024-12-06
1.2505,1.2505,1.2505,0.0012009608,2024-12-13
1.3095,1.3095,1.3095,0.0471811275,2024-12-20
1.3492,1.3492,1.3492,0.0303169149,2024-12-27
1.297,1.297,1.297,-0.0386895938,2024-12-31
1.2795,1.2795,1.2795,-0.0134926754,2025-01-03
1.294,1.294,1.294,0.0113325518,2025-01-10
1.3118,1.3118,1.3118,0.013755796,2025-01-17
1.3686,1.3686,1.3686,0.0432992834,2025-01-24
1.3322,1.3322,1.3322,-0.026596522,2025-01-27
1.3781,1.3781,1.3781,0.0344542861,2025-02-07
1.4391,1.4391,1.4391,0.0442638415,2025-02-14
1.5404,1.5404,1.5404,0.0703912167,2025-02-21
1.4693,1.4693,1.4693,-0.0461568424,2025-02-28
1.5272,1.5272,1.5272,0.0394065201,2025-03-07
1.587,1.587,1.587,0.0391566265,2025-03-14
1.4939,1.4939,1.4939,-0.0586641462,2025-03-21
1.4781,1.4781,1.4781,-0.0105763438,2025-03-28
1.4704,1.4704,1.4704,-0.0052093904,2025-03-31
1.4671,1.4671,1.4671,-0.0022442873,2025-04-03
1.4446,1.4446,1.4446,-0.0153363779,2025-04-11
1.4319,1.4319,1.4319,-0.0087913609,2025-04-18
1.4555,1.4555,1.4555,0.0164815979,2025-04-25
1.486,1.486,1.486,0.0209549983,2025-04-30
1.4909,1.4909,1.4909,0.0032974428,2025-05-09
1.4842,1.4842,1.4842,-0.0044939298,2025-05-16
1.4916,1.4916,1.4916,0.004985851,2025-05-23
1.4721,1.4721,1.4721,-0.01307321,2025-05-30
1.527,1.527,1.527,0.0372936621,2025-06-06
1.5443,1.5443,1.5443,0.0113294041,2025-06-13
1.6118,1.6118,1.6118,0.0437091239,2025-06-20
1.7091,1.7091,1.7091,0.0603672912,2025-06-27
1.7576,1.7576,1.7576,0.0283775086,2025-06-30
1.7639,1.7639,1.7639,0.0035844333,2025-07-04
1.8135,1.8135,1.8135,0.0281195079,2025-07-11
2.0865,2.0865,2.0865,0.1505376344,2025-07-18
2.0493,2.0493,2.0493,-0.0178289001,2025-07-25
2.2774,2.2774,2.2774,0.1113062997,2025-07-31
2.2382,2.2382,2.2382,-0.0172126109,2025-08-01
2.2738,2.2738,2.2738,0.0159056385,2025-08-08
2.6158,2.6158,2.6158,0.1504090069,2025-08-15
2.8056,2.8056,2.8056,0.0725590641,2025-08-22
3.4073,3.4073,3.4073,0.2144639293,2025-08-29
3.5079,3.5079,3.5079,0.0295248437,2025-09-05
3.7226,3.7226,3.7226,0.0612047094,2025-09-12
3.7131,3.7131,3.7131,-0.0025519798,2025-09-19
3.6542,3.6542,3.6542,-0.0158627562,2025-09-26
3.6111,3.6111,3.6111,-0.0117946473,2025-09-30
3.475,3.475,3.475,-0.0376893467,2025-10-10
3.2365,3.2365,3.2365,-0.0686330935,2025-10-17
3.8805,3.8805,3.8805,0.19898038,2025-10-24
3.7631,3.7631,3.7631,-0.0302538333,2025-10-31
3.8701,3.8701,3.8701,0.0284340039,2025-11-07
3.5124,3.5124,3.5124,-0.0924265523,2025-11-14
3.396,3.396,3.396,-0.0331397335,2025-11-21
3.6946,3.6946,3.6946,0.0879269729,2025-11-28
3.8699,3.8699,3.8699,0.0474476263,2025-12-05
4.2127,4.2127,4.2127,0.0885811003,2025-12-12
4.1303,4.1303,4.1303,-0.0195599022,2025-12-19
4.3695,4.3695,4.3695,0.0579134688,2025-12-26
4.2507,4.2507,4.2507,-0.0271884655,2025-12-31
4.0488,4.0488,4.0488,-0.0474980591,2026-01-09
4.1384,4.1384,4.1384,0.0221300138,2026-01-16
3.978,3.978,3.978,-0.0387589407,2026-01-23
4.3612,4.3612,4.3612,0.096329814,2026-01-30
3.8211,3.8211,3.8211,-0.1238420618,2026-02-06
3.7686,3.7686,3.7686,-0.0137394991,2026-02-13
3.7356,3.7356,3.7356,-0.0087565674,2026-02-27
3.932,3.932,3.932,0.0525752222,2026-03-06
3.9317,3.9317,3.9317,-7.6297e-05,2026-03-13
4.4151,4.4151,4.4151,0.1229493603,2026-03-20
4.1546,4.1546,4.1546,-0.0590020611,2026-03-27
4.245,4.245,4.245,0.0217590141,2026-04-03
5.0129,5.0129,5.0129,0.1808951708,2026-04-10
5.6526,5.6526,5.6526,0.1276107642,2026-04-17
5.6403,5.6403,5.6403,-0.0021759898,2026-04-24
5.6196,5.6196,5.6196,-0.0036700176,2026-04-30
6.2613,6.2613,6.2613,0.114189622,2026-05-08
6.7707,6.7707,6.7707,0.0813569067,2026-05-15
6.8611,6.8611,6.8611,0.0133516475,2026-05-22
