nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-09-25
0.9999,0.9999,0.9999,-0.0001,2024-09-27
0.9997,0.9997,0.9997,-0.00020002,2024-09-30
0.9994,0.9994,0.9994,-0.00030009,2024-10-11
1.0006,1.0006,1.0006,0.0012007204,2024-10-18
0.998,0.998,0.998,-0.0025984409,2024-10-25
0.9994,0.9994,0.9994,0.0014028056,2024-10-31
0.9766,0.9766,0.9766,-0.0228136882,2024-11-01
1.0437,1.0437,1.0437,0.0687077616,2024-11-08
0.9881,0.9881,0.9881,-0.053272013,2024-11-15
0.9682,0.9682,0.9682,-0.020139662,2024-11-22
0.9789,0.9789,0.9789,0.0110514357,2024-11-29
0.986,0.986,0.986,0.0072530391,2024-12-06
0.9795,0.9795,0.9795,-0.0065922921,2024-12-13
0.9665,0.9665,0.9665,-0.0132720776,2024-12-20
0.9562,0.9562,0.9562,-0.0106570098,2024-12-27
0.9533,0.9533,0.9533,-0.0030328383,2024-12-31
0.9462,0.9462,0.9462,-0.0074478129,2025-01-03
0.9367,0.9367,0.9367,-0.0100401606,2025-01-10
0.9608,0.9608,0.9608,0.0257286218,2025-01-17
0.9698,0.9698,0.9698,0.009367194,2025-01-24
0.9724,0.9724,0.9724,0.0026809651,2025-01-27
0.9996,0.9996,0.9996,0.027972028,2025-02-07
1.0227,1.0227,1.0227,0.0231092437,2025-02-14
1.0368,1.0368,1.0368,0.0137870343,2025-02-21
1.0015,1.0015,1.0015,-0.0340470679,2025-02-28
1.0269,1.0269,1.0269,0.0253619571,2025-03-07
1.0172,1.0172,1.0172,-0.0094459052,2025-03-14
1.0055,1.0055,1.0055,-0.0115021628,2025-03-21
1.0001,1.0001,1.0001,-0.0053704625,2025-03-28
0.9952,0.9952,0.9952,-0.00489951,2025-03-31
0.976,0.976,0.976,-0.0192926045,2025-04-03
0.8911,0.8911,0.8911,-0.0869877049,2025-04-11
0.8941,0.8941,0.8941,0.0033666255,2025-04-18
0.8862,0.8862,0.8862,-0.0088357007,2025-04-25
0.8885,0.8885,0.8885,0.0025953509,2025-04-30
0.9037,0.9037,0.9037,0.0171074845,2025-05-09
0.9202,0.9202,0.9202,0.0182582716,2025-05-16
0.9097,0.9097,0.9097,-0.0114105629,2025-05-23
0.9062,0.9062,0.9062,-0.0038474222,2025-05-30
0.9201,0.9201,0.9201,0.0153387773,2025-06-06
0.9092,0.9092,0.9092,-0.0118465384,2025-06-13
0.9101,0.9101,0.9101,0.0009898812,2025-06-20
0.9257,0.9257,0.9257,0.0171409735,2025-06-27
0.9337,0.9337,0.9337,0.0086421087,2025-06-30
0.9336,0.9336,0.9336,-0.0001071008,2025-07-04
0.9205,0.9205,0.9205,-0.0140317052,2025-07-11
0.9377,0.9377,0.9377,0.018685497,2025-07-18
0.9458,0.9458,0.9458,0.0086381572,2025-07-25
0.9511,0.9511,0.9511,0.0056037217,2025-07-31
0.9331,0.9331,0.9331,-0.0189254547,2025-08-01
0.927,0.927,0.927,-0.0065373486,2025-08-08
0.9611,0.9611,0.9611,0.036785329,2025-08-15
0.9954,0.9954,0.9954,0.0356882739,2025-08-22
1.023,1.023,1.023,0.0277275467,2025-08-29
0.9724,0.9724,0.9724,-0.0494623656,2025-09-05
1.0334,1.0334,1.0334,0.0627313863,2025-09-12
1.0402,1.0402,1.0402,0.0065802206,2025-09-19
1.0424,1.0424,1.0424,0.0021149779,2025-09-26
1.0479,1.0479,1.0479,0.0052762855,2025-09-30
1.0035,1.0035,1.0035,-0.0423704552,2025-10-10
0.9818,0.9818,0.9818,-0.0216243149,2025-10-17
1.0223,1.0223,1.0223,0.0412507639,2025-10-24
0.9741,0.9741,0.9741,-0.0471485865,2025-10-31
0.9677,0.9677,0.9677,-0.0065701673,2025-11-07
0.9381,0.9381,0.9381,-0.0305879921,2025-11-14
0.9066,0.9066,0.9066,-0.0335785098,2025-11-21
0.948,0.948,0.948,0.0456651224,2025-11-28
0.9669,0.9669,0.9669,0.0199367089,2025-12-05
1.0011,1.0011,1.0011,0.0353707726,2025-12-12
0.9905,0.9905,0.9905,-0.0105883528,2025-12-19
1.027,1.027,1.027,0.0368500757,2025-12-26
1.0208,1.0208,1.0208,-0.006037001,2025-12-31
1.0342,1.0342,1.0342,0.0131269592,2026-01-09
1.039,1.039,1.039,0.0046412686,2026-01-16
1.0612,1.0612,1.0612,0.0213666987,2026-01-23
1.0663,1.0663,1.0663,0.0048058801,2026-01-30
1.0665,1.0665,1.0665,0.0001875645,2026-02-06
1.0615,1.0615,1.0615,-0.0046882325,2026-02-13
1.0944,1.0944,1.0944,0.0309938766,2026-02-27
1.0659,1.0659,1.0659,-0.0260416667,2026-03-06
1.0348,1.0348,1.0348,-0.0291772211,2026-03-13
0.9981,0.9981,0.9981,-0.0354657905,2026-03-20
0.9943,0.9943,0.9943,-0.0038072337,2026-03-27
0.9842,0.9842,0.9842,-0.0101579,2026-03-31
0.9952,0.9952,0.9952,0.0111765901,2026-04-03
0.9959,0.9959,0.9959,0.0007033762,2026-04-10
0.9989,0.9989,0.9989,0.0030123506,2026-04-17
0.97,0.97,0.97,-0.028931825,2026-04-24
0.9681,0.9681,0.9681,-0.0019587629,2026-04-30
0.9958,0.9958,0.9958,0.0286127466,2026-05-08
0.979,0.979,0.979,-0.0168708576,2026-05-15
1.0382,1.0382,1.0382,0.0604698672,2026-05-22
