nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-09-30
1.0003,1.0003,1.0003,0.0003,2024-10-11
1.0017,1.0017,1.0017,0.0013995801,2024-10-18
0.9994,0.9994,0.9994,-0.0022960966,2024-10-25
1.0011,1.0011,1.0011,0.0017010206,2024-10-31
0.9783,0.9783,0.9783,-0.0227749476,2024-11-01
1.0474,1.0474,1.0474,0.0706327302,2024-11-08
0.9905,0.9905,0.9905,-0.0543249952,2024-11-15
0.9709,0.9709,0.9709,-0.0197879859,2024-11-22
0.9819,0.9819,0.9819,0.0113296941,2024-11-29
0.9894,0.9894,0.9894,0.0076382524,2024-12-06
0.9833,0.9833,0.9833,-0.0061653527,2024-12-13
0.9705,0.9705,0.9705,-0.0130173904,2024-12-20
0.9605,0.9605,0.9605,-0.010303967,2024-12-27
0.9578,0.9578,0.9578,-0.0028110359,2024-12-31
0.9508,0.9508,0.9508,-0.0073084151,2025-01-03
0.9416,0.9416,0.9416,-0.0096760623,2025-01-10
0.9661,0.9661,0.9661,0.0260195412,2025-01-17
0.9754,0.9754,0.9754,0.0096263327,2025-01-24
0.9782,0.9782,0.9782,0.0028706172,2025-01-27
1.0063,1.0063,1.0063,0.0287262319,2025-02-07
1.0309,1.0309,1.0309,0.0244459903,2025-02-14
1.0458,1.0458,1.0458,0.0144533902,2025-02-21
1.0095,1.0095,1.0095,-0.0347102697,2025-02-28
1.0362,1.0362,1.0362,0.026448737,2025-03-07
1.0265,1.0265,1.0265,-0.0093611272,2025-03-14
1.0147,1.0147,1.0147,-0.0114953726,2025-03-21
1.0094,1.0094,1.0094,-0.0052232187,2025-03-28
1.0045,1.0045,1.0045,-0.0048543689,2025-03-31
0.985,0.985,0.985,-0.0194126431,2025-04-03
0.8997,0.8997,0.8997,-0.0865989848,2025-04-11
0.9029,0.9029,0.9029,0.0035567411,2025-04-18
0.8952,0.8952,0.8952,-0.0085280762,2025-04-25
0.8978,0.8978,0.8978,0.0029043789,2025-04-30
0.9135,0.9135,0.9135,0.0174871909,2025-05-09
0.9304,0.9304,0.9304,0.0185002737,2025-05-16
0.9201,0.9201,0.9201,-0.0110705073,2025-05-23
0.917,0.917,0.917,-0.003369199,2025-05-30
0.9313,0.9313,0.9313,0.0155943293,2025-06-06
0.9205,0.9205,0.9205,-0.0115966928,2025-06-13
0.9218,0.9218,0.9218,0.0014122759,2025-06-20
0.9378,0.9378,0.9378,0.0173573443,2025-06-27
0.946,0.946,0.946,0.0087438686,2025-06-30
0.9461,0.9461,0.9461,0.0001057082,2025-07-04
0.9331,0.9331,0.9331,-0.0137406194,2025-07-11
0.9509,0.9509,0.9509,0.0190761976,2025-07-18
0.9594,0.9594,0.9594,0.0089389,2025-07-25
0.9651,0.9651,0.9651,0.0059412133,2025-07-31
0.9468,0.9468,0.9468,-0.0189617656,2025-08-01
0.941,0.941,0.941,-0.0061258978,2025-08-08
0.9758,0.9758,0.9758,0.0369819341,2025-08-15
1.0114,1.0114,1.0114,0.0364828858,2025-08-22
1.0407,1.0407,1.0407,0.0289697449,2025-08-29
0.9883,0.9883,0.9883,-0.0503507255,2025-09-05
1.0522,1.0522,1.0522,0.0646564808,2025-09-12
1.0626,1.0626,1.0626,0.0098840525,2025-09-19
1.0653,1.0653,1.0653,0.0025409373,2025-09-26
1.0713,1.0713,1.0713,0.0056322163,2025-09-30
1.0251,1.0251,1.0251,-0.043125175,2025-10-10
1.0026,1.0026,1.0026,-0.0219490781,2025-10-17
1.0457,1.0457,1.0457,0.0429882306,2025-10-24
0.9954,0.9954,0.9954,-0.04810175,2025-10-31
0.9893,0.9893,0.9893,-0.0061281897,2025-11-07
0.9595,0.9595,0.9595,-0.0301223087,2025-11-14
0.9277,0.9277,0.9277,-0.0331422616,2025-11-21
0.97,0.97,0.97,0.0455966368,2025-11-28
0.9897,0.9897,0.9897,0.0203092784,2025-12-05
1.025,1.025,1.025,0.035667374,2025-12-12
1.0146,1.0146,1.0146,-0.0101463415,2025-12-19
1.0522,1.0522,1.0522,0.0370589395,2025-12-26
1.0461,1.0461,1.0461,-0.0057973769,2025-12-31
1.0604,1.0604,1.0604,0.0136698212,2026-01-09
1.0658,1.0658,1.0658,0.005092418,2026-01-16
1.0889,1.0889,1.0889,0.02167386,2026-01-23
1.0946,1.0946,1.0946,0.0052346405,2026-01-30
1.0954,1.0954,1.0954,0.0007308606,2026-02-06
1.0907,1.0907,1.0907,-0.0042906701,2026-02-13
1.1253,1.1253,1.1253,0.0317227469,2026-02-27
1.0964,1.0964,1.0964,-0.0256820403,2026-03-06
1.0649,1.0649,1.0649,-0.0287303904,2026-03-13
1.0277,1.0277,1.0277,-0.0349328575,2026-03-20
1.0242,1.0242,1.0242,-0.0034056631,2026-03-27
1.014,1.014,1.014,-0.0099589924,2026-03-31
1.0256,1.0256,1.0256,0.0114398422,2026-04-03
1.0267,1.0267,1.0267,0.0010725429,2026-04-10
1.0302,1.0302,1.0302,0.0034089802,2026-04-17
1.0007,1.0007,1.0007,-0.0286352165,2026-04-24
0.9991,0.9991,0.9991,-0.0015988808,2026-04-30
1.0281,1.0281,1.0281,0.0290261235,2026-05-08
1.0112,1.0112,1.0112,-0.0164380897,2026-05-15
1.0727,1.0727,1.0727,0.0608188291,2026-05-22
