nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-08-20
1.0,1.0,1.0,0.0,2021-08-27
1.0,1.0,1.0,0.0,2021-08-31
1.001,1.001,1.001,0.001,2021-09-03
0.999,0.999,0.999,-0.001998002,2021-09-10
1.0,1.0,1.0,0.001001001,2021-09-17
0.999,0.999,0.999,-0.001,2021-09-24
0.998,0.998,0.998,-0.001001001,2021-09-30
0.993,0.993,0.993,-0.00501002,2021-10-08
0.996,0.996,0.996,0.003021148,2021-10-15
0.995,0.995,0.995,-0.0010040161,2021-10-22
0.993,0.993,0.993,-0.0020100503,2021-10-29
0.984,0.984,0.984,-0.0090634441,2021-11-05
0.997,0.997,0.997,0.0132113821,2021-11-12
0.998,0.998,0.998,0.001003009,2021-11-19
1.006,1.006,1.006,0.0080160321,2021-11-26
1.008,1.008,1.008,0.0019880716,2021-11-30
1.008,1.008,1.008,0.0,2021-12-03
1.015,1.015,1.015,0.0069444444,2021-12-10
1.011,1.011,1.011,-0.0039408867,2021-12-17
1.022,1.022,1.022,0.0108803165,2021-12-24
1.026,1.026,1.026,0.0039138943,2021-12-31
1.01,1.01,1.01,-0.0155945419,2022-01-07
1.007,1.007,1.007,-0.002970297,2022-01-14
1.0,1.0,1.0,-0.0069513406,2022-01-21
0.995,0.995,0.995,-0.005,2022-01-28
1.007,1.007,1.007,0.0120603015,2022-02-11
1.009,1.009,1.009,0.0019860973,2022-02-18
1.015,1.015,1.015,0.0059464817,2022-02-25
1.016,1.016,1.016,0.0009852217,2022-02-28
0.999,0.999,0.999,-0.0167322835,2022-03-04
0.985,0.985,0.985,-0.014014014,2022-03-11
0.981,0.981,0.981,-0.0040609137,2022-03-18
0.985,0.985,0.985,0.004077472,2022-03-25
0.993,0.993,0.993,0.0081218274,2022-03-31
0.996,0.996,0.996,0.003021148,2022-04-01
0.995,0.995,0.995,-0.0010040161,2022-04-08
0.986,0.986,0.986,-0.0090452261,2022-04-15
0.982,0.982,0.982,-0.0040567951,2022-04-22
0.985,0.985,0.985,0.0030549898,2022-04-29
0.981,0.981,0.981,-0.0040609137,2022-05-06
0.987,0.987,0.987,0.006116208,2022-05-13
0.993,0.993,0.993,0.0060790274,2022-05-20
0.997,0.997,0.997,0.0040281974,2022-05-27
1.0,1.0,1.0,0.0030090271,2022-05-31
1.0,1.0,1.0,0.0,2022-06-02
1.002,1.002,1.002,0.002,2022-06-10
0.995,0.995,0.995,-0.0069860279,2022-06-17
0.995,0.995,0.995,0.0,2022-06-24
1.002,1.002,1.002,0.0070351759,2022-06-30
1.004,1.004,1.004,0.001996008,2022-07-01
1.007,1.007,1.007,0.0029880478,2022-07-08
