nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-12-11
0.9998,0.9998,0.9998,-0.0002,2023-12-15
0.9995,0.9995,0.9995,-0.00030006,2023-12-22
0.9991,0.9991,0.9991,-0.0004002001,2023-12-29
0.9988,0.9988,0.9988,-0.0003002702,2024-01-05
0.9993,0.9993,0.9993,0.0005006007,2024-01-12
0.9987,0.9987,0.9987,-0.0006004203,2024-01-19
1.0145,1.0145,1.0145,0.0158205667,2024-01-26
0.9722,0.9722,0.9722,-0.0416954165,2024-01-31
0.9573,0.9573,0.9573,-0.0153260646,2024-02-02
1.0202,1.0202,1.0202,0.0657056304,2024-02-08
1.044,1.044,1.044,0.0233287591,2024-02-23
1.0493,1.0493,1.0493,0.0050766284,2024-02-29
1.054,1.054,1.054,0.0044791766,2024-03-01
1.0405,1.0405,1.0405,-0.0128083491,2024-03-08
1.0733,1.0733,1.0733,0.0315233061,2024-03-15
1.0602,1.0602,1.0602,-0.012205348,2024-03-22
1.0489,1.0489,1.0489,-0.0106583663,2024-03-29
1.0912,1.0912,1.0912,0.0403279626,2024-04-03
1.062,1.062,1.062,-0.0267595308,2024-04-12
1.0404,1.0404,1.0404,-0.0203389831,2024-04-19
1.0984,1.0984,1.0984,0.0557477893,2024-04-26
1.1316,1.1316,1.1316,0.030225783,2024-04-30
1.2142,1.2142,1.2142,0.0729939908,2024-05-10
1.2113,1.2113,1.2113,-0.0023884039,2024-05-17
1.1745,1.1745,1.1745,-0.0303805828,2024-05-24
1.1812,1.1812,1.1812,0.0057045551,2024-05-31
1.1541,1.1541,1.1541,-0.0229427701,2024-06-07
1.1547,1.1547,1.1547,0.0005198856,2024-06-14
1.1454,1.1454,1.1454,-0.00805404,2024-06-21
1.0996,1.0996,1.0996,-0.0399860311,2024-06-28
1.0733,1.0733,1.0733,-0.0239177883,2024-07-05
1.0621,1.0621,1.0621,-0.0104351067,2024-07-12
1.0192,1.0192,1.0192,-0.0403916769,2024-07-19
0.9977,0.9977,0.9977,-0.0210949765,2024-07-26
1.0266,1.0266,1.0266,0.0289666232,2024-07-31
0.9907,0.9907,0.9907,-0.0349698032,2024-08-02
0.9921,0.9921,0.9921,0.0014131422,2024-08-09
0.9724,0.9724,0.9724,-0.0198568693,2024-08-16
0.9515,0.9515,0.9515,-0.0214932127,2024-08-23
