nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-07-17
1.0,1.0,1.0,0.0,2025-07-18
0.9999,0.9999,0.9999,-0.0001,2025-07-25
0.9999,0.9999,0.9999,0.0,2025-07-31
0.9984,0.9984,0.9984,-0.00150015,2025-08-01
0.9872,0.9872,0.9872,-0.0112179487,2025-08-08
1.0474,1.0474,1.0474,0.0609805511,2025-08-15
1.2377,1.2377,1.2377,0.1816879893,2025-08-22
1.3695,1.3695,1.3695,0.1064878403,2025-08-29
1.33,1.33,1.33,-0.0288426433,2025-09-05
1.4024,1.4024,1.4024,0.0544360902,2025-09-12
1.4166,1.4166,1.4166,0.0101254991,2025-09-19
1.4237,1.4237,1.4237,0.0050120006,2025-09-26
1.4848,1.4848,1.4848,0.0429163447,2025-09-30
1.4313,1.4313,1.4313,-0.0360317888,2025-10-10
1.3351,1.3351,1.3351,-0.0672116258,2025-10-17
1.3651,1.3651,1.3651,0.0224702269,2025-10-24
1.3637,1.3637,1.3637,-0.0010255659,2025-10-31
1.3826,1.3826,1.3826,0.0138593532,2025-11-07
1.3735,1.3735,1.3735,-0.0065818024,2025-11-14
1.3236,1.3236,1.3236,-0.0363305424,2025-11-21
1.369,1.369,1.369,0.0343003929,2025-11-28
1.3667,1.3667,1.3667,-0.0016800584,2025-12-05
1.3685,1.3685,1.3685,0.001317041,2025-12-12
1.3225,1.3225,1.3225,-0.0336134454,2025-12-19
1.4007,1.4007,1.4007,0.0591304348,2025-12-26
1.3899,1.3899,1.3899,-0.0077104305,2025-12-31
1.5045,1.5045,1.5045,0.082451975,2026-01-09
1.5852,1.5852,1.5852,0.0536390828,2026-01-16
1.5973,1.5973,1.5973,0.0076331062,2026-01-23
1.5059,1.5059,1.5059,-0.0572215614,2026-01-30
1.4206,1.4206,1.4206,-0.0566438675,2026-02-06
1.5031,1.5031,1.5031,0.0580740532,2026-02-13
1.5288,1.5288,1.5288,0.0170979975,2026-02-27
1.4433,1.4433,1.4433,-0.0559262166,2026-03-06
1.585,1.585,1.585,0.098177787,2026-03-13
1.5086,1.5086,1.5086,-0.0482018927,2026-03-20
1.548,1.548,1.548,0.0261169296,2026-03-27
1.3772,1.3772,1.3772,-0.1103359173,2026-04-03
1.5089,1.5089,1.5089,0.0956288121,2026-04-10
1.6237,1.6237,1.6237,0.076081914,2026-04-17
1.62,1.62,1.62,-0.0022787461,2026-04-24
1.7122,1.7122,1.7122,0.0569135802,2026-04-30
1.7663,1.7663,1.7663,0.0315967761,2026-05-08
1.9114,1.9114,1.9114,0.0821491253,2026-05-15
2.044,2.044,2.044,0.0693732343,2026-05-22
