nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
0.9999,0.9999,0.9999,0.0,2025-01-24
0.9998,0.9998,0.9998,-0.00010001,2025-01-27
0.9995,0.9995,0.9995,-0.00030006,2025-02-07
1.0345,1.0345,1.0345,0.0350175088,2025-02-14
1.1019,1.1019,1.1019,0.0651522475,2025-02-21
1.0604,1.0604,1.0604,-0.0376622198,2025-02-28
1.0879,1.0879,1.0879,0.02593361,2025-03-07
1.0735,1.0735,1.0735,-0.0132365107,2025-03-14
1.0385,1.0385,1.0385,-0.032603633,2025-03-21
1.0219,1.0219,1.0219,-0.0159845932,2025-03-28
1.0149,1.0149,1.0149,-0.0068499853,2025-04-03
1.0862,1.0862,1.0862,0.0702532269,2025-04-11
1.0642,1.0642,1.0642,-0.0202540969,2025-04-18
1.0524,1.0524,1.0524,-0.0110881413,2025-04-25
1.068,1.068,1.068,0.0148232611,2025-04-30
1.1022,1.1022,1.1022,0.0320224719,2025-05-09
1.105,1.105,1.105,0.0025403738,2025-05-16
1.0949,1.0949,1.0949,-0.0091402715,2025-05-23
1.088,1.088,1.088,-0.0063019454,2025-05-30
1.1206,1.1206,1.1206,0.0299632353,2025-06-06
1.0967,1.0967,1.0967,-0.0213278601,2025-06-13
1.1133,1.1133,1.1133,0.015136318,2025-06-20
1.1565,1.1565,1.1565,0.038803557,2025-06-27
1.1522,1.1522,1.1522,-0.003718115,2025-07-04
1.1724,1.1724,1.1724,0.0175316785,2025-07-11
1.1928,1.1928,1.1928,0.0174002047,2025-07-18
1.2227,1.2227,1.2227,0.0250670691,2025-07-25
1.2291,1.2291,1.2291,0.0052343175,2025-08-01
0.9948,1.2185,1.2185,-0.0086241966,2025-08-08
1.0531,1.2768,1.28990988,0.0586047447,2025-08-15
1.2407,1.4644,1.51969537,0.1781407274,2025-08-22
1.3724,1.5961,1.68101066,0.1061497542,2025-08-29
1.3279,1.5516,1.62650397,-0.032424949,2025-09-05
1.3857,1.6094,1.69730142,0.043527374,2025-09-12
1.4,1.6237,1.71481705,0.010319694,2025-09-19
1.4128,1.6365,1.73049538,0.0091428571,2025-09-26
1.4801,1.7038,1.81292908,0.0476359003,2025-09-30
1.4298,1.6535,1.75131815,-0.0339841903,2025-10-10
1.3351,1.5588,1.63532303,-0.0662330396,2025-10-17
1.3647,1.5884,1.67157916,0.0221706239,2025-10-24
1.3633,1.587,1.66986434,-0.0010258665,2025-10-31
1.3819,1.6056,1.69264691,0.0136433654,2025-11-07
1.3728,1.5965,1.6815006,-0.0065851364,2025-11-14
1.3232,1.5469,1.62074708,-0.0361305361,2025-11-21
1.3679,1.5916,1.67549874,0.0337817412,2025-11-28
1.3659,1.5896,1.673049,-0.0014620952,2025-12-05
1.3681,1.5918,1.67574372,0.0016106596,2025-12-12
1.322,1.5457,1.61927724,-0.0336963672,2025-12-19
1.4004,1.6241,1.715307,0.0593040847,2025-12-26
1.3898,1.6135,1.70232338,-0.0075692659,2025-12-31
1.5032,1.7269,1.84122356,0.081594474,2026-01-09
1.5849,1.8086,1.94129539,0.0543507185,2026-01-16
1.5975,1.8212,1.95672874,0.0079500284,2026-01-23
1.5048,1.7285,1.84318335,-0.058028169,2026-01-30
1.4185,1.6422,1.73747713,-0.0573498139,2026-02-06
1.5013,1.725,1.83889631,0.0583715192,2026-02-13
1.527,1.7507,1.87037545,0.0171184973,2026-02-27
1.4407,1.6644,1.76466923,-0.0565160445,2026-03-06
1.5865,1.8102,1.94325518,0.1012008052,2026-03-13
1.51,1.7337,1.84955267,-0.0482193508,2026-03-20
1.5484,1.7721,1.89658766,0.0254304636,2026-03-27
1.3759,1.5996,1.6852977,-0.1114053216,2026-04-03
1.5108,1.7345,1.85053257,0.0980449161,2026-04-10
1.6333,1.857,2.00057906,0.08108287,2026-04-17
1.6269,1.8506,1.9927399,-0.0039184473,2026-04-24
1.7192,1.9429,2.10579534,0.0567336653,2026-04-30
1.7754,1.9991,2.17463299,0.0326896231,2026-05-08
1.9242,2.1479,2.35689355,0.0838120987,2026-05-15
2.0522,2.2759,2.51367682,0.0665211516,2026-05-22
