nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-08-18
0.9999,0.9999,0.9999,-0.0001,2025-08-22
0.9651,0.9651,0.9651,-0.0348034803,2025-08-29
0.9574,0.9574,0.9574,-0.0079784478,2025-09-05
0.979,0.979,0.979,0.022561103,2025-09-12
0.9718,0.9718,0.9718,-0.0073544433,2025-09-19
0.9473,0.9473,0.9473,-0.0252109488,2025-09-26
0.966,0.966,0.966,0.0197403146,2025-09-30
0.9645,0.9645,0.9645,-0.001552795,2025-10-10
0.937,0.937,0.937,-0.0285121825,2025-10-17
0.9721,0.9721,0.9721,0.0374599787,2025-10-24
0.9789,0.9789,0.9789,0.0069951651,2025-10-31
0.9845,0.9845,0.9845,0.0057207069,2025-11-07
0.9884,0.9884,0.9884,0.0039614017,2025-11-14
0.9336,0.9336,0.9336,-0.0554431404,2025-11-21
0.9781,0.9781,0.9781,0.0476649529,2025-11-28
0.9742,0.9742,0.9742,-0.0039873224,2025-12-05
0.9584,0.9584,0.9584,-0.0162184356,2025-12-12
0.9683,0.9683,0.9683,0.0103297162,2025-12-19
0.998,0.998,0.998,0.0306723123,2025-12-26
0.9971,0.9971,0.9971,-0.0009018036,2025-12-31
1.0701,1.0701,1.0701,0.0732123157,2026-01-09
1.1046,1.1046,1.1046,0.0322399776,2026-01-16
1.1646,1.1646,1.1646,0.0543183053,2026-01-23
1.1096,1.1096,1.1096,-0.0472265155,2026-01-30
1.0988,1.0988,1.0988,-0.0097332372,2026-02-06
1.1243,1.1243,1.1243,0.0232071351,2026-02-13
1.1745,1.1745,1.1745,0.0446500044,2026-02-27
1.1288,1.1288,1.1288,-0.0389101745,2026-03-06
1.1203,1.1203,1.1203,-0.0075301205,2026-03-13
1.0761,1.0761,1.0761,-0.0394537178,2026-03-20
1.0968,1.0968,1.0968,0.0192361305,2026-03-27
1.0673,1.0673,1.0673,-0.026896426,2026-04-03
1.1198,1.1198,1.1198,0.0491895437,2026-04-10
1.1509,1.1509,1.1509,0.0277728166,2026-04-17
1.1438,1.1438,1.1438,-0.0061690851,2026-04-24
1.185,1.185,1.185,0.0360202833,2026-04-30
1.2379,1.2379,1.2379,0.0446413502,2026-05-08
1.2204,1.2204,1.2204,-0.0141368447,2026-05-15
1.2166,1.2166,1.2166,-0.0031137332,2026-05-22
