nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-04-12
1.0001,1.0001,1.0001,0.0001,2023-04-14
1.0002,1.0002,1.0002,9.999e-05,2023-04-21
1.0004,1.0004,1.0004,0.00019996,2023-04-28
1.0006,1.0006,1.0006,0.00019992,2023-05-05
1.0009,1.0009,1.0009,0.0002998201,2023-05-12
1.0019,1.0019,1.0019,0.0009991008,2023-05-19
1.0021,1.0021,1.0021,0.0001996207,2023-05-26
0.999,0.999,0.999,-0.0030935036,2023-06-02
0.996,0.996,0.996,-0.003003003,2023-06-09
0.9981,0.9981,0.9981,0.0021084337,2023-06-16
0.9927,0.9927,0.9927,-0.0054102795,2023-06-21
0.9874,0.9874,0.9874,-0.0053389745,2023-06-30
0.9844,0.9844,0.9844,-0.0030382824,2023-07-07
0.9858,0.9858,0.9858,0.0014221861,2023-07-14
0.9831,0.9831,0.9831,-0.0027388923,2023-07-21
0.9443,0.9443,0.9443,-0.0394669922,2023-07-28
0.9419,0.9419,0.9419,-0.0025415652,2023-08-04
0.9426,0.9426,0.9426,0.0007431787,2023-08-11
0.9514,0.9514,0.9514,0.0093358795,2023-08-18
0.9493,0.9493,0.9493,-0.0022072735,2023-08-25
0.954,0.954,0.954,0.0049510165,2023-09-01
0.956,0.956,0.956,0.0020964361,2023-09-08
0.9573,0.9573,0.9573,0.0013598326,2023-09-15
0.9563,0.9563,0.9563,-0.0010446046,2023-09-22
0.9523,0.9523,0.9523,-0.0041827878,2023-09-28
0.9496,0.9496,0.9496,-0.002835241,2023-10-13
0.9482,0.9482,0.9482,-0.001474305,2023-10-20
0.9492,0.9492,0.9492,0.0010546298,2023-10-27
0.9561,0.9561,0.9561,0.0072692794,2023-11-03
0.9573,0.9573,0.9573,0.0012550988,2023-11-10
0.957,0.957,0.957,-0.0003133814,2023-11-17
0.9607,0.9607,0.9607,0.0038662487,2023-11-24
0.9607,0.9607,0.9607,0.0,2023-12-01
0.9521,0.9521,0.9521,-0.008951806,2023-12-08
0.9562,0.9562,0.9562,0.0043062703,2023-12-15
0.9528,0.9528,0.9528,-0.0035557415,2023-12-22
0.955,0.955,0.955,0.002308984,2023-12-29
0.9513,0.9513,0.9513,-0.0038743455,2024-01-05
0.9505,0.9505,0.9505,-0.0008409545,2024-01-12
0.942,0.942,0.942,-0.0089426618,2024-01-19
0.924,0.924,0.924,-0.0191082803,2024-01-26
0.9231,0.9231,0.9231,-0.000974026,2024-02-02
0.8935,0.8935,0.8935,-0.032065865,2024-02-08
0.908,0.908,0.908,0.0162283156,2024-02-23
0.919,0.919,0.919,0.0121145374,2024-03-01
0.923,0.923,0.923,0.0043525571,2024-03-08
0.9275,0.9275,0.9275,0.0048754063,2024-03-15
0.9267,0.9267,0.9267,-0.0008625337,2024-03-22
0.9284,0.9284,0.9284,0.0018344664,2024-03-29
0.9235,0.9235,0.9235,-0.0052778975,2024-04-03
