nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-06-28
1.0,1.0,1.0,0.0,2022-07-01
0.9995,0.9995,0.9995,-0.0005,2022-07-08
0.9996,0.9996,0.9996,0.00010005,2022-07-15
0.9996,0.9996,0.9996,0.0,2022-07-22
1.0007,1.0007,1.0007,0.0011004402,2022-07-29
1.0007,1.0007,1.0007,0.0,2022-08-05
1.0006,1.0006,1.0006,-9.993e-05,2022-08-12
1.0032,1.0032,1.0032,0.0025984409,2022-08-19
0.9966,0.9966,0.9966,-0.0065789474,2022-08-26
0.994,0.994,0.994,-0.0026088702,2022-09-02
0.9958,0.9958,0.9958,0.0018108652,2022-09-09
0.9911,0.9911,0.9911,-0.0047198233,2022-09-16
0.9883,0.9883,0.9883,-0.0028251438,2022-09-23
0.9891,0.9891,0.9891,0.0008094708,2022-09-30
0.9931,0.9931,0.9931,0.0040440805,2022-10-14
0.9951,0.9951,0.9951,0.0020138959,2022-10-21
0.9904,0.9904,0.9904,-0.0047231434,2022-10-28
1.0245,1.0245,1.0245,0.0344305331,2022-11-04
1.0364,1.0364,1.0364,0.0116154222,2022-11-11
1.0383,1.0383,1.0383,0.001833269,2022-11-18
1.0297,1.0297,1.0297,-0.0082827699,2022-11-25
1.0403,1.0403,1.0403,0.0102942605,2022-12-02
1.0431,1.0431,1.0431,0.0026915313,2022-12-09
1.0273,1.0273,1.0273,-0.0151471575,2022-12-16
0.9892,0.9892,0.9892,-0.037087511,2022-12-23
1.0004,1.0004,1.0004,0.0113222806,2022-12-30
1.0088,1.0088,1.0088,0.0083966413,2023-01-06
1.0024,1.0024,1.0024,-0.0063441713,2023-01-13
1.0195,1.0195,1.0195,0.0170590583,2023-01-20
1.0458,1.0458,1.0458,0.0257969593,2023-02-03
1.0461,1.0461,1.0461,0.0002868617,2023-02-10
1.0294,1.0294,1.0294,-0.015964057,2023-02-17
1.0438,1.0438,1.0438,0.0139887313,2023-02-24
1.0534,1.0534,1.0534,0.0091971642,2023-03-03
1.0314,1.0314,1.0314,-0.0208847541,2023-03-10
1.0218,1.0218,1.0218,-0.0093077371,2023-03-17
1.0351,1.0351,1.0351,0.0130162458,2023-03-24
1.0357,1.0357,1.0357,0.0005796541,2023-03-31
1.0436,1.0436,1.0436,0.0076276914,2023-04-07
1.0419,1.0419,1.0419,-0.0016289766,2023-04-14
1.0143,1.0143,1.0143,-0.0264900662,2023-04-21
1.016,1.016,1.016,0.0016760327,2023-04-28
1.0108,1.0108,1.0108,-0.0051181102,2023-05-05
0.9958,0.9958,0.9958,-0.0148397309,2023-05-12
1.0086,1.0086,1.0086,0.0128539867,2023-05-19
1.0112,1.0112,1.0112,0.0025778307,2023-05-22
1.0017,1.0017,1.0017,-0.0093947785,2023-05-23
0.9976,0.9976,0.9976,-0.0040930418,2023-05-24
0.9952,0.9952,0.9952,-0.0024057739,2023-05-25
1.0012,1.0012,1.0012,0.0060289389,2023-05-26
0.9996,0.9996,0.9996,-0.0015980823,2023-05-31
1.0121,1.0121,1.0121,0.012505002,2023-06-02
1.0123,1.0123,1.0123,0.0001976089,2023-06-05
0.9961,0.9961,0.9961,-0.0160031611,2023-06-06
0.9971,0.9971,0.9971,0.0010039153,2023-06-07
0.9967,0.9967,0.9967,-0.0004011634,2023-06-08
1.0026,1.0026,1.0026,0.0059195345,2023-06-09
1.0073,1.0073,1.0073,0.0046878117,2023-06-12
1.0101,1.0101,1.0101,0.0027797081,2023-06-13
1.012,1.012,1.012,0.0018810019,2023-06-14
1.0211,1.0211,1.0211,0.0089920949,2023-06-15
1.0268,1.0268,1.0268,0.0055822153,2023-06-16
1.0234,1.0234,1.0234,-0.0033112583,2023-06-19
1.0205,1.0205,1.0205,-0.0028336916,2023-06-20
1.0069,1.0069,1.0069,-0.0133268006,2023-06-21
0.9913,0.9913,0.9913,-0.0154930976,2023-06-26
1.006,1.006,1.006,0.0148290124,2023-06-27
1.0054,1.0054,1.0054,-0.0005964215,2023-06-28
1.0108,1.0108,1.0108,0.0053709966,2023-06-29
1.0191,1.0191,1.0191,0.0082113178,2023-06-30
1.0253,1.0253,1.0253,0.0060837994,2023-07-03
1.0289,1.0289,1.0289,0.0035111675,2023-07-04
1.0229,1.0229,1.0229,-0.0058314705,2023-07-05
1.0189,1.0189,1.0189,-0.0039104507,2023-07-06
1.0159,1.0159,1.0159,-0.0029443518,2023-07-07
1.0187,1.0187,1.0187,0.0027561768,2023-07-10
1.0254,1.0254,1.0254,0.0065770099,2023-07-11
1.0146,1.0146,1.0146,-0.0105324751,2023-07-12
1.0276,1.0276,1.0276,0.0128129312,2023-07-13
1.0278,1.0278,1.0278,0.0001946283,2023-07-14
1.0243,1.0243,1.0243,-0.0034053318,2023-07-17
1.0233,1.0233,1.0233,-0.0009762765,2023-07-18
1.0226,1.0226,1.0226,-0.0006840614,2023-07-19
1.0121,1.0121,1.0121,-0.0102679445,2023-07-20
1.0109,1.0109,1.0109,-0.0011856536,2023-07-21
1.0284,1.0284,1.0284,0.0173113068,2023-07-28
1.0357,1.0357,1.0357,0.0070984053,2023-07-31
1.0361,1.0361,1.0361,0.0003862122,2023-08-01
1.0342,1.0342,1.0342,-0.0018337998,2023-08-02
1.0359,1.0359,1.0359,0.0016437826,2023-08-03
1.039,1.039,1.039,0.0029925669,2023-08-04
1.008,1.008,1.008,-0.0298363811,2023-08-11
0.9922,0.9922,0.9922,-0.0156746032,2023-08-18
0.9715,0.9715,0.9715,-0.0208627293,2023-08-23
0.9743,0.9743,0.9743,0.002882141,2023-08-24
0.9595,0.9595,0.9595,-0.0151903931,2023-08-25
0.9702,0.9702,0.9702,0.0111516415,2023-08-28
0.997,0.997,0.997,0.0276231705,2023-08-29
0.999,0.999,0.999,0.0020060181,2023-08-30
0.9923,0.9923,0.9923,-0.0067067067,2023-08-31
0.9933,0.9933,0.9933,0.0010077598,2023-09-01
1.009,1.009,1.009,0.0158058995,2023-09-04
1.0017,1.0017,1.0017,-0.007234886,2023-09-05
1.0015,1.0015,1.0015,-0.0001996606,2023-09-06
0.9872,0.9872,0.9872,-0.0142785821,2023-09-07
0.9876,0.9876,0.9876,0.0004051864,2023-09-08
0.999,0.999,0.999,0.0115431349,2023-09-11
1.0009,1.0009,1.0009,0.0019019019,2023-09-12
0.9893,0.9893,0.9893,-0.0115895694,2023-09-13
0.9894,0.9894,0.9894,0.0001010816,2023-09-14
0.9894,0.9894,0.9894,0.0,2023-09-15
0.9973,0.9973,0.9973,0.0079846372,2023-09-18
0.994,0.994,0.994,-0.0033089341,2023-09-19
0.9911,0.9911,0.9911,-0.002917505,2023-09-20
0.9843,0.9843,0.9843,-0.0068610635,2023-09-21
0.9975,0.9975,0.9975,0.0134105456,2023-09-22
0.9936,0.9936,0.9936,-0.0039097744,2023-09-25
0.9894,0.9894,0.9894,-0.0042270531,2023-09-26
0.9978,0.9978,0.9978,0.0084899939,2023-09-27
1.0034,1.0034,1.0034,0.0056123472,2023-09-28
1.0041,1.0041,1.0041,0.0006976281,2023-10-09
1.0023,1.0023,1.0023,-0.0017926501,2023-10-10
0.9996,0.9996,0.9996,-0.0026938043,2023-10-11
1.0055,1.0055,1.0055,0.0059023609,2023-10-12
0.9983,0.9983,0.9983,-0.0071606166,2023-10-13
0.9938,0.9938,0.9938,-0.004507663,2023-10-16
0.9931,0.9931,0.9931,-0.0007043671,2023-10-17
0.981,0.981,0.981,-0.0121840701,2023-10-18
0.9729,0.9729,0.9729,-0.0082568807,2023-10-19
0.9657,0.9657,0.9657,-0.007400555,2023-10-20
0.9451,0.9451,0.9451,-0.0213316765,2023-10-23
0.9634,0.9634,0.9634,0.0193630304,2023-10-24
0.9749,0.9749,0.9749,0.0119368902,2023-10-25
0.9804,0.9804,0.9804,0.0056416043,2023-10-26
1.0006,1.0006,1.0006,0.0206038352,2023-10-27
1.0109,1.0109,1.0109,0.0102938237,2023-10-30
1.0043,1.0043,1.0043,-0.0065288357,2023-10-31
1.0029,1.0029,1.0029,-0.0013940058,2023-11-01
0.9957,0.9957,0.9957,-0.0071791804,2023-11-02
1.0034,1.0034,1.0034,0.007733253,2023-11-03
1.0205,1.0205,1.0205,0.017042057,2023-11-06
1.0231,1.0231,1.0231,0.0025477707,2023-11-07
1.0254,1.0254,1.0254,0.0022480696,2023-11-08
1.0222,1.0222,1.0222,-0.0031207334,2023-11-09
1.0202,1.0202,1.0202,-0.0019565643,2023-11-10
1.0282,1.0282,1.0282,0.0078415997,2023-11-13
1.0307,1.0307,1.0307,0.0024314336,2023-11-14
1.037,1.037,1.037,0.0061123508,2023-11-15
1.0271,1.0271,1.0271,-0.0095467695,2023-11-16
1.0313,1.0313,1.0313,0.0040891831,2023-11-17
1.0416,1.0416,1.0416,0.0099873946,2023-11-20
1.0397,1.0397,1.0397,-0.0018241167,2023-11-21
1.0361,1.0361,1.0361,-0.0034625373,2023-11-22
1.0498,1.0498,1.0498,0.0132226619,2023-11-23
1.042,1.042,1.042,-0.0074299867,2023-11-24
1.0418,1.0418,1.0418,-0.0001919386,2023-11-27
1.0448,1.0448,1.0448,0.0028796314,2023-11-28
1.0387,1.0387,1.0387,-0.005838438,2023-11-29
1.0362,1.0362,1.0362,-0.0024068547,2023-11-30
1.0372,1.0372,1.0372,0.0009650647,2023-12-01
1.0404,1.0404,1.0404,0.0030852295,2023-12-04
1.0223,1.0223,1.0223,-0.0173971549,2023-12-05
1.0242,1.0242,1.0242,0.0018585542,2023-12-06
1.02,1.02,1.02,-0.0041007616,2023-12-07
1.0185,1.0185,1.0185,-0.0014705882,2023-12-08
1.0294,1.0294,1.0294,0.0107020128,2023-12-11
1.0344,1.0344,1.0344,0.0048571984,2023-12-12
1.0299,1.0299,1.0299,-0.004350348,2023-12-13
1.0276,1.0276,1.0276,-0.0022332265,2023-12-14
1.0197,1.0197,1.0197,-0.0076878163,2023-12-15
1.0077,1.0077,1.0077,-0.0117681671,2023-12-18
1.0076,1.0076,1.0076,-9.92359e-05,2023-12-19
0.9963,0.9963,0.9963,-0.0112147678,2023-12-20
1.0007,1.0007,1.0007,0.0044163405,2023-12-21
0.9938,0.9938,0.9938,-0.0068951734,2023-12-22
0.9965,0.9965,0.9965,0.0027168444,2023-12-25
0.9888,0.9888,0.9888,-0.0077270447,2023-12-26
0.9928,0.9928,0.9928,0.0040453074,2023-12-27
1.0122,1.0122,1.0122,0.019540693,2023-12-28
1.0278,1.0278,1.0278,0.0154119739,2023-12-29
1.028,1.028,1.028,0.0001945904,2024-01-02
1.0289,1.0289,1.0289,0.0008754864,2024-01-03
1.0236,1.0236,1.0236,-0.0051511323,2024-01-04
1.0131,1.0131,1.0131,-0.0102579132,2024-01-05
0.9935,0.9935,0.9935,-0.0193465601,2024-01-08
1.0008,1.0008,1.0008,0.0073477604,2024-01-09
0.9982,0.9982,0.9982,-0.0025979217,2024-01-10
