nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-11-14
1.0001,1.0001,1.0001,0.0001,2018-11-16
1.0002,1.0002,1.0002,9.999e-05,2018-11-23
1.0003,1.0003,1.0003,9.998e-05,2018-11-30
1.0002,1.0002,1.0002,-9.997e-05,2018-12-07
0.9998,0.9998,0.9998,-0.00039992,2018-12-14
1.0001,1.0001,1.0001,0.00030006,2018-12-21
0.9966,0.9966,0.9966,-0.00349965,2018-12-28
1.0038,1.0038,1.0038,0.0072245635,2019-01-04
1.0119,1.0119,1.0119,0.0080693365,2019-01-11
1.0055,1.0055,1.0055,-0.0063247356,2019-01-18
1.0017,1.0017,1.0017,-0.0037792143,2019-01-25
0.997,0.997,0.997,-0.0046920236,2019-01-31
1.0029,1.0029,1.0029,0.0059177533,2019-02-01
1.0215,1.0215,1.0215,0.018546216,2019-02-15
1.0436,1.0436,1.0436,0.0216348507,2019-02-22
1.0756,1.0756,1.0756,0.0306630893,2019-02-28
1.0836,1.0836,1.0836,0.0074377092,2019-03-01
1.071,1.071,1.071,-0.011627907,2019-03-08
1.0402,1.0402,1.0402,-0.0287581699,2019-03-15
1.0811,1.0811,1.0811,0.0393193617,2019-03-22
1.1275,1.1275,1.1275,0.0429192489,2019-03-29
1.1753,1.1753,1.1753,0.0423946785,2019-04-04
1.1799,1.1799,1.1799,0.0039138943,2019-04-12
1.1798,1.1798,1.1798,-8.47529e-05,2019-04-19
1.1535,1.1535,1.1535,-0.0222919139,2019-04-26
1.1694,1.1694,1.1694,0.0137841352,2019-04-30
1.1453,1.1453,1.1453,-0.0206088592,2019-05-10
1.1475,1.1475,1.1475,0.0019208941,2019-05-17
1.1494,1.1494,1.1494,0.0016557734,2019-05-24
1.149,1.149,1.149,-0.0003480077,2019-05-31
1.1357,1.1357,1.1357,-0.0115752829,2019-06-06
1.1478,1.1478,1.1478,0.0106542221,2019-06-14
1.1807,1.1807,1.1807,0.0286635302,2019-06-21
1.1929,1.1929,1.1929,0.0103328534,2019-06-28
1.2045,1.2045,1.2045,0.0097242015,2019-07-05
1.1923,1.1923,1.1923,-0.0101286841,2019-07-12
1.1865,1.1865,1.1865,-0.0048645475,2019-07-19
1.1866,1.1866,1.1866,8.42815e-05,2019-07-26
1.1905,1.1905,1.1905,0.0032867015,2019-07-29
1.1838,1.1838,1.1838,-0.0056278874,2019-07-31
1.1725,1.1725,1.1725,-0.0095455313,2019-08-02
1.1786,1.1786,1.1786,0.0052025586,2019-08-09
1.1786,1.1786,1.1786,0.0,2019-08-13
1.2039,1.2039,1.2039,0.0214661463,2019-08-16
1.2231,1.2231,1.2231,0.0159481685,2019-08-23
1.2344,1.2344,1.2344,0.0092388194,2019-08-30
1.2461,1.2461,1.2461,0.009478289,2019-09-06
1.2375,1.2375,1.2375,-0.0069015328,2019-09-12
1.2375,1.2375,1.2375,0.0,2019-09-17
1.2257,1.2257,1.2257,-0.0095353535,2019-09-20
1.2169,1.2169,1.2169,-0.0071795709,2019-09-27
1.2113,1.2113,1.2113,-0.0046018572,2019-09-30
1.2185,1.2185,1.2185,0.0059440271,2019-10-11
1.2185,1.2185,1.2185,0.0,2019-10-15
1.2106,1.2106,1.2106,-0.0064833812,2019-10-18
1.2206,1.2206,1.2206,0.0082603668,2019-10-25
1.2184,1.2184,1.2184,-0.0018023923,2019-10-31
1.2234,1.2234,1.2234,0.0041037426,2019-11-01
1.2218,1.2218,1.2218,-0.0013078306,2019-11-08
1.2218,1.2218,1.2218,0.0,2019-11-12
1.2166,1.2166,1.2166,-0.0042560157,2019-11-15
1.2158,1.2158,1.2158,-0.0006575703,2019-11-22
1.2071,1.2071,1.2071,-0.0071557822,2019-11-29
1.2239,1.2239,1.2239,0.0139176539,2019-12-06
1.2347,1.2347,1.2347,0.0088242503,2019-12-13
1.2664,1.2664,1.2664,0.0256742529,2019-12-20
1.2586,1.2586,1.2586,-0.0061591914,2019-12-27
1.2672,1.2672,1.2672,0.006832989,2019-12-31
1.2611,1.2611,1.2611,-0.0048137626,2020-01-03
1.2962,1.2962,1.2962,0.0278328443,2020-01-10
1.3267,1.3267,1.3267,0.0235303194,2020-01-17
1.3401,1.3401,1.3401,0.0101002487,2020-01-23
1.3331,1.3331,1.3331,-0.0052234908,2020-02-07
1.3724,1.3724,1.3724,0.029480159,2020-02-14
1.3969,1.3969,1.3969,0.0178519382,2020-02-21
1.356,1.356,1.356,-0.029279118,2020-02-28
1.4013,1.4013,1.4013,0.0334070796,2020-03-06
1.3861,1.3861,1.3861,-0.0108470706,2020-03-13
1.3972,1.3972,1.3972,0.0080080802,2020-03-20
1.3695,1.3695,1.3695,-0.019825365,2020-03-27
1.386,1.386,1.386,0.0120481928,2020-03-31
1.3822,1.3822,1.3822,-0.0027417027,2020-04-03
1.3841,1.3841,1.3841,0.0013746202,2020-04-10
1.387,1.387,1.387,0.0020952243,2020-04-17
1.3932,1.3932,1.3932,0.0044700793,2020-04-24
1.391,1.391,1.391,-0.0015790985,2020-04-30
1.3882,1.3882,1.3882,-0.0020129403,2020-05-08
1.3909,1.3909,1.3909,0.0019449647,2020-05-15
1.3701,1.3701,1.3701,-0.0149543461,2020-05-22
1.3764,1.3764,1.3764,0.0045982045,2020-05-29
1.4263,1.4263,1.4263,0.0362539959,2020-06-05
1.4384,1.4384,1.4384,0.0084834887,2020-06-12
1.4584,1.4584,1.4584,0.0139043382,2020-06-19
1.4647,1.4647,1.4647,0.0043198025,2020-06-24
1.4792,1.4792,1.4792,0.0098996382,2020-06-30
1.5132,1.5132,1.5132,0.0229853975,2020-07-03
1.6787,1.6787,1.6787,0.1093708697,2020-07-10
1.6011,1.6011,1.6011,-0.0462262465,2020-07-17
1.6416,1.6416,1.6416,0.0252951096,2020-07-24
1.6991,1.6991,1.6991,0.0350268031,2020-07-31
1.7445,1.7445,1.7445,0.0267200283,2020-08-07
1.6756,1.6756,1.6756,-0.0394955575,2020-08-14
1.6958,1.6958,1.6958,0.0120553831,2020-08-21
1.7684,1.7684,1.7684,0.0428116523,2020-08-28
1.7415,1.7415,1.7415,-0.0152114906,2020-08-31
1.7351,1.7351,1.7351,-0.0036749928,2020-09-04
1.643,1.643,1.643,-0.0530805141,2020-09-11
1.6874,1.6874,1.6874,0.0270237371,2020-09-18
1.6696,1.6696,1.6696,-0.0105487733,2020-09-25
1.6803,1.6803,1.6803,0.0064087207,2020-09-30
1.6646,1.6646,1.6646,-0.0093435696,2020-10-09
1.6865,1.6865,1.6865,0.0131563138,2020-10-16
1.6863,1.6863,1.6863,-0.0001185888,2020-10-23
1.7184,1.7184,1.7184,0.0190357588,2020-10-30
1.7045,1.7045,1.7045,-0.0080889199,2020-11-06
1.711,1.711,1.711,0.003813435,2020-11-13
1.6942,1.6942,1.6942,-0.0098188194,2020-11-20
1.7076,1.7076,1.7076,0.0079093377,2020-11-27
1.6853,1.6853,1.6853,-0.0130592645,2020-11-30
1.7081,1.7081,1.7081,0.0135287486,2020-12-04
1.7173,1.7173,1.7173,0.0053861015,2020-12-11
1.8091,1.8091,1.8091,0.0534560065,2020-12-18
1.8846,1.8846,1.8846,0.0417334586,2020-12-25
1.9427,1.9427,1.9427,0.0308288231,2020-12-31
2.101,2.101,2.101,0.0814845318,2021-01-08
2.0616,2.0616,2.0616,-0.0187529748,2021-01-15
2.098,2.098,2.098,0.0176561894,2021-01-22
2.0188,2.0188,2.0188,-0.0377502383,2021-01-29
2.0443,2.0443,2.0443,0.0126312661,2021-02-05
2.101,2.101,2.101,0.0277356552,2021-02-10
2.0916,2.0916,2.0916,-0.00447406,2021-02-19
1.9704,1.9704,1.9704,-0.05794607,2021-02-26
1.9472,1.9472,1.9472,-0.011774259,2021-03-05
1.9358,1.9358,1.9358,-0.0058545604,2021-03-12
1.9058,1.9058,1.9058,-0.0154974687,2021-03-19
1.9013,1.9013,1.9013,-0.0023612131,2021-03-26
1.8835,1.8835,1.8835,-0.0093620155,2021-03-31
1.9379,1.9379,1.9379,0.0288823998,2021-04-02
1.9144,1.9144,1.9144,-0.0121265287,2021-04-09
1.8886,1.8886,1.8886,-0.0134768074,2021-04-16
1.9186,1.9186,1.9186,0.0158847824,2021-04-23
1.9119,1.9119,1.9119,-0.0034921297,2021-04-30
1.8995,1.8995,1.8995,-0.0064856949,2021-05-07
1.8934,1.8934,1.8934,-0.0032113714,2021-05-14
1.9079,1.9079,1.9079,0.007658181,2021-05-21
1.9448,1.9448,1.9448,0.0193406363,2021-05-28
1.9619,1.9619,1.9619,0.0087926779,2021-05-31
1.9576,1.9576,1.9576,-0.0021917529,2021-06-04
1.9065,1.9065,1.9065,-0.0261033919,2021-06-11
2.0989,2.0989,2.0989,0.1009179124,2021-06-18
2.0126,2.0126,2.0126,-0.0411167755,2021-06-25
2.064,2.064,2.064,0.0255391036,2021-06-30
2.0442,2.0442,2.0442,-0.0095930233,2021-07-02
2.1178,2.1178,2.1178,0.0360043049,2021-07-09
2.0892,2.0892,2.0892,-0.0135045802,2021-07-16
1.9921,1.9921,1.9921,-0.0464771204,2021-07-23
1.9748,1.9748,1.9748,-0.008684303,2021-07-30
2.0112,2.0112,2.0112,0.0184322463,2021-08-06
2.0566,2.0566,2.0566,0.0225735879,2021-08-13
1.9801,1.9801,1.9801,-0.037197316,2021-08-20
1.9777,1.9777,1.9777,-0.00121206,2021-08-27
1.9324,1.9324,1.9324,-0.0229053952,2021-08-31
1.9623,1.9623,1.9623,0.015472987,2021-09-03
2.0469,2.0469,2.0469,0.0431126739,2021-09-10
1.9937,1.9937,1.9937,-0.0259905223,2021-09-17
2.0495,2.0495,2.0495,0.0279881627,2021-09-24
2.054,2.054,2.054,0.0021956575,2021-09-30
2.0582,2.0582,2.0582,0.0020447907,2021-10-08
2.078,2.078,2.078,0.0096200564,2021-10-15
2.0429,2.0429,2.0429,-0.0168912416,2021-10-22
1.9833,1.9833,1.9833,-0.0291742131,2021-10-29
2.0075,2.0075,2.0075,0.0122018857,2021-11-05
1.9861,1.9861,1.9861,-0.0106600249,2021-11-12
2.0105,2.0105,2.0105,0.0122853834,2021-11-19
2.0185,2.0185,2.0185,0.0039791097,2021-11-26
2.0267,2.0267,2.0267,0.0040624226,2021-11-30
2.0481,2.0481,2.0481,0.0105590369,2021-12-03
2.053,2.053,2.053,0.0023924613,2021-12-10
2.0396,2.0396,2.0396,-0.0065270336,2021-12-17
2.0289,2.0289,2.0289,-0.0052461267,2021-12-24
2.0267,2.0267,2.0267,-0.0010843314,2021-12-31
1.9988,1.9988,1.9988,-0.013766221,2022-01-07
1.9699,1.9699,1.9699,-0.0144586752,2022-01-14
2.0073,2.0073,2.0073,0.0189857353,2022-01-21
1.9566,1.9566,1.9566,-0.025257809,2022-01-28
1.9731,1.9731,1.9731,0.008432996,2022-02-11
2.0053,2.0053,2.0053,0.0163194972,2022-02-18
2.0152,2.0152,2.0152,0.0049369172,2022-02-25
2.0245,2.0245,2.0245,0.0046149266,2022-02-28
2.0072,2.0072,2.0072,-0.0085453198,2022-03-04
1.9602,1.9602,1.9602,-0.0234157035,2022-03-11
1.962,1.962,1.962,0.0009182736,2022-03-18
1.9245,1.9245,1.9245,-0.0191131498,2022-03-25
1.9196,1.9196,1.9196,-0.0025461159,2022-03-31
1.9293,1.9293,1.9293,0.0050531361,2022-04-01
1.8905,1.8905,1.8905,-0.0201109211,2022-04-08
1.8823,1.8823,1.8823,-0.0043374769,2022-04-15
1.8548,1.8548,1.8548,-0.0146097859,2022-04-22
1.8697,1.8697,1.8697,0.0080332111,2022-04-29
1.8749,1.8749,1.8749,0.0027811948,2022-05-06
1.8907,1.8907,1.8907,0.0084271161,2022-05-13
1.9149,1.9149,1.9149,0.0127994923,2022-05-20
1.9221,1.9221,1.9221,0.0037599875,2022-05-27
1.9287,1.9287,1.9287,0.0034337443,2022-05-31
1.9221,1.9221,1.9221,-0.0034219941,2022-06-02
1.9243,1.9243,1.9243,0.0011445814,2022-06-10
1.8986,1.8986,1.8986,-0.0133555059,2022-06-17
1.9228,1.9228,1.9228,0.0127462341,2022-06-24
1.9386,1.9386,1.9386,0.0082171833,2022-06-30
1.9271,1.9271,1.9271,-0.005932116,2022-07-01
1.9469,1.9469,1.9469,0.0102745057,2022-07-08
1.9176,1.9176,1.9176,-0.015049566,2022-07-15
1.959,1.959,1.959,0.0215894869,2022-07-22
1.9801,1.9801,1.9801,0.0107708014,2022-07-29
2.0226,2.0226,2.0226,0.0214635624,2022-08-05
2.0346,2.0346,2.0346,0.0059329576,2022-08-12
2.0115,2.0115,2.0115,-0.011353583,2022-08-19
1.9853,1.9853,1.9853,-0.0130251056,2022-08-26
1.949,1.949,1.949,-0.0182843903,2022-08-31
1.9211,1.9211,1.9211,-0.0143150334,2022-09-02
1.9359,1.9359,1.9359,0.0077039196,2022-09-09
1.8699,1.8699,1.8699,-0.0340926701,2022-09-16
1.8463,1.8463,1.8463,-0.0126209958,2022-09-23
1.8394,1.8394,1.8394,-0.0037372041,2022-09-30
1.8366,1.8366,1.8366,-0.0015222355,2022-10-14
1.8325,1.8325,1.8325,-0.0022323859,2022-10-21
1.8092,1.8092,1.8092,-0.0127148704,2022-10-28
1.8471,1.8471,1.8471,0.0209484855,2022-10-31
1.8821,1.8821,1.8821,0.0189486222,2022-11-04
1.924,1.924,1.924,0.0222623665,2022-11-11
1.9348,1.9348,1.9348,0.0056133056,2022-11-18
1.9278,1.9278,1.9278,-0.003617945,2022-11-25
1.9314,1.9314,1.9314,0.0018674136,2022-11-30
1.9708,1.9708,1.9708,0.0203997101,2022-12-02
1.9941,1.9941,1.9941,0.0118226101,2022-12-09
1.961,1.961,1.961,-0.016598967,2022-12-16
1.9386,1.9386,1.9386,-0.0114227435,2022-12-23
1.9247,1.9247,1.9247,-0.0071701228,2022-12-30
1.93,1.93,1.93,0.0027536759,2023-01-06
1.9763,1.9763,1.9763,0.0239896373,2023-01-13
1.986,1.986,1.986,0.0049081617,2023-01-20
1.9969,1.9969,1.9969,0.0054884189,2023-01-31
2.036,2.036,2.036,0.0195803495,2023-02-03
2.0379,2.0379,2.0379,0.0009332024,2023-02-10
2.0768,2.0768,2.0768,0.0190882771,2023-02-17
2.0712,2.0712,2.0712,-0.0026964561,2023-02-24
2.0698,2.0698,2.0698,-0.0006759367,2023-02-28
2.0672,2.0672,2.0672,-0.00125616,2023-03-03
2.0329,2.0329,2.0329,-0.0165924923,2023-03-10
2.057,2.057,2.057,0.0118549855,2023-03-17
2.0737,2.0737,2.0737,0.0081186193,2023-03-24
2.0951,2.0951,2.0951,0.0103197184,2023-03-31
2.0925,2.0925,2.0925,-0.0012409909,2023-04-07
2.1055,2.1055,2.1055,0.0062126643,2023-04-14
2.0855,2.0855,2.0855,-0.0094989314,2023-04-21
2.0706,2.0706,2.0706,-0.0071445696,2023-04-28
2.0611,2.0611,2.0611,-0.0045880421,2023-05-05
2.0689,2.0689,2.0689,0.003784387,2023-05-12
2.126,2.126,2.126,0.0275992073,2023-05-19
2.0784,2.0784,2.0784,-0.0223894638,2023-05-26
2.1035,2.1035,2.1035,0.0120765974,2023-05-31
2.1415,2.1415,2.1415,0.0180651295,2023-06-02
2.1218,2.1218,2.1218,-0.0091991595,2023-06-09
2.1968,2.1968,2.1968,0.0353473466,2023-06-16
2.1884,2.1884,2.1884,-0.0038237436,2023-06-21
2.1474,2.1474,2.1474,-0.018735149,2023-06-30
2.1568,2.1568,2.1568,0.0043773866,2023-07-07
2.1622,2.1622,2.1622,0.0025037092,2023-07-14
2.1358,2.1358,2.1358,-0.0122097863,2023-07-21
2.1334,2.1334,2.1334,-0.0011237007,2023-07-28
2.142,2.142,2.142,0.004031124,2023-07-31
2.1384,2.1384,2.1384,-0.0016806723,2023-08-04
2.1137,2.1137,2.1137,-0.0115506921,2023-08-11
2.0637,2.0637,2.0637,-0.0236552018,2023-08-18
2.0564,2.0564,2.0564,-0.0035373359,2023-08-25
2.1365,2.1365,2.1365,0.0389515658,2023-08-31
2.1325,2.1325,2.1325,-0.0018722209,2023-09-01
2.0909,2.0909,2.0909,-0.0195076202,2023-09-08
2.0688,2.0688,2.0688,-0.0105696112,2023-09-15
2.0799,2.0799,2.0799,0.0053654292,2023-09-22
2.088,2.088,2.088,0.003894418,2023-09-28
2.0599,2.0599,2.0599,-0.0134578544,2023-10-13
2.0292,2.0292,2.0292,-0.0149036361,2023-10-20
2.0931,2.0931,2.0931,0.0314902425,2023-10-27
2.1094,2.1094,2.1094,0.0077874922,2023-10-31
2.1188,2.1188,2.1188,0.0044562435,2023-11-03
2.1556,2.1556,2.1556,0.0173683217,2023-11-10
2.1877,2.1877,2.1877,0.0148914455,2023-11-17
2.1878,2.1878,2.1878,4.57101e-05,2023-11-24
2.1906,2.1906,2.1906,0.0012798245,2023-11-30
2.1959,2.1959,2.1959,0.0024194285,2023-12-01
2.1622,2.1622,2.1622,-0.0153467826,2023-12-08
2.1883,2.1883,2.1883,0.0120710388,2023-12-15
2.194,2.194,2.194,0.0026047617,2023-12-22
2.2537,2.2537,2.2537,0.0272105743,2023-12-29
2.2374,2.2374,2.2374,-0.0072325509,2024-01-05
2.227,2.227,2.227,-0.0046482524,2024-01-12
2.146,2.146,2.146,-0.0363718006,2024-01-19
2.1091,2.1091,2.1091,-0.017194781,2024-01-26
2.0689,2.0689,2.0689,-0.0190602627,2024-01-31
2.0716,2.0716,2.0716,0.0013050413,2024-02-02
2.1107,2.1107,2.1107,0.0188743001,2024-02-08
2.1116,2.1116,2.1116,0.0004263988,2024-02-23
2.0865,2.0865,2.0865,-0.011886721,2024-02-29
2.1066,2.1066,2.1066,0.0096333573,2024-03-01
2.1243,2.1243,2.1243,0.0084021646,2024-03-08
2.093,2.093,2.093,-0.0147342654,2024-03-15
2.1053,2.1053,2.1053,0.005876732,2024-03-22
2.0988,2.0988,2.0988,-0.003087446,2024-03-29
2.0927,2.0927,2.0927,-0.0029064227,2024-04-03
2.0947,2.0947,2.0947,0.0009557032,2024-04-12
2.0043,2.0043,2.0043,-0.0431565379,2024-04-19
2.0433,2.0433,2.0433,0.0194581649,2024-04-26
2.0649,2.0649,2.0649,0.0105711349,2024-04-30
2.0739,2.0739,2.0739,0.0043585646,2024-05-10
2.079,2.079,2.079,0.002459135,2024-05-17
2.0534,2.0534,2.0534,-0.0123136123,2024-05-24
2.0259,2.0259,2.0259,-0.0133924223,2024-05-31
2.0464,2.0464,2.0464,0.0101189595,2024-06-07
2.0227,2.0227,2.0227,-0.0115813135,2024-06-14
2.014,2.014,2.014,-0.0043011816,2024-06-21
1.9785,1.9785,1.9785,-0.0176266137,2024-06-28
1.9637,1.9637,1.9637,-0.0074804145,2024-07-05
1.9926,1.9926,1.9926,0.0147171156,2024-07-12
2.1068,2.1068,2.1068,0.0573120546,2024-07-19
2.0337,2.0337,2.0337,-0.0346971711,2024-07-26
2.0219,2.0219,2.0219,-0.0058022324,2024-07-31
1.9738,1.9738,1.9738,-0.0237895049,2024-08-02
1.9476,1.9476,1.9476,-0.0132738879,2024-08-09
1.9621,1.9621,1.9621,0.0074450606,2024-08-16
1.9951,1.9951,1.9951,0.0168187146,2024-08-23
1.9377,1.9377,1.9377,-0.0287704877,2024-08-30
1.8316,1.8316,1.8316,-0.0547556381,2024-09-06
1.9005,1.9005,1.9005,0.0376173837,2024-09-13
1.9289,1.9289,1.9289,0.0149434359,2024-09-20
2.0604,2.0604,2.0604,0.0681735704,2024-09-27
2.011,2.011,2.011,-0.023975927,2024-09-30
2.1022,2.1022,2.1022,0.0453505719,2024-10-11
