nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-01-24
1.0,1.0,1.0,0.0,2022-01-28
0.983,0.983,0.983,-0.017,2022-02-11
0.989,0.989,0.989,0.006103764,2022-02-15
0.985,0.985,0.985,-0.0040444894,2022-02-18
0.963,0.963,0.963,-0.0223350254,2022-02-22
0.979,0.979,0.979,0.0166147456,2022-02-25
0.984,0.984,0.984,0.0051072523,2022-03-01
0.96,0.96,0.96,-0.0243902439,2022-03-04
0.916,0.916,0.916,-0.0458333333,2022-03-08
0.922,0.922,0.922,0.0065502183,2022-03-11
0.855,0.855,0.855,-0.0726681128,2022-03-15
0.904,0.904,0.904,0.0573099415,2022-03-18
0.898,0.898,0.898,-0.0066371681,2022-03-22
0.875,0.875,0.875,-0.0256124722,2022-03-25
0.878,0.878,0.878,0.0034285714,2022-03-29
0.87,0.87,0.87,-0.0091116173,2022-04-01
0.875,0.875,0.875,0.0057471264,2022-04-06
0.858,0.858,0.858,-0.0194285714,2022-04-08
0.831,0.831,0.831,-0.0314685315,2022-04-12
0.849,0.849,0.849,0.0216606498,2022-04-15
0.835,0.835,0.835,-0.0164899882,2022-04-19
0.793,0.793,0.793,-0.0502994012,2022-04-22
0.759,0.759,0.759,-0.0428751576,2022-04-26
0.821,0.821,0.821,0.0816864295,2022-04-29
0.811,0.811,0.811,-0.012180268,2022-05-05
0.783,0.783,0.783,-0.0345252774,2022-05-06
0.792,0.792,0.792,0.0114942529,2022-05-10
0.819,0.819,0.819,0.0340909091,2022-05-13
0.838,0.838,0.838,0.0231990232,2022-05-17
0.861,0.861,0.861,0.0274463007,2022-05-20
0.826,0.826,0.826,-0.0406504065,2022-05-24
0.83,0.83,0.83,0.004842615,2022-05-27
0.868,0.868,0.868,0.0457831325,2022-05-31
0.876,0.876,0.876,0.0092165899,2022-06-02
0.91,0.91,0.91,0.0388127854,2022-06-07
0.912,0.912,0.912,0.0021978022,2022-06-10
0.897,0.897,0.897,-0.0164473684,2022-06-14
0.922,0.922,0.922,0.02787068,2022-06-17
0.925,0.925,0.925,0.0032537961,2022-06-21
0.979,0.979,0.979,0.0583783784,2022-06-24
1.01,1.01,1.01,0.0316649642,2022-06-28
0.984,0.984,0.984,-0.0257425743,2022-07-01
0.971,0.971,0.971,-0.0132113821,2022-07-05
1.0,1.0,1.0,0.0298661174,2022-07-08
0.974,0.974,0.974,-0.026,2022-07-12
1.013,1.013,1.013,0.0400410678,2022-07-15
1.019,1.019,1.019,0.005923001,2022-07-19
1.007,1.007,1.007,-0.0117762512,2022-07-22
0.999,0.999,0.999,-0.0079443893,2022-07-26
1.028,1.028,1.028,0.029029029,2022-07-29
1.04,1.04,1.04,0.0116731518,2022-08-02
1.021,1.021,1.021,-0.0182692308,2022-08-05
1.041,1.041,1.041,0.0195886386,2022-08-09
1.014,1.014,1.014,-0.0259365994,2022-08-12
1.037,1.037,1.037,0.0226824458,2022-08-16
1.033,1.033,1.033,-0.0038572806,2022-08-19
1.057,1.057,1.057,0.0232333011,2022-08-23
1.004,1.004,1.004,-0.0501419111,2022-08-26
0.996,0.996,0.996,-0.0079681275,2022-08-30
0.943,0.943,0.943,-0.0532128514,2022-09-02
0.986,0.986,0.986,0.0455991516,2022-09-06
0.981,0.981,0.981,-0.0050709939,2022-09-09
0.97,0.97,0.97,-0.0112130479,2022-09-13
0.934,0.934,0.934,-0.0371134021,2022-09-16
0.927,0.927,0.927,-0.0074946467,2022-09-20
0.903,0.903,0.903,-0.0258899676,2022-09-23
0.952,0.952,0.952,0.0542635659,2022-09-27
0.897,0.897,0.897,-0.0577731092,2022-09-30
0.886,0.886,0.886,-0.0122630992,2022-10-10
0.879,0.879,0.879,-0.0079006772,2022-10-11
0.916,0.916,0.916,0.0420932878,2022-10-14
0.902,0.902,0.902,-0.0152838428,2022-10-21
0.859,0.859,0.859,-0.0476718404,2022-10-28
0.948,0.948,0.948,0.1036088475,2022-11-04
0.921,0.921,0.921,-0.0284810127,2022-11-11
0.925,0.925,0.925,0.0043431053,2022-11-18
0.859,0.859,0.859,-0.0713513514,2022-11-25
0.905,0.905,0.905,0.0535506403,2022-12-02
0.917,0.917,0.917,0.0132596685,2022-12-09
0.884,0.884,0.884,-0.0359869138,2022-12-16
0.867,0.867,0.867,-0.0192307692,2022-12-23
0.88,0.88,0.88,0.014994233,2022-12-30
0.933,0.933,0.933,0.0602272727,2023-01-06
0.944,0.944,0.944,0.011789925,2023-01-13
0.951,0.951,0.951,0.0074152542,2023-01-20
0.921,0.921,0.921,-0.0315457413,2023-02-03
0.884,0.884,0.884,-0.0401737242,2023-02-10
0.866,0.866,0.866,-0.020361991,2023-02-17
0.838,0.838,0.838,-0.0323325635,2023-02-24
0.859,0.859,0.859,0.0250596659,2023-03-03
0.8,0.8,0.8,-0.0686845169,2023-03-10
0.821,0.821,0.821,0.02625,2023-03-17
0.864,0.864,0.864,0.0523751523,2023-03-24
0.864,0.864,0.864,0.0,2023-03-31
0.885,0.885,0.885,0.0243055556,2023-04-07
0.859,0.859,0.859,-0.0293785311,2023-04-14
0.829,0.829,0.829,-0.0349243306,2023-04-21
0.815,0.815,0.815,-0.0168878166,2023-04-28
0.77,0.77,0.77,-0.0552147239,2023-05-05
0.753,0.753,0.753,-0.0220779221,2023-05-12
0.784,0.784,0.784,0.0411686587,2023-05-19
0.77,0.77,0.77,-0.0178571429,2023-05-26
0.805,0.805,0.805,0.0454545455,2023-06-02
0.788,0.788,0.788,-0.0211180124,2023-06-09
0.849,0.849,0.849,0.0774111675,2023-06-16
0.851,0.851,0.851,0.0023557126,2023-06-21
0.847,0.847,0.847,-0.0047003525,2023-06-30
0.839,0.839,0.839,-0.0094451004,2023-07-07
0.866,0.866,0.866,0.0321811681,2023-07-14
0.795,0.795,0.795,-0.0819861432,2023-07-21
0.858,0.858,0.858,0.079245283,2023-07-28
0.874,0.874,0.874,0.0186480186,2023-08-04
0.823,0.823,0.823,-0.0583524027,2023-08-11
0.762,0.762,0.762,-0.0741190765,2023-08-18
0.76,0.76,0.76,-0.0026246719,2023-08-25
0.801,0.801,0.801,0.0539473684,2023-09-01
0.779,0.779,0.779,-0.0274656679,2023-09-08
0.776,0.776,0.776,-0.0038510911,2023-09-15
0.763,0.763,0.763,-0.0167525773,2023-09-22
0.755,0.755,0.755,-0.0104849279,2023-09-28
0.774,0.774,0.774,0.0251655629,2023-10-13
0.703,0.703,0.703,-0.0917312661,2023-10-20
0.74,0.74,0.74,0.0526315789,2023-10-27
0.776,0.776,0.776,0.0486486486,2023-11-03
0.799,0.799,0.799,0.0296391753,2023-11-10
0.833,0.833,0.833,0.0425531915,2023-11-17
0.812,0.812,0.812,-0.025210084,2023-11-24
0.789,0.789,0.789,-0.0283251232,2023-12-01
0.757,0.757,0.757,-0.0405576679,2023-12-08
0.754,0.754,0.754,-0.0039630119,2023-12-15
0.683,0.683,0.683,-0.0941644562,2023-12-22
0.728,0.728,0.728,0.065885798,2023-12-29
0.675,0.675,0.675,-0.0728021978,2024-01-05
0.647,0.647,0.647,-0.0414814815,2024-01-12
0.573,0.573,0.573,-0.114374034,2024-01-19
0.585,0.585,0.585,0.0209424084,2024-01-26
0.552,0.552,0.552,-0.0564102564,2024-02-02
0.59,0.59,0.59,0.0688405797,2024-02-08
0.648,0.648,0.648,0.0983050847,2024-02-23
0.677,0.677,0.677,0.0447530864,2024-03-01
0.659,0.659,0.659,-0.0265878877,2024-03-08
0.697,0.697,0.697,0.0576631259,2024-03-15
0.67,0.67,0.67,-0.0387374462,2024-03-22
0.649,0.649,0.649,-0.0313432836,2024-03-29
0.633,0.633,0.633,-0.0246533128,2024-04-03
0.627,0.627,0.627,-0.009478673,2024-04-12
0.605,0.605,0.605,-0.0350877193,2024-04-19
0.693,0.693,0.693,0.1454545455,2024-04-26
0.665,0.665,0.665,-0.0404040404,2024-04-30
0.733,0.733,0.733,0.1022556391,2024-05-10
0.775,0.775,0.775,0.0572987722,2024-05-17
0.684,0.684,0.684,-0.1174193548,2024-05-24
0.659,0.659,0.659,-0.0365497076,2024-05-31
0.666,0.666,0.666,0.0106221548,2024-06-07
0.66,0.66,0.66,-0.009009009,2024-06-14
0.666,0.666,0.666,0.0090909091,2024-06-21
0.636,0.636,0.636,-0.045045045,2024-06-28
0.644,0.644,0.644,0.0125786164,2024-07-05
0.698,0.698,0.698,0.0838509317,2024-07-12
0.634,0.634,0.634,-0.0916905444,2024-07-19
0.608,0.608,0.608,-0.0410094637,2024-07-26
0.597,0.597,0.597,-0.0180921053,2024-08-02
0.551,0.551,0.551,-0.0770519263,2024-08-09
0.548,0.548,0.548,-0.0054446461,2024-08-16
0.537,0.537,0.537,-0.0200729927,2024-08-23
0.529,0.529,0.529,-0.0148975791,2024-08-30
0.511,0.511,0.511,-0.034026465,2024-09-06
0.512,0.512,0.512,0.0019569472,2024-09-13
0.522,0.522,0.522,0.01953125,2024-09-20
0.628,0.628,0.628,0.2030651341,2024-09-27
0.71,0.71,0.71,0.1305732484,2024-09-30
0.719,0.719,0.719,0.0126760563,2024-10-11
0.747,0.747,0.747,0.0389429764,2024-10-18
0.772,0.772,0.772,0.0334672021,2024-10-25
0.753,0.753,0.753,-0.024611399,2024-11-01
0.811,0.811,0.811,0.0770252324,2024-11-08
0.731,0.731,0.731,-0.0986436498,2024-11-15
0.72,0.72,0.72,-0.0150478796,2024-11-22
0.731,0.731,0.731,0.0152777778,2024-11-29
0.751,0.751,0.751,0.0273597811,2024-12-06
0.771,0.771,0.771,0.0266311585,2024-12-13
0.801,0.801,0.801,0.0389105058,2024-12-20
0.808,0.808,0.808,0.0087390762,2024-12-27
0.73,0.73,0.73,-0.0965346535,2025-01-03
0.725,0.725,0.725,-0.0068493151,2025-01-10
0.779,0.779,0.779,0.0744827586,2025-01-17
0.806,0.806,0.806,0.0346598203,2025-01-24
0.748,0.748,0.748,-0.0719602978,2025-01-27
0.846,0.846,0.846,0.1310160428,2025-02-07
0.86,0.86,0.86,0.0165484634,2025-02-14
0.933,0.933,0.933,0.0848837209,2025-02-21
0.878,0.878,0.878,-0.0589496249,2025-02-28
0.917,0.917,0.917,0.0444191344,2025-03-07
0.876,0.876,0.876,-0.0447110142,2025-03-14
0.826,0.826,0.826,-0.0570776256,2025-03-21
0.807,0.807,0.807,-0.0230024213,2025-03-28
0.796,0.796,0.796,-0.0136307311,2025-04-03
0.922,0.922,0.922,0.1582914573,2025-04-11
0.899,0.899,0.899,-0.0249457701,2025-04-18
0.918,0.918,0.918,0.021134594,2025-04-25
0.921,0.921,0.921,0.0032679739,2025-04-30
0.907,0.907,0.907,-0.0152008686,2025-05-09
0.901,0.901,0.901,-0.006615215,2025-05-16
0.903,0.903,0.903,0.0022197558,2025-05-23
0.871,0.871,0.871,-0.0354374308,2025-05-30
0.891,0.891,0.891,0.0229621125,2025-06-06
0.897,0.897,0.897,0.0067340067,2025-06-13
0.842,0.842,0.842,-0.0613154961,2025-06-20
0.831,0.831,0.831,-0.013064133,2025-06-27
0.825,0.825,0.825,-0.0072202166,2025-07-04
0.839,0.839,0.839,0.016969697,2025-07-11
0.88,0.88,0.88,0.0488676996,2025-07-18
0.871,0.871,0.871,-0.0102272727,2025-07-25
0.849,0.849,0.849,-0.0252583238,2025-08-01
0.876,0.876,0.876,0.0318021201,2025-08-08
0.915,0.915,0.915,0.0445205479,2025-08-15
0.951,0.951,0.951,0.0393442623,2025-08-22
0.997,0.997,0.997,0.0483701367,2025-08-29
0.968,0.968,0.968,-0.0290872618,2025-09-05
0.99,0.99,0.99,0.0227272727,2025-09-12
0.981,0.981,0.981,-0.0090909091,2025-09-19
