nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2023-10-23
1.0001,1.0001,1.0001,0.0,2023-10-24
1.0002,1.0002,1.0002,9.999e-05,2023-10-25
1.0002,1.0002,1.0002,0.0,2023-10-26
1.0003,1.0003,1.0003,9.998e-05,2023-10-27
1.0004,1.0004,1.0004,9.997e-05,2023-10-30
1.0004,1.0004,1.0004,0.0,2023-10-31
1.0005,1.0005,1.0005,9.996e-05,2023-11-01
1.0005,1.0005,1.0005,0.0,2023-11-02
1.0006,1.0006,1.0006,9.995e-05,2023-11-03
1.0007,1.0007,1.0007,9.994e-05,2023-11-06
1.0007,1.0007,1.0007,0.0,2023-11-07
1.0008,1.0008,1.0008,9.993e-05,2023-11-08
1.0008,1.0008,1.0008,0.0,2023-11-09
1.0009,1.0009,1.0009,9.99201e-05,2023-11-10
1.001,1.001,1.001,9.99101e-05,2023-11-13
1.0019,1.0019,1.0019,0.0008991009,2023-11-14
1.0016,1.0016,1.0016,-0.0002994311,2023-11-15
1.0016,1.0016,1.0016,0.0,2023-11-16
1.0027,1.0027,1.0027,0.0010982428,2023-11-17
1.0044,1.0044,1.0044,0.0016954224,2023-11-20
1.0042,1.0042,1.0042,-0.0001991239,2023-11-21
1.0041,1.0041,1.0041,-9.95818e-05,2023-11-22
1.0025,1.0025,1.0025,-0.0015934668,2023-11-23
1.0027,1.0027,1.0027,0.0001995012,2023-11-24
1.0074,1.0074,1.0074,0.0046873442,2023-11-27
1.0044,1.0044,1.0044,-0.0029779631,2023-11-28
1.0047,1.0047,1.0047,0.0002986858,2023-11-29
1.003,1.003,1.003,-0.0016920474,2023-11-30
1.0044,1.0044,1.0044,0.0013958126,2023-12-01
1.0083,1.0083,1.0083,0.0038829152,2023-12-04
1.0088,1.0088,1.0088,0.0004958842,2023-12-05
1.0088,1.0088,1.0088,0.0,2023-12-06
1.0078,1.0078,1.0078,-0.0009912768,2023-12-07
1.0049,1.0049,1.0049,-0.0028775551,2023-12-08
1.0061,1.0061,1.0061,0.0011941487,2023-12-11
1.0048,1.0048,1.0048,-0.0012921181,2023-12-12
1.0024,1.0024,1.0024,-0.002388535,2023-12-13
1.0034,1.0034,1.0034,0.0009976057,2023-12-14
1.0044,1.0044,1.0044,0.0009966115,2023-12-15
1.0045,1.0045,1.0045,9.95619e-05,2023-12-18
1.0024,1.0024,1.0024,-0.0020905923,2023-12-19
1.0055,1.0055,1.0055,0.0030925778,2023-12-20
1.0101,1.0101,1.0101,0.0045748384,2023-12-21
1.0079,1.0079,1.0079,-0.0021780022,2023-12-22
1.0087,1.0087,1.0087,0.0007937295,2023-12-25
1.008,1.008,1.008,-0.0006939625,2023-12-26
1.0068,1.0068,1.0068,-0.0011904762,2023-12-27
1.0036,1.0036,1.0036,-0.003178387,2023-12-28
1.0028,1.0028,1.0028,-0.0007971303,2023-12-29
1.0032,1.0032,1.0032,0.0003988831,2024-01-02
1.0044,1.0044,1.0044,0.0011961722,2024-01-03
1.0021,1.0021,1.0021,-0.0022899243,2024-01-04
1.0022,1.0022,1.0022,9.97904e-05,2024-01-05
1.0014,1.0014,1.0014,-0.0007982439,2024-01-08
1.0021,1.0021,1.0021,0.0006990214,2024-01-09
1.0021,1.0021,1.0021,0.0,2024-01-10
1.0024,1.0024,1.0024,0.0002993713,2024-01-11
1.0028,1.0028,1.0028,0.0003990423,2024-01-12
1.0027,1.0027,1.0027,-9.97208e-05,2024-01-15
1.0029,1.0029,1.0029,0.0001994615,2024-01-16
1.0029,1.0029,1.0029,0.0,2024-01-17
