nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-07-11
1.0,1.0,1.0,0.0,2022-07-15
0.999,0.999,0.999,-0.001,2022-07-22
1.001,1.001,1.001,0.002002002,2022-07-29
0.999,0.999,0.999,-0.001998002,2022-08-05
0.987,0.987,0.987,-0.012012012,2022-08-12
0.998,0.998,0.998,0.0111448835,2022-08-19
0.955,0.955,0.955,-0.0430861723,2022-08-26
0.923,0.923,0.923,-0.0335078534,2022-08-31
0.925,0.925,0.925,0.0021668472,2022-09-02
0.942,0.942,0.942,0.0183783784,2022-09-09
0.898,0.898,0.898,-0.0467091295,2022-09-16
0.878,0.878,0.878,-0.0222717149,2022-09-23
0.867,0.867,0.867,-0.0125284738,2022-09-30
0.882,0.882,0.882,0.0173010381,2022-10-14
0.872,0.872,0.872,-0.0113378685,2022-10-21
0.858,0.858,0.858,-0.0160550459,2022-10-28
0.859,0.859,0.859,0.0011655012,2022-10-31
0.89,0.89,0.89,0.036088475,2022-11-04
0.881,0.881,0.881,-0.0101123596,2022-11-11
0.878,0.878,0.878,-0.0034052213,2022-11-18
0.873,0.873,0.873,-0.0056947608,2022-11-25
0.873,0.873,0.873,0.0,2022-11-30
0.873,0.873,0.873,0.0,2022-12-02
0.872,0.872,0.872,-0.0011454754,2022-12-09
0.872,0.872,0.872,0.0,2022-12-16
0.874,0.874,0.874,0.002293578,2022-12-23
0.849,0.849,0.849,-0.028604119,2022-12-30
0.855,0.855,0.855,0.0070671378,2023-01-06
0.854,0.854,0.854,-0.0011695906,2023-01-13
0.879,0.879,0.879,0.0292740047,2023-01-20
0.89,0.89,0.89,0.0125142207,2023-01-31
0.896,0.896,0.896,0.006741573,2023-02-03
0.965,0.965,0.965,0.0770089286,2023-02-10
0.943,0.943,0.943,-0.0227979275,2023-02-17
0.965,0.965,0.965,0.0233297985,2023-02-24
0.984,0.984,0.984,0.0196891192,2023-02-28
0.978,0.978,0.978,-0.006097561,2023-03-03
0.953,0.953,0.953,-0.0255623722,2023-03-10
0.917,0.917,0.917,-0.037775446,2023-03-17
0.951,0.951,0.951,0.0370774264,2023-03-24
0.936,0.936,0.936,-0.0157728707,2023-03-31
0.928,0.928,0.928,-0.0085470085,2023-04-07
0.903,0.903,0.903,-0.0269396552,2023-04-14
0.868,0.868,0.868,-0.0387596899,2023-04-21
0.866,0.866,0.866,-0.0023041475,2023-04-28
0.852,0.852,0.852,-0.0161662818,2023-05-05
0.832,0.832,0.832,-0.0234741784,2023-05-12
0.873,0.873,0.873,0.0492788462,2023-05-19
0.891,0.891,0.891,0.0206185567,2023-05-26
0.872,0.872,0.872,-0.0213243547,2023-05-31
0.876,0.876,0.876,0.004587156,2023-06-02
0.855,0.855,0.855,-0.0239726027,2023-06-09
0.871,0.871,0.871,0.0187134503,2023-06-16
0.861,0.861,0.861,-0.0114810563,2023-06-21
0.889,0.889,0.889,0.0325203252,2023-06-30
0.885,0.885,0.885,-0.0044994376,2023-07-07
0.897,0.897,0.897,0.013559322,2023-07-14
0.873,0.873,0.873,-0.0267558528,2023-07-21
0.877,0.877,0.877,0.0045819015,2023-07-28
0.884,0.884,0.884,0.007981756,2023-07-31
0.879,0.879,0.879,-0.0056561086,2023-08-04
0.836,0.836,0.836,-0.0489192264,2023-08-11
0.838,0.838,0.838,0.0023923445,2023-08-18
0.79,0.79,0.79,-0.0572792363,2023-08-25
0.823,0.823,0.823,0.0417721519,2023-08-31
0.826,0.826,0.826,0.0036452005,2023-09-01
