nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-02-19
1.0,1.0,1.0,0.0,2025-02-21
0.9999,0.9999,0.9999,-0.0001,2025-02-28
1.0001,1.0001,1.0001,0.00020002,2025-03-07
1.0023,1.0023,1.0023,0.00219978,2025-03-14
0.9938,0.9938,0.9938,-0.0084804949,2025-03-21
1.0059,1.0059,1.0059,0.012175488,2025-03-28
1.0043,1.0043,1.0043,-0.0015906154,2025-03-31
1.0301,1.0301,1.0301,0.025689535,2025-04-03
0.9807,0.9807,0.9807,-0.0479565091,2025-04-11
0.9927,0.9927,0.9927,0.0122361578,2025-04-18
0.9997,0.9997,0.9997,0.0070514758,2025-04-25
0.9985,0.9985,0.9985,-0.0012003601,2025-04-30
0.9949,0.9949,0.9949,-0.0036054081,2025-05-09
0.9713,0.9713,0.9713,-0.023720977,2025-05-16
0.9777,0.9777,0.9777,0.0065891074,2025-05-23
0.9667,0.9667,0.9667,-0.011250895,2025-05-30
0.9799,0.9799,0.9799,0.0136547016,2025-06-06
0.9893,0.9893,0.9893,0.0095928156,2025-06-13
1.0056,1.0056,1.0056,0.0164762964,2025-06-20
1.0061,1.0061,1.0061,0.0004972156,2025-06-27
1.0028,1.0028,1.0028,-0.003279992,2025-06-30
1.0152,1.0152,1.0152,0.0123653769,2025-07-04
1.0237,1.0237,1.0237,0.0083727344,2025-07-11
1.0387,1.0387,1.0387,0.0146527303,2025-07-18
1.0654,1.0654,1.0654,0.0257052084,2025-07-25
1.0428,1.0428,1.0428,-0.0212126901,2025-07-31
1.0336,1.0336,1.0336,-0.0088224012,2025-08-01
1.0515,1.0515,1.0515,0.0173181115,2025-08-08
1.0591,1.0591,1.0591,0.0072277699,2025-08-15
1.0553,1.0553,1.0553,-0.003587952,2025-08-22
1.0682,1.0682,1.0682,0.0122240121,2025-08-29
1.063,1.063,1.063,-0.0048680022,2025-09-05
1.0759,1.0759,1.0759,0.0121354657,2025-09-12
1.0698,1.0698,1.0698,-0.0056696719,2025-09-19
1.0776,1.0776,1.0776,0.0072910824,2025-09-26
1.0936,1.0936,1.0936,0.0148478099,2025-09-30
1.0989,1.0989,1.0989,0.0048463789,2025-10-10
1.1037,1.1037,1.1037,0.0043680044,2025-10-17
1.1071,1.1071,1.1071,0.0030805473,2025-10-24
1.1252,1.1252,1.1252,0.01634902,2025-10-31
1.1175,1.1175,1.1175,-0.0068432279,2025-11-07
1.1248,1.1248,1.1248,0.0065324385,2025-11-14
1.101,1.101,1.101,-0.0211593172,2025-11-21
1.1028,1.1028,1.1028,0.0016348774,2025-11-28
1.1077,1.1077,1.1077,0.0044432354,2025-12-05
1.1077,1.1077,1.1077,0.0,2025-12-12
1.11,1.11,1.11,0.0020763745,2025-12-19
1.1538,1.1538,1.1538,0.0394594595,2025-12-26
1.1328,1.1328,1.1328,-0.018200728,2025-12-31
1.1621,1.1621,1.1621,0.025865113,2026-01-09
1.1742,1.1742,1.1742,0.0104121848,2026-01-16
1.1946,1.1946,1.1946,0.0173735309,2026-01-23
1.2076,1.2076,1.2076,0.0108823037,2026-01-30
1.1685,1.1685,1.1685,-0.032378271,2026-02-06
1.1791,1.1791,1.1791,0.0090714591,2026-02-13
1.1887,1.1887,1.1887,0.0081418031,2026-02-27
1.2076,1.2076,1.2076,0.0158997224,2026-03-06
1.216,1.216,1.216,0.0069559457,2026-03-13
1.1985,1.1985,1.1985,-0.0143914474,2026-03-20
1.198,1.198,1.198,-0.0004171882,2026-03-27
1.1994,1.1994,1.1994,0.0011686144,2026-03-31
1.1853,1.1853,1.1853,-0.0117558779,2026-04-03
1.1971,1.1971,1.1971,0.0099552856,2026-04-10
1.2287,1.2287,1.2287,0.0263971264,2026-04-17
1.2381,1.2381,1.2381,0.0076503622,2026-04-24
1.2386,1.2386,1.2386,0.0004038446,2026-04-30
1.2433,1.2433,1.2433,0.0037946068,2026-05-08
1.2424,1.2424,1.2424,-0.00072388,2026-05-15
1.2345,1.2345,1.2345,-0.0063586607,2026-05-22
